from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010004,8010004,15,57,42,0,990,Brandenburg
8010004,8010093,1,13,12,0,150,Brandenburg
8010004,8010282,2,12,2,0,30,Brandenburg
8010004,8011314,6,21,76,0,990,Brandenburg
8010004,8012637,9,18,123,15,1140,Brandenburg
8010004,8013238,4,12,88,0,750,Brandenburg
8010017,8010017,10,34,63,0,810,Brandenburg
8010017,8011034,5,17,78,0,810,Brandenburg
8010017,8011531,2,17,37,0,630,Brandenburg
8010025,8010025,6,78,6,0,120,Brandenburg
8010025,8012910,0,2,0,0,0,Brandenburg
8010025,8013227,3,23,10,0,120,Brandenburg
8010025,8013429,3,17,14,0,120,Brandenburg
8010025,8081300,0,40,0,0,0,Brandenburg
8010028,8010028,9,36,13,0,60,Brandenburg
8010028,8011079,7,18,15,0,60,Brandenburg
8010028,8011080,7,18,23,0,60,Brandenburg
8010029,8010029,23,34,33,30,150,Brandenburg
8010029,8011284,16,18,38,30,90,Brandenburg
8010029,8012551,4,18,12,0,60,Brandenburg
8010031,8010031,18,39,64,0,450,Brandenburg
8010031,8010376,5,20,28,0,360,Brandenburg
8010031,8011100,10,29,71,0,810,Brandenburg
8010031,8011271,0,7,0,0,0,Brandenburg
8010053,8010053,21,80,81,0,3000,Brandenburg
8010053,8011041,4,20,21,0,330,Brandenburg
8010053,8011340,12,40,118,0,2970,Brandenburg
8010064,8010064,20,70,40,0,990,Brandenburg
8010064,8010093,14,35,66,0,960,Brandenburg
8010064,8011314,7,21,26,0,150,Brandenburg
8010064,8011671,2,14,6,0,90,Brandenburg
8010069,8010069,6,43,26,0,660,Brandenburg
8010069,8011318,2,8,116,0,870,Brandenburg
8010069,8011542,2,11,16,0,90,Brandenburg
8010069,8011667,0,10,0,0,0,Brandenburg
8010069,8012084,0,11,0,0,0,Brandenburg
8010093,8010004,0,12,0,0,0,Brandenburg
8010093,8010064,6,35,13,0,120,Brandenburg
8010093,8010093,13,63,38,0,930,Brandenburg
8010093,8011188,0,1,0,0,0,Brandenburg
8010093,8012329,3,26,57,0,900,Brandenburg
8010093,8012485,4,17,85,0,870,Brandenburg
8010093,8013470,6,18,48,0,270,Brandenburg
8010100,8010100,8,55,231,0,3750,Brandenburg
8010100,8011078,4,19,302,0,3720,Brandenburg
8010100,8012650,2,28,137,0,3720,Brandenburg
8010100,8012681,2,12,350,0,3960,Brandenburg
8010103,8010103,5,35,26,0,600,Brandenburg
8010103,8011078,0,20,0,0,0,Brandenburg
8010103,8011131,3,17,11,0,60,Brandenburg
8010103,8011537,1,12,95,0,1140,Brandenburg
8010103,8011542,3,9,83,0,600,Brandenburg
8010103,8011867,0,14,0,0,0,Brandenburg
8010103,8012734,1,9,760,0,6840,Brandenburg
8010103,8013160,0,11,0,0,0,Brandenburg
8010111,5100159,0,4,0,0,0,Brandenburg
8010111,8012043,4,18,10,0,90,Brandenburg
8010117,8010347,3,18,7,0,60,Brandenburg
8010120,8010120,54,95,115,30,2580,Brandenburg
8010120,8011154,12,22,79,30,1020,Brandenburg
8010120,8011471,3,8,165,0,1170,Brandenburg
8010120,8011533,13,18,193,45,2550,Brandenburg
8010120,8011591,9,18,18,15,60,Brandenburg
8010120,8011818,11,21,73,30,510,Brandenburg
8010120,8013477,6,9,70,30,240,Brandenburg
8010150,8010150,16,37,25,0,120,Brandenburg
8010150,8012370,4,18,13,0,60,Brandenburg
8010150,8012895,6,19,21,0,90,Brandenburg
