from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000019,8004665,5,16,8,0,60,Braunschweig
8000043,8000043,27,66,22,0,180,Braunschweig
8000043,8000325,4,18,2,0,150,Braunschweig
8000043,8000352,7,17,14,0,60,Braunschweig
8000043,8003522,5,17,21,0,120,Braunschweig
8000043,8004127,8,16,30,15,120,Braunschweig
8000130,8000130,18,32,29,30,120,Braunschweig
8000130,8000364,14,16,73,30,270,Braunschweig
8000130,8003522,5,17,9,0,90,Braunschweig
8000130,8004665,6,16,9,0,90,Braunschweig
8000166,8000166,14,31,30,0,120,Braunschweig
8000166,8002641,6,17,21,0,120,Braunschweig
8000166,8002800,1,16,15,0,240,Braunschweig
8000166,8005324,6,15,22,0,120,Braunschweig
8000213,8000213,7,16,17,0,60,Braunschweig
8000213,8000352,4,17,12,0,90,Braunschweig
8000213,8005264,1,8,4,0,30,Braunschweig
8000255,8000255,15,32,17,0,60,Braunschweig
8000255,8001429,0,16,0,0,0,Braunschweig
8000283,8000283,17,34,31,15,270,Braunschweig
8000283,8003209,9,17,28,30,210,Braunschweig
8000283,8004441,9,16,38,30,150,Braunschweig
8000283,8005264,6,8,49,30,150,Braunschweig
8000325,8000043,10,18,20,30,60,Braunschweig
8000325,8000325,18,36,12,15,120,Braunschweig
8000325,8005265,12,18,43,45,150,Braunschweig
8000352,8000043,5,17,16,0,90,Braunschweig
8000352,8000213,11,17,26,30,120,Braunschweig
8000352,8000352,15,34,19,0,90,Braunschweig
8000364,8000130,13,16,58,30,300,Braunschweig
8000364,8000364,27,32,86,60,300,Braunschweig
8000364,8011933,8,8,101,90,240,Braunschweig
8000364,8013432,7,8,142,135,300,Braunschweig
8000739,8000739,14,31,12,0,120,Braunschweig
8000739,8005324,9,16,24,30,120,Braunschweig
8000739,8006172,5,15,26,0,120,Braunschweig
8001050,8006041,0,1,0,0,0,Braunschweig
8001429,8000255,10,16,38,60,90,Braunschweig
8001429,8001429,9,32,9,0,60,Braunschweig
8001429,8005413,0,16,-2,0,0,Braunschweig
8001717,8001723,1,13,5,0,60,Braunschweig
8001723,8001717,8,13,81,60,480,Braunschweig
8001723,8001723,13,26,52,15,360,Braunschweig
8001723,8005264,5,13,67,0,270,Braunschweig
8002080,8002080,23,36,182,45,1980,Braunschweig
8002080,8003382,7,17,62,0,450,Braunschweig
8002080,8012302,8,12,348,195,1920,Braunschweig
8002102,8000090,24,34,57,30,270,Braunschweig
8002102,8002102,43,70,57,30,390,Braunschweig
8002281,8002281,15,32,27,0,180,Braunschweig
8002281,8004127,14,16,45,30,210,Braunschweig
8002281,8004704,14,16,52,30,150,Braunschweig
8002594,8000283,0,1,0,0,0,Braunschweig
8002594,8002594,0,1,0,0,0,Braunschweig
8002641,8000166,11,17,41,30,150,Braunschweig
8002641,8002641,16,34,29,0,180,Braunschweig
8002641,8006592,3,17,11,0,120,Braunschweig
8002677,8002259,12,19,49,30,180,Braunschweig
8002677,8002677,20,36,47,30,270,Braunschweig
8002677,8006707,8,17,49,0,300,Braunschweig
8002800,8000166,2,16,8,0,120,Braunschweig
8002800,8002800,2,32,-40,0,210,Braunschweig
8002800,8004705,3,16,15,0,180,Braunschweig
8003209,8000283,10,17,44,30,120,Braunschweig
8003209,8003209,17,34,26,15,180,Braunschweig
8003209,8006592,9,17,42,30,180,Braunschweig
8003382,8002080,15,19,291,210,2010,Braunschweig
8003382,8003382,22,36,184,60,2040,Braunschweig
8003382,8005320,16,17,83,30,510,Braunschweig
8003522,8000043,4,17,14,0,90,Braunschweig
8003522,8000130,12,17,37,30,120,Braunschweig
8003522,8003522,11,34,20,0,120,Braunschweig
8004127,8000043,7,16,26,0,180,Braunschweig
8004127,8002281,14,16,43,30,120,Braunschweig
8004127,8004127,27,32,47,30,210,Braunschweig
8004441,8000283,8,17,39,0,240,Braunschweig
8004441,8004441,18,33,44,30,210,Braunschweig
8004665,8000019,5,16,21,0,120,Braunschweig
8004665,8000130,6,16,21,0,120,Braunschweig
8004665,8004665,7,32,5,0,90,Braunschweig
8004704,8002281,7,16,24,0,180,Braunschweig
8004704,8004704,16,32,37,15,180,Braunschweig
8004704,8004705,13,16,82,45,480,Braunschweig
8004705,8002800,2,16,-58,-120,300,Braunschweig
8004705,8004704,2,16,15,0,180,Braunschweig
8004705,8004705,16,32,60,15,930,Braunschweig
8005264,8000213,4,8,52,15,150,Braunschweig
8005264,8000283,3,8,11,0,60,Braunschweig
8005264,8001723,5,13,48,0,270,Braunschweig
8005264,8005264,5,16,34,0,180,Braunschweig
8005265,8000325,16,18,50,60,90,Braunschweig
8005265,8005265,28,36,48,30,180,Braunschweig
8005269,8005269,2,34,2,0,30,Braunschweig
8005269,8005274,2,17,4,0,30,Braunschweig
8005269,8005275,0,17,0,0,0,Braunschweig
8005270,8005275,1,17,2,0,30,Braunschweig
8005274,8005269,1,17,2,0,30,Braunschweig
8005274,8005274,9,34,10,0,60,Braunschweig
8005275,8005269,0,17,0,0,0,Braunschweig
8005275,8005270,0,17,0,0,0,Braunschweig
8005275,8005275,1,34,1,0,30,Braunschweig
8005320,8003382,14,19,279,240,2040,Braunschweig
8005320,8005320,32,36,163,60,1710,Braunschweig
8005320,8006233,11,17,78,60,480,Braunschweig
8005324,8000166,8,16,28,15,90,Braunschweig
8005324,8000739,5,15,12,0,90,Braunschweig
8005324,8005324,10,31,16,0,120,Braunschweig
8005413,8001429,6,16,15,0,60,Braunschweig
8006041,8006041,0,1,0,0,0,Braunschweig
8006041,8006112,0,1,0,0,0,Braunschweig
8006112,8002594,0,1,0,0,0,Braunschweig
8006112,8006112,0,1,0,0,0,Braunschweig
8006172,8000739,9,16,11,30,120,Braunschweig
8006172,8006172,15,31,28,0,150,Braunschweig
8006172,8011480,6,15,30,0,150,Braunschweig
8006233,8005320,16,19,186,60,1380,Braunschweig
8006233,8006233,29,36,127,60,1290,Braunschweig
8006592,8002641,7,17,35,0,180,Braunschweig
8006592,8003209,6,17,14,0,150,Braunschweig
8006592,8006592,15,34,32,0,180,Braunschweig
8006707,8000193,1,1,30,30,30,Braunschweig
8006707,8002677,10,19,41,30,150,Braunschweig
8006707,8005623,5,17,30,0,240,Braunschweig
8006707,8006524,11,15,104,90,300,Braunschweig
8006707,8006707,41,66,72,45,420,Braunschweig
