from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010005,8010005,10,12,38,30,60,Chemnitz
8010005,8011045,9,17,21,30,60,Chemnitz
8010005,8012976,4,6,40,60,60,Chemnitz
8010010,8010010,5,35,14,0,120,Chemnitz
8010010,8012176,4,18,8,0,60,Chemnitz
8010010,8012873,1,18,2,0,30,Chemnitz
8010044,8010044,0,30,0,0,0,Chemnitz
8010044,8017219,0,15,0,0,0,Chemnitz
8010074,8012976,2,6,10,0,30,Chemnitz
8010108,8010108,112,140,81,60,480,Chemnitz
8010108,8010128,16,17,67,60,180,Chemnitz
8010108,8010253,46,53,88,60,480,Chemnitz
8010108,8011528,9,16,112,75,360,Chemnitz
8010108,8011529,14,20,32,30,120,Chemnitz
8010108,8011904,7,17,35,0,180,Chemnitz
8010108,8013114,16,17,159,120,450,Chemnitz
8010128,8010108,17,17,95,60,450,Chemnitz
8010128,8010128,34,34,113,120,420,Chemnitz
8010128,8011497,17,17,146,120,300,Chemnitz
8010129,8010129,49,86,55,30,480,Chemnitz
8010129,8010130,25,26,67,60,210,Chemnitz
8010129,8010331,11,26,35,0,360,Chemnitz
8010129,8010397,4,17,19,0,180,Chemnitz
8010129,8011904,15,17,116,90,450,Chemnitz
8010129,8012323,1,8,8,0,60,Chemnitz
8010130,8010129,12,26,43,0,390,Chemnitz
8010130,8010130,36,52,55,30,390,Chemnitz
8010130,8012388,19,26,59,45,240,Chemnitz
8010185,8010185,39,52,71,60,420,Chemnitz
8010185,8011971,24,26,76,45,210,Chemnitz
8010185,8013450,18,19,66,60,270,Chemnitz
8010229,8001969,1,1,30,30,30,Chemnitz
8010229,8010229,8,15,38,30,180,Chemnitz
8010229,8010317,5,7,60,60,180,Chemnitz
8010229,8013396,2,7,21,0,120,Chemnitz
8010253,8010108,50,53,106,90,390,Chemnitz
8010253,8010253,92,106,91,60,480,Chemnitz
8010253,8013450,18,20,80,45,390,Chemnitz
8010275,8002924,11,16,-255,60,240,Chemnitz
8010275,8010229,1,1,60,60,60,Chemnitz
8010275,8010275,14,30,48,0,240,Chemnitz
8010275,8012739,7,15,50,0,210,Chemnitz
8010277,8010277,22,32,62,30,270,Chemnitz
8010277,8012201,13,16,69,75,150,Chemnitz
8010277,8012426,13,17,67,60,210,Chemnitz
8010317,8001969,4,6,30,30,90,Chemnitz
8010317,8010229,3,7,21,0,90,Chemnitz
8010317,8010317,8,14,32,30,150,Chemnitz
8010317,8011790,1,1,60,60,60,Chemnitz
8010323,8010323,9,35,10,0,60,Chemnitz
8010323,8012938,0,17,0,0,0,Chemnitz
8010323,8012939,10,19,17,30,60,Chemnitz
8010331,8010129,19,26,48,45,210,Chemnitz
8010331,8010331,27,52,39,30,360,Chemnitz
8010331,8011904,15,26,38,30,360,Chemnitz
8010333,8010333,10,22,79,0,1080,Chemnitz
8010333,8010372,4,11,33,0,270,Chemnitz
8010333,8012224,5,11,115,0,1080,Chemnitz
8010372,8010333,2,11,101,0,1080,Chemnitz
8010372,8010372,28,57,71,0,1170,Chemnitz
