from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000106,8000106,269,364,133,60,4290,Darmstadt
8000106,8002049,69,140,76,0,1020,Darmstadt
8000106,8002051,112,135,128,90,750,Darmstadt
8000106,8002872,14,16,165,120,600,Darmstadt
8000106,8002935,30,33,277,90,4230,Darmstadt
8000117,8000117,71,89,179,90,1080,Darmstadt
8000117,8002526,17,21,116,60,480,Darmstadt
8000117,8002532,15,24,148,60,1020,Darmstadt
8000117,8003550,18,22,110,75,600,Darmstadt
8000117,8006132,20,22,327,330,870,Darmstadt
8000126,8000126,32,41,223,90,1530,Darmstadt
8000126,8002386,16,19,234,90,900,Darmstadt
8000126,8003605,33,43,52,30,300,Darmstadt
8000126,8005740,18,21,267,150,1530,Darmstadt
8000158,8000158,46,80,56,30,2070,Darmstadt
8000158,8000632,5,16,139,0,2070,Darmstadt
8000158,8001701,7,25,11,0,60,Darmstadt
8000158,8004713,6,15,24,0,60,Darmstadt
8000158,8006465,5,24,10,0,90,Darmstadt
8000241,8000241,163,179,162,120,1050,Darmstadt
8000241,8000615,33,35,182,180,480,Darmstadt
8000241,8003816,13,16,111,45,390,Darmstadt
8000241,8003818,42,46,185,180,600,Darmstadt
8000241,8005220,20,21,146,60,960,Darmstadt
8000241,8005221,63,71,155,90,1050,Darmstadt
8000250,8000020,7,7,437,270,1410,Darmstadt
8000250,8000250,4,4,128,120,240,Darmstadt
8000250,8000257,1,1,150,150,150,Darmstadt
8000250,8003680,2,2,90,90,150,Darmstadt
8000250,8003816,1,1,120,120,120,Darmstadt
8000250,8006404,89,126,103,60,840,Darmstadt
8000277,8000741,1,1,210,210,210,Darmstadt
8000285,8000285,33,45,241,30,2130,Darmstadt
8000285,8001814,11,23,224,0,1800,Darmstadt
8000285,8005156,10,61,4,0,30,Darmstadt
8000285,8006031,23,35,153,30,2250,Darmstadt
8000347,8002288,2,24,9,0,180,Darmstadt
8000349,8000349,93,107,242,150,1740,Darmstadt
8000349,8003143,10,11,286,240,870,Darmstadt
8000349,8003550,17,19,347,330,1020,Darmstadt
8000349,8004645,1,1,150,150,150,Darmstadt
8000349,8006548,23,24,330,255,1710,Darmstadt
8000362,8004171,6,23,159,0,1530,Darmstadt
8000503,8000503,67,79,188,120,1440,Darmstadt
8000503,8001034,27,29,169,120,840,Darmstadt
8000503,8002391,35,41,170,90,930,Darmstadt
8000503,8002934,12,18,100,60,420,Darmstadt
8000503,8098360,13,17,326,240,1440,Darmstadt
8000538,8000538,23,49,32,0,360,Darmstadt
8000538,8002886,10,24,35,0,300,Darmstadt
8000538,8003698,8,25,22,0,180,Darmstadt
8000632,8000158,9,15,34,30,120,Darmstadt
8000632,8000632,13,31,86,0,2100,Darmstadt
8000632,8001312,0,1,0,0,0,Darmstadt
8000632,8004712,4,10,225,0,2130,Darmstadt
8000712,8000712,57,86,62,30,720,Darmstadt
8000712,8004596,27,73,32,0,720,Darmstadt
8000712,8005544,37,43,79,60,330,Darmstadt
8000741,8000277,1,2,75,75,150,Darmstadt
8000741,8000741,3,3,140,120,270,Darmstadt
8000741,8002501,1,1,270,270,270,Darmstadt
8000752,8005799,3,43,11,0,330,Darmstadt
8000760,8000760,105,155,73,30,570,Darmstadt
8000760,8000761,32,39,125,60,600,Darmstadt
8000760,8001504,2,2,150,150,180,Darmstadt
8000760,8001514,30,39,58,60,240,Darmstadt
8000760,8002382,14,25,37,30,150,Darmstadt
8000760,8004712,1,17,4,0,60,Darmstadt
8000851,8000851,2,3,120,150,210,Darmstadt
8000851,8001504,1,1,180,180,180,Darmstadt
8000851,8006232,1,2,75,75,150,Darmstadt
8000877,8000877,66,82,380,120,2820,Darmstadt
8000877,8002757,25,41,176,30,2250,Darmstadt
8000877,8006687,41,41,621,480,2790,Darmstadt
8000891,8000891,50,56,237,90,2520,Darmstadt
8000891,8002010,22,25,229,180,780,Darmstadt
8000891,8003016,4,4,165,150,300,Darmstadt
8000891,8005261,3,4,420,45,1590,Darmstadt
8000891,8005690,20,22,94,90,360,Darmstadt
8000891,8005720,7,10,81,60,330,Darmstadt
8000891,8006132,1,1,90,90,90,Darmstadt
8000948,8000948,101,112,363,120,2790,Darmstadt
8000948,8001379,40,41,588,450,2850,Darmstadt
8000948,8002498,28,41,121,30,1020,Darmstadt
8000948,8003523,14,15,284,180,1260,Darmstadt
8000948,8006687,12,15,414,240,1050,Darmstadt
8000951,8000951,35,41,236,120,1530,Darmstadt
8000951,8002249,18,21,271,150,1530,Darmstadt
8000951,8005740,15,20,202,90,960,Darmstadt
8000996,8000996,16,18,187,90,630,Darmstadt
8000996,8002048,8,9,133,90,420,Darmstadt
8000996,8002877,9,9,250,90,660,Darmstadt
8001034,8000503,21,29,179,90,930,Darmstadt
8001034,8001034,48,58,178,120,930,Darmstadt
8001034,8098360,25,29,170,120,870,Darmstadt
8001196,8001196,53,78,73,30,360,Darmstadt
8001196,8004353,30,39,93,30,360,Darmstadt
8001199,8001199,15,31,94,0,2070,Darmstadt
8001199,8002572,6,15,14,0,60,Darmstadt
8001199,8004713,5,16,148,0,2040,Darmstadt
8001236,8001236,140,225,81,30,2850,Darmstadt
8001236,8003526,35,77,25,0,180,Darmstadt
8001236,8004246,34,95,46,0,660,Darmstadt
8001236,8005636,17,35,124,0,2010,Darmstadt
8001248,8001248,15,49,17,0,150,Darmstadt
8001248,8003255,4,23,5,0,30,Darmstadt
8001248,8004367,0,1,0,0,0,Darmstadt
8001248,8006465,11,25,29,0,180,Darmstadt
8001312,8000234,1,1,30,30,30,Darmstadt
8001312,8001312,78,109,157,60,2220,Darmstadt
8001312,8001618,8,9,220,90,1020,Darmstadt
8001312,8002269,10,10,276,150,1050,Darmstadt
8001312,8003262,21,34,109,30,2220,Darmstadt
8001312,8004712,22,35,120,60,480,Darmstadt
8001377,8001377,69,82,306,120,2760,Darmstadt
8001377,8001379,34,41,117,30,1200,Darmstadt
8001377,8003523,31,41,381,300,1980,Darmstadt
8001378,8001378,37,87,25,0,150,Darmstadt
8001378,8006528,7,44,9,0,90,Darmstadt
8001379,8000948,33,41,106,30,990,Darmstadt
8001379,8001377,41,41,575,450,2940,Darmstadt
8001379,8001379,69,82,337,90,2940,Darmstadt
8001427,8001427,36,41,203,120,1140,Darmstadt
8001427,8003143,21,21,133,90,390,Darmstadt
8001427,8003314,12,17,238,120,1140,Darmstadt
8001427,8005208,3,3,500,240,1140,Darmstadt
8001504,8000851,2,2,105,105,180,Darmstadt
8001504,8001504,3,3,150,180,210,Darmstadt
8001511,8001511,66,86,135,60,1380,Darmstadt
8001511,8002386,32,43,67,60,270,Darmstadt
8001511,8003605,32,43,215,150,1380,Darmstadt
8001514,8000760,35,39,135,90,570,Darmstadt
8001514,8001514,65,78,98,60,600,Darmstadt
8001514,8002388,23,39,45,60,240,Darmstadt
8001554,8001554,36,70,174,30,2760,Darmstadt
8001554,8002315,19,35,168,60,2130,Darmstadt
8001554,8079151,18,35,201,30,2760,Darmstadt
8001648,8001648,3,3,110,120,180,Darmstadt
8001648,8002265,1,1,150,150,150,Darmstadt
8001648,8002501,2,2,75,75,90,Darmstadt
8001672,8001672,48,87,30,30,390,Darmstadt
8001672,8001864,33,43,40,30,120,Darmstadt
8001672,8003523,36,44,50,30,420,Darmstadt
8001701,8000158,16,24,56,30,360,Darmstadt
8001701,8001701,21,49,28,0,330,Darmstadt
8001701,8002886,9,25,16,0,90,Darmstadt
8001814,8000285,8,23,168,0,1560,Darmstadt
8001814,8001814,19,46,194,0,1800,Darmstadt
8001814,8004171,10,23,214,0,1770,Darmstadt
8001815,8001815,96,118,132,60,900,Darmstadt
8001815,8001816,49,60,164,120,600,Darmstadt
8001815,8003754,57,58,115,60,930,Darmstadt
8001816,8001815,57,58,131,75,930,Darmstadt
8001816,8001816,108,118,141,90,930,Darmstadt
8001816,8004382,51,60,154,90,600,Darmstadt
8001864,8001672,4,44,14,0,450,Darmstadt
8001864,8001864,55,87,37,30,300,Darmstadt
8001864,8006528,26,43,39,60,120,Darmstadt
8001871,8001870,73,84,71,60,390,Darmstadt
8001871,8001871,133,169,56,30,600,Darmstadt
8001871,8002052,80,85,78,60,630,Darmstadt
8002039,8002039,18,19,286,180,1410,Darmstadt
8002039,8002048,9,9,257,120,630,Darmstadt
8002040,8002040,202,286,126,60,2550,Darmstadt
8002040,8002050,94,143,137,60,2550,Darmstadt
8002040,8003228,91,106,116,90,840,Darmstadt
8002040,8006648,36,43,221,120,1140,Darmstadt
8002046,8002046,193,284,89,30,990,Darmstadt
8002046,8002049,108,144,105,60,570,Darmstadt
8002046,8098105,101,141,111,60,990,Darmstadt
8002048,8000996,9,9,247,120,630,Darmstadt
8002048,8002039,7,9,130,120,450,Darmstadt
8002048,8002048,16,18,190,105,630,Darmstadt
8002050,8002040,99,143,117,60,1170,Darmstadt
8002050,8002050,252,366,123,60,2520,Darmstadt
8002050,8005220,14,16,84,90,240,Darmstadt
8002050,8006175,14,20,122,75,570,Darmstadt
8002050,8098105,69,90,141,90,1350,Darmstadt
8002051,8000106,106,134,101,60,990,Darmstadt
8002051,8002051,214,269,111,60,990,Darmstadt
8002051,8002053,48,64,115,120,390,Darmstadt
8002051,8002055,52,70,136,60,750,Darmstadt
8002051,8002935,1,1,270,270,270,Darmstadt
8002052,8001871,74,84,58,30,300,Darmstadt
8002052,8002052,208,243,61,60,630,Darmstadt
8002052,8006304,41,73,36,30,240,Darmstadt
8002052,8079632,47,121,30,0,540,Darmstadt
8002052,8098105,1,1,30,30,30,Darmstadt
8002055,8002051,67,68,128,90,990,Darmstadt
8002055,8002055,127,138,141,90,990,Darmstadt
8002055,8003442,60,70,166,120,840,Darmstadt
8002108,8005544,4,43,23,0,720,Darmstadt
8002249,8000951,17,20,202,75,960,Darmstadt
8002249,8002249,36,41,245,120,1500,Darmstadt
8002249,8002391,18,21,287,210,1470,Darmstadt
8002265,8001648,2,2,75,75,120,Darmstadt
8002265,8002265,3,3,130,120,210,Darmstadt
8002265,8004995,1,1,210,210,210,Darmstadt
8002288,8000347,6,25,30,0,360,Darmstadt
8002288,8002288,17,49,27,0,360,Darmstadt
8002288,8003698,9,24,25,0,210,Darmstadt
8002315,8001554,17,35,197,0,2760,Darmstadt
8002315,8002315,45,70,183,60,2790,Darmstadt
8002315,8004653,19,35,161,60,2100,Darmstadt
8002382,8000760,10,24,20,0,90,Darmstadt
8002382,8002382,30,49,36,30,180,Darmstadt
8002382,8004367,20,25,65,60,150,Darmstadt
8002386,8000126,14,20,225,75,1530,Darmstadt
8002386,8001511,33,43,211,150,1380,Darmstadt
8002386,8002386,94,125,172,60,1560,Darmstadt
8002386,8004065,46,62,126,45,900,Darmstadt
8002388,8001514,27,39,117,60,570,Darmstadt
8002388,8002388,62,78,89,60,570,Darmstadt
8002388,8004664,30,39,63,60,240,Darmstadt
8002391,8000503,38,43,187,120,1470,Darmstadt
8002391,8002249,18,20,206,75,960,Darmstadt
8002391,8002391,36,41,236,150,1470,Darmstadt
8002400,8000349,1,1,30,30,30,Darmstadt
8002400,8002400,5,7,137,90,600,Darmstadt
8002400,8002425,3,3,370,120,870,Darmstadt
8002400,8002573,1,3,30,0,90,Darmstadt
8002425,8000349,0,1,0,0,0,Darmstadt
8002425,8002400,3,4,75,60,180,Darmstadt
8002425,8002425,7,8,221,105,1140,Darmstadt
8002425,8003143,3,3,440,120,1110,Darmstadt
8002498,8000948,41,41,610,510,2790,Darmstadt
8002498,8002498,74,82,369,105,2790,Darmstadt
8002498,8006687,33,41,126,30,1050,Darmstadt
8002501,8000741,2,2,105,105,150,Darmstadt
8002501,8001648,1,1,270,270,270,Darmstadt
8002501,8002501,3,3,150,120,270,Darmstadt
8002526,8000117,14,24,158,45,1110,Darmstadt
8002526,8002526,35,45,145,60,1200,Darmstadt
8002526,8004395,18,21,120,60,450,Darmstadt
8002532,8000117,12,21,94,60,450,Darmstadt
8002532,8002532,29,45,129,60,990,Darmstadt
8002532,8006499,14,24,152,60,990,Darmstadt
8002572,8001199,7,16,167,0,2070,Darmstadt
8002572,8002572,12,31,91,0,2070,Darmstadt
8002573,8002400,3,3,290,120,660,Darmstadt
8002573,8002573,16,18,213,120,720,Darmstadt
8002573,8002574,7,9,137,90,570,Darmstadt
8002573,8003143,6,6,265,225,660,Darmstadt
8002574,8002573,9,9,247,120,690,Darmstadt
8002574,8002574,16,18,197,120,630,Darmstadt
8002574,8002877,8,9,157,150,480,Darmstadt
8002757,8000877,41,41,577,420,2850,Darmstadt
8002757,8002748,15,16,482,405,1320,Darmstadt
8002757,8002757,122,150,359,150,3990,Darmstadt
8002757,8003571,42,59,292,60,3990,Darmstadt
8002757,8006687,14,15,314,120,2460,Darmstadt
8002872,8000106,14,17,187,60,1080,Darmstadt
8002872,8000257,7,7,261,210,510,Darmstadt
8002872,8000615,37,43,146,120,600,Darmstadt
8002872,8002013,45,54,145,90,540,Darmstadt
8002872,8002872,102,120,168,120,1170,Darmstadt
8002872,8003816,1,2,60,60,120,Darmstadt
8002877,8000996,7,9,147,120,480,Darmstadt
8002877,8002574,8,9,243,120,600,Darmstadt
8002877,8002877,17,19,196,150,630,Darmstadt
8002886,8000538,10,25,28,0,120,Darmstadt
8002886,8001701,11,24,36,0,300,Darmstadt
8002886,8002886,22,49,31,0,300,Darmstadt
8002934,8000257,34,39,161,90,1230,Darmstadt
8002934,8000503,12,18,40,30,120,Darmstadt
8002934,8002934,63,78,105,60,1230,Darmstadt
8002934,8098360,19,21,103,90,300,Darmstadt
8002935,8000106,23,29,190,90,1230,Darmstadt
8002935,8002051,3,3,50,30,90,Darmstadt
8002935,8002935,161,184,170,90,4170,Darmstadt
8002935,8003442,60,68,112,60,930,Darmstadt
8002935,8003754,56,60,188,120,660,Darmstadt
8002935,8004400,30,34,271,105,4140,Darmstadt
8003041,8001322,8,9,223,150,960,Darmstadt
8003041,8003041,56,66,212,75,4110,Darmstadt
8003041,8004400,22,32,137,60,1230,Darmstadt
8003041,8006535,20,25,286,120,4050,Darmstadt
8003129,8003129,12,20,45,30,210,Darmstadt
8003129,8004583,6,16,36,0,210,Darmstadt
8003129,8005720,7,10,57,30,210,Darmstadt
8003143,8000349,9,10,183,225,330,Darmstadt
8003143,8001427,16,20,280,120,1140,Darmstadt
8003143,8002425,4,5,78,90,150,Darmstadt
8003143,8002573,6,6,135,150,270,Darmstadt
8003143,8003143,34,42,190,90,1140,Darmstadt
8003228,8002040,97,104,169,105,1410,Darmstadt
8003228,8003228,143,176,153,90,1170,Darmstadt
8003228,8004962,65,88,106,60,600,Darmstadt
8003255,8001248,10,25,25,0,150,Darmstadt
8003255,8003255,16,48,20,0,150,Darmstadt
8003255,8004523,4,23,8,0,60,Darmstadt
8003262,8001312,25,35,115,60,480,Darmstadt
8003262,8003262,50,69,116,30,2220,Darmstadt
8003262,8003520,21,34,111,30,2220,Darmstadt
8003442,8002055,45,68,104,60,960,Darmstadt
8003442,8002935,56,70,152,90,810,Darmstadt
8003442,8003442,102,138,127,60,930,Darmstadt
8003447,8087063,4,42,3,0,120,Darmstadt
8003503,8003503,68,85,186,120,1380,Darmstadt
8003503,8003848,35,43,238,180,1380,Darmstadt
8003503,8098360,31,45,141,60,960,Darmstadt
8003523,8000948,15,15,342,210,1020,Darmstadt
8003523,8001377,27,41,132,60,1140,Darmstadt
8003523,8001672,34,43,53,60,120,Darmstadt
8003523,8003523,165,204,168,60,1320,Darmstadt
8003523,8003526,46,78,36,30,420,Darmstadt
8003550,8000117,20,21,329,330,900,Darmstadt
8003550,8000349,19,21,133,90,840,Darmstadt
8003550,8002877,1,1,240,240,240,Darmstadt
8003550,8003550,67,88,188,120,1440,Darmstadt
8003550,8004395,16,24,209,135,1350,Darmstadt
8003550,8004402,14,21,96,30,420,Darmstadt
8003605,8000126,28,43,152,60,1320,Darmstadt
8003605,8001511,20,43,42,0,300,Darmstadt
8003605,8003605,68,86,130,30,1350,Darmstadt
8003698,8000538,12,24,52,15,420,Darmstadt
8003698,8002288,10,25,34,0,360,Darmstadt
8003698,8003698,21,49,33,0,360,Darmstadt
8003754,8001815,46,60,152,90,600,Darmstadt
8003754,8002935,40,58,104,60,900,Darmstadt
8003754,8003754,113,118,147,90,930,Darmstadt
8003755,8003755,38,42,135,120,1500,Darmstadt
8003755,8005089,16,21,146,60,1710,Darmstadt
8003818,8000241,31,46,119,60,1020,Darmstadt
8003818,8003816,46,46,198,135,810,Darmstadt
8003818,8003818,78,92,160,120,1020,Darmstadt
8004065,8002386,54,63,230,90,1530,Darmstadt
8004065,8004065,103,125,173,90,1470,Darmstadt
8004065,8006175,47,62,137,60,900,Darmstadt
8004171,8000362,17,23,247,90,1770,Darmstadt
8004171,8001814,10,23,173,0,1530,Darmstadt
8004171,8004171,27,46,203,30,1770,Darmstadt
8004246,8001236,78,93,48,30,600,Darmstadt
8004246,8002047,63,78,58,60,420,Darmstadt
8004246,8004246,101,165,46,30,660,Darmstadt
8004353,8001196,16,39,40,0,240,Darmstadt
8004353,8004353,64,78,85,60,420,Darmstadt
8004353,8004664,31,39,110,30,540,Darmstadt
8004367,8002382,14,24,29,30,90,Darmstadt
8004367,8004367,33,49,40,30,150,Darmstadt
8004367,8004523,8,25,28,0,150,Darmstadt
8004382,8001816,55,58,115,60,900,Darmstadt
8004382,8004382,101,118,131,90,900,Darmstadt
8004382,8004400,46,60,157,105,630,Darmstadt
8004395,8002526,17,24,176,90,1320,Darmstadt
8004395,8003550,15,21,106,60,450,Darmstadt
8004395,8004395,33,45,157,90,1350,Darmstadt
8004400,8002935,24,32,151,60,1260,Darmstadt
8004400,8003041,30,34,282,120,4110,Darmstadt
8004400,8004382,33,58,92,45,900,Darmstadt
8004400,8004400,51,66,214,60,4110,Darmstadt
8004402,8003550,18,24,252,180,1590,Darmstadt
8004402,8004402,30,45,187,90,1680,Darmstadt
8004402,8006548,11,21,76,60,390,Darmstadt
8004523,8003255,10,25,31,0,120,Darmstadt
8004523,8004367,13,23,26,30,90,Darmstadt
8004523,8004523,21,48,23,0,150,Darmstadt
8004596,8000712,35,73,38,0,360,Darmstadt
8004596,8004596,82,146,41,30,720,Darmstadt
8004596,8087064,47,73,46,30,720,Darmstadt
8004653,8002315,23,35,216,90,2850,Darmstadt
8004653,8004653,42,70,183,45,2820,Darmstadt
8004653,8006031,19,35,164,30,2130,Darmstadt
8004664,8002388,31,39,130,60,600,Darmstadt
8004664,8004353,29,39,51,30,240,Darmstadt
8004664,8004664,57,78,78,30,570,Darmstadt
8004712,8000632,8,12,45,30,120,Darmstadt
8004712,8000760,14,17,131,90,450,Darmstadt
8004712,8001312,14,34,96,0,2220,Darmstadt
8004712,8004712,30,69,98,0,2190,Darmstadt
8004713,8000158,6,16,154,0,2100,Darmstadt
8004713,8001199,6,15,22,0,60,Darmstadt
8004713,8004713,14,31,88,0,2070,Darmstadt
8004995,8002265,2,2,75,75,120,Darmstadt
8004995,8004995,2,3,100,90,210,Darmstadt
8004995,8006232,1,1,210,210,210,Darmstadt
8005089,8003755,19,21,113,120,240,Darmstadt
