from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010013,8010013,45,62,98,60,630,Dessau
8010013,8010194,7,9,183,120,690,Dessau
8010013,8011184,19,19,107,90,360,Dessau
8010013,8011605,26,34,94,60,390,Dessau
8010043,8010043,41,57,107,60,900,Dessau
8010043,8011170,6,10,87,30,630,Dessau
8010043,8011605,21,29,104,90,750,Dessau
8010043,8011929,21,22,149,135,420,Dessau
8010152,8010009,1,1,60,60,60,Dessau
8010152,8010043,0,1,0,0,0,Dessau
8010152,8010152,56,69,213,60,2400,Dessau
8010152,8010311,11,12,160,90,660,Dessau
8010152,8010332,9,9,900,780,2370,Dessau
8010152,8011632,23,24,136,120,360,Dessau
8010152,8011929,11,18,52,30,270,Dessau
8010152,8012467,7,11,95,30,450,Dessau
8010154,8010154,33,40,168,120,1710,Dessau
8010154,8012263,17,21,193,120,1710,Dessau
8010154,8013389,17,20,135,135,360,Dessau
8010194,8010013,10,13,90,60,270,Dessau
8010194,8010194,43,62,131,60,720,Dessau
8010194,8011133,12,19,123,30,540,Dessau
8010194,8011402,12,16,163,120,690,Dessau
8010231,8010231,35,39,131,90,480,Dessau
8010231,8010302,19,20,192,120,540,Dessau
8010231,8012040,16,19,101,120,300,Dessau
8010281,8010281,33,38,138,60,870,Dessau
8010281,8011150,15,19,81,30,450,Dessau
8010281,8013418,3,3,60,30,120,Dessau
8010302,8010231,17,19,92,90,330,Dessau
8010302,8010302,99,132,136,60,1680,Dessau
8010302,8011322,1,4,45,0,180,Dessau
8010302,8011361,1,2,135,135,270,Dessau
8010302,8011952,9,20,54,0,510,Dessau
8010302,8012777,19,23,177,90,1680,Dessau
8010302,8013335,13,15,158,90,510,Dessau
8010343,8010343,36,40,134,60,870,Dessau
8010343,8012506,18,20,141,60,870,Dessau
8010343,8013259,18,20,122,90,360,Dessau
8011048,8011048,9,24,59,0,450,Dessau
8011048,8011537,9,12,112,90,450,Dessau
8011048,8011960,3,17,9,0,120,Dessau
8011053,8011053,34,39,136,90,840,Dessau
8011053,8013259,11,19,115,60,840,Dessau
8011053,8013357,18,20,150,90,390,Dessau
8011133,8010194,16,20,160,60,540,Dessau
8011133,8010311,16,19,158,60,600,Dessau
8011133,8011133,31,39,153,60,600,Dessau
8011150,8010281,13,19,172,90,840,Dessau
8011150,8011150,27,38,122,45,870,Dessau
8011150,8012704,15,19,98,60,480,Dessau
8011169,8011169,11,20,174,45,1110,Dessau
8011169,8011170,6,10,246,60,1110,Dessau
8011169,8012507,5,10,105,30,750,Dessau
8011170,8010043,6,10,240,60,1050,Dessau
8011170,8011169,7,10,108,45,690,Dessau
8011170,8011170,12,20,177,60,1080,Dessau
8011184,8010013,14,20,105,75,390,Dessau
8011184,8011184,36,39,115,60,420,Dessau
8011184,8011484,8,8,135,105,390,Dessau
8011184,8011571,6,11,55,30,240,Dessau
8011260,8011260,52,73,83,30,750,Dessau
8011260,8012147,25,35,82,30,630,Dessau
8011260,8012788,28,38,96,30,750,Dessau
8011290,8011290,8,9,117,60,390,Dessau
8011290,8013371,4,4,180,120,420,Dessau
8011290,8013418,4,5,78,30,270,Dessau
8011296,8011296,33,41,184,90,1500,Dessau
8011296,8011683,19,21,299,180,1500,Dessau
8011296,8012409,15,20,90,60,540,Dessau
8011322,8010302,3,3,90,90,120,Dessau
8011322,8011322,41,46,134,105,510,Dessau
8011322,8011703,16,19,134,120,360,Dessau
8011322,8012040,18,20,154,105,510,Dessau
8011322,8012282,4,4,105,60,270,Dessau
8011361,8011361,39,53,170,90,1230,Dessau
8011361,8012305,17,25,128,60,540,Dessau
8011361,8012707,0,1,0,0,0,Dessau
8011361,8013335,1,1,330,330,330,Dessau
8011363,8011363,35,39,125,90,450,Dessau
8011363,8011364,16,20,90,60,390,Dessau
8011364,8011184,0,1,0,0,0,Dessau
8011364,8011363,19,19,167,150,480,Dessau
8011364,8011364,35,40,116,90,450,Dessau
8011364,8011484,15,20,88,60,390,Dessau
8011484,8011184,7,8,180,210,420,Dessau
8011484,8011364,19,19,141,120,420,Dessau
8011484,8011484,37,39,152,150,450,Dessau
8011484,8011571,11,12,120,120,330,Dessau
8011486,8011486,17,32,88,30,540,Dessau
8011486,8011960,11,15,158,120,540,Dessau
8011486,8012393,6,17,42,0,570,Dessau
8011571,8010013,1,1,30,30,30,Dessau
8011571,8011184,11,11,104,60,240,Dessau
8011571,8011484,11,11,136,120,240,Dessau
8011571,8011571,18,23,64,30,240,Dessau
8011605,8010013,21,28,118,90,630,Dessau
8011605,8010043,22,34,94,75,360,Dessau
8011605,8010194,1,1,120,120,120,Dessau
8011605,8011605,45,63,112,90,690,Dessau
8011683,8011296,15,20,78,45,510,Dessau
8011683,8011683,32,38,261,150,1590,Dessau
8011683,8012704,18,19,357,270,1230,Dessau
8011699,8010076,0,1,0,0,0,Dessau
8011699,8011699,40,50,167,120,900,Dessau
8011699,8012147,1,1,90,90,90,Dessau
8011699,8012629,11,13,148,150,480,Dessau
8011699,8012788,10,10,189,180,450,Dessau
8011699,8013335,18,25,156,90,870,Dessau
8011703,8011322,16,20,141,90,510,Dessau
8011703,8011703,33,39,132,90,510,Dessau
8011703,8012282,16,19,117,120,270,Dessau
8011909,8011867,5,9,87,30,300,Dessau
8011909,8011909,12,18,125,60,750,Dessau
8011909,8012233,4,9,143,0,870,Dessau
8011929,8010043,10,18,57,30,300,Dessau
8011929,8010152,22,22,158,150,420,Dessau
8011929,8011929,33,40,120,120,420,Dessau
8011952,8010302,14,20,130,60,810,Dessau
8011952,8010376,7,7,129,60,480,Dessau
8011952,8011952,23,40,90,30,840,Dessau
8011952,8012322,7,13,32,30,120,Dessau
8011960,8011048,11,15,134,120,480,Dessau
8011960,8011486,7,17,19,0,120,Dessau
8011960,8011960,18,32,82,30,510,Dessau
8011961,8011361,1,1,390,390,390,Dessau
8011961,8011961,41,49,178,90,1170,Dessau
8011961,8012707,18,22,225,120,1200,Dessau
8011961,8013335,22,26,159,120,600,Dessau
8012040,8010231,18,20,156,105,480,Dessau
8012040,8011322,16,19,120,120,330,Dessau
8012040,8012040,33,39,138,120,510,Dessau
8012233,8011909,7,9,157,150,450,Dessau
8012233,8012233,13,18,153,105,870,Dessau
8012233,8012552,1,1,90,90,90,Dessau
8012233,8013384,5,8,165,45,900,Dessau
8012263,8010154,14,18,125,120,330,Dessau
8012263,8012263,34,39,163,120,1710,Dessau
8012263,8012678,19,21,184,120,1710,Dessau
8012280,8012280,42,46,142,60,660,Dessau
8012280,8012282,22,23,142,90,510,Dessau
8012280,8013275,9,9,160,120,450,Dessau
8012282,8011322,3,3,80,90,90,Dessau
8012282,8011703,19,20,144,90,510,Dessau
8012282,8012280,21,23,179,150,630,Dessau
8012282,8012282,41,46,148,105,510,Dessau
8012305,8011361,18,22,225,165,1170,Dessau
8012305,8012305,37,47,177,90,1170,Dessau
8012305,8012707,18,25,121,60,510,Dessau
8012393,8011486,9,15,124,60,510,Dessau
8012393,8012393,18,32,84,30,570,Dessau
8012393,8013275,9,17,48,30,540,Dessau
8012409,8011296,19,21,286,150,1560,Dessau
8012409,8012409,35,41,192,90,1530,Dessau
8012409,8012629,8,9,140,60,510,Dessau
8012409,8012788,9,11,65,60,210,Dessau
8012507,8010071,7,10,138,75,810,Dessau
8012507,8011169,6,10,246,45,1110,Dessau
8012507,8012507,12,20,186,60,1110,Dessau
8012629,8010076,25,35,114,30,540,Dessau
8012629,8011699,10,14,174,105,810,Dessau
8012629,8012409,9,10,345,240,1470,Dessau
8012629,8012629,49,72,141,90,1410,Dessau
8012678,8011673,19,21,216,150,1710,Dessau
8012678,8012263,15,18,137,120,390,Dessau
8012678,8012678,33,39,165,120,1710,Dessau
8012704,8011150,15,19,180,120,900,Dessau
8012704,8011683,9,19,57,0,480,Dessau
8012704,8012704,27,38,124,60,870,Dessau
8012707,8011961,16,26,115,60,510,Dessau
8012707,8012305,18,22,232,165,1230,Dessau
8012707,8012707,34,48,170,90,1260,Dessau
8012777,8010302,17,24,158,105,780,Dessau
