from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000048,8000048,60,72,174,90,1380,Detmold
8000048,8000233,0,1,0,0,0,Detmold
8000048,8000315,6,14,24,0,210,Detmold
8000048,8001118,1,1,60,60,60,Detmold
8000048,8003096,19,20,136,120,420,Detmold
8000215,8000215,32,101,44,0,630,Detmold
8000215,8001420,9,33,35,0,300,Detmold
8000215,8001686,8,16,75,15,420,Detmold
8000215,8002916,7,18,67,0,660,Detmold
8000215,8004630,3,16,26,0,360,Detmold
8000215,8005810,9,18,42,15,180,Detmold
8000233,8000233,45,76,181,30,2430,Detmold
8000233,8000315,9,18,120,15,720,Detmold
8000233,8000733,11,18,38,30,180,Detmold
8000233,8001118,0,1,0,0,0,Detmold
8000233,8003288,5,10,78,15,330,Detmold
8000233,8004868,26,28,371,60,2550,Detmold
8000315,8000048,9,17,79,30,840,Detmold
8000315,8000233,16,18,503,90,2340,Detmold
8000315,8000315,66,108,208,30,2190,Detmold
8000315,8002801,3,16,9,0,90,Detmold
8000315,8003096,19,21,329,240,1290,Detmold
8000315,8004626,25,37,166,90,630,Detmold
8000733,8000233,13,18,122,30,1050,Detmold
8000733,8000733,21,36,76,30,1050,Detmold
8000733,8006091,8,18,35,0,180,Detmold
8000744,8000744,13,37,40,0,240,Detmold
8000744,8005415,3,19,9,0,120,Detmold
8000953,8000953,22,35,99,30,600,Detmold
8000953,8079069,8,18,93,0,600,Detmold
8000957,8000957,24,33,169,90,750,Detmold
8000957,8003288,15,16,193,90,750,Detmold
8000957,8070734,10,17,146,60,720,Detmold
8001118,8000048,1,1,150,150,150,Detmold
8001118,8001118,56,74,185,60,1620,Detmold
8001118,8002824,31,36,148,60,840,Detmold
8001335,8000846,7,16,15,0,60,Detmold
8001335,8001335,11,35,16,0,180,Detmold
8001335,8002801,3,19,11,0,150,Detmold
8001420,8000215,11,34,23,0,180,Detmold
8001420,8001420,23,64,31,0,300,Detmold
8001420,8003000,12,32,47,0,330,Detmold
8001686,8000215,7,18,70,0,630,Detmold
8001686,8001686,11,34,65,0,660,Detmold
8001686,8002737,7,16,69,0,420,Detmold
8001894,8001894,12,33,71,0,600,Detmold
8001894,8003772,5,16,13,0,60,Detmold
8001894,8004919,7,17,113,0,600,Detmold
8002737,8001686,5,18,65,0,660,Detmold
8002737,8002737,12,34,69,0,660,Detmold
8002737,8004630,7,16,64,0,420,Detmold
8002801,8000315,3,19,17,0,180,Detmold
8002801,8001335,4,16,9,0,60,Detmold
8002801,8002801,7,35,11,0,120,Detmold
8002824,8001118,29,35,308,120,1950,Detmold
8002824,8002824,51,71,258,60,2310,Detmold
8002824,8003288,29,36,202,60,990,Detmold
8002916,8000215,8,17,48,0,210,Detmold
8002916,8002916,10,35,48,0,660,Detmold
8002916,8003633,5,18,63,0,660,Detmold
8002978,8002978,20,33,124,60,720,Detmold
8002978,8003772,11,17,145,30,690,Detmold
8002978,8070734,11,16,158,45,720,Detmold
8003000,8001420,23,33,36,30,180,Detmold
8003000,8003000,33,62,44,30,270,Detmold
8003000,8003655,8,17,21,0,120,Detmold
8003096,8000048,18,21,359,270,1380,Detmold
8003096,8000315,17,20,147,105,420,Detmold
8003096,8003096,35,41,228,120,1380,Detmold
8003288,8000233,3,8,52,0,270,Detmold
8003288,8000957,10,17,154,60,720,Detmold
8003288,8001201,11,19,229,90,1020,Detmold
8003288,8002824,24,35,325,60,2340,Detmold
8003288,8003288,64,89,229,60,2370,Detmold
8003633,8002916,5,17,32,0,180,Detmold
8003633,8003633,10,35,48,0,660,Detmold
8003633,8003634,11,18,82,30,660,Detmold
8003634,8003633,4,17,18,0,120,Detmold
8003655,8003000,13,17,58,60,180,Detmold
8003655,8003655,20,34,44,60,180,Detmold
8003655,8005283,8,17,34,0,150,Detmold
8003772,8001894,8,17,129,0,630,Detmold
8003772,8002978,2,16,4,0,30,Detmold
8003772,8003772,9,33,68,0,660,Detmold
8004630,8000215,5,14,69,0,330,Detmold
8004630,8000953,1,1,60,60,60,Detmold
8004630,8002737,6,18,68,0,660,Detmold
8004630,8004630,25,64,69,0,630,Detmold
8004630,8005930,6,16,60,0,420,Detmold
8004777,8000335,8,8,184,60,660,Detmold
8004777,8004777,10,16,98,30,660,Detmold
8004777,8004868,4,8,68,15,180,Detmold
8004868,8000233,12,28,106,0,810,Detmold
8004868,8004777,5,8,120,30,660,Detmold
8004868,8004868,29,56,229,30,2640,Detmold
8004919,8001894,1,16,8,0,120,Detmold
8005276,8002262,27,35,79,60,360,Detmold
8005276,8005276,51,69,212,60,6660,Detmold
8005276,8005322,17,34,342,30,6660,Detmold
8005283,8003655,13,17,64,60,180,Detmold
8005283,8005283,28,34,57,30,180,Detmold
8005322,8005276,33,35,99,60,360,Detmold
8005322,8005322,48,69,203,30,6660,Detmold
8005322,8006449,4,7,210,60,630,Detmold
8005415,8000744,9,18,58,30,240,Detmold
8005415,8005415,11,37,28,0,240,Detmold
8005415,8005810,2,19,8,0,120,Detmold
8005708,8005340,4,18,10,0,180,Detmold
8005708,8005708,11,36,46,0,690,Detmold
8005810,8000215,2,19,5,0,90,Detmold
8005810,8005415,9,18,48,30,240,Detmold
8005810,8005810,11,37,26,0,210,Detmold
8005930,8004630,8,18,93,0,600,Detmold
8005930,8005930,14,34,79,0,600,Detmold
8005930,8079069,7,16,75,0,420,Detmold
8006091,8000733,10,18,107,45,1020,Detmold
8006091,8005104,15,18,108,45,720,Detmold
8006091,8006091,25,36,88,30,900,Detmold
8006449,8000171,7,8,296,75,1590,Detmold
8006449,8002933,6,7,814,540,2430,Detmold
8006449,8005322,7,7,103,90,180,Detmold
8006449,8006449,24,29,350,120,2400,Detmold
8070734,8000957,11,16,167,75,720,Detmold
8070734,8002978,11,17,150,60,690,Detmold
8070734,8070734,19,33,148,60,720,Detmold
8079069,8000953,6,16,81,0,510,Detmold
8079069,8005930,8,18,92,0,600,Detmold
8079069,8079069,13,34,87,0,600,Detmold
