from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010006,8010006,0,2,0,0,0,Dresden
8010006,8012699,0,2,0,0,0,Dresden
8010072,8010072,143,193,301,60,3600,Dresden
8010072,8010292,20,20,1574,1290,3570,Dresden
8010072,8012471,23,46,148,15,2280,Dresden
8010072,8012701,30,46,121,60,2220,Dresden
8010072,8013267,45,50,215,90,1620,Dresden
8010072,8013444,17,17,178,120,600,Dresden
8010072,8013490,16,21,103,30,450,Dresden
8010088,8010088,72,168,39,0,1260,Dresden
8010088,8011417,22,39,34,30,210,Dresden
8010088,8011418,40,84,47,0,540,Dresden
8010088,8012150,17,30,70,30,1290,Dresden
8010088,8013269,8,18,28,0,120,Dresden
8010091,8010091,13,34,21,0,90,Dresden
8010091,8011855,1,17,2,0,30,Dresden
8010091,8012249,3,17,14,0,120,Dresden
8010116,8010116,23,74,26,0,540,Dresden
8010116,8011569,9,37,18,0,180,Dresden
8010116,8011570,10,37,29,0,540,Dresden
8010131,8010131,26,34,34,30,120,Dresden
8010131,8011656,5,18,15,0,90,Dresden
8010131,8012061,19,30,39,30,120,Dresden
8010163,8010163,99,155,98,30,1650,Dresden
8010163,8011398,12,18,43,30,180,Dresden
8010163,8011428,33,77,42,0,450,Dresden
8010163,8011843,43,78,130,30,1650,Dresden
8010174,8010174,23,39,36,30,150,Dresden
8010174,8012061,12,20,36,45,90,Dresden
8010174,8013165,6,19,17,0,60,Dresden
8010177,8011922,3,11,30,0,210,Dresden
8010177,8012942,11,17,30,30,90,Dresden
8010249,8010249,3,23,7,0,60,Dresden
8010249,8012113,1,12,12,0,150,Dresden
8010249,8012163,0,17,0,0,0,Dresden
8010272,8010272,53,78,90,60,1110,Dresden
8010272,8011844,23,77,31,0,390,Dresden
8010272,8012540,32,39,145,90,1110,Dresden
8010272,8012640,6,17,21,0,120,Dresden
8010285,8010285,81,101,460,180,3630,Dresden
8010285,8011749,22,30,173,105,840,Dresden
8010285,8012482,31,34,939,435,3630,Dresden
8010285,8012523,13,20,333,60,1620,Dresden
8010285,8013267,13,17,136,90,480,Dresden
8010292,8010072,9,20,234,0,1650,Dresden
8010292,8010292,91,132,371,60,3540,Dresden
8010292,8011427,21,42,107,15,2280,Dresden
8010292,8012700,21,46,146,0,2280,Dresden
8010292,8013444,24,24,1298,900,3600,Dresden
8010370,8010370,22,38,37,30,330,Dresden
8010370,8012767,11,20,42,30,270,Dresden
8010370,8012870,10,19,33,30,120,Dresden
8010393,8011878,1,18,3,0,60,Dresden
8011019,8011609,1,18,2,0,30,Dresden
8011039,8011039,9,18,62,15,420,Dresden
8011039,8012959,9,9,117,30,420,Dresden
8011039,8013168,0,9,0,0,0,Dresden
8011091,8011091,3,36,7,0,90,Dresden
8011091,8011095,4,18,18,0,120,Dresden
8011091,8011636,0,18,0,0,0,Dresden
8011095,8011091,0,18,0,0,0,Dresden
8011095,8011095,5,36,11,0,120,Dresden
8011095,8012170,5,18,15,0,90,Dresden
8011298,8011298,8,36,22,0,180,Dresden
8011298,8012394,6,18,27,0,180,Dresden
8011298,8013247,4,18,17,0,90,Dresden
8011320,8011320,33,41,104,30,510,Dresden
8011320,8011425,15,21,90,30,450,Dresden
8011320,8012503,13,20,84,30,480,Dresden
8011398,8010163,14,18,60,45,150,Dresden
8011398,8011398,21,36,36,30,180,Dresden
8011398,8012079,4,18,8,0,150,Dresden
8011399,8011417,16,39,17,0,60,Dresden
8011416,8011416,58,84,144,60,2340,Dresden
8011416,8011423,15,42,124,0,2220,Dresden
8011416,8013444,34,42,135,30,2310,Dresden
8011417,8010088,15,39,22,0,150,Dresden
8011417,8011399,28,39,34,30,210,Dresden
8011417,8011417,45,78,30,30,210,Dresden
8011418,8010088,45,84,41,30,1290,Dresden
8011418,8011418,105,168,51,30,1290,Dresden
8011418,8013444,48,65,63,30,480,Dresden
8011419,8011419,33,41,94,30,540,Dresden
8011419,8011421,19,20,124,75,570,Dresden
8011419,8013475,13,21,80,30,480,Dresden
8011420,8011420,103,155,93,30,1590,Dresden
8011420,8011422,52,78,140,60,1620,Dresden
8011420,8011424,61,77,69,30,750,Dresden
8011421,8011419,10,21,63,0,420,Dresden
8011421,8011421,26,41,88,30,510,Dresden
8011421,8011425,14,20,102,45,510,Dresden
8011422,8011420,33,77,50,0,750,Dresden
8011422,8011422,95,155,89,30,1590,Dresden
8011422,8011428,61,78,136,45,1590,Dresden
8011423,8011416,38,42,164,60,2340,Dresden
8011423,8011423,59,84,137,30,2310,Dresden
8011423,8011427,20,42,135,0,2220,Dresden
8011424,8011420,67,78,139,60,1590,Dresden
8011424,8011424,134,155,103,30,1590,Dresden
8011424,8011426,46,77,54,30,720,Dresden
8011425,8011320,15,20,96,30,510,Dresden
8011425,8011421,17,21,97,30,480,Dresden
8011425,8011425,33,41,100,30,540,Dresden
8011426,8011424,40,78,109,30,1560,Dresden
8011426,8011426,106,155,88,30,1560,Dresden
8011426,8011431,56,65,82,60,840,Dresden
8011426,8013444,9,9,117,120,210,Dresden
8011427,8010292,34,42,170,60,2280,Dresden
8011427,8011423,30,42,130,60,2280,Dresden
8011427,8011427,64,84,138,30,2280,Dresden
8011428,8010163,62,78,143,60,1620,Dresden
8011428,8011422,31,77,46,0,750,Dresden
8011428,8011428,95,155,92,30,1620,Dresden
8011451,8011451,27,40,35,30,240,Dresden
8011451,8012044,12,20,20,30,60,Dresden
8011451,8013114,15,20,72,60,240,Dresden
8011563,8011563,17,24,108,90,480,Dresden
8011563,8012681,9,12,148,150,480,Dresden
8011563,8013368,8,12,80,60,210,Dresden
8011569,8010116,13,37,34,0,540,Dresden
8011569,8011569,31,77,40,0,540,Dresden
8011569,8013114,0,1,0,0,0,Dresden
8011569,8013445,14,39,41,0,510,Dresden
8011570,8010116,15,37,24,0,210,Dresden
8011570,8011570,18,74,26,0,510,Dresden
8011570,8013114,10,37,26,0,480,Dresden
8011609,8011019,2,18,7,0,60,Dresden
8011609,8011609,6,36,8,0,90,Dresden
8011609,8011825,1,18,3,0,60,Dresden
8011636,8011091,3,18,13,0,90,Dresden
8011636,8011636,7,36,16,0,150,Dresden
8011636,8012535,3,18,13,0,90,Dresden
8011637,8011637,38,40,992,690,3690,Dresden
8011637,8012523,20,20,1580,1380,3690,Dresden
8011637,8013461,20,20,543,375,1890,Dresden
8011656,8010131,16,18,43,30,150,Dresden
8011656,8011656,29,36,38,30,180,Dresden
8011656,8011799,12,18,28,30,60,Dresden
8011676,8011676,3,18,37,0,360,Dresden
8011676,8012662,0,9,0,0,0,Dresden
8011676,8013168,3,9,73,0,360,Dresden
8011712,8011712,21,28,109,45,1380,Dresden
8011712,8012680,9,14,150,60,1380,Dresden
8011712,8013124,8,14,41,30,180,Dresden
8011749,8010285,28,31,151,120,510,Dresden
8011749,8011749,47,58,132,90,720,Dresden
