from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000099,8000099,262,322,162,120,1200,Düsseldorf
8000099,8001898,112,132,175,120,870,Düsseldorf
8000099,8001912,12,14,231,105,930,Düsseldorf
8000099,8001913,96,109,148,90,870,Düsseldorf
8000099,8001914,27,38,202,120,810,Düsseldorf
8000133,8000133,59,74,142,105,1020,Düsseldorf
8000133,8003130,28,37,154,60,1020,Düsseldorf
8000133,8005159,29,37,137,120,570,Düsseldorf
8000138,8000138,134,182,214,60,3510,Düsseldorf
8000138,8002490,25,35,239,180,1680,Düsseldorf
8000138,8002869,43,55,234,90,2700,Düsseldorf
8000138,8006713,1,1,360,360,360,Düsseldorf
8000138,8006718,54,91,185,30,3450,Düsseldorf
8000174,8000174,87,117,269,90,5460,Düsseldorf
8000174,8000211,17,18,148,60,630,Düsseldorf
8000174,8000253,38,59,350,60,5430,Düsseldorf
8000174,8000584,18,21,189,150,720,Düsseldorf
8000174,8001571,11,19,262,60,1980,Düsseldorf
8000190,8000190,28,36,251,45,2040,Düsseldorf
8000190,8001180,15,19,219,30,1890,Düsseldorf
8000190,8400644,10,18,263,60,2010,Düsseldorf
8000198,8000198,89,105,257,90,2220,Düsseldorf
8000198,8001915,44,56,300,90,2190,Düsseldorf
8000198,8003245,46,53,198,90,2130,Düsseldorf
8000211,8000174,19,19,619,480,2160,Düsseldorf
8000211,8000211,67,79,278,120,2070,Düsseldorf
8000211,8000212,34,40,561,195,3240,Düsseldorf
8000211,8002027,14,21,179,60,960,Düsseldorf
8000211,8003427,18,18,200,105,630,Düsseldorf
8000212,8000211,32,40,560,105,3600,Düsseldorf
8000212,8000212,66,80,564,180,3600,Düsseldorf
8000212,8003426,17,21,200,120,960,Düsseldorf
8000212,8004694,16,19,951,510,3240,Düsseldorf
8000242,8000242,2,2,105,105,180,Düsseldorf
8000242,8002109,23,25,299,60,1860,Düsseldorf
8000242,8003943,1,1,180,180,180,Düsseldorf
8000242,8006098,4,7,244,30,1020,Düsseldorf
8000253,8000174,51,58,160,90,660,Düsseldorf
8000253,8000253,95,117,425,120,5580,Düsseldorf
8000253,8000274,28,37,439,60,7140,Düsseldorf
8000253,8000318,57,75,402,90,5700,Düsseldorf
8000253,8001745,41,54,156,60,3390,Düsseldorf
8000253,8003412,1,1,600,600,600,Düsseldorf
8000274,8000253,38,39,817,390,4650,Düsseldorf
8000274,8000274,397,473,354,150,9000,Düsseldorf
8000274,8000438,50,53,324,240,1110,Düsseldorf
8000274,8001261,49,55,304,210,1320,Düsseldorf
8000274,8001506,30,36,749,375,3300,Düsseldorf
8000274,8001585,28,36,521,75,9000,Düsseldorf
8000274,8004317,49,55,215,150,870,Düsseldorf
8000274,8004320,141,161,179,90,3600,Düsseldorf
8000274,8004542,16,17,618,480,1800,Düsseldorf
8000274,8004694,15,19,726,240,3600,Düsseldorf
8000317,8000317,73,78,319,210,1380,Düsseldorf
8000317,8002941,15,21,200,120,840,Düsseldorf
8000317,8003427,18,18,492,330,1740,Düsseldorf
8000317,8005065,20,21,359,300,1050,Düsseldorf
8000318,8000253,62,73,162,90,1050,Düsseldorf
8000318,8000318,131,148,309,120,5760,Düsseldorf
8000318,8001839,20,20,1014,345,5880,Düsseldorf
8000318,8005073,31,33,151,120,570,Düsseldorf
8000318,8006391,20,22,397,135,2640,Düsseldorf
8000388,8000388,108,115,253,120,1290,Düsseldorf
8000388,8001587,53,57,215,90,1170,Düsseldorf
8000388,8002828,49,58,260,120,1260,Düsseldorf
8000390,8000390,64,74,161,120,1020,Düsseldorf
8000390,8003130,29,37,139,120,570,Düsseldorf
8000390,8005073,32,37,178,120,1020,Düsseldorf
8000430,8003141,35,53,148,60,870,Düsseldorf
8000432,8000432,100,106,236,165,1020,Düsseldorf
