from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000077,8000077,60,78,263,60,3990,Freiburg
8000077,8000182,11,15,564,90,3990,Freiburg
8000077,8000366,33,37,309,120,2100,Freiburg
8000077,8000880,0,1,0,0,0,Freiburg
8000077,8001485,1,2,30,30,60,Freiburg
8000077,8002214,11,12,160,90,450,Freiburg
8000077,8003014,12,17,55,30,270,Freiburg
8000182,8000077,11,14,328,135,1260,Freiburg
8000182,8000182,48,53,357,150,3960,Freiburg
8000182,8000880,14,17,482,60,3660,Freiburg
8000182,8002214,11,12,260,165,1440,Freiburg
8000182,8004111,9,9,240,210,570,Freiburg
8000182,8006321,1,1,60,60,60,Freiburg
8000333,8000257,1,1,630,630,630,Freiburg
8000333,8000333,34,38,451,165,3750,Freiburg
8000333,8000942,1,1,300,300,300,Freiburg
8000333,8002621,16,16,446,150,2430,Freiburg
8000333,8003001,15,18,470,135,3780,Freiburg
8000333,8005902,1,1,150,150,150,Freiburg
8000356,8000356,1,1,60,60,60,Freiburg
8000356,8005490,1,1,90,90,90,Freiburg
8000366,8000077,25,39,271,60,3960,Freiburg
8000366,8000366,33,37,465,150,3870,Freiburg
8000366,8003857,0,1,0,0,0,Freiburg
8000366,8005644,18,20,386,150,2010,Freiburg
8000393,8000393,1,1,120,120,120,Freiburg
8000393,8005911,1,1,150,150,150,Freiburg
8000412,8000412,35,50,329,60,2940,Freiburg
8000412,8001252,28,37,271,90,2610,Freiburg
8000412,8005037,20,25,329,60,2970,Freiburg
8000436,8000436,16,28,81,30,1020,Freiburg
8000436,8000544,11,15,46,30,180,Freiburg
8000436,8005371,2,13,88,0,990,Freiburg
8000463,8000463,17,35,62,0,600,Freiburg
8000463,8001491,9,18,68,15,270,Freiburg
8000463,8003586,8,17,58,0,600,Freiburg
8000544,8000436,3,13,102,0,1050,Freiburg
8000544,8000544,8,28,61,0,1080,Freiburg
8000544,8001971,6,15,26,0,150,Freiburg
8000596,8000596,38,50,356,90,3600,Freiburg
8000596,8000942,5,6,125,90,390,Freiburg
8000596,8002235,7,10,621,90,3660,Freiburg
