from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000065,8000065,62,89,158,60,2700,Gießen
8000065,8000435,1,1,480,480,480,Gießen
8000065,8001256,18,20,345,180,2820,Gießen
8000065,8003856,16,21,136,90,480,Gießen
8000065,8005291,8,11,101,90,270,Gießen
8000065,8006385,8,12,130,45,630,Gießen
8000161,8000161,35,41,250,90,1380,Gießen
8000161,8001271,14,19,215,90,1230,Gießen
8000161,8005577,20,22,288,105,1530,Gießen
8000187,8000187,19,22,87,60,270,Gießen
8000187,8000954,8,11,63,30,210,Gießen
8000187,8003493,10,11,85,90,180,Gießen
8000218,8000218,10,15,166,60,1050,Gießen
8000218,8000229,7,8,176,150,390,Gießen
8000234,8000234,62,72,184,90,2130,Gießen
8000234,8001312,2,2,75,75,120,Gießen
8000234,8002100,32,33,233,150,2430,Gießen
8000234,8002134,3,3,560,300,1140,Gießen
8000234,8002269,25,33,143,60,1080,Gießen
8000234,8002410,0,1,0,0,0,Gießen
8000386,8000161,1,1,690,690,690,Gießen
8000386,8000386,2,2,690,690,690,Gießen
8000435,8000065,2,2,30,30,30,Gießen
8000435,8000435,45,54,270,120,4530,Gießen
8000435,8000589,13,19,107,60,450,Gießen
8000435,8004417,1,1,90,90,90,Gießen
8000435,8005661,22,27,427,120,4500,Gießen
8000589,8000435,16,20,318,150,2790,Gießen
8000589,8000589,25,39,207,60,2790,Gießen
8000589,8001256,11,19,93,30,450,Gießen
8000633,8000633,38,42,257,90,1590,Gießen
8000633,8001618,17,22,304,135,1620,Gießen
8000633,8006340,18,20,213,90,1230,Gießen
8000952,8000952,18,22,78,60,300,Gießen
8000952,8000954,11,11,98,90,180,Gießen
8000952,8006446,7,11,52,30,150,Gießen
8000954,8000187,10,11,134,150,270,Gießen
8000954,8000952,9,11,65,30,180,Gießen
8000954,8000954,19,22,93,60,240,Gießen
8001228,8001228,18,22,102,60,600,Gießen
8001228,8001319,7,11,85,30,540,Gießen
8001228,8002101,11,11,87,60,210,Gießen
8001256,8000065,11,19,93,60,420,Gießen
8001256,8000589,15,20,328,150,2790,Gießen
8001256,8001256,27,39,221,90,2820,Gießen
8001271,8000161,18,21,220,60,1320,Gießen
8001271,8001271,32,40,222,60,1320,Gießen
8001271,8004405,14,19,202,90,1170,Gießen
8001319,8001228,10,11,153,180,300,Gießen
8001319,8001319,19,22,136,90,510,Gießen
8001319,8005722,9,11,109,90,510,Gießen
8001322,8001322,48,66,125,60,1080,Gießen
8001322,8003041,5,9,33,30,120,Gießen
8001322,8004364,9,9,103,60,240,Gießen
8001322,8004409,20,25,227,120,1050,Gießen
8001322,8006535,10,23,35,0,150,Gießen
8001618,8000633,18,20,222,75,1380,Gießen
8001618,8001312,8,8,544,420,1560,Gießen
8001618,8001618,36,42,271,75,1890,Gießen
8001618,8002410,11,11,256,90,930,Gießen
8001668,8001668,39,42,264,120,1620,Gießen
8001668,8003213,20,22,288,120,1620,Gießen
8001668,8005577,18,20,250,120,1290,Gießen
8001694,8001694,38,42,261,105,1620,Gießen
8001694,8003213,18,20,244,120,1260,Gießen
8001694,8006340,20,22,299,120,1620,Gießen
8001883,8000229,32,34,242,135,960,Gießen
8001883,8001883,47,66,124,30,960,Gießen
8001883,8003696,12,23,31,30,150,Gießen
8001883,8004364,6,9,40,30,150,Gießen
8002100,8000234,27,33,132,60,900,Gießen
8002100,8002100,59,66,175,90,2430,Gießen
8002100,8002134,31,33,223,120,2460,Gießen
8002101,8001228,9,11,90,30,570,Gießen
8002101,8002101,16,22,60,30,270,Gießen
8002101,8006446,11,11,63,30,180,Gießen
8002134,8000234,1,1,60,60,60,Gießen
8002134,8002100,21,33,115,60,840,Gießen
8002134,8002134,57,70,185,90,2460,Gießen
8002134,8004417,34,36,258,135,2460,Gießen
8002269,8000234,30,32,189,120,1740,Gießen
8002269,8001312,9,9,470,420,1320,Gießen
8002269,8002269,62,65,180,120,1680,Gießen
8002269,8002410,12,12,175,120,540,Gießen
8002332,8002332,18,22,101,60,480,Gießen
8002332,8005291,9,11,104,60,480,Gießen
8002332,8005722,9,11,95,60,240,Gießen
8002410,8000234,2,2,195,195,210,Gießen
8002410,8001618,8,9,203,90,1230,Gießen
8002410,8002269,11,11,229,90,1560,Gießen
8002410,8002410,69,86,212,75,2550,Gießen
8002410,8003520,38,44,162,90,690,Gießen
8003213,8001668,18,20,231,120,1260,Gießen
8003213,8001694,20,22,278,90,1620,Gießen
8003213,8003213,38,42,264,120,1620,Gießen
8003520,8001312,2,2,120,120,150,Gießen
8003520,8002410,36,42,287,105,2550,Gießen
8003520,8003262,37,42,202,135,720,Gießen
8003520,8003520,76,86,227,90,2520,Gießen
8003696,8001883,21,25,239,120,1050,Gießen
8003696,8003696,38,48,152,60,1110,Gießen
8003696,8004364,15,23,48,30,120,Gießen
8003856,8000065,17,21,299,90,2490,Gießen
8003856,8003856,50,71,162,60,2430,Gießen
8003856,8004417,2,2,60,60,90,Gießen
8003856,8004420,20,33,105,60,540,Gießen
8004164,8001854,12,12,110,60,540,Gießen
8004164,8004164,17,25,108,60,630,Gießen
8004164,8005573,5,13,67,0,600,Gießen
8004328,8001098,8,9,470,150,3090,Gießen
8004328,8004328,33,45,253,60,4500,Gießen
8004328,8005661,13,22,53,30,180,Gießen
8004328,8006401,9,13,291,60,2700,Gießen
8004364,8001322,5,9,40,30,120,Gießen
8004364,8001883,9,9,143,150,360,Gießen
8004364,8003696,21,25,251,150,1110,Gießen
8004364,8004364,47,66,134,75,1110,Gießen
8004364,8004518,16,23,55,30,150,Gießen
8004405,8001271,17,21,237,60,1350,Gießen
8004405,8004405,31,40,221,60,1350,Gießen
8004409,8001322,14,23,42,30,150,Gießen
8004409,8004409,32,48,138,60,1080,Gießen
8004409,8004518,22,25,241,120,1110,Gießen
8004417,8000234,1,2,15,15,30,Gießen
8004417,8002134,24,34,120,60,870,Gießen
8004417,8003856,3,3,530,330,1080,Gießen
8004417,8004417,58,72,190,90,2460,Gießen
8004417,8004420,29,33,215,90,2460,Gießen
8004420,8003856,28,33,212,90,2460,Gießen
8004420,8004417,24,33,128,60,720,Gießen
8004420,8004420,54,66,163,60,2460,Gießen
8004518,8004364,20,25,244,120,1110,Gießen
8004518,8004409,17,23,46,30,120,Gießen
8004518,8004518,38,48,152,90,1110,Gießen
8005291,8000065,7,11,71,30,480,Gießen
8005291,8002332,10,11,128,120,270,Gießen
8005291,8005291,20,22,110,60,480,Gießen
8005573,8004164,11,12,192,150,720,Gießen
8005573,8005573,17,25,124,60,690,Gießen
8005573,8006385,4,13,55,0,570,Gießen
8005577,8000161,18,20,236,120,1260,Gießen
8005577,8001668,19,22,280,120,1620,Gießen
8005577,8005577,39,42,266,120,1620,Gießen
8005661,8000435,21,27,96,90,360,Gießen
8005661,8004328,18,23,450,120,4500,Gießen
8005661,8005661,35,45,265,90,4500,Gießen
8005722,8001319,10,11,145,150,360,Gießen
8005722,8002332,6,11,76,30,480,Gießen
8005722,8005722,19,22,108,90,510,Gießen
8006340,8000633,20,22,288,105,1590,Gießen
8006340,8001694,18,20,228,120,1260,Gießen
8006340,8006340,37,42,259,120,1620,Gießen
8006385,8000065,3,13,53,0,540,Gießen
8006385,8005573,11,12,210,150,720,Gießen
8006385,8006385,14,25,121,60,720,Gießen
8006446,8000952,8,11,109,120,360,Gießen
8006446,8002101,8,11,68,60,180,Gießen
8006446,8006446,15,22,79,60,240,Gießen
