from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010009,8010009,35,41,501,270,2490,Halle
8010009,8010119,14,18,550,240,3000,Halle
8010009,8010311,9,9,687,510,2430,Halle
8010009,8011433,10,11,240,180,1020,Halle
8010009,8011599,8,8,1170,495,6270,Halle
8010009,8011632,1,1,30,30,30,Halle
8010009,8012862,17,22,75,60,420,Halle
8010019,8010019,42,55,274,120,2400,Halle
8010019,8010232,9,10,138,90,570,Halle
8010019,8012199,38,39,331,210,2160,Halle
8010032,8010032,37,44,243,120,2490,Halle
8010032,8010256,3,7,94,0,360,Halle
8010032,8010312,6,6,345,240,690,Halle
8010032,8011657,11,15,88,60,450,Halle
8010032,8012796,16,16,542,300,2610,Halle
8010054,8010054,27,40,268,120,2640,Halle
8010054,8010312,4,11,19,0,90,Halle
8010054,8012766,7,8,180,60,930,Halle
8010054,8013336,21,21,471,270,2640,Halle
8010078,8010078,16,20,40,30,120,Halle
8010078,8010349,7,10,54,60,120,Halle
8010078,8012259,8,10,33,30,120,Halle
8010119,8010009,12,15,470,300,2520,Halle
8010119,8010119,26,33,516,270,3030,Halle
8010119,8011599,1,1,2850,2850,2850,Halle
8010119,8012410,13,17,427,210,2250,Halle
8010146,8010146,64,84,254,120,2190,Halle
8010146,8011071,16,21,379,120,2160,Halle
8010146,8012199,31,41,281,60,2760,Halle
8010146,8012212,15,22,233,135,1170,Halle
8010155,8010155,50,64,151,30,1890,Halle
8010155,8011376,32,32,107,30,720,Halle
8010155,8080570,18,31,195,60,1770,Halle
8010162,8010162,39,43,274,150,2010,Halle
8010162,8012867,20,21,307,150,2010,Halle
8010232,8010145,3,5,90,30,390,Halle
8010232,8010232,56,82,203,60,1980,Halle
8010232,8012211,21,21,300,120,1980,Halle
8010232,8012339,6,18,125,0,900,Halle
8010232,8012429,1,1,930,930,930,Halle
8010232,8012867,20,22,241,90,1110,Halle
8010232,8013474,2,4,90,15,330,Halle
8010299,8010299,46,74,189,30,2550,Halle
8010299,8011038,17,20,224,60,1320,Halle
8010299,8011496,8,20,164,0,1560,Halle
8010299,8012279,5,17,18,0,180,Halle
8010311,8010009,8,8,615,630,1050,Halle
8010311,8010311,37,39,610,480,2610,Halle
8010311,8011133,20,20,747,510,2820,Halle
