from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8001739,8001739,87,225,46,0,900,Hamburg
8001739,8002555,100,229,37,0,510,Hamburg
8001739,8003460,48,113,75,0,900,Hamburg
8002550,8002550,297,472,70,30,720,Hamburg
8002550,8003541,40,114,17,0,300,Hamburg
8002550,8070146,168,236,63,30,450,Hamburg
8002550,8098553,106,122,137,120,720,Hamburg
8002555,8001739,100,228,44,-30,930,Hamburg
8002555,8002555,205,457,59,0,960,Hamburg
8002555,8002559,105,229,46,0,480,Hamburg
8002557,8002556,72,84,170,120,780,Hamburg
8002557,8006750,30,114,23,-30,960,Hamburg
8002558,8000446,34,42,110,60,1230,Hamburg
8002558,8002558,61,84,101,60,1260,Hamburg
8002558,8002628,1,1,90,90,90,Hamburg
8002558,8006197,28,41,101,60,810,Hamburg
8002559,8002555,96,228,61,0,960,Hamburg
8002559,8002559,272,457,63,30,960,Hamburg
8002559,8003541,191,229,70,30,510,Hamburg
8002628,8002558,1,1,60,60,60,Hamburg
8002628,8002628,41,83,62,0,1320,Hamburg
8002628,8006197,22,41,61,30,1290,Hamburg
8005191,8000908,74,150,31,0,210,Hamburg
8005191,8005191,171,300,62,30,420,Hamburg
8005191,8005870,89,150,60,30,390,Hamburg
8006197,8002558,20,41,90,0,1260,Hamburg
8006197,8002628,25,41,86,30,780,Hamburg
8006197,8006197,47,82,93,45,1290,Hamburg
8070146,8002550,194,236,107,90,750,Hamburg
8070146,8070146,300,472,74,45,720,Hamburg
8070146,8098549,152,236,69,60,450,Hamburg
8098553,8002550,57,122,30,0,330,Hamburg
8098553,8002562,106,119,122,90,720,Hamburg
8098553,8003541,73,114,102,30,990,Hamburg
8098553,8006706,160,268,65,30,870,Hamburg
8098553,8098553,322,460,95,60,990,Hamburg
