from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000022,8000022,63,78,257,105,2580,Hannover
8000022,8000797,29,39,138,30,810,Hannover
8000022,8002634,34,39,367,210,2580,Hannover
8000093,8000093,34,37,216,210,900,Hannover
8000093,8000282,8,18,90,0,630,Hannover
8000093,8000935,1,1,30,30,30,Hannover
8000093,8004709,10,18,147,75,780,Hannover
8000148,8000148,59,87,208,90,2190,Hannover
8000148,8000725,16,39,95,0,2070,Hannover
8000148,8001342,17,18,358,315,870,Hannover
8000148,8001777,25,27,170,60,1650,Hannover
8000148,8002812,18,18,312,225,810,Hannover
8000169,8000169,16,18,535,180,5250,Hannover
8000169,8001775,20,38,48,30,240,Hannover
8000169,8002607,14,26,30,30,120,Hannover
8000169,8002830,9,19,57,0,270,Hannover
8000169,8005292,0,1,0,0,0,Hannover
8000226,8000226,59,82,93,60,780,Hannover
8000226,8000443,26,41,79,60,300,Hannover
8000226,8000489,10,21,63,0,360,Hannover
8000226,8005511,14,26,110,45,900,Hannover
8000268,8000268,73,84,271,150,2310,Hannover
8000268,8001393,11,20,243,45,2220,Hannover
8000268,8002634,18,20,387,240,1470,Hannover
8000268,8004851,22,22,172,150,390,Hannover
8000282,8000093,18,18,215,150,630,Hannover
8000282,8000282,28,36,131,60,630,Hannover
8000282,8001775,12,18,122,30,630,Hannover
8000335,8000335,11,16,45,30,150,Hannover
8000335,8004777,6,8,38,45,60,Hannover
8000342,8000342,105,120,213,105,2640,Hannover
8000342,8002586,28,39,125,30,2010,Hannover
8000342,8002969,36,38,151,105,480,Hannover
8000342,8003635,27,39,220,120,2640,Hannover
8000342,8005160,16,21,283,120,1380,Hannover
8000354,8000354,25,40,161,60,1620,Hannover
8000354,8001123,0,1,0,0,0,Hannover
8000354,8005809,10,19,142,30,1470,Hannover
8000354,8005929,13,20,146,30,1530,Hannover
8000443,8000226,25,41,107,60,660,Hannover
8000443,8000443,59,82,89,30,630,Hannover
8000443,8000578,36,41,88,60,330,Hannover
8000483,8000093,0,1,0,0,0,Hannover
8000483,8000483,0,1,0,0,0,Hannover
8000488,8000488,40,52,96,60,930,Hannover
8000488,8002607,14,26,118,75,990,Hannover
8000488,8005511,26,26,74,60,180,Hannover
8000489,8000226,12,21,71,30,510,Hannover
8000489,8000489,42,76,88,30,630,Hannover
8000489,8001279,29,38,99,60,600,Hannover
8000489,8070086,15,17,150,30,630,Hannover
8000578,8000443,21,41,80,30,600,Hannover
8000578,8000578,42,82,65,30,600,Hannover
8000578,8070086,20,41,67,0,300,Hannover
8000740,8000740,27,38,77,45,240,Hannover
8000740,8000759,12,19,74,30,210,Hannover
8000740,8001048,15,19,87,60,240,Hannover
8000759,8000740,13,19,65,30,210,Hannover
8000759,8000759,23,38,64,30,210,Hannover
8000759,8006358,10,19,68,30,210,Hannover
8000797,8000022,38,39,388,270,2580,Hannover
8000797,8000797,66,78,279,180,2580,Hannover
8000797,8006482,27,39,217,60,1260,Hannover
8000807,8000807,23,40,133,30,1560,Hannover
8000807,8003632,11,20,150,30,1890,Hannover
8000807,8005929,14,20,120,30,1470,Hannover
8000808,8000808,34,42,151,120,720,Hannover
8000808,8001775,18,22,198,150,720,Hannover
8000808,8005292,15,20,92,30,570,Hannover
8000810,8000810,2,3,120,60,300,Hannover
8000810,8003292,1,1,30,30,30,Hannover
8000810,8005809,2,2,180,180,300,Hannover
8000812,8000812,65,78,272,135,2640,Hannover
8000812,8003267,26,39,237,60,1290,Hannover
8000812,8006482,36,39,336,210,2610,Hannover
8000871,8003957,11,21,61,30,270,Hannover
8001000,8001000,40,41,254,180,1320,Hannover
8001000,8003165,17,20,118,60,390,Hannover
8001000,8003957,20,21,411,330,1350,Hannover
8001048,8000740,9,19,74,0,210,Hannover
8001123,8000354,2,2,180,180,330,Hannover
8001123,8001123,1,3,100,0,300,Hannover
8001123,8005809,0,1,0,0,0,Hannover
8001245,8001245,34,41,257,150,1020,Hannover
8001245,8003286,19,21,189,120,540,Hannover
8001279,8000489,9,38,65,0,600,Hannover
8001279,8001279,33,76,73,0,600,Hannover
8001279,8004735,19,38,77,30,600,Hannover
8001342,8000148,12,18,137,90,690,Hannover
8001342,8001342,31,36,256,150,870,Hannover
8001342,8006104,18,18,387,345,900,Hannover
8001393,8000268,19,21,339,240,1500,Hannover
8001393,8001393,24,41,285,90,2250,Hannover
8001393,8005507,11,20,252,45,2280,Hannover
8001561,8001157,0,1,0,0,0,Hannover
8001561,8001561,2,3,100,30,270,Hannover
8001561,8003292,2,2,180,180,300,Hannover
8001675,8001675,68,78,272,150,2640,Hannover
8001675,8003267,34,39,285,180,2640,Hannover
8001675,8006336,33,39,265,120,1290,Hannover
8001713,8001713,26,41,67,30,450,Hannover
8001713,8002507,13,21,90,30,480,Hannover
8001713,8004322,9,20,30,0,120,Hannover
8001775,8000169,39,40,194,135,810,Hannover
8001775,8000282,14,18,125,60,510,Hannover
8001775,8000808,8,20,68,0,540,Hannover
8001775,8001775,57,78,131,60,750,Hannover
8001949,8001489,18,21,157,120,510,Hannover
8001949,8001949,27,42,171,75,1620,Hannover
8001949,8004322,13,21,207,30,1590,Hannover
8002405,8002405,28,37,82,60,270,Hannover
8002405,8002830,9,18,77,15,330,Hannover
8002405,8006358,11,19,66,60,210,Hannover
8002507,8001713,13,20,46,30,180,Hannover
8002507,8002507,30,41,72,30,480,Hannover
8002507,8003705,14,21,93,30,480,Hannover
8002580,8002580,109,126,250,150,2700,Hannover
8002580,8002586,42,43,322,240,2700,Hannover
8002580,8005047,20,20,219,165,660,Hannover
8002580,8079095,31,40,187,105,1020,Hannover
8002584,8002584,40,82,51,0,300,Hannover
8002584,8070086,17,41,34,0,270,Hannover
8002585,8002585,27,40,266,90,2310,Hannover
8002585,8003659,13,20,297,150,1260,Hannover
8002585,8079095,14,20,242,30,2310,Hannover
8002586,8000342,36,38,161,120,540,Hannover
8002586,8002580,31,43,260,90,1950,Hannover
