from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000042,8000042,32,45,231,60,2370,Karlsruhe
8000042,8000295,1,1,30,30,30,Karlsruhe
8000042,8001056,8,17,71,0,510,Karlsruhe
8000042,8001707,12,21,77,30,570,Karlsruhe
8000042,8006661,20,22,406,255,2340,Karlsruhe
8000053,8000053,115,143,206,120,3480,Karlsruhe
8000053,8001138,5,6,125,60,360,Karlsruhe
8000053,8001152,51,60,336,210,3480,Karlsruhe
8000053,8006539,1,1,90,90,90,Karlsruhe
8000053,8070012,9,16,54,30,210,Karlsruhe
8000053,8070179,16,20,200,195,540,Karlsruhe
8000053,8079059,38,38,193,165,450,Karlsruhe
8000063,8000063,29,57,36,30,210,Karlsruhe
8000063,8000757,20,28,62,60,240,Karlsruhe
8000063,8002852,10,29,25,0,150,Karlsruhe
8000110,8002087,14,38,50,0,780,Karlsruhe
8000131,8000131,85,133,124,30,1830,Karlsruhe
8000131,8001009,2,3,310,60,870,Karlsruhe
8000131,8002116,17,31,168,60,1440,Karlsruhe
8000131,8002345,15,25,66,30,210,Karlsruhe
8000131,8003181,21,31,173,30,1770,Karlsruhe
8000131,8004813,5,8,64,45,210,Karlsruhe
8000131,8006137,0,2,0,0,0,Karlsruhe
8000131,8006417,19,39,52,0,420,Karlsruhe
8000264,8000017,9,9,217,210,420,Karlsruhe
8000264,8000264,88,123,131,60,2310,Karlsruhe
8000264,8000369,10,10,87,30,270,Karlsruhe
8000264,8000973,26,36,118,45,1740,Karlsruhe
8000264,8004095,44,70,84,60,2460,Karlsruhe
8000264,8004222,14,22,94,60,300,Karlsruhe
8000265,8000265,212,232,248,165,2220,Karlsruhe
8000265,8000369,9,9,237,240,390,Karlsruhe
8000265,8000794,52,58,163,120,870,Karlsruhe
8000265,8002684,87,93,286,240,1800,Karlsruhe
8000265,8002685,3,4,502,180,1650,Karlsruhe
8000265,8003841,1,1,150,150,150,Karlsruhe
8000265,8003932,12,17,235,120,1590,Karlsruhe
8000265,8004217,29,37,255,120,2100,Karlsruhe
8000295,8000042,0,1,-30,-30,-30,Karlsruhe
8000295,8000221,9,16,240,75,1110,Karlsruhe
8000295,8000295,23,36,280,60,1740,Karlsruhe
8000295,8000423,5,21,59,0,600,Karlsruhe
8000295,8000424,1,4,8,0,30,Karlsruhe
8000295,8001933,0,1,0,0,0,Karlsruhe
8000295,8004050,14,17,378,60,1740,Karlsruhe
8000295,8005151,0,1,0,0,0,Karlsruhe
8000295,8005168,10,19,133,30,1050,Karlsruhe
8000306,8000306,151,178,373,210,2850,Karlsruhe
8000306,8000771,19,23,470,180,2850,Karlsruhe
8000306,8001252,21,28,270,75,1530,Karlsruhe
8000306,8002167,6,6,290,270,480,Karlsruhe
8000306,8004178,30,33,259,180,1290,Karlsruhe
8000306,8004636,30,35,368,210,2070,Karlsruhe
8000306,8004944,28,32,316,240,1740,Karlsruhe
8000369,8000264,9,9,257,270,420,Karlsruhe
8000369,8000265,9,9,157,150,330,Karlsruhe
8000369,8000369,75,92,225,120,2520,Karlsruhe
8000369,8002857,36,36,150,60,1710,Karlsruhe
8000369,8003690,36,37,351,240,2430,Karlsruhe
8000369,8004219,1,1,30,30,30,Karlsruhe
8000389,8000389,27,35,39,30,150,Karlsruhe
8000389,8001944,4,17,19,0,150,Karlsruhe
8000389,8004202,9,20,21,0,60,Karlsruhe
8000423,8000295,19,22,398,240,2340,Karlsruhe
8000423,8000423,24,43,234,30,2340,Karlsruhe
8000423,8006661,3,21,60,0,540,Karlsruhe
8000424,8000295,3,5,306,30,1170,Karlsruhe
8000424,8000424,4,9,187,0,1200,Karlsruhe
8000424,8005536,1,4,22,0,90,Karlsruhe
8000631,8000631,131,153,186,90,3360,Karlsruhe
8000631,8002687,19,22,140,60,840,Karlsruhe
8000631,8003489,63,75,152,120,870,Karlsruhe
8000631,8003759,1,1,60,60,60,Karlsruhe
8000631,8003841,1,2,15,15,30,Karlsruhe
8000631,8003847,9,20,152,0,1080,Karlsruhe
8000631,8005494,13,15,134,90,450,Karlsruhe
8000643,8000643,56,62,322,225,1950,Karlsruhe
8000643,8003532,30,32,459,345,1830,Karlsruhe
8000643,8006291,22,30,155,90,900,Karlsruhe
8000649,8000649,35,43,241,90,2400,Karlsruhe
8000649,8001366,14,21,90,30,600,Karlsruhe
8000649,8004577,20,22,417,225,2400,Karlsruhe
8000721,8000721,32,57,44,30,240,Karlsruhe
8000721,8002852,13,28,43,0,210,Karlsruhe
8000721,8004077,7,29,27,0,180,Karlsruhe
8000757,8000063,9,29,23,0,150,Karlsruhe
8000757,8000757,45,57,39,30,180,Karlsruhe
8000757,8006432,14,28,28,15,210,Karlsruhe
8000771,8000306,17,22,308,75,1800,Karlsruhe
8000771,8000771,36,45,387,120,2940,Karlsruhe
8000771,8005588,14,16,521,210,2610,Karlsruhe
8000775,8000775,23,34,251,30,2220,Karlsruhe
8000775,8001252,10,17,309,60,2220,Karlsruhe
8000775,8005587,5,17,189,0,1680,Karlsruhe
8000782,8000782,56,56,231,120,1260,Karlsruhe
8000782,8000789,21,21,176,120,540,Karlsruhe
8000782,8002091,6,6,280,180,540,Karlsruhe
8000782,8002126,18,23,235,90,1350,Karlsruhe
8000782,8005409,6,6,185,135,510,Karlsruhe
8000789,8000782,23,23,320,210,1140,Karlsruhe
8000789,8000789,44,44,145,90,1020,Karlsruhe
8000789,8003343,3,21,17,0,150,Karlsruhe
8000794,8000265,50,57,298,270,1770,Karlsruhe
8000794,8000794,102,115,239,210,1770,Karlsruhe
8000794,8005015,55,58,188,150,1020,Karlsruhe
8000823,8000823,73,81,191,150,1530,Karlsruhe
8000823,8002306,36,41,140,120,480,Karlsruhe
8000823,8079078,32,40,250,225,1500,Karlsruhe
8000968,8000968,69,92,160,30,3540,Karlsruhe
8000968,8003376,27,47,310,60,3540,Karlsruhe
8000968,8079090,45,45,151,60,660,Karlsruhe
8000973,8000264,35,37,326,210,2100,Karlsruhe
8000973,8000973,64,73,230,120,2130,Karlsruhe
8000973,8004216,22,36,108,30,1740,Karlsruhe
8000998,8000998,56,62,292,210,1740,Karlsruhe
8000998,8003480,27,30,287,255,1140,Karlsruhe
8000998,8005186,31,32,433,360,1770,Karlsruhe
8001009,8001009,40,66,125,30,1470,Karlsruhe
8001009,8002116,17,32,66,30,480,Karlsruhe
8001009,8003185,21,34,172,60,1500,Karlsruhe
8001056,8000042,6,17,44,0,240,Karlsruhe
8001056,8001056,14,34,41,0,450,Karlsruhe
8001056,8001226,9,17,65,30,420,Karlsruhe
8001131,8001131,9,11,120,60,360,Karlsruhe
8001131,8001138,3,5,120,60,360,Karlsruhe
8001131,8003332,5,6,130,75,360,Karlsruhe
8001138,8000053,3,5,114,60,360,Karlsruhe
8001138,8001131,5,6,130,75,360,Karlsruhe
8001138,8001138,8,11,125,90,360,Karlsruhe
8001144,8001144,68,87,121,90,750,Karlsruhe
8001144,8001152,3,3,440,420,600,Karlsruhe
8001144,8002307,1,1,360,360,360,Karlsruhe
8001144,8070093,7,41,52,0,780,Karlsruhe
8001144,8079060,34,42,157,150,540,Karlsruhe
8001152,8000053,21,60,88,0,630,Karlsruhe
8001152,8001144,1,1,360,360,360,Karlsruhe
8001152,8001152,109,120,222,120,3480,Karlsruhe
8001152,8002307,17,18,577,285,3450,Karlsruhe
8001152,8079060,3,41,28,0,840,Karlsruhe
8001197,8000306,2,2,510,510,510,Karlsruhe
8001197,8001197,129,177,122,60,1080,Karlsruhe
8001197,8005931,11,14,99,60,360,Karlsruhe
8001197,8005990,80,87,163,150,1050,Karlsruhe
8001197,8085001,31,68,43,0,360,Karlsruhe
8001197,8085002,1,1,30,30,30,Karlsruhe
8001198,8001198,52,66,243,150,1710,Karlsruhe
8001198,8001926,27,32,241,150,1230,Karlsruhe
8001198,8003832,25,34,225,105,1680,Karlsruhe
8001214,8001212,17,31,175,30,1770,Karlsruhe
8001214,8001214,32,62,107,30,1770,Karlsruhe
8001214,8003181,20,31,48,30,300,Karlsruhe
8001226,8001056,6,17,25,0,210,Karlsruhe
8001226,8001226,20,34,64,30,420,Karlsruhe
8001226,8001227,12,17,81,60,390,Karlsruhe
8001227,8001226,6,17,16,0,120,Karlsruhe
8001227,8001227,9,34,20,0,360,Karlsruhe
8001227,8002529,8,18,32,0,330,Karlsruhe
8001252,8000306,25,28,486,315,1710,Karlsruhe
8001252,8000412,28,44,303,60,2220,Karlsruhe
8001252,8000775,9,17,206,30,1680,Karlsruhe
8001252,8001252,57,88,294,75,2220,Karlsruhe
8001366,8000649,19,22,365,180,2400,Karlsruhe
8001366,8001366,31,43,228,90,2400,Karlsruhe
8001366,8004215,6,21,63,0,540,Karlsruhe
