from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000020,8000020,53,66,249,150,2100,Kassel
8000020,8000250,7,7,527,420,1920,Kassel
8000020,8002103,17,22,168,105,690,Kassel
8000020,8003016,1,2,300,300,600,Kassel
8000020,8004297,18,19,232,210,780,Kassel
8000020,8005182,13,15,86,90,150,Kassel
8000090,8000090,90,119,189,60,1620,Kassel
8000090,8000753,15,20,142,120,570,Kassel
8000090,8002102,35,42,225,60,1410,Kassel
8000090,8006524,31,40,221,105,990,Kassel
8000090,8011054,7,10,198,45,1650,Kassel
8000090,8011849,6,8,232,90,630,Kassel
8000104,8000104,18,19,392,330,1110,Kassel
8000104,8000985,13,13,404,420,1020,Kassel
8000104,8002033,10,10,321,240,1110,Kassel
8000140,8000140,69,93,130,60,1650,Kassel
8000140,8000193,2,2,300,300,450,Kassel
8000140,8002374,7,9,83,30,240,Kassel
8000140,8002484,27,35,116,30,690,Kassel
8000140,8005039,34,46,166,90,1650,Kassel
8000193,8000140,1,1,120,120,120,Kassel
8000193,8000193,0,1,-90,-90,-90,Kassel
8000193,8001098,7,8,86,60,330,Kassel
8000193,8002374,2,2,75,75,90,Kassel
8000193,8002484,0,1,0,0,0,Kassel
8000193,8002933,3,3,70,60,120,Kassel
8000193,8003199,24,41,65,30,420,Kassel
8000193,8003961,0,1,-60,-60,-60,Kassel
8000193,8004415,19,25,88,60,1020,Kassel
8000193,8005039,1,1,30,30,30,Kassel
8000210,8000210,11,16,202,90,750,Kassel
8000210,8003406,7,10,156,45,690,Kassel
8000210,8005928,10,17,106,60,360,Kassel
8000210,8006043,8,12,122,30,690,Kassel
8000243,8000243,36,47,158,90,1530,Kassel
8000243,8000859,20,24,108,60,420,Kassel
8000243,8003961,16,23,203,90,1500,Kassel
8000520,8000520,14,18,115,60,360,Kassel
8000520,8002236,5,9,70,30,300,Kassel
8000520,8006546,9,9,170,120,420,Kassel
8000530,8000530,0,1,0,0,0,Kassel
8000530,8004526,0,1,0,0,0,Kassel
8000553,8000553,36,47,202,90,1560,Kassel
8000553,8000859,22,23,224,90,1560,Kassel
8000553,8002716,17,24,272,45,1920,Kassel
8000609,8000609,29,34,122,135,330,Kassel
8000609,8003467,15,17,132,120,330,Kassel
8000609,8003970,14,17,146,150,390,Kassel
8000753,8000090,20,20,142,60,510,Kassel
8000753,8000753,35,40,120,90,630,Kassel
8000753,8001895,17,20,158,120,660,Kassel
8000764,8006241,2,12,12,0,120,Kassel
8000859,8000243,19,23,230,120,1560,Kassel
8000859,8000553,15,24,172,60,1290,Kassel
8000859,8000859,39,47,184,90,1560,Kassel
8000985,8000104,13,13,427,360,1200,Kassel
8000985,8000985,25,26,414,375,1200,Kassel
8000985,8006413,12,13,397,360,990,Kassel
8001098,8000193,7,9,117,150,270,Kassel
8001098,8001098,20,28,63,60,270,Kassel
8001098,8004328,8,9,110,90,240,Kassel
8001098,8005576,4,5,54,30,120,Kassel
8001098,8006663,3,5,42,30,150,Kassel
8001106,8001106,26,35,315,30,2100,Kassel
8001106,8002903,13,18,322,30,2070,Kassel
8001106,8004589,11,17,318,120,2100,Kassel
8001283,8001283,36,40,208,150,1320,Kassel
8001283,8003016,18,19,268,240,1320,Kassel
8001283,8004297,19,21,167,120,510,Kassel
8001664,8001664,16,18,267,105,930,Kassel
8001664,8005382,9,9,370,150,960,Kassel
8001664,8006082,6,9,167,60,870,Kassel
8001691,8001691,28,34,141,135,360,Kassel
8001691,8006107,16,17,205,210,360,Kassel
8001691,8006549,12,17,111,120,300,Kassel
8001854,8001854,23,26,423,360,1200,Kassel
8001854,8004164,10,13,406,360,1140,Kassel
8001854,8006413,12,13,452,330,1230,Kassel
8001884,8001884,2,3,40,30,90,Kassel
8001884,8001895,28,41,53,30,570,Kassel
8001895,8000753,14,20,51,45,180,Kassel
8001895,8001884,30,39,141,120,660,Kassel
8001895,8001895,55,80,96,60,630,Kassel
8001895,8005003,14,21,70,60,570,Kassel
8002010,8000891,10,24,52,0,450,Kassel
8002010,8002010,22,49,68,0,480,Kassel
8002010,8004295,13,25,79,30,360,Kassel
8002033,8000104,10,10,357,270,870,Kassel
8002033,8002033,20,20,348,255,1080,Kassel
8002033,8006082,10,10,339,270,1080,Kassel
8002103,8000020,21,24,434,150,3390,Kassel
8002103,8002103,38,46,305,120,3420,Kassel
8002103,8003711,18,21,201,120,1170,Kassel
8002129,8002129,18,24,76,60,420,Kassel
8002129,8005968,7,12,55,30,450,Kassel
8002129,8006647,10,11,109,90,270,Kassel
