from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000021,8000021,82,122,311,45,5640,Koblenz
8000021,8000121,15,28,64,30,1020,Koblenz
8000021,8000726,52,70,211,90,1980,Koblenz
8000021,8001177,6,24,471,0,4740,Koblenz
8000021,8003075,8,13,81,30,600,Koblenz
8000021,8004601,6,6,1125,315,3090,Koblenz
8000034,8000034,30,36,319,90,5340,Koblenz
8000034,8000427,16,18,528,105,5340,Koblenz
8000034,8005338,1,2,30,30,60,Koblenz
8000034,8006501,13,16,133,105,540,Koblenz
8000229,8000218,4,7,56,30,210,Koblenz
8000229,8000229,9,15,124,60,540,Koblenz
8000229,8001457,15,30,62,15,540,Koblenz
8000229,8001883,13,32,32,0,150,Koblenz
8000248,8000248,13,33,36,0,390,Koblenz
8000248,8003415,7,33,22,0,330,Koblenz
8000248,8003924,4,17,34,0,300,Koblenz
8000276,8000276,44,52,437,270,3240,Koblenz
8000276,8003341,5,6,430,390,900,Koblenz
8000276,8003665,19,20,440,300,2100,Koblenz
8000276,8005062,4,6,465,465,1200,Koblenz
8000276,8006036,16,20,486,225,3210,Koblenz
8000278,8000278,50,67,166,90,1050,Koblenz
8000278,8000701,4,8,109,15,600,Koblenz
8000278,8002114,25,26,240,150,1020,Koblenz
8000278,8003341,15,16,135,120,270,Koblenz
8000427,8000034,12,18,112,60,570,Koblenz
8000427,8000427,30,36,313,105,5310,Koblenz
8000427,8001112,16,18,510,105,5280,Koblenz
8000448,8000448,25,62,32,0,300,Koblenz
8000448,8000449,13,31,18,0,150,Koblenz
8000448,8000729,21,31,53,60,360,Koblenz
8000449,8000448,20,31,37,30,270,Koblenz
8000449,8000449,35,62,27,30,270,Koblenz
8000449,8006191,7,31,1,0,120,Koblenz
8000517,8000517,26,41,617,60,6870,Koblenz
8000517,8000726,17,21,1080,60,6840,Koblenz
8000517,8002879,9,20,126,0,1350,Koblenz
8000585,8000585,24,47,317,30,4650,Koblenz
8000585,8001177,12,23,149,30,2100,Koblenz
8000585,8003568,13,25,463,30,4650,Koblenz
8000667,8000667,20,29,367,120,5940,Koblenz
8000667,8003330,3,4,82,45,240,Koblenz
8000667,8003680,11,15,192,60,840,Koblenz
8000667,8800012,1,1,210,210,210,Koblenz
8000694,8000694,48,67,167,60,1470,Koblenz
8000694,8001186,14,21,183,60,1470,Koblenz
8000694,8003341,13,15,174,150,720,Koblenz
8000694,8005580,29,31,229,120,780,Koblenz
8000701,8000278,7,8,248,195,690,Koblenz
8000701,8000701,41,63,133,30,960,Koblenz
8000701,8000702,10,25,26,0,180,Koblenz
8000701,8001389,20,24,221,120,930,Koblenz
8000701,8004206,5,8,79,30,450,Koblenz
8000702,8000701,21,26,204,90,990,Koblenz
8000702,8000702,31,51,123,30,990,Koblenz
8000702,8004435,8,25,23,0,180,Koblenz
8000711,8000711,44,52,437,270,3300,Koblenz
8000711,8003660,19,20,428,300,2040,Koblenz
8000711,8003708,4,6,390,345,1140,Koblenz
8000711,8005062,21,26,427,225,3300,Koblenz
8000726,8000021,33,67,493,0,6720,Koblenz
8000726,8000505,2,2,195,195,360,Koblenz
8000726,8000517,9,20,128,0,1380,Koblenz
8000726,8000726,79,137,331,60,6780,Koblenz
8000726,8004463,18,23,172,120,1260,Koblenz
8000726,8005111,5,6,245,150,840,Koblenz
8000726,8005678,19,19,317,210,1110,Koblenz
8000729,8000448,5,31,10,0,180,Koblenz
8000729,8000729,33,62,31,30,270,Koblenz
8000729,8002711,26,31,45,60,120,Koblenz
8000742,8000742,30,44,161,60,810,Koblenz
8000742,8002861,14,20,124,60,450,Koblenz
8000742,8005622,17,24,221,165,780,Koblenz
8000786,8000786,17,45,64,0,660,Koblenz
8000786,8001950,11,23,108,0,630,Koblenz
8000786,8003593,6,22,3,0,120,Koblenz
8001049,8001049,46,62,43,45,300,Koblenz
8001049,8002711,17,31,31,30,300,Koblenz
8001049,8004604,15,15,78,60,210,Koblenz
8001112,8000427,14,18,92,60,450,Koblenz
8001112,8001112,29,36,289,60,5280,Koblenz
8001112,8004406,2,3,160,240,240,Koblenz
8001177,8000021,12,23,137,30,2070,Koblenz
8001177,8000585,12,24,479,15,4680,Koblenz
8001177,8001177,24,47,319,30,4740,Koblenz
8001186,8000694,13,16,191,120,510,Koblenz
8001186,8001186,30,41,195,90,1470,Koblenz
8001186,8004200,12,21,157,30,1470,Koblenz
8001186,8005580,4,4,420,375,690,Koblenz
8001267,8000379,15,33,294,0,3150,Koblenz
8001267,8000870,11,19,257,30,2040,Koblenz
8001267,8001267,73,106,280,60,3180,Koblenz
8001267,8001340,28,35,297,120,2220,Koblenz
8001267,8004223,15,19,199,30,1650,Koblenz
8001340,8001267,33,33,318,60,3210,Koblenz
8001340,8001340,84,104,264,60,3210,Koblenz
8001340,8001666,10,20,226,15,1440,Koblenz
8001340,8003179,26,34,285,60,2220,Koblenz
8001340,8003344,20,22,194,60,1650,Koblenz
8001389,8000701,7,23,23,0,150,Koblenz
8001389,8001389,28,47,116,30,930,Koblenz
8001389,8004206,19,24,185,90,930,Koblenz
8001457,8000229,19,31,94,30,570,Koblenz
8001457,8001457,28,61,67,0,540,Koblenz
8001457,8001950,5,22,11,0,90,Koblenz
8001457,8004206,6,8,172,120,510,Koblenz
8001666,8001340,11,19,193,60,1650,Koblenz
8001666,8001666,27,39,221,60,1650,Koblenz
8001666,8004223,15,20,243,45,1500,Koblenz
8001858,8001858,38,41,476,300,3360,Koblenz
8001858,8003708,19,20,568,315,3360,Koblenz
8001858,8005970,20,21,403,300,2040,Koblenz
8001928,8000012,1,2,75,75,150,Koblenz
8001928,8001928,3,5,174,150,360,Koblenz
8001928,8006501,2,3,240,360,360,Koblenz
8001950,8000786,4,22,12,0,120,Koblenz
8001950,8001457,11,23,86,0,570,Koblenz
8001950,8001950,15,45,57,0,600,Koblenz
8001991,8001991,33,52,70,30,960,Koblenz
8001991,8003040,20,27,107,30,930,Koblenz
8001991,8003298,21,25,62,60,180,Koblenz
8002114,8000278,18,25,62,30,300,Koblenz
8002114,8002114,43,51,143,60,1020,Koblenz
8002114,8004435,22,26,231,135,1020,Koblenz
8002454,8002454,35,46,193,90,2310,Koblenz
8002454,8003354,18,23,239,90,2310,Koblenz
8002454,8006481,19,23,140,60,1020,Koblenz
8002643,8002643,38,44,213,60,2340,Koblenz
8002643,8003723,18,22,232,90,2310,Koblenz
8002643,8004096,13,22,168,30,990,Koblenz
8002707,8002707,0,6,0,0,0,Koblenz
8002707,8002995,2,3,20,30,30,Koblenz
8002707,8004444,1,2,15,15,30,Koblenz
8002707,8007887,1,1,60,60,60,Koblenz
8002711,8000729,14,31,20,0,210,Koblenz
8002711,8001049,29,31,79,60,180,Koblenz
8002711,8002711,45,62,40,30,270,Koblenz
8002861,8000742,15,24,198,90,840,Koblenz
8002861,8002861,33,44,168,90,810,Koblenz
8002861,8005645,18,20,141,75,480,Koblenz
8002879,8000505,8,20,129,0,1380,Koblenz
8002879,8000517,15,21,1081,120,6840,Koblenz
8002879,8002879,27,41,622,60,6870,Koblenz
8002880,8002880,36,44,95,60,1080,Koblenz
8002880,8003295,17,23,113,60,1050,Koblenz
8002880,8003899,17,21,57,60,150,Koblenz
8002995,8002707,0,2,0,0,0,Koblenz
8002995,8002995,4,7,17,30,30,Koblenz
8002995,8004253,0,4,0,0,0,Koblenz
8002995,8004444,0,1,0,0,0,Koblenz
8003040,8001991,5,25,16,0,120,Koblenz
8003040,8003040,30,57,124,30,1020,Koblenz
8003040,8003295,8,18,60,0,750,Koblenz
8003040,8003452,13,19,55,30,390,Koblenz
8003040,8004253,15,18,245,135,1020,Koblenz
8003148,8007357,2,15,8,0,60,Koblenz
8003179,8001340,29,33,310,60,3180,Koblenz
8003179,8003179,87,111,257,60,3150,Koblenz
8003179,8003350,21,34,270,90,2160,Koblenz
8003179,8004101,17,22,203,90,1710,Koblenz
8003179,8004859,17,22,209,45,1020,Koblenz
8003211,8003211,33,44,203,75,2280,Koblenz
8003211,8003611,18,22,237,120,2340,Koblenz
8003211,8003723,12,22,169,30,990,Koblenz
8003295,8002880,15,21,39,30,120,Koblenz
8003295,8003040,17,19,284,180,960,Koblenz
8003295,8003295,46,77,117,60,1050,Koblenz
8003295,8003298,23,27,122,60,1050,Koblenz
8003295,8005583,8,18,63,0,720,Koblenz
8003298,8001991,21,27,111,30,990,Koblenz
8003298,8003295,20,25,48,30,150,Koblenz
8003298,8003298,44,52,103,60,1020,Koblenz
8003341,8000276,7,7,463,240,2130,Koblenz
8003341,8000278,17,17,328,240,1110,Koblenz
8003341,8000694,12,15,126,60,540,Koblenz
8003341,8003341,133,156,320,210,3360,Koblenz
8003341,8003352,16,26,186,90,1020,Koblenz
8003341,8005070,2,2,120,120,210,Koblenz
8003341,8006035,14,16,229,210,660,Koblenz
8003341,8006036,13,13,258,150,1050,Koblenz
8003344,8001340,12,22,181,30,990,Koblenz
8003344,8003344,35,44,203,60,1680,Koblenz
8003344,8004859,20,22,209,90,1680,Koblenz
8003350,8003179,26,33,293,60,3120,Koblenz
8003350,8003350,82,111,253,60,3120,Koblenz
8003350,8003611,13,22,169,30,990,Koblenz
8003350,8006481,21,23,271,120,2370,Koblenz
8003352,8000379,1,1,420,420,420,Koblenz
8003352,8003341,22,27,299,210,1230,Koblenz
8003352,8003352,40,55,244,180,1230,Koblenz
8003352,8006035,14,20,172,135,720,Koblenz
8003352,8006036,5,6,390,270,1140,Koblenz
8003354,8002454,15,23,130,30,1050,Koblenz
8003354,8003354,35,46,181,60,2280,Koblenz
8003415,8000248,33,33,125,60,540,Koblenz
8003415,8003415,40,66,86,30,630,Koblenz
8003415,8005865,6,33,17,0,330,Koblenz
8003452,8003040,9,18,83,15,1020,Koblenz
8003452,8003452,27,37,87,30,1110,Koblenz
8003452,8004444,14,19,63,30,390,Koblenz
8003455,8003455,51,66,87,30,630,Koblenz
8003455,8004393,32,33,154,90,660,Koblenz
8003455,8004826,20,33,54,60,420,Koblenz
8003568,8000585,12,24,136,15,2040,Koblenz
8003568,8003568,22,49,302,0,4650,Koblenz
8003568,8004172,13,25,468,30,4650,Koblenz
8003593,8000786,11,23,111,0,660,Koblenz
8003593,8003593,20,45,60,0,660,Koblenz
8003593,8004567,9,22,5,0,120,Koblenz
8003611,8003211,18,22,192,60,1020,Koblenz
8003611,8003350,15,22,209,75,2280,Koblenz
8003611,8003611,33,44,199,60,2340,Koblenz
8003660,8000711,19,20,549,330,3300,Koblenz
8003660,8003660,38,40,487,345,3330,Koblenz
8003660,8003708,19,20,387,255,2040,Koblenz
8003665,8000276,19,20,568,345,3240,Koblenz
8003665,8003665,39,40,517,360,3270,Koblenz
8003665,8005062,19,20,458,315,2100,Koblenz
8003708,8000711,2,6,35,0,120,Koblenz
8003708,8001858,19,21,397,300,2010,Koblenz
8003708,8003660,19,20,578,390,3360,Koblenz
8003708,8003708,39,49,432,300,3360,Koblenz
8003708,8005970,4,5,456,480,1200,Koblenz
8003723,8002643,18,22,200,60,1020,Koblenz
8003723,8003211,17,22,209,75,2280,Koblenz
8003723,8003723,34,44,202,75,2310,Koblenz
8003899,8002880,19,23,133,90,1080,Koblenz
8003899,8003899,37,44,98,75,1080,Koblenz
8003899,8004080,16,21,60,60,150,Koblenz
8003924,8000248,4,17,16,0,90,Koblenz
8003924,8003924,7,30,25,0,300,Koblenz
8003924,8004078,4,15,34,0,300,Koblenz
8004020,8004020,54,65,101,90,570,Koblenz
8004020,8004826,21,32,106,60,600,Koblenz
8004020,8006035,2,2,105,105,150,Koblenz
8004020,8006303,13,14,84,90,150,Koblenz
8004078,8003924,2,15,8,0,60,Koblenz
8004078,8004078,6,30,21,0,300,Koblenz
8004078,8007357,3,15,36,0,300,Koblenz
8004080,8003899,21,23,127,60,1110,Koblenz
8004080,8004080,34,44,91,60,1140,Koblenz
8004080,8005583,14,21,36,30,120,Koblenz
8004096,8002643,20,22,237,90,2310,Koblenz
8004096,8004096,35,44,199,60,1980,Koblenz
8004096,8004101,16,22,194,30,990,Koblenz
8004101,8003179,18,22,211,60,1020,Koblenz
8004101,8004096,18,22,187,60,1680,Koblenz
8004101,8004101,34,44,190,60,1680,Koblenz
8004200,8001186,15,20,188,120,750,Koblenz
8004200,8004200,27,41,176,60,1440,Koblenz
8004200,8006303,11,21,149,30,1320,Koblenz
8004206,8000701,6,8,180,120,660,Koblenz
8004206,8001389,10,23,26,0,180,Koblenz
8004206,8001457,4,8,52,15,330,Koblenz
8004206,8004206,34,60,98,30,840,Koblenz
8004206,8004567,11,23,125,0,750,Koblenz
8004223,8001267,14,20,230,30,1530,Koblenz
8004223,8001666,16,19,224,90,1680,Koblenz
8004223,8004223,29,39,221,60,1680,Koblenz
8004381,8004381,3,5,144,60,330,Koblenz
8004381,8005338,2,3,200,300,300,Koblenz
8004381,8006501,1,2,45,45,90,Koblenz
8004393,8003455,9,33,26,0,390,Koblenz
8004393,8004393,39,66,86,60,630,Koblenz
8004393,8005865,32,33,152,90,600,Koblenz
8004406,8001112,2,2,105,105,180,Koblenz
8004406,8001729,2,3,140,180,240,Koblenz
8004406,8004406,4,5,138,180,240,Koblenz
8004435,8000702,26,26,237,150,990,Koblenz
8004435,8002114,7,25,24,0,240,Koblenz
8004435,8004435,32,51,134,30,1020,Koblenz
8004444,8002707,2,4,15,15,30,Koblenz
8004444,8002995,1,1,30,30,30,Koblenz
8004444,8003452,14,18,117,60,1110,Koblenz
8004444,8004444,28,37,73,30,630,Koblenz
8004444,8007887,12,14,96,60,420,Koblenz
8004463,8000726,11,21,24,30,120,Koblenz
8004463,8004463,28,44,106,45,1260,Koblenz
8004463,8005678,18,23,146,90,1230,Koblenz
8004567,8003593,10,23,111,0,690,Koblenz
8004567,8004206,7,22,16,0,120,Koblenz
8004567,8004567,17,45,60,0,720,Koblenz
8004601,8000021,6,6,495,390,1260,Koblenz
8004601,8000683,28,32,204,165,930,Koblenz
8004601,8003075,1,1,60,60,60,Koblenz
8004601,8004601,66,75,324,150,3000,Koblenz
8004601,8005645,21,25,226,150,870,Koblenz
8004604,8001049,7,12,25,30,90,Koblenz
8004604,8001082,17,18,720,555,2940,Koblenz
8004604,8001085,9,15,34,30,120,Koblenz
8004604,8004604,90,111,612,180,4380,Koblenz
8004604,8005153,18,23,192,180,630,Koblenz
8004604,8005580,20,21,293,180,1710,Koblenz
8004826,8003455,23,32,108,60,570,Koblenz
8004826,8004020,33,33,86,60,420,Koblenz
8004826,8004826,56,65,89,60,570,Koblenz
8004859,8003179,19,22,198,90,1680,Koblenz
8004859,8003344,13,22,205,45,1020,Koblenz
8004859,8004859,36,44,207,60,1710,Koblenz
8005062,8000276,3,6,25,15,90,Koblenz
8005062,8000711,23,26,450,330,2100,Koblenz
8005062,8003665,20,20,568,360,3300,Koblenz
8005062,8005062,45,52,443,270,3300,Koblenz
8005070,8003341,1,1,690,690,690,Koblenz
8005070,8005070,32,44,187,90,750,Koblenz
8005070,8005622,13,20,104,45,390,Koblenz
8005153,8001085,19,23,181,180,570,Koblenz
8005153,8004604,22,23,520,330,1980,Koblenz
8005153,8005153,40,46,352,210,2010,Koblenz
8005338,8000034,2,3,200,300,300,Koblenz
8005338,8004381,1,2,15,15,30,Koblenz
8005338,8005338,3,5,132,60,300,Koblenz
8005580,8000694,29,36,158,45,1470,Koblenz
8005580,8004604,14,19,177,180,480,Koblenz
8005580,8005580,59,71,178,90,1470,Koblenz
8005583,8000726,1,1,60,60,60,Koblenz
8005583,8003295,16,19,287,180,990,Koblenz
