from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000012,8000012,29,37,384,180,1860,Köln
8000012,8001928,3,5,348,90,1080,Köln
8000012,8005164,13,35,43,0,300,Köln
8000012,8005356,14,18,268,120,1110,Köln
8000012,8006501,12,15,518,300,1950,Köln
8000030,8002290,4,20,12,0,90,Köln
8000084,8000084,58,76,684,150,6300,Köln
8000084,8000178,25,35,367,90,3960,Köln
8000084,8003553,32,56,698,60,6300,Köln
8000084,8003990,19,40,78,0,1140,Köln
8000100,8000100,36,73,71,0,720,Köln
8000100,8002402,4,20,18,0,180,Köln
8000100,8003361,2,3,10,30,30,Köln
8000100,8003462,9,39,12,0,240,Köln
8000100,8003927,18,20,128,60,690,Köln
8000100,8005298,16,19,159,60,450,Köln
8000100,8006280,10,18,17,30,30,Köln
8000135,8000135,159,238,193,60,1530,Köln
8000135,8002753,99,119,265,120,1500,Köln
8000135,8003330,11,22,49,15,510,Köln
8000135,8004869,30,37,366,150,1320,Köln
8000135,8005629,70,114,84,30,570,Köln
8000178,8000084,29,37,1039,360,6300,Köln
8000178,8000178,143,191,351,90,6420,Köln
8000178,8000209,2,2,135,135,180,Köln
8000178,8001506,14,18,528,255,3090,Köln
8000178,8002389,30,61,75,0,1140,Köln
8000178,8004869,12,14,238,195,810,Köln
8000178,8004907,11,20,39,30,240,Köln
8000178,8005575,49,58,212,135,1290,Köln
8000209,8000178,16,21,1414,420,6450,Köln
8000209,8000209,233,340,740,180,36000,Köln
8000209,8003310,28,56,226,15,3480,Köln
8000209,8003361,14,17,1027,570,3780,Köln
8000209,8003364,65,113,567,60,11040,Köln
8000209,8003369,34,57,309,60,3660,Köln
8000209,8003669,20,25,2504,690,36000,Köln
8000209,8006713,22,23,1340,1020,5040,Köln
8000348,8000348,75,111,511,90,6300,Köln
8000348,8000406,29,38,1049,525,6300,Köln
8000348,8001712,8,36,28,0,270,Köln
8000348,8001886,34,37,431,150,3960,Köln
8000348,8099506,22,32,62,60,240,Köln
8000355,8000355,18,40,22,0,210,Köln
8000355,8004907,1,20,3,0,60,Köln
8000355,8006659,8,20,27,0,180,Köln
8000404,8000404,151,247,244,60,4500,Köln
8000404,8002806,39,50,340,195,2310,Köln
8000404,8003395,31,74,84,0,2370,Köln
8000404,8070704,42,80,162,30,4500,Köln
8000406,8000348,33,37,398,120,3960,Köln
8000406,8000406,97,146,396,60,6300,Köln
8000406,8001712,21,35,69,60,300,Köln
8000406,8070704,12,34,34,0,240,Köln
8000495,8000495,38,78,-2,0,240,Köln
8000495,8001084,20,39,45,30,210,Köln
8000495,8006516,17,39,-61,0,150,Köln
8000502,8000502,14,35,41,0,390,Köln
8000502,8000507,3,33,4,0,60,Köln
8000502,8000521,12,19,81,60,390,Köln
8000507,8000502,22,34,73,60,420,Köln
8000507,8000507,25,67,37,0,390,Köln
8000507,8002816,2,33,1,0,90,Köln
8000510,8000510,12,37,30,0,390,Köln
8000510,8000527,1,18,3,0,60,Köln
8000510,8001917,6,19,43,0,360,Köln
8000521,8000502,0,18,0,0,0,Köln
8000521,8000521,13,37,42,0,420,Köln
8000521,8000527,13,19,90,90,420,Köln
8000527,8000510,14,19,81,60,420,Köln
8000527,8000521,1,18,2,0,30,Köln
8000527,8000527,16,37,53,0,420,Köln
8000677,8000677,56,78,579,150,5820,Köln
8000677,8001113,12,20,339,150,3240,Köln
8000677,8001839,25,39,375,60,2790,Köln
8000677,8003697,19,19,1323,300,5910,Köln
8000713,8000713,30,83,216,0,4740,Köln
8000713,8005074,21,42,413,15,4710,Köln
8000713,8005970,13,41,18,0,150,Köln
8000832,8000832,74,112,519,90,11160,Köln
8000832,8003310,41,56,801,180,11160,Köln
8000832,8006713,29,56,246,45,3510,Köln
8000853,8000853,95,120,1103,420,36000,Köln
8000853,8001506,15,18,787,585,2940,Köln
8000853,8003616,32,42,1622,390,36000,Köln
8000853,8003669,33,42,562,165,2940,Köln
8000853,8006719,16,18,1697,1785,3840,Köln
8000899,8001566,26,57,319,0,3540,Köln
8001081,8001081,32,78,22,0,150,Köln
8001081,8001084,11,39,12,0,90,Köln
8001081,8001088,12,39,19,0,120,Köln
8001082,8001082,69,78,771,420,4320,Köln
8001082,8001085,22,22,927,600,3780,Köln
8001082,8001091,34,39,562,300,3420,Köln
8001082,8004604,13,17,1163,1140,4320,Köln
8001084,8000495,21,39,-58,30,150,Köln
8001084,8001081,18,39,41,0,180,Köln
8001084,8001084,36,78,11,0,180,Köln
8001085,8001082,19,22,644,420,3300,Köln
8001085,8001085,40,44,788,480,3810,Köln
8001085,8005153,22,22,949,600,3840,Köln
8001088,8001081,26,39,35,30,120,Köln
8001088,8001088,42,78,7,30,180,Köln
8001091,8001082,31,39,977,570,4320,Köln
8001091,8001091,63,78,772,405,4290,Köln
8001091,8001215,12,17,286,90,1350,Köln
8001091,8005152,20,22,775,435,3450,Köln
8001113,8000677,9,20,96,0,630,Köln
8001113,8001113,20,40,215,15,3240,Köln
8001113,8003697,12,20,290,105,3180,Köln
8001215,8001091,15,17,1142,810,4230,Köln
8001215,8001215,71,82,776,480,4170,Köln
8001215,8003160,23,24,864,525,4020,Köln
8001215,8003361,11,17,274,30,1290,Köln
8001215,8005499,24,24,791,600,2460,Köln
8001264,8001264,60,80,139,60,1260,Köln
8001264,8003990,24,40,166,60,1260,Köln
8001264,8005575,28,40,104,60,1140,Köln
8001384,8001384,49,70,135,60,780,Köln
8001384,8002768,24,35,92,60,360,Köln
8001384,8005356,24,35,188,120,780,Köln
8001416,8001416,22,41,113,30,570,Köln
8001416,8002402,17,21,211,150,600,Köln
8001416,8006280,5,20,15,0,120,Köln
8001557,8001557,1,40,1,0,30,Köln
8001557,8002720,1,20,2,0,30,Köln
8001557,8004519,0,20,0,0,0,Köln
8001566,8000899,39,57,361,90,3630,Köln
8001566,8001566,69,114,338,60,3630,Köln
8001566,8003367,31,57,332,60,3600,Köln
8001712,8000348,31,35,105,90,300,Köln
8001712,8000406,10,36,26,0,210,Köln
8001712,8001712,32,71,51,0,300,Köln
8001736,8001736,76,107,219,90,1650,Köln
8001736,8002753,14,18,287,90,1140,Köln
8001736,8002768,41,54,292,135,1650,Köln
8001736,8003987,20,35,63,30,270,Köln
8001839,8000318,21,21,731,450,3000,Köln
8001839,8000677,32,39,812,210,5790,Köln
8001839,8001839,63,80,591,150,5760,Köln
8001839,8002784,9,20,87,0,600,Köln
8001886,8000348,30,39,1039,480,6300,Köln
8001886,8001886,60,76,731,180,6300,Köln
8001886,8003553,30,37,429,150,3960,Köln
8001887,8001888,0,32,0,0,0,Köln
8001888,8001887,0,32,0,0,0,Köln
8001888,8001888,0,64,0,0,0,Köln
8001888,8001889,0,32,0,0,0,Köln
8001889,8001888,0,32,0,0,0,Köln
8001889,8001889,0,64,0,0,0,Köln
8001889,8001893,0,32,0,0,0,Köln
8001893,8001889,0,32,0,0,0,Köln
8001893,8001893,0,54,0,0,0,Köln
8001893,8003553,0,27,0,0,0,Köln
8001917,8000510,15,18,28,30,90,Köln
8001917,8001917,21,37,38,30,360,Köln
8001917,8098349,6,19,44,0,360,Köln
8002206,8001839,2,2,465,465,720,Köln
8002206,8002206,70,120,372,60,5970,Köln
8002206,8003697,35,59,225,60,2790,Köln
8002206,8005935,28,59,512,0,6000,Köln
8002290,8000030,9,20,22,0,90,Köln
8002290,8002290,23,40,28,30,150,Köln
8002290,8004746,11,20,39,60,120,Köln
8002389,8000178,47,60,196,120,1290,Köln
8002389,8002389,77,121,129,60,1290,Köln
8002389,8003383,27,61,71,0,1080,Köln
8002402,8000100,14,21,167,90,510,Köln
8002402,8001416,6,20,22,0,180,Köln
8002402,8002402,20,41,114,0,570,Köln
8002718,8002718,0,40,0,0,0,Köln
8002718,8002719,0,20,0,0,0,Köln
8002718,8003697,0,20,0,0,0,Köln
8002719,8002718,0,20,0,0,0,Köln
8002719,8002719,0,40,0,0,0,Köln
8002719,8002720,0,20,0,0,0,Köln
8002720,8001557,0,20,0,0,0,Köln
8002720,8002719,1,20,2,0,30,Köln
8002720,8002720,1,40,1,0,30,Köln
8002721,8002725,0,20,0,0,0,Köln
8002725,8002721,0,20,0,0,0,Köln
8002725,8002725,0,40,0,0,0,Köln
8002725,8004519,0,20,0,0,0,Köln
8002753,8000135,66,119,122,30,1170,Köln
8002753,8001736,17,19,458,330,1500,Köln
8002753,8002753,94,123,202,60,1530,Köln
8002753,8002775,32,43,223,60,1530,Köln
8002768,8001384,24,35,192,90,780,Köln
8002768,8001736,39,53,153,60,1140,Köln
8002768,8002768,79,107,222,90,1650,Köln
8002768,8005356,15,19,448,270,1650,Köln
8002775,8001006,22,31,213,60,1620,Köln
8002775,8002753,32,43,54,30,240,Köln
8002775,8002775,49,86,130,60,1560,Köln
8002775,8003987,9,12,232,105,840,Köln
8002804,8002804,21,67,27,0,270,Köln
8002804,8002806,5,33,9,0,150,Köln
8002804,8002816,17,34,47,15,300,Köln
8002806,8000404,43,50,610,195,4500,Köln
8002806,8002206,2,2,510,510,810,Köln
8002806,8002804,18,34,45,30,300,Köln
8002806,8002806,149,249,256,30,4770,Köln
8002806,8003395,30,73,92,0,2910,Köln
8002806,8005935,30,59,212,30,2610,Köln
8002806,8400043,29,31,371,240,1320,Köln
8002816,8000507,17,34,51,15,360,Köln
8002816,8002804,5,33,15,0,180,Köln
8002816,8002816,23,67,29,0,360,Köln
8002932,8002932,58,71,129,30,1830,Köln
8002932,8002988,34,36,221,75,1860,Köln
8002932,8005134,24,35,57,30,510,Köln
8002988,8002932,23,35,45,30,450,Köln
8002988,8002988,47,71,124,30,1830,Köln
8002988,8004739,17,36,178,0,1800,Köln
8003158,8003927,2,19,-2,0,30,Köln
8003158,8005339,4,21,9,0,60,Köln
8003160,8001215,24,24,762,555,2400,Köln
8003160,8003160,74,89,477,180,4020,Köln
8003160,8003252,16,21,194,150,480,Köln
8003160,8003361,35,44,517,150,4020,Köln
8003252,8003160,5,20,18,0,150,Köln
8003252,8003252,21,41,104,30,480,Köln
8003252,8003671,17,21,201,210,540,Köln
8003310,8000209,47,56,828,180,11160,Köln
8003310,8000832,33,56,254,60,3540,Köln
8003310,8003310,73,112,515,90,11160,Köln
8003320,8003320,216,298,147,60,1800,Köln
8003320,8003358,87,97,227,90,1860,Köln
8003320,8003370,40,52,192,60,1620,Köln
8003320,8003392,112,149,141,60,1170,Köln
8003330,8000010,1,1,240,240,240,Köln
8003330,8000135,21,22,450,300,1110,Köln
8003330,8000209,1,1,270,270,270,Köln
8003330,8000667,2,2,2310,2310,4050,Köln
8003330,8003330,137,172,235,90,4170,Köln
8003330,8003358,44,61,119,60,660,Köln
8003330,8003363,7,8,521,150,1980,Köln
8003330,8004873,51,61,235,90,1590,Köln
8003330,8004898,19,20,261,150,990,Köln
8003330,8006713,9,21,139,0,870,Köln
8003358,8003320,60,96,112,45,780,Köln
8003358,8003330,53,61,240,90,1620,Köln
8003358,8003358,152,193,182,90,1890,Köln
8003358,8005143,31,36,232,90,1830,Köln
8003360,8003360,77,112,344,30,3870,Köln
8003360,8003371,38,55,512,180,3540,Köln
8003360,8003372,39,57,197,30,3870,Köln
8003361,8000100,3,3,230,240,300,Köln
8003361,8000209,15,16,878,630,2460,Köln
8003361,8001215,15,17,1129,690,4050,Köln
8003361,8003160,40,45,472,300,2160,Köln
8003361,8003352,0,1,-150,-150,-150,Köln
8003361,8003361,134,167,453,210,4080,Köln
8003361,8003363,54,62,433,150,4170,Köln
8003361,8003671,16,18,198,120,870,Köln
8003362,8003362,57,112,336,30,3840,Köln
8003362,8003365,38,55,514,180,3480,Köln
8003362,8003371,18,57,177,0,3870,Köln
8003363,8003330,8,8,889,705,2340,Köln
8003363,8003361,55,63,374,210,2070,Köln
8003363,8003363,113,125,432,210,4260,Köln
8003364,8000209,73,113,290,60,3690,Köln
8003364,8003364,148,226,420,60,11040,Köln
8003364,8003392,81,112,608,150,11010,Köln
8003365,8003362,19,57,178,0,3840,Köln
8003365,8003365,68,112,347,30,3840,Köln
8003365,8003366,38,55,514,180,3480,Köln
8003366,8003365,30,57,194,30,3840,Köln
8003366,8003366,67,112,350,60,3870,Köln
8003366,8079140,37,55,512,210,3480,Köln
8003367,8001566,26,57,321,0,3600,Köln
8003367,8003367,59,114,326,30,3630,Köln
8003367,8003369,27,57,354,0,3540,Köln
8003369,8000209,32,57,363,30,3570,Köln
8003369,8003367,27,57,298,0,3660,Köln
8003369,8003369,66,114,335,30,3660,Köln
8003371,8003360,40,57,194,30,3900,Köln
8003371,8003362,37,55,491,120,3450,Köln
8003371,8003371,78,112,348,60,3930,Köln
8003372,8003360,38,55,501,180,3480,Köln
8003372,8003372,62,112,337,60,3870,Köln
8003372,8003392,53,113,181,0,3870,Köln
8003373,8001506,0,10,0,0,0,Köln
8003373,8001507,30,45,464,210,2970,Köln
8003373,8003373,54,111,313,0,3960,Köln
8003373,8079140,12,57,176,0,3870,Köln
8003375,8003375,90,121,137,60,1320,Köln
8003375,8003392,40,62,115,45,1200,Köln
