from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010046,8010046,34,60,62,30,480,Leipzig
8010046,8010059,18,30,46,30,330,Leipzig
8010046,8012416,22,30,72,30,450,Leipzig
8010059,8010046,22,30,86,45,480,Leipzig
8010059,8010059,128,178,110,30,1380,Leipzig
8010059,8011491,58,89,94,60,780,Leipzig
8010059,8011626,14,39,90,0,1230,Leipzig
8010059,8013361,17,20,224,75,1380,Leipzig
8010076,8010076,49,78,64,30,600,Leipzig
8010076,8012478,0,15,0,0,0,Leipzig
8010076,8012629,35,39,88,90,300,Leipzig
8010076,8013428,14,39,45,0,780,Leipzig
8010080,8010080,27,38,30,30,150,Leipzig
8010080,8012232,14,19,32,30,150,Leipzig
8010080,8013295,1,17,2,0,30,Leipzig
8010080,8013424,4,19,8,0,60,Leipzig
8010095,8010095,6,69,3,0,180,Leipzig
8010095,8010161,1,34,1,0,30,Leipzig
8010095,8011959,3,35,6,0,90,Leipzig
8010095,8011983,14,15,64,60,240,Leipzig
8010122,8010122,33,38,146,90,630,Leipzig
8010122,8010238,14,19,129,90,570,Leipzig
8010122,8011077,15,19,167,90,630,Leipzig
8010122,8011588,17,20,104,120,210,Leipzig
8010122,8013095,5,18,17,0,120,Leipzig
8010144,8010144,12,34,18,0,180,Leipzig
8010144,8011705,6,17,23,0,150,Leipzig
8010144,8013087,6,17,9,0,30,Leipzig
8010161,8010095,7,35,14,0,270,Leipzig
8010161,8010161,18,58,22,0,300,Leipzig
8010161,8011387,1,28,2,0,60,Leipzig
8010186,8010186,71,137,25,30,330,Leipzig
8010186,8012344,40,68,34,30,330,Leipzig
8010186,8013070,31,69,16,0,120,Leipzig
8010207,8010207,106,179,64,30,540,Leipzig
8010207,8012193,78,91,92,60,510,Leipzig
8010207,8012236,17,68,21,0,330,Leipzig
8010207,8012817,2,20,14,0,150,Leipzig
8010208,8010208,76,99,89,60,1410,Leipzig
8010208,8011491,23,32,82,30,510,Leipzig
8010208,8011495,18,18,45,30,90,Leipzig
8010208,8080930,15,31,144,0,2580,Leipzig
8010209,8010209,103,192,31,30,360,Leipzig
8010209,8011771,27,68,29,0,330,Leipzig
8010209,8012192,16,28,33,30,120,Leipzig
8010209,8012193,2,2,165,165,180,Leipzig
8010209,8012236,37,69,13,30,90,Leipzig
8010228,8010228,119,156,49,30,300,Leipzig
8010228,8011598,44,78,52,30,270,Leipzig
8010228,8012308,73,77,42,30,120,Leipzig
8010228,8013471,0,1,0,0,0,Leipzig
8010238,8010122,17,19,175,120,660,Leipzig
8010238,8010238,30,38,152,90,660,Leipzig
8010238,8011297,13,19,133,90,570,Leipzig
8010269,8010269,12,55,20,0,270,Leipzig
8010269,8012682,2,28,2,0,30,Leipzig
8010269,8013447,9,27,44,0,360,Leipzig
8010351,8012371,17,30,51,60,240,Leipzig
8010359,8010359,27,38,30,30,150,Leipzig
8010359,8012946,14,19,30,30,150,Leipzig
8010359,8013033,11,19,21,30,90,Leipzig
8011018,8011018,63,78,105,60,1200,Leipzig
8011018,8012284,37,39,109,60,840,Leipzig
8011018,8013362,27,39,112,30,1200,Leipzig
8011077,8010122,16,19,125,60,540,Leipzig
8011077,8011077,64,74,127,90,660,Leipzig
8011077,8011132,0,1,0,0,0,Leipzig
8011077,8011914,11,18,123,60,570,Leipzig
8011077,8012178,13,18,93,60,480,Leipzig
8011077,8012228,1,1,90,90,90,Leipzig
8011132,8011077,1,1,210,210,210,Leipzig
8011132,8011132,32,38,93,60,510,Leipzig
8011132,8012228,0,1,0,0,0,Leipzig
8011132,8012526,15,18,100,60,480,Leipzig
8011132,8012597,11,18,73,60,480,Leipzig
8011242,8011242,29,40,40,30,120,Leipzig
8011242,8012241,33,40,52,60,120,Leipzig
8011242,8012623,10,19,24,30,120,Leipzig
8011339,8011339,46,59,154,90,1290,Leipzig
8011339,8012117,21,29,133,60,630,Leipzig
8011339,8013461,22,30,168,90,1290,Leipzig
8011387,8010161,28,32,63,60,300,Leipzig
8011387,8011387,35,60,32,30,270,Leipzig
8011387,8012371,7,28,9,0,60,Leipzig
8011491,8010008,24,38,92,60,780,Leipzig
8011491,8010059,56,89,116,30,1380,Leipzig
8011491,8010208,16,31,66,30,360,Leipzig
8011491,8011491,106,178,100,30,1380,Leipzig
8011495,8010208,17,18,123,105,570,Leipzig
8011495,8011495,34,36,89,60,570,Leipzig
8011495,8012375,14,18,52,60,120,Leipzig
8011588,8010122,12,19,28,30,90,Leipzig
8011588,8011588,32,39,45,30,120,Leipzig
8011588,8012463,20,21,51,60,120,Leipzig
8011598,8010228,18,77,8,0,90,Leipzig
8011598,8011598,39,81,30,0,270,Leipzig
8011598,8011745,23,40,44,30,270,Leipzig
8011626,8010059,36,39,89,60,720,Leipzig
8011626,8011626,62,78,98,30,1230,Leipzig
8011626,8012284,27,39,119,60,1260,Leipzig
8011705,8010144,2,17,7,0,60,Leipzig
8011705,8011705,13,34,16,0,90,Leipzig
8011705,8011763,13,30,14,0,60,Leipzig
8011745,8011598,34,41,51,60,180,Leipzig
8011745,8011745,56,81,45,30,270,Leipzig
8011745,8013471,23,40,38,30,240,Leipzig
8011753,8011753,30,42,101,30,540,Leipzig
8011753,8012080,9,20,48,0,330,Leipzig
8011753,8012311,14,22,132,60,540,Leipzig
8011755,8011755,26,36,71,60,480,Leipzig
8011755,8012228,16,18,132,120,540,Leipzig
