from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000056,8005788,9,18,-28,15,270,Luneburg
8000088,8000088,37,47,200,150,630,Luneburg
8000088,8001502,16,18,263,225,630,Luneburg
8000088,8004183,6,8,315,105,1680,Luneburg
8000088,8005594,15,18,247,210,630,Luneburg
8000088,8006090,4,9,77,0,390,Luneburg
8000089,8000089,21,32,52,30,390,Luneburg
8000089,8000434,7,23,18,0,240,Luneburg
8000089,8002565,10,17,44,30,330,Luneburg
8000089,8003002,12,16,41,30,180,Luneburg
8000413,8000413,44,61,164,60,1140,Luneburg
8000413,8000586,4,8,26,15,90,Luneburg
8000413,8000773,3,4,188,180,390,Luneburg
8000413,8001160,21,31,225,90,1140,Luneburg
8000413,8001489,16,18,117,60,1050,Luneburg
8000440,8000440,11,18,95,45,270,Luneburg
8000440,8000445,5,9,87,30,240,Luneburg
8000440,8010172,6,7,133,60,270,Luneburg
8000440,8012673,1,2,15,15,30,Luneburg
8000445,8000440,4,9,80,0,270,Luneburg
8000445,8000445,10,18,90,30,300,Luneburg
8000445,8006402,6,9,113,60,300,Luneburg
8000586,8000413,7,8,109,75,390,Luneburg
8000586,8000586,18,25,130,60,750,Luneburg
8000586,8001489,2,3,170,150,360,Luneburg
8000586,8001924,5,5,324,150,720,Luneburg
8000586,8006090,4,9,13,0,30,Luneburg
8000773,8000413,5,5,360,150,810,Luneburg
8000773,8000773,7,9,260,150,780,Luneburg
8000773,8001924,2,4,158,135,360,Luneburg
8000815,8000815,16,34,19,0,210,Luneburg
8000815,8002674,10,17,23,30,60,Luneburg
8000815,8006475,3,17,16,0,180,Luneburg
8000935,8000935,2,2,1335,1335,1920,Luneburg
8001185,8001185,7,16,246,0,2940,Luneburg
8001185,8001645,6,8,476,60,2910,Luneburg
8001185,8004183,2,8,71,0,540,Luneburg
8001258,8001258,19,36,137,45,540,Luneburg
8001258,8002575,7,18,47,0,240,Luneburg
8001258,8002967,12,18,207,195,540,Luneburg
8001315,8001315,44,81,60,30,720,Luneburg
8001315,8003002,12,16,88,60,420,Luneburg
8001315,8004247,21,39,46,30,300,Luneburg
8001315,8004302,16,26,120,30,900,Luneburg
8001316,8001316,22,34,29,30,210,Luneburg
8001316,8004727,12,17,62,30,450,Luneburg
8001316,8006475,11,17,32,30,90,Luneburg
8001352,8004727,4,17,9,0,60,Luneburg
8001489,8000413,16,18,215,45,1110,Luneburg
8001489,8000586,3,3,520,570,780,Luneburg
8001489,8001489,37,42,191,60,1170,Luneburg
8001489,8001949,18,21,147,60,1080,Luneburg
8001502,8000088,15,18,263,195,720,Luneburg
8001502,8001502,34,36,287,255,750,Luneburg
8001502,8001958,18,18,283,240,660,Luneburg
8001645,8001185,2,8,30,0,180,Luneburg
8001645,8001645,5,16,262,0,2880,Luneburg
8001924,8000586,3,4,150,150,330,Luneburg
8001924,8000773,5,5,330,180,780,Luneburg
8001924,8001924,8,9,250,180,750,Luneburg
8001958,8001502,16,18,283,240,690,Luneburg
8001958,8001958,31,36,269,240,630,Luneburg
8001958,8006193,15,18,258,240,630,Luneburg
8002565,8000089,11,17,32,30,120,Luneburg
8002565,8002565,17,34,33,15,300,Luneburg
8002565,8002843,4,17,25,0,270,Luneburg
8002575,8001258,14,18,227,210,570,Luneburg
8002575,8002575,27,36,164,150,570,Luneburg
8002575,8006489,13,18,172,180,540,Luneburg
8002674,8000815,7,17,34,0,240,Luneburg
8002674,8002674,18,34,27,30,240,Luneburg
8002674,8002843,11,17,28,30,90,Luneburg
8002843,8002565,12,17,48,60,150,Luneburg
8002843,8002674,10,17,37,30,270,Luneburg
8002843,8002843,22,34,36,30,270,Luneburg
8002884,8002884,31,36,214,225,540,Luneburg
8002884,8005457,16,18,262,240,540,Luneburg
8002884,8006193,15,18,255,225,510,Luneburg
8002967,8001258,11,18,62,30,300,Luneburg
8002967,8002967,23,36,136,60,540,Luneburg
8002967,8005788,12,18,192,195,510,Luneburg
8003002,8000089,8,16,66,15,420,Luneburg
8003002,8001315,8,16,38,15,330,Luneburg
8003002,8001493,11,26,99,-30,930,Luneburg
8003002,8003002,40,81,58,0,930,Luneburg
8003002,8004302,12,23,31,30,270,Luneburg
8003700,8003700,31,36,214,180,600,Luneburg
8003700,8003957,16,18,287,240,600,Luneburg
8003700,8005457,15,18,162,165,450,Luneburg
8004183,8000088,3,8,64,0,450,Luneburg
8004183,8001185,7,8,488,105,2970,Luneburg
8004183,8004183,9,16,308,30,3000,Luneburg
