from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010047,8010047,69,82,311,90,3120,Magdeburg
8010047,8010226,1,1,240,240,240,Magdeburg
8010047,8011630,13,17,238,60,2520,Magdeburg
8010047,8011673,4,4,180,135,390,Magdeburg
8010047,8012066,15,19,122,60,510,Magdeburg
8010047,8013455,39,41,473,330,3120,Magdeburg
8010070,8010070,51,55,368,180,2610,Magdeburg
8010070,8010084,19,21,351,180,2220,Magdeburg
8010070,8010318,4,7,111,60,390,Magdeburg
8010070,8010343,1,1,60,60,60,Magdeburg
8010070,8011323,6,10,156,30,540,Magdeburg
8010070,8012830,18,19,493,180,2640,Magdeburg
8010071,8010071,19,20,194,135,510,Magdeburg
8010071,8011323,10,10,231,165,510,Magdeburg
8010071,8012507,10,10,207,105,510,Magdeburg
8010084,8010070,19,19,499,180,2580,Magdeburg
8010084,8010084,40,40,423,180,2550,Magdeburg
8010084,8013465,21,21,360,180,2130,Magdeburg
8010086,8010086,49,74,219,60,2610,Magdeburg
8010086,8012289,12,37,147,0,2460,Magdeburg
8010086,8013344,35,37,285,150,2610,Magdeburg
8010096,8010096,38,39,327,120,2820,Magdeburg
8010096,8012599,17,20,272,90,2130,Magdeburg
8010096,8013248,18,19,396,150,2820,Magdeburg
8010123,8010123,32,42,334,120,2970,Magdeburg
8010123,8010151,19,22,461,360,2340,Magdeburg
8010123,8013365,12,21,281,60,2910,Magdeburg
8010151,8010123,13,21,293,60,3000,Magdeburg
8010151,8010151,34,43,372,150,2970,Magdeburg
8010151,8011294,20,22,488,405,2370,Magdeburg
8010157,8010157,80,84,364,240,1920,Magdeburg
8010157,8010169,9,10,246,135,780,Magdeburg
8010157,8010254,35,37,477,420,2160,Magdeburg
8010157,8010364,14,26,249,60,2550,Magdeburg
8010157,8010374,9,9,527,330,1680,Magdeburg
8010157,8011599,11,16,112,60,390,Magdeburg
8010157,8011808,12,15,510,420,1470,Magdeburg
8010157,8011838,1,1,30,30,30,Magdeburg
8010158,8010158,27,33,439,240,1680,Magdeburg
8010158,8010226,1,1,1080,1080,1080,Magdeburg
8010158,8010261,1,1,720,720,720,Magdeburg
8010158,8011111,3,3,970,1110,1320,Magdeburg
8010158,8011544,12,15,354,210,1020,Magdeburg
8010158,8013180,14,21,360,150,1680,Magdeburg
8010169,8010157,10,11,205,150,750,Magdeburg
8010169,8010169,19,21,213,120,780,Magdeburg
8010169,8010374,9,10,231,120,780,Magdeburg
8010172,8000440,7,8,292,60,1200,Magdeburg
8010172,8010172,34,43,195,30,1410,Magdeburg
8010172,8011277,10,13,162,30,750,Magdeburg
8010172,8012014,9,13,252,60,1440,Magdeburg
8010172,8013083,5,8,86,30,330,Magdeburg
8010226,8010047,4,4,218,150,540,Magdeburg
8010226,8010158,2,3,110,150,180,Magdeburg
8010226,8010226,206,264,270,75,3150,Magdeburg
8010226,8011111,1,1,240,240,240,Magdeburg
8010226,8011294,14,18,127,60,480,Magdeburg
