from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010016,8010016,18,32,20,30,60,Mecklenburg-Vorpommern
8010016,8011031,0,16,0,0,0,Mecklenburg-Vorpommern
8010016,8012729,0,16,0,0,0,Mecklenburg-Vorpommern
8010051,8010051,14,38,37,0,390,Mecklenburg-Vorpommern
8010051,8010153,5,9,60,30,300,Mecklenburg-Vorpommern
8010051,8010322,10,10,63,30,270,Mecklenburg-Vorpommern
8010051,8013186,7,19,24,0,180,Mecklenburg-Vorpommern
8010141,8010141,12,35,25,0,150,Mecklenburg-Vorpommern
8010141,8011702,4,9,27,0,90,Mecklenburg-Vorpommern
8010141,8012651,1,8,11,0,90,Mecklenburg-Vorpommern
8010141,8012902,4,8,15,15,120,Mecklenburg-Vorpommern
8010153,8010051,4,9,20,0,60,Mecklenburg-Vorpommern
8010153,8010153,40,54,51,30,360,Mecklenburg-Vorpommern
8010153,8010201,8,9,57,30,150,Mecklenburg-Vorpommern
8010153,8010284,4,18,30,0,270,Mecklenburg-Vorpommern
8010153,8012269,1,9,3,0,30,Mecklenburg-Vorpommern
8010156,8010156,27,36,62,30,240,Mecklenburg-Vorpommern
8010156,8011798,3,8,26,0,150,Mecklenburg-Vorpommern
8010156,8012677,9,10,99,60,270,Mecklenburg-Vorpommern
8010156,8012951,7,10,69,90,240,Mecklenburg-Vorpommern
8010156,8013069,3,8,26,0,120,Mecklenburg-Vorpommern
8010173,8010173,26,37,88,30,660,Mecklenburg-Vorpommern
8010173,8012951,13,18,107,60,390,Mecklenburg-Vorpommern
8010173,8013073,12,18,88,60,660,Mecklenburg-Vorpommern
8010173,8013370,1,1,60,60,60,Mecklenburg-Vorpommern
8010176,8010176,14,32,16,0,90,Mecklenburg-Vorpommern
8010176,8010381,1,16,4,0,60,Mecklenburg-Vorpommern
8010176,8011995,13,16,39,30,120,Mecklenburg-Vorpommern
8010179,8010179,26,33,177,150,480,Mecklenburg-Vorpommern
8010179,8011536,9,10,279,255,510,Mecklenburg-Vorpommern
8010179,8012418,8,8,139,105,240,Mecklenburg-Vorpommern
8010179,8012839,6,7,137,90,360,Mecklenburg-Vorpommern
8010179,8013131,7,7,240,210,420,Mecklenburg-Vorpommern
8010199,8010199,16,36,40,0,270,Mecklenburg-Vorpommern
8010199,8010284,9,18,32,15,240,Mecklenburg-Vorpommern
8010199,8012436,10,18,55,30,360,Mecklenburg-Vorpommern
8010201,8010153,7,9,107,60,360,Mecklenburg-Vorpommern
8010201,8010201,12,18,98,75,360,Mecklenburg-Vorpommern
8010201,8012093,7,9,87,90,270,Mecklenburg-Vorpommern
8010210,8010210,22,29,50,30,300,Mecklenburg-Vorpommern
8010210,8012683,7,13,58,30,270,Mecklenburg-Vorpommern
8010210,8012832,12,15,80,60,270,Mecklenburg-Vorpommern
8010210,8013104,9,14,41,30,150,Mecklenburg-Vorpommern
8010213,8010213,10,16,167,60,540,Mecklenburg-Vorpommern
8010213,8011689,6,8,188,120,480,Mecklenburg-Vorpommern
8010213,8013393,4,8,158,15,630,Mecklenburg-Vorpommern
8010227,8010227,19,36,50,30,270,Mecklenburg-Vorpommern
8010227,8010348,14,18,92,60,300,Mecklenburg-Vorpommern
8010227,8012758,14,18,57,30,210,Mecklenburg-Vorpommern
8010241,8010241,42,52,168,90,1080,Mecklenburg-Vorpommern
8010241,8011025,9,12,352,210,1050,Mecklenburg-Vorpommern
8010241,8011293,13,19,178,180,600,Mecklenburg-Vorpommern
8010241,8012376,9,18,27,15,300,Mecklenburg-Vorpommern
8010241,8013017,10,15,144,60,570,Mecklenburg-Vorpommern
8010267,8011403,2,9,13,0,90,Mecklenburg-Vorpommern
8010267,8013018,0,9,0,0,0,Mecklenburg-Vorpommern
8010284,8010153,10,18,35,30,240,Mecklenburg-Vorpommern
8010284,8010199,10,18,43,30,270,Mecklenburg-Vorpommern
8010284,8010284,19,36,36,30,270,Mecklenburg-Vorpommern
8010300,8010300,22,35,60,30,330,Mecklenburg-Vorpommern
8010300,8011611,7,10,75,60,300,Mecklenburg-Vorpommern
8010300,8012377,6,8,49,45,120,Mecklenburg-Vorpommern
8010300,8012582,2,9,0,0,60,Mecklenburg-Vorpommern
8010322,8010051,4,10,12,0,60,Mecklenburg-Vorpommern
8010322,8010322,21,37,29,30,180,Mecklenburg-Vorpommern
8010322,8011924,7,9,47,60,90,Mecklenburg-Vorpommern
8010322,8012362,2,8,11,0,60,Mecklenburg-Vorpommern
8010325,8010325,12,36,32,0,360,Mecklenburg-Vorpommern
8010325,8012940,6,18,53,0,330,Mecklenburg-Vorpommern
8010325,8012951,5,9,23,30,60,Mecklenburg-Vorpommern
8010325,8013354,6,9,20,30,30,Mecklenburg-Vorpommern
8010339,8010339,21,30,123,60,480,Mecklenburg-Vorpommern
8010339,8011213,12,15,168,90,480,Mecklenburg-Vorpommern
8010339,8012555,10,15,132,30,420,Mecklenburg-Vorpommern
8010348,8010227,3,18,20,0,150,Mecklenburg-Vorpommern
8010348,8010348,24,36,56,45,270,Mecklenburg-Vorpommern
8010348,8012436,4,18,23,0,270,Mecklenburg-Vorpommern
8010381,8010176,14,16,32,30,90,Mecklenburg-Vorpommern
8010381,8012321,2,17,12,0,180,Mecklenburg-Vorpommern
8010392,8010392,0,39,0,0,0,Mecklenburg-Vorpommern
8010392,8013132,0,19,0,0,0,Mecklenburg-Vorpommern
8010392,8013133,0,16,0,0,0,Mecklenburg-Vorpommern
8010392,8013385,0,20,0,0,0,Mecklenburg-Vorpommern
8011017,8011017,12,29,43,0,420,Mecklenburg-Vorpommern
8011017,8012711,8,15,72,30,390,Mecklenburg-Vorpommern
8011017,8013062,2,14,6,0,60,Mecklenburg-Vorpommern
8011025,8010241,10,12,182,135,630,Mecklenburg-Vorpommern
8011025,8011025,18,24,289,195,1410,Mecklenburg-Vorpommern
8011025,8011646,9,12,392,195,1800,Mecklenburg-Vorpommern
8011027,8011027,11,19,68,30,300,Mecklenburg-Vorpommern
8011027,8011281,6,10,81,45,300,Mecklenburg-Vorpommern
8011027,8012762,3,9,37,0,270,Mecklenburg-Vorpommern
8011031,8010016,10,17,37,30,120,Mecklenburg-Vorpommern
8011031,8011031,8,33,13,0,60,Mecklenburg-Vorpommern
8011031,8012609,0,16,0,0,0,Mecklenburg-Vorpommern
8011044,8011044,16,19,142,90,450,Mecklenburg-Vorpommern
8011044,8011438,8,9,97,60,330,Mecklenburg-Vorpommern
8011044,8012021,8,10,174,165,450,Mecklenburg-Vorpommern
8011108,8011108,0,39,0,0,0,Mecklenburg-Vorpommern
8011108,8013132,0,20,0,0,0,Mecklenburg-Vorpommern
8011108,8013341,0,19,0,0,0,Mecklenburg-Vorpommern
8011109,8011109,0,39,0,0,0,Mecklenburg-Vorpommern
8011109,8012892,0,19,0,0,0,Mecklenburg-Vorpommern
8011109,8087026,0,20,0,0,0,Mecklenburg-Vorpommern
8011114,8012005,0,15,0,0,0,Mecklenburg-Vorpommern
8011140,8011140,6,16,26,0,120,Mecklenburg-Vorpommern
8011140,8012377,5,8,49,60,120,Mecklenburg-Vorpommern
8011140,8012806,1,8,8,0,60,Mecklenburg-Vorpommern
8011205,8010399,9,9,253,240,540,Mecklenburg-Vorpommern
8011205,8011205,18,21,320,270,1110,Mecklenburg-Vorpommern
8011205,8011307,9,10,405,240,1110,Mecklenburg-Vorpommern
8011213,8010339,9,15,88,30,510,Mecklenburg-Vorpommern
8011213,8011213,26,30,153,75,540,Mecklenburg-Vorpommern
8011213,8012610,6,7,210,180,450,Mecklenburg-Vorpommern
8011230,8011230,17,20,99,75,330,Mecklenburg-Vorpommern
8011230,8011248,9,10,96,135,240,Mecklenburg-Vorpommern
8011230,8012933,9,10,108,60,360,Mecklenburg-Vorpommern
8011248,8011230,8,10,96,60,300,Mecklenburg-Vorpommern
8011248,8011248,18,20,104,90,300,Mecklenburg-Vorpommern
8011248,8012677,9,10,87,120,180,Mecklenburg-Vorpommern
8011270,8011270,9,31,12,0,90,Mecklenburg-Vorpommern
8011270,8011729,9,16,26,30,90,Mecklenburg-Vorpommern
8011270,8012785,0,15,0,0,0,Mecklenburg-Vorpommern
8011281,8011027,1,9,27,0,240,Mecklenburg-Vorpommern
8011281,8011281,6,19,52,0,300,Mecklenburg-Vorpommern
8011281,8012316,4,10,60,0,270,Mecklenburg-Vorpommern
8011293,8010241,13,18,277,150,1140,Mecklenburg-Vorpommern
8011293,8011293,30,37,244,150,1170,Mecklenburg-Vorpommern
8011293,8011307,9,11,243,240,600,Mecklenburg-Vorpommern
8011307,8011205,10,11,226,270,570,Mecklenburg-Vorpommern
8011307,8011293,9,10,408,240,1170,Mecklenburg-Vorpommern
8011307,8011307,19,21,313,270,1140,Mecklenburg-Vorpommern
8011326,8011326,5,18,8,0,30,Mecklenburg-Vorpommern
8011326,8012824,1,9,3,0,30,Mecklenburg-Vorpommern
8011326,8013079,2,9,7,0,30,Mecklenburg-Vorpommern
8011356,8011356,13,24,271,75,1620,Mecklenburg-Vorpommern
8011356,8012710,6,12,312,135,1620,Mecklenburg-Vorpommern
8011356,8013177,7,12,212,60,960,Mecklenburg-Vorpommern
8011403,8010267,0,9,0,0,0,Mecklenburg-Vorpommern
8011403,8011403,1,18,3,0,60,Mecklenburg-Vorpommern
8011403,8011582,1,9,3,0,30,Mecklenburg-Vorpommern
8011438,8011044,9,10,201,165,450,Mecklenburg-Vorpommern
8011438,8011438,17,19,167,150,510,Mecklenburg-Vorpommern
8011438,8011536,7,9,90,60,330,Mecklenburg-Vorpommern
8011442,8011442,4,17,12,0,60,Mecklenburg-Vorpommern
8011442,8012474,4,9,13,0,30,Mecklenburg-Vorpommern
8011442,8013018,2,8,15,0,60,Mecklenburg-Vorpommern
8011456,8011456,11,14,154,150,390,Mecklenburg-Vorpommern
8011456,8013131,6,7,116,120,300,Mecklenburg-Vorpommern
8011456,8013162,7,7,257,210,420,Mecklenburg-Vorpommern
8011481,8011481,17,24,246,75,1500,Mecklenburg-Vorpommern
8011481,8013322,10,12,225,75,1260,Mecklenburg-Vorpommern
8011481,8013373,6,12,260,90,1500,Mecklenburg-Vorpommern
8011536,8010179,4,9,50,0,270,Mecklenburg-Vorpommern
8011536,8011438,10,10,264,225,540,Mecklenburg-Vorpommern
8011536,8011536,16,19,182,150,540,Mecklenburg-Vorpommern
8011582,8011403,0,9,0,0,0,Mecklenburg-Vorpommern
8011582,8011582,0,18,0,0,0,Mecklenburg-Vorpommern
8011582,8012824,0,9,0,0,0,Mecklenburg-Vorpommern
8011592,8011592,4,16,17,0,90,Mecklenburg-Vorpommern
8011592,8011908,3,8,22,0,60,Mecklenburg-Vorpommern
8011592,8012274,1,8,11,0,90,Mecklenburg-Vorpommern
