from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000365,8000365,16,20,356,165,2100,Mittelfranken
8000365,8003664,13,18,307,30,2130,Mittelfranken
8000365,8005388,9,10,201,105,960,Mittelfranken
8000385,8003554,3,16,19,0,240,Mittelfranken
8000420,8000420,27,41,45,30,330,Mittelfranken
8000420,8001877,13,20,60,30,390,Mittelfranken
8000420,8007856,8,21,26,0,150,Mittelfranken
8000498,8000498,18,25,870,420,3510,Mittelfranken
8000498,8003256,9,13,764,150,3510,Mittelfranken
8000504,8000504,40,97,80,0,1260,Mittelfranken
8000504,8000509,23,49,110,0,1230,Mittelfranken
8000504,8003762,12,48,36,0,810,Mittelfranken
8000511,8000511,60,68,153,105,720,Mittelfranken
8000511,8002153,32,34,215,180,780,Mittelfranken
8000511,8006666,30,34,136,90,480,Mittelfranken
8000767,8000767,15,35,26,0,120,Mittelfranken
8000767,8003058,4,17,14,0,60,Mittelfranken
8000767,8003083,5,18,15,0,90,Mittelfranken
8000783,8000783,56,78,144,60,1200,Mittelfranken
8000783,8001223,24,39,68,30,360,Mittelfranken
8000783,8003238,29,39,201,150,1170,Mittelfranken
8000850,8000850,41,49,125,60,540,Mittelfranken
8000850,8003768,2,2,150,150,210,Mittelfranken
8000850,8004471,1,1,90,90,90,Mittelfranken
8000850,8004478,20,21,184,120,540,Mittelfranken
8000850,8005209,21,24,105,60,360,Mittelfranken
8001223,8000783,32,39,224,180,1200,Mittelfranken
8001223,8001223,59,78,152,90,1230,Mittelfranken
8001223,8001846,28,39,80,30,420,Mittelfranken
8001277,8001277,14,35,28,0,180,Mittelfranken
8001277,8004724,10,18,38,30,180,Mittelfranken
8001317,8001674,24,34,99,60,660,Mittelfranken
8001450,8001450,15,35,40,0,210,Mittelfranken
8001450,8001548,8,17,56,0,180,Mittelfranken
8001450,8004323,6,18,25,0,150,Mittelfranken
8001548,8001450,4,18,15,0,90,Mittelfranken
8001548,8001548,11,35,32,0,180,Mittelfranken
8001548,8003083,7,17,46,0,180,Mittelfranken
8001655,8001655,17,38,45,0,300,Mittelfranken
8001655,8002838,11,19,66,30,300,Mittelfranken
8001655,8003734,6,19,22,0,270,Mittelfranken
8001674,8001317,33,34,248,180,1260,Mittelfranken
8001674,8001674,56,68,176,90,750,Mittelfranken
8001674,8006267,31,34,177,90,780,Mittelfranken
8001749,8001749,47,68,228,60,2730,Mittelfranken
8001749,8004835,21,34,190,60,2700,Mittelfranken
8001749,8006298,25,34,266,75,2340,Mittelfranken
8001762,8001762,77,96,191,120,1290,Mittelfranken
8001762,8001845,40,48,235,150,1290,Mittelfranken
8001762,8006052,33,48,138,90,630,Mittelfranken
8001783,8001783,60,77,157,90,960,Mittelfranken
8001783,8002517,21,23,163,90,720,Mittelfranken
8001783,8004323,14,18,260,195,930,Mittelfranken
8001783,8004336,13,21,73,60,390,Mittelfranken
8001783,8005557,11,15,114,60,360,Mittelfranken
8001845,8001762,36,48,149,120,660,Mittelfranken
8001845,8001845,85,96,180,120,1260,Mittelfranken
8001845,8001846,47,48,252,150,1260,Mittelfranken
8001846,8001223,32,39,236,180,1260,Mittelfranken
8001846,8001845,35,48,89,60,450,Mittelfranken
8001846,8001846,77,96,160,90,1260,Mittelfranken
8001875,8001875,26,42,66,30,330,Mittelfranken
8001875,8002029,13,19,71,60,330,Mittelfranken
8001875,8002340,0,2,0,0,0,Mittelfranken
8001875,8002416,17,24,76,45,300,Mittelfranken
8001875,8002783,2,3,20,30,30,Mittelfranken
8001877,8000420,15,21,54,60,180,Mittelfranken
8001877,8001877,25,41,41,30,390,Mittelfranken
8001877,8003878,8,20,38,0,360,Mittelfranken
8001978,8001978,147,191,114,60,1410,Mittelfranken
8001978,8001988,35,47,131,120,450,Mittelfranken
8001978,8001989,37,54,62,60,240,Mittelfranken
8001978,8002520,28,49,132,30,1290,Mittelfranken
8001989,8001978,32,56,134,30,1470,Mittelfranken
8001989,8001989,76,110,96,30,1380,Mittelfranken
8001989,8004493,28,54,48,30,240,Mittelfranken
8002029,8001875,10,21,64,0,360,Mittelfranken
8002029,8002029,27,40,71,30,360,Mittelfranken
8002029,8005219,11,19,69,30,300,Mittelfranken
8002149,8002149,58,68,176,120,780,Mittelfranken
8002149,8002153,18,34,85,30,420,Mittelfranken
8002152,8002152,63,84,105,60,510,Mittelfranken
8002152,8002155,35,43,127,90,480,Mittelfranken
8002152,8005557,24,41,80,30,480,Mittelfranken
8002153,8000511,25,34,110,60,450,Mittelfranken
8002153,8002149,33,34,228,180,750,Mittelfranken
8002153,8002153,55,68,153,90,750,Mittelfranken
8002155,8002152,29,41,91,60,540,Mittelfranken
8002155,8002155,66,84,116,60,570,Mittelfranken
8002237,8002237,51,70,227,60,2730,Mittelfranken
8002237,8004115,19,21,311,150,2370,Mittelfranken
8002237,8004835,10,14,178,60,780,Mittelfranken
8002237,8005185,7,12,110,30,570,Mittelfranken
8002237,8005995,16,23,248,60,2730,Mittelfranken
8002416,8001875,21,27,73,60,240,Mittelfranken
8002416,8002416,38,51,74,60,330,Mittelfranken
8002416,8003154,18,24,89,60,360,Mittelfranken
8002517,8001783,17,21,104,60,480,Mittelfranken
8002517,8002517,38,44,134,75,720,Mittelfranken
8002517,8004901,20,22,175,135,750,Mittelfranken
8002517,8005557,1,1,120,120,120,Mittelfranken
8002520,8001978,31,48,64,30,840,Mittelfranken
8002520,8002520,73,97,99,30,1290,Mittelfranken
8002520,8006476,44,49,167,60,1320,Mittelfranken
8002578,8002578,40,44,200,120,870,Mittelfranken
8002578,8002793,20,22,191,120,660,Mittelfranken
8002578,8004858,20,22,222,135,870,Mittelfranken
8002596,8002596,22,41,50,30,270,Mittelfranken
8002596,8003552,11,21,47,30,210,Mittelfranken
8002596,8003567,13,20,66,30,300,Mittelfranken
8002609,8002609,14,36,22,0,150,Mittelfranken
8002609,8005485,2,18,13,0,120,Mittelfranken
8002612,8001929,39,41,155,120,600,Mittelfranken
8002612,8002612,75,79,170,120,570,Mittelfranken
8002612,8002794,37,38,182,120,570,Mittelfranken
8002612,8004858,15,22,169,105,630,Mittelfranken
8002678,8002678,32,40,77,30,780,Mittelfranken
8002678,8005383,14,20,50,30,360,Mittelfranken
8002678,8005572,16,20,100,60,780,Mittelfranken
8002705,8002705,87,107,165,60,2070,Mittelfranken
8002705,8004797,33,44,102,30,810,Mittelfranken
8002705,8004926,34,44,153,90,2010,Mittelfranken
8002705,8005177,8,9,327,30,2070,Mittelfranken
8002705,8006390,7,10,222,135,870,Mittelfranken
8002751,8002751,50,79,135,30,870,Mittelfranken
