from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000047,8000047,52,74,256,150,2220,Munster
8000047,8001107,28,37,275,210,1740,Munster
8000047,8001904,23,41,245,30,2490,Munster
8000062,8000062,30,38,108,75,660,Munster
8000062,8004001,11,19,69,30,600,Munster
8000062,8005712,13,19,90,30,630,Munster
8000066,8000066,31,31,538,300,3930,Munster
8000066,8001343,5,19,24,0,180,Munster
8000066,8002972,14,16,548,285,3330,Munster
8000066,8003658,13,17,362,300,1080,Munster
8000083,8000083,132,147,329,210,3180,Munster
8000083,8000145,25,27,309,300,930,Munster
8000083,8001266,32,38,278,210,1470,Munster
8000083,8003658,18,18,363,135,3180,Munster
8000083,8003783,10,17,312,240,1080,Munster
8000083,8005811,28,29,379,210,1860,Munster
8000083,8006361,17,17,482,210,1530,Munster
8000125,8000125,48,67,266,120,1980,Munster
8000125,8001107,25,37,245,90,1980,Munster
8000125,8002224,11,15,206,120,900,Munster
8000125,8002795,14,18,348,180,1710,Munster
8000145,8000083,16,18,433,240,1560,Munster
8000145,8000145,96,112,315,210,1680,Munster
8000145,8001900,18,18,448,360,1140,Munster
8000145,8003890,11,16,345,105,1980,Munster
8000145,8003891,37,42,341,180,1680,Munster
8000145,8005811,28,38,254,180,1350,Munster
8000382,8000382,51,67,193,60,3480,Munster
8000382,8001808,9,16,38,30,300,Munster
8000382,8004613,14,19,101,30,630,Munster
8000382,8400011,21,37,218,60,3180,Munster
8000437,8000437,24,32,385,180,2850,Munster
8000437,8001808,12,16,495,255,2820,Munster
8000437,8003608,12,16,302,120,960,Munster
8000441,8000441,67,72,287,225,1110,Munster
8000441,8002680,33,35,290,330,750,Munster
8000441,8004251,35,37,290,180,1230,Munster
8000462,8000462,48,55,267,120,1890,Munster
8000462,8001065,25,27,250,120,1860,Munster
8000518,8000518,24,38,62,30,570,Munster
8000518,8004426,5,19,36,0,450,Munster
8000518,8004461,7,19,49,0,450,Munster
8000569,8000569,41,42,720,630,1890,Munster
8000569,8001390,21,21,637,540,1560,Munster
8000595,8000595,66,76,278,180,1860,Munster
8000595,8001065,30,38,282,180,1290,Munster
8000595,8001266,34,38,293,180,1860,Munster
8000623,8000623,42,42,739,660,1860,Munster
8000623,8001323,20,21,566,480,1410,Munster
8000623,8001390,21,21,830,720,1830,Munster
8000846,8000846,20,35,118,30,1110,Munster
8000846,8001335,15,18,138,30,1110,Munster
8000846,8006206,9,18,142,15,1080,Munster
8000887,8000164,16,16,249,240,510,Munster
8000887,8000887,96,115,271,210,1560,Munster
8000887,8001900,20,21,319,180,1620,Munster
8000887,8003891,33,42,244,180,1380,Munster
8000970,8000970,26,39,72,60,210,Munster
8000970,8002670,11,19,28,30,90,Munster
8000970,8003804,20,20,158,165,240,Munster
8001065,8000462,24,28,288,210,1050,Munster
8001065,8000595,35,38,267,180,1890,Munster
8001065,8001065,66,76,277,150,1890,Munster
8001096,8001096,30,38,113,75,660,Munster
8001096,8004461,16,19,126,90,660,Munster
8001096,8005712,13,19,87,60,600,Munster
8001183,8001183,62,74,330,195,1860,Munster
8001183,8003212,22,28,328,195,1830,Munster
8001183,8003640,9,9,740,660,1740,Munster
8001183,8006361,31,37,243,150,1260,Munster
8001266,8000083,34,38,291,180,1800,Munster
8001266,8000595,32,38,287,225,1530,Munster
8001266,8001266,65,76,287,210,1830,Munster
8001323,8000623,21,21,817,720,1860,Munster
8001323,8001323,42,42,659,600,1860,Munster
8001323,8006348,21,21,586,450,1500,Munster
8001327,8000164,77,90,247,180,1740,Munster
8001327,8001327,149,180,239,180,2280,Munster
8001327,8001543,71,90,224,120,2280,Munster
8001328,8001328,24,33,94,60,360,Munster
8001328,8001329,9,17,74,60,300,Munster
8001328,8002779,12,16,103,75,360,Munster
8001329,8001328,12,16,98,60,360,Munster
8001329,8001329,22,33,79,30,360,Munster
8001329,8001528,13,17,83,60,330,Munster
8001343,8000066,14,20,27,30,90,Munster
8001343,8001343,32,39,45,30,180,Munster
8001343,8003804,18,19,87,60,180,Munster
8001390,8000569,20,21,779,630,1890,Munster
8001390,8000623,21,21,643,540,1530,Munster
8001390,8001390,41,42,730,660,1860,Munster
8001558,8001061,11,17,148,90,870,Munster
8001558,8001558,80,99,302,120,1830,Munster
8001558,8002841,12,17,355,150,1680,Munster
8001558,8003986,29,32,194,135,720,Munster
8001558,8005102,30,33,491,300,1800,Munster
8001782,8001782,47,55,179,90,1140,Munster
8001782,8002369,4,7,176,30,900,Munster
8001782,8004000,19,21,166,90,720,Munster
8001782,8004972,20,20,93,90,180,Munster
8001808,8000382,16,16,564,330,3330,Munster
8001808,8000437,9,16,223,60,960,Munster
8001808,8001808,26,32,323,90,2850,Munster
8001867,8001867,37,38,375,240,2070,Munster
8001867,8002915,19,19,412,240,1740,Munster
8001867,8003036,19,19,403,240,2610,Munster
8001972,8001972,24,31,105,60,360,Munster
8001972,8002284,15,16,186,120,450,Munster
8001972,8006709,8,15,60,60,180,Munster
8002225,8000164,12,16,98,105,240,Munster
8002225,8002225,24,31,116,90,390,Munster
8002225,8002283,10,15,56,30,180,Munster
8002283,8002225,16,16,208,165,420,Munster
8002283,8002283,25,31,135,120,420,Munster
8002283,8002284,10,15,60,60,180,Munster
8002284,8001972,11,15,60,30,180,Munster
8002284,8002283,14,16,182,135,420,Munster
8002284,8002284,25,31,128,120,450,Munster
8002369,8001782,6,7,497,480,1140,Munster
8002369,8002369,50,55,199,120,1140,Munster
8002369,8002841,5,7,189,60,870,Munster
8002369,8004972,19,21,147,90,720,Munster
8002369,8005635,20,20,182,180,300,Munster
8002670,8000970,18,20,88,90,150,Munster
8002670,8002670,29,39,48,60,120,Munster
8002670,8004190,7,19,21,0,90,Munster
8002841,8001558,9,17,101,30,870,Munster
8002841,8002369,6,7,501,510,1140,Munster
8002841,8002841,75,99,294,60,1830,Munster
8002841,8005102,23,32,144,60,720,Munster
8002915,8001867,18,19,302,180,1590,Munster
8002915,8002915,37,38,362,225,1770,Munster
8002915,8005262,18,18,443,330,1770,Munster
8002972,8000066,16,16,341,195,990,Munster
8002972,8002972,30,32,408,150,2880,Munster
8002972,8003608,11,16,489,240,2880,Munster
8003036,8001867,19,19,401,240,1800,Munster
8003036,8003036,39,39,398,240,2640,Munster
8003036,8003491,18,19,404,240,2640,Munster
8003212,8001183,23,29,253,120,1260,Munster
8003212,8003212,46,57,282,150,1830,Munster
8003212,8003640,23,28,380,210,1860,Munster
8003491,8003036,19,19,395,240,1800,Munster
8003491,8003491,37,38,390,225,2640,Munster
8003491,8004689,18,19,398,240,2640,Munster
8003608,8000437,16,16,529,285,2880,Munster
8003608,8002972,10,16,266,60,900,Munster
8003608,8003608,28,32,400,165,2880,Munster
8003640,8001183,7,8,188,210,330,Munster
8003640,8002615,9,9,827,720,2220,Munster
8003640,8003212,24,29,194,90,1200,Munster
8003640,8003640,61,74,333,120,2010,Munster
8003640,8004208,22,28,404,195,1890,Munster
8003658,8000066,18,18,670,330,4080,Munster
8003658,8000083,11,17,330,240,1020,Munster
8003658,8003658,29,35,412,240,3630,Munster
8003783,8000083,18,18,352,120,3180,Munster
8003783,8003783,28,35,303,120,3180,Munster
8003783,8005525,9,17,194,60,840,Munster
8003804,8000970,6,19,17,0,120,Munster
8003804,8001343,19,20,72,75,120,Munster
8003804,8003804,38,39,98,90,210,Munster
8003891,8000145,33,42,251,165,1350,Munster
8003891,8000887,37,42,339,210,1590,Munster
8003891,8003891,70,84,296,180,1650,Munster
8003934,8003934,30,39,42,30,120,Munster
8003934,8004190,13,20,32,30,90,Munster
8003986,8001045,28,32,212,180,720,Munster
8003986,8001558,29,33,499,270,1860,Munster
8003986,8003986,57,65,342,180,1860,Munster
8004000,8001782,20,20,78,60,180,Munster
8004000,8004000,37,41,102,60,720,Munster
8004001,8000062,15,19,115,60,660,Munster
8004001,8004001,28,38,84,30,630,Munster
8004001,8004613,14,19,81,60,630,Munster
8004173,8004173,49,79,102,30,660,Munster
8004173,8004426,5,19,16,0,120,Munster
8004173,8005635,13,21,104,60,660,Munster
8004190,8002670,14,20,39,30,120,Munster
8004190,8003934,17,19,57,60,120,Munster
8004190,8004190,18,39,26,0,120,Munster
8004251,8000315,18,18,472,375,1530,Munster
8004251,8000441,29,35,289,360,750,Munster
8004251,8004251,63,72,314,300,1440,Munster
8004251,8004626,17,19,248,150,990,Munster
8004426,8000518,8,19,25,0,120,Munster
8004426,8004173,10,19,51,30,450,Munster
8004426,8004426,15,38,29,0,420,Munster
8004461,8000518,17,19,147,90,690,Munster
8004461,8001096,15,19,95,60,540,Munster
8004461,8004461,32,38,107,60,690,Munster
8004613,8000382,13,19,85,30,600,Munster
8004613,8004001,12,19,87,30,630,Munster
8004613,8004613,29,38,95,60,660,Munster
8004626,8000315,17,19,309,150,1200,Munster
8004626,8004251,28,35,290,330,720,Munster
8004626,8004626,45,54,279,300,1140,Munster
8004972,8001782,20,21,181,120,750,Munster
8004972,8002369,20,20,135,120,210,Munster
8004972,8004972,40,41,134,90,720,Munster
8005102,8001558,29,32,169,90,750,Munster
8005102,8002841,29,33,515,360,1830,Munster
8005102,8005102,58,65,338,150,1800,Munster
8005635,8002369,18,21,127,60,690,Munster
8005635,8004173,20,20,228,210,390,Munster
8005635,8005635,38,41,160,150,690,Munster
8005712,8000062,16,19,131,120,690,Munster
8005712,8001096,16,19,129,90,660,Munster
8005712,8005712,31,38,103,75,660,Munster
8005811,8000083,33,38,261,165,1410,Munster
8005811,8000145,25,29,361,150,1710,Munster
8005811,8005811,56,67,309,180,1800,Munster
8005834,8005834,23,39,75,30,870,Munster
8005834,8006207,7,19,87,0,870,Munster
8006206,8000846,5,19,63,0,750,Munster
8006206,8006206,16,37,92,0,960,Munster
8006206,8006207,7,20,86,0,870,Munster
8006207,8005834,14,20,100,30,870,Munster
8006207,8006206,7,19,79,0,840,Munster
8006207,8006207,16,39,88,0,870,Munster
8006361,8000083,16,16,234,180,870,Munster
8006361,8001183,30,37,393,180,1650,Munster
8006361,8006361,57,74,297,165,1620,Munster
8006709,8001972,12,16,79,60,210,Munster
