from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000072,8003136,2,18,3,0,60,Niederbayern
8000217,8000217,80,91,591,240,4740,Niederbayern
8000217,8000688,5,9,100,30,450,Niederbayern
8000217,8001835,18,21,724,240,5370,Niederbayern
8000217,8002457,7,10,201,120,630,Niederbayern
8000217,8003514,13,18,72,30,480,Niederbayern
8000217,8004084,39,46,673,345,3900,Niederbayern
8000217,8006537,12,18,583,135,4680,Niederbayern
8000451,8000451,16,25,204,30,870,Niederbayern
8000451,8001678,10,14,229,75,750,Niederbayern
8000451,8006084,5,11,175,0,870,Niederbayern
8000590,8000590,22,31,180,120,1530,Niederbayern
8000590,8000988,13,16,240,120,1560,Niederbayern
8000590,8004786,12,15,156,120,450,Niederbayern
8000688,8000217,7,9,273,150,960,Niederbayern
8000688,8000688,35,42,502,210,5340,Niederbayern
8000688,8001679,14,21,599,120,5250,Niederbayern
8000688,8001835,9,11,532,240,1740,Niederbayern
8000688,8004554,8,12,78,90,180,Niederbayern
8000710,8000710,17,28,108,60,300,Niederbayern
8000710,8001792,8,14,120,120,300,Niederbayern
8000710,8002146,8,14,103,30,390,Niederbayern
8000828,8000828,25,32,188,120,1500,Niederbayern
8000828,8000988,11,16,131,75,420,Niederbayern
8000828,8003191,14,16,242,120,1500,Niederbayern
8000988,8000590,9,15,124,120,390,Niederbayern
8000988,8000828,14,16,248,120,1500,Niederbayern
8000988,8000988,24,32,183,120,1530,Niederbayern
8000988,8004786,1,1,90,90,90,Niederbayern
8001069,8005279,2,13,12,0,120,Niederbayern
8001203,8001203,17,19,221,120,630,Niederbayern
8001203,8002457,8,9,240,150,570,Niederbayern
8001203,8004084,9,10,213,90,660,Niederbayern
8001466,8001466,37,37,749,330,4500,Niederbayern
8001466,8003506,17,18,667,225,4860,Niederbayern
8001466,8006537,19,19,897,450,4140,Niederbayern
8001676,8001676,23,30,182,120,1560,Niederbayern
8001676,8001677,13,15,180,120,450,Niederbayern
8001676,8002671,10,15,192,120,1560,Niederbayern
8001677,8001676,13,15,226,120,1560,Niederbayern
8001677,8001677,28,30,215,135,1560,Niederbayern
8001677,8003910,14,15,182,120,450,Niederbayern
8001792,8000710,10,14,96,45,300,Niederbayern
8001792,8001792,16,28,99,60,300,Niederbayern
8001792,8005793,8,14,114,120,300,Niederbayern
8001835,8000217,19,21,510,150,3120,Niederbayern
8001835,8000688,13,13,995,330,5370,Niederbayern
8001835,8001679,7,8,319,90,1710,Niederbayern
8001835,8001835,39,42,625,255,5370,Niederbayern
8002146,8000710,8,14,120,120,300,Niederbayern
8002146,8002146,17,28,120,75,360,Niederbayern
8002146,8004298,9,14,122,75,360,Niederbayern
8002209,8002209,17,24,94,75,270,Niederbayern
8002209,8004770,6,12,45,30,120,Niederbayern
8002209,8005259,10,12,122,120,240,Niederbayern
8002211,8002211,24,36,128,30,870,Niederbayern
8002211,8003514,14,18,202,60,870,Niederbayern
8002211,8006084,12,18,70,30,420,Niederbayern
8002457,8000217,9,9,237,150,540,Niederbayern
8002457,8001203,9,10,213,120,630,Niederbayern
8002457,8002457,16,19,221,120,630,Niederbayern
8002671,8001676,11,15,160,120,450,Niederbayern
8002671,8002671,22,30,177,120,1530,Niederbayern
8002671,8004786,11,15,210,150,1530,Niederbayern
8003100,8003100,10,27,38,0,300,Niederbayern
8003100,8005279,12,14,75,45,330,Niederbayern
8003100,8006745,3,13,16,0,150,Niederbayern
8003136,8000072,10,18,172,30,1500,Niederbayern
8003136,8003136,10,36,88,0,1560,Niederbayern
8003136,8003883,3,18,5,0,30,Niederbayern
8003191,8000828,11,16,131,75,420,Niederbayern
8003191,8003191,25,32,184,120,1500,Niederbayern
8003191,8004845,14,16,242,120,1500,Niederbayern
8003488,8003488,15,24,85,60,270,Niederbayern
