from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000119,8000119,58,78,153,90,2820,Oberbayern
8000119,8000195,25,38,98,30,1590,Oberbayern
8000119,8001229,0,4,0,0,0,Oberbayern
8000119,8002141,11,13,118,60,360,Oberbayern
8000119,8005920,43,51,110,60,1410,Oberbayern
8000119,8098261,15,15,370,120,3810,Oberbayern
8000183,8000010,8,8,176,120,690,Oberbayern
8000183,8000183,85,119,311,90,9090,Oberbayern
8000183,8000256,11,16,315,105,1650,Oberbayern
8000183,8000678,17,24,140,75,540,Oberbayern
8000183,8003076,24,38,360,30,2370,Oberbayern
8000183,8004781,1,1,120,120,120,Oberbayern
8000195,8000119,30,40,167,120,1770,Oberbayern
8000195,8000144,8,10,39,30,90,Oberbayern
8000195,8000195,55,85,127,60,1740,Oberbayern
8000195,8000962,2,2,420,420,690,Oberbayern
8000195,8001004,4,6,40,30,120,Oberbayern
8000195,8002458,1,1,90,90,90,Oberbayern
8000195,8003901,2,2,60,60,60,Oberbayern
8000195,8004584,6,6,135,120,210,Oberbayern
8000195,8098261,2,3,220,330,330,Oberbayern
8000220,8000220,51,53,178,150,900,Oberbayern
8000220,8003024,22,24,192,150,660,Oberbayern
8000220,8004185,3,3,290,270,360,Oberbayern
8000220,8005927,32,36,146,75,1020,Oberbayern
8000220,8098261,3,3,80,90,120,Oberbayern
8000256,8000183,12,18,362,45,2010,Oberbayern
8000256,8000256,56,80,274,90,2730,Oberbayern
8000256,8000678,13,22,256,45,2670,Oberbayern
8000256,8004781,28,40,240,120,2010,Oberbayern
8000258,8000258,13,19,117,60,750,Oberbayern
8000258,8000576,15,23,74,30,510,Oberbayern
8000258,8000720,18,24,82,30,420,Oberbayern
8000258,8001499,1,1,300,300,300,Oberbayern
8000258,8002184,3,7,30,0,150,Oberbayern
8000258,8005145,11,13,134,60,390,Oberbayern
8000258,8005883,9,18,132,15,660,Oberbayern
8000258,8005923,19,41,97,0,570,Oberbayern
8000258,8006164,15,22,78,45,330,Oberbayern
8000419,8000419,24,41,119,30,2190,Oberbayern
8000419,8001708,8,20,154,0,2190,Oberbayern
8000419,8005828,17,21,97,60,390,Oberbayern
8000515,8000515,37,40,142,135,390,Oberbayern
8000515,8005302,19,20,122,90,390,Oberbayern
8000515,8005975,18,20,174,180,390,Oberbayern
8000524,8000524,95,113,150,60,1200,Oberbayern
8000524,8000653,45,56,95,60,630,Oberbayern
8000524,8001825,50,57,229,60,1200,Oberbayern
8000533,8000533,15,22,102,60,420,Oberbayern
8000533,8005687,9,11,93,60,300,Oberbayern
8000533,8005912,6,11,87,30,360,Oberbayern
8000545,8000545,22,42,126,30,720,Oberbayern
8000545,8002623,13,17,168,90,510,Oberbayern
8000545,8003982,20,23,115,30,750,Oberbayern
8000555,8000555,22,39,88,30,720,Oberbayern
8000555,8002703,8,19,28,0,270,Oberbayern
8000555,8003205,11,20,153,30,960,Oberbayern
8000556,8003317,5,38,2,0,60,Oberbayern
8000576,8000258,27,28,588,420,1740,Oberbayern
8000576,8000576,43,51,394,240,1710,Oberbayern
8000576,8005495,18,19,155,90,540,Oberbayern
8000576,8006258,4,4,82,45,210,Oberbayern
8000603,8000603,66,76,106,60,1710,Oberbayern
8000603,8001829,32,38,114,30,1680,Oberbayern
8000603,8003072,33,38,103,120,360,Oberbayern
8000621,8005962,0,18,0,0,0,Oberbayern
8000653,8000524,37,57,227,30,1230,Oberbayern
8000653,8000653,89,113,165,60,1260,Oberbayern
8000653,8005652,31,56,78,30,750,Oberbayern
8000675,8000675,61,76,145,60,1080,Oberbayern
8000675,8001578,37,44,84,45,570,Oberbayern
8000675,8002420,9,16,167,45,1050,Oberbayern
8000675,8002894,8,13,115,60,540,Oberbayern
8000675,8003438,1,1,90,90,90,Oberbayern
8000675,8004761,19,21,191,90,900,Oberbayern
8000678,8000183,11,22,237,15,2640,Oberbayern
8000678,8000256,19,24,136,90,540,Oberbayern
8000678,8000678,28,46,185,75,2670,Oberbayern
8000685,8000685,49,76,84,30,540,Oberbayern
8000685,8001355,24,38,90,60,540,Oberbayern
8000685,8005442,14,38,54,0,540,Oberbayern
8000716,8000716,40,40,170,165,480,Oberbayern
8000716,8000717,19,20,108,90,210,Oberbayern
8000716,8002343,20,20,200,180,390,Oberbayern
8000717,8000716,20,20,158,150,420,Oberbayern
8000717,8000717,38,40,126,120,360,Oberbayern
8000717,8005302,18,20,140,120,360,Oberbayern
8000720,8000258,15,26,114,75,630,Oberbayern
8000720,8000720,43,72,92,30,600,Oberbayern
8000720,8001678,6,13,58,0,390,Oberbayern
8000720,8003910,7,18,83,0,540,Oberbayern
8000720,8005145,4,10,102,0,600,Oberbayern
8000720,8006084,4,7,90,60,330,Oberbayern
8000737,8000737,2,2,45,45,60,Oberbayern
8000737,8000738,1,1,30,30,30,Oberbayern
8000738,8000738,0,1,0,0,0,Oberbayern
8000738,8000831,0,1,0,0,0,Oberbayern
8000781,8000781,92,117,126,90,930,Oberbayern
8000781,8001231,44,59,109,120,360,Oberbayern
8000781,8002955,44,58,173,120,1140,Oberbayern
8000785,8000785,101,159,69,30,480,Oberbayern
8000785,8006059,39,79,33,0,240,Oberbayern
8000785,8006671,65,80,114,90,480,Oberbayern
8000831,8000831,0,1,0,0,0,Oberbayern
8000831,8000997,0,1,0,0,0,Oberbayern
8000885,8000997,1,1,30,30,30,Oberbayern
8000997,8000737,1,1,60,60,60,Oberbayern
8000997,8000885,0,1,0,0,0,Oberbayern
8000997,8000997,1,2,30,30,60,Oberbayern
8001229,8000119,1,1,60,60,60,Oberbayern
8001229,8001229,93,121,129,30,1950,Oberbayern
8001229,8002141,28,61,93,0,1920,Oberbayern
8001229,8005406,20,59,121,0,1650,Oberbayern
8001231,8000781,36,58,137,45,780,Oberbayern
8001231,8001231,95,117,134,90,780,Oberbayern
8001231,8002899,50,59,124,120,360,Oberbayern
8001284,8001288,6,19,33,0,240,Oberbayern
8001288,8001284,13,20,112,45,810,Oberbayern
8001288,8001288,22,39,79,30,810,Oberbayern
8001288,8002234,4,19,35,0,300,Oberbayern
8001354,8001354,121,201,142,30,3000,Oberbayern
8001354,8001355,25,38,81,60,600,Oberbayern
8001354,8004150,17,77,17,0,540,Oberbayern
8001354,8004775,18,23,236,120,2160,Oberbayern
8001354,8004781,1,1,30,30,30,Oberbayern
8001354,8006189,24,60,62,0,870,Oberbayern
8001355,8000685,16,38,55,0,540,Oberbayern
8001355,8001354,32,38,145,120,570,Oberbayern
8001355,8001355,54,76,93,60,570,Oberbayern
8001404,8001404,44,118,21,0,240,Oberbayern
8001404,8002161,2,61,4,0,210,Oberbayern
8001404,8005299,25,59,25,0,240,Oberbayern
8001495,8001495,30,40,155,60,2160,Oberbayern
8001495,8001708,18,20,141,120,540,Oberbayern
8001495,8005593,12,20,174,30,2190,Oberbayern
8001499,8000576,2,2,720,720,900,Oberbayern
8001499,8001499,50,51,388,240,1410,Oberbayern
8001499,8002912,8,8,398,375,960,Oberbayern
8001499,8003879,1,1,210,210,210,Oberbayern
8001499,8005495,24,26,504,225,1410,Oberbayern
8001499,8005852,8,9,167,120,510,Oberbayern
8001499,8006190,4,4,502,480,840,Oberbayern
8001578,8000675,24,40,148,30,1110,Oberbayern
8001578,8001578,62,84,115,45,1110,Oberbayern
8001578,8002894,27,44,72,45,570,Oberbayern
8001621,8001621,99,117,145,90,1170,Oberbayern
8001621,8002955,47,59,108,60,360,Oberbayern
8001621,8003039,48,58,191,120,1140,Oberbayern
8001634,8001634,32,35,117,60,330,Oberbayern
8001634,8002348,39,60,64,60,330,Oberbayern
8001634,8005709,14,19,90,60,300,Oberbayern
8001647,8001647,206,236,140,120,690,Oberbayern
8001647,8003735,104,117,125,90,510,Oberbayern
8001647,8004279,102,119,161,120,720,Oberbayern
8001669,8001669,23,40,64,30,360,Oberbayern
8001669,8002028,10,21,37,0,240,Oberbayern
8001669,8006220,9,19,98,0,390,Oberbayern
8001678,8000451,4,13,46,0,360,Oberbayern
8001678,8000720,7,16,56,0,360,Oberbayern
8001678,8001678,12,29,51,0,390,Oberbayern
8001682,8001682,112,137,85,60,510,Oberbayern
8001682,8003290,43,69,100,60,480,Oberbayern
8001682,8006671,31,68,38,0,270,Oberbayern
8001702,8001702,51,122,102,0,1860,Oberbayern
8001702,8002141,33,61,122,30,1410,Oberbayern
8001702,8004893,21,61,87,0,1860,Oberbayern
8001708,8000419,15,21,87,60,390,Oberbayern
8001708,8001495,7,20,150,0,2130,Oberbayern
8001708,8001708,21,40,126,30,2160,Oberbayern
8001734,8001734,27,41,133,30,2160,Oberbayern
8001734,8002171,16,21,99,60,330,Oberbayern
8001734,8005828,7,20,160,0,2190,Oberbayern
8001825,8000524,47,56,34,30,150,Oberbayern
8001829,8000603,31,38,85,75,330,Oberbayern
