from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000028,8000028,13,17,125,60,510,Oberfranken
8000028,8000267,2,2,135,135,150,Oberfranken
8000028,8000974,3,4,45,45,90,Oberfranken
8000028,8001348,12,18,43,30,270,Oberfranken
8000028,8004126,7,7,214,90,630,Oberfranken
8000028,8004759,7,14,-154,15,480,Oberfranken
8000028,8005895,11,12,102,60,480,Oberfranken
8000173,8000173,2,3,40,60,60,Oberfranken
8000173,8000247,1,1,60,60,60,Oberfranken
8000173,8000287,0,1,0,0,0,Oberfranken
8000173,8005133,1,1,60,60,60,Oberfranken
8000201,8000201,24,31,105,60,630,Oberfranken
8000201,8000247,9,14,71,30,270,Oberfranken
8000201,8000328,1,2,15,15,60,Oberfranken
8000201,8002523,0,1,0,0,0,Oberfranken
8000201,8003063,1,1,30,30,30,Oberfranken
8000201,8004759,8,13,99,30,540,Oberfranken
8000247,8000173,1,2,15,15,30,Oberfranken
8000247,8000201,11,14,96,45,420,Oberfranken
8000247,8000247,14,19,51,30,240,Oberfranken
8000247,8000287,1,1,90,90,90,Oberfranken
8000247,8002924,6,7,73,60,240,Oberfranken
8000247,8006155,1,1,60,60,60,Oberfranken
8000267,8000267,45,62,105,60,630,Oberfranken
8000267,8003476,12,17,173,90,600,Oberfranken
8000267,8003763,1,1,30,30,30,Oberfranken
8000267,8003887,12,16,82,45,450,Oberfranken
8000267,8005895,8,17,72,0,450,Oberfranken
8000267,8006017,12,13,69,30,150,Oberfranken
8000287,8000173,1,1,60,60,60,Oberfranken
8000287,8000287,8,12,75,45,300,Oberfranken
8000287,8002924,3,6,80,45,270,Oberfranken
8000287,8005466,5,5,96,60,270,Oberfranken
8000328,8000328,14,22,57,30,330,Oberfranken
8000328,8001348,9,11,71,60,360,Oberfranken
8000328,8004759,7,11,57,60,210,Oberfranken
8000974,8000028,2,4,105,30,360,Oberfranken
8000974,8000974,5,8,75,30,360,Oberfranken
8000974,8002605,1,1,120,120,120,Oberfranken
8000974,8004936,1,3,10,0,30,Oberfranken
8001149,8001149,65,75,222,90,2310,Oberfranken
8001149,8001623,2,2,240,240,240,Oberfranken
8001149,8001640,19,21,84,60,270,Oberfranken
8001149,8002542,15,19,69,30,270,Oberfranken
8001149,8002853,21,21,430,270,1860,Oberfranken
8001149,8005670,6,6,930,330,2340,Oberfranken
8001149,8006634,6,6,130,105,300,Oberfranken
8001289,8001289,42,62,105,60,600,Oberfranken
8001289,8002878,14,21,154,120,600,Oberfranken
8001289,8003476,12,24,55,15,270,Oberfranken
8001289,8003813,5,7,150,60,450,Oberfranken
8001289,8005670,4,4,120,120,180,Oberfranken
8001310,8001310,39,45,299,120,1770,Oberfranken
8001310,8001680,21,22,364,120,1740,Oberfranken
8001310,8002853,15,23,228,60,1380,Oberfranken
8001334,8001334,36,42,145,90,900,Oberfranken
8001334,8001338,18,21,144,90,930,Oberfranken
8001334,8001484,16,21,150,60,600,Oberfranken
8001338,8001334,18,21,151,60,630,Oberfranken
8001338,8001338,32,42,311,120,2700,Oberfranken
8001338,8001347,4,8,49,15,180,Oberfranken
8001338,8001636,3,4,45,30,120,Oberfranken
8001338,8002434,3,7,77,0,390,Oberfranken
8001338,8002853,7,7,1131,210,4800,Oberfranken
8001338,8100013,0,1,0,0,0,Oberfranken
8001347,8001338,4,5,132,30,360,Oberfranken
8001347,8001347,11,13,90,30,360,Oberfranken
8001347,8002434,8,8,71,60,120,Oberfranken
8001348,8000028,15,21,89,30,390,Oberfranken
8001348,8000328,6,9,60,60,180,Oberfranken
8001348,8001348,27,39,68,60,420,Oberfranken
8001348,8004759,8,9,83,60,240,Oberfranken
8001484,8001334,15,21,119,60,870,Oberfranken
8001484,8001484,34,42,128,60,870,Oberfranken
8001484,8004633,18,21,154,60,600,Oberfranken
8001623,8001623,43,59,84,60,390,Oberfranken
8001623,8005670,22,32,102,30,360,Oberfranken
8001623,8006634,20,27,71,60,360,Oberfranken
8001636,8001338,4,5,504,30,2400,Oberfranken
8001636,8001636,24,36,130,45,2430,Oberfranken
8001636,8002434,9,12,98,45,510,Oberfranken
8001636,8005391,4,8,75,30,300,Oberfranken
8001636,8005670,5,6,205,120,750,Oberfranken
8001640,8001149,10,20,51,15,210,Oberfranken
8001640,8001640,32,43,78,30,360,Oberfranken
8001640,8006634,16,23,91,60,360,Oberfranken
8001680,8001310,18,23,223,60,1410,Oberfranken
8001680,8001680,36,45,291,120,1740,Oberfranken
8001680,8002024,21,22,359,120,1740,Oberfranken
8001969,8001969,11,29,46,0,240,Oberfranken
8001969,8002924,9,15,42,30,210,Oberfranken
8001969,8010317,5,7,99,60,240,Oberfranken
8001969,8011790,7,7,60,30,180,Oberfranken
8002019,8002019,2,4,15,15,30,Oberfranken
8002019,8004126,1,2,15,15,30,Oberfranken
8002019,8005466,0,2,0,0,0,Oberfranken
8002020,8002020,16,21,104,30,390,Oberfranken
8002020,8004881,7,11,90,30,390,Oberfranken
8002020,8005692,7,10,117,120,240,Oberfranken
8002024,8001149,2,2,150,150,150,Oberfranken
8002024,8001680,16,23,232,60,1470,Oberfranken
8002024,8002024,121,133,375,180,4200,Oberfranken
8002024,8002853,34,43,285,120,2310,Oberfranken
8002024,8003238,23,39,192,30,1710,Oberfranken
8002340,8006300,0,21,0,0,0,Oberfranken
8002434,8001338,6,7,107,30,450,Oberfranken
8002434,8001347,2,5,114,0,330,Oberfranken
8002434,8001636,8,15,60,30,360,Oberfranken
