from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000027,8000027,13,17,168,120,900,Oberpfalz
8000027,8000566,15,18,152,60,1050,Oberpfalz
8000027,8001054,1,1,120,120,120,Oberpfalz
8000027,8002075,0,1,0,0,0,Oberpfalz
8000027,8003922,7,8,188,150,570,Oberpfalz
8000204,8000204,15,26,120,30,1680,Oberpfalz
8000204,8000540,5,13,148,0,1680,Oberpfalz
8000204,8006266,3,17,18,0,150,Oberpfalz
8000269,8000269,70,71,338,270,2400,Oberpfalz
8000269,8001929,34,34,446,360,2340,Oberpfalz
8000269,8005800,17,19,256,240,1200,Oberpfalz
8000269,8006085,18,18,340,270,1440,Oberpfalz
8000540,8000204,2,14,4,0,60,Oberpfalz
8000540,8000540,5,27,69,0,1650,Oberpfalz
8000540,8004332,7,13,148,30,1620,Oberpfalz
8000566,8000027,14,15,252,240,1260,Oberpfalz
8000566,8000566,34,36,226,120,1290,Oberpfalz
8000566,8002075,2,2,165,165,240,Oberpfalz
8000566,8003086,1,1,660,660,660,Oberpfalz
8000566,8005800,16,18,208,90,1410,Oberpfalz
8000606,8000606,2,2,105,105,180,Oberpfalz
8000606,8006264,1,1,30,30,30,Oberpfalz
8000822,8000822,2,2,195,195,330,Oberpfalz
8000822,8001400,1,1,330,330,330,Oberpfalz
8000822,8004305,1,1,60,60,60,Oberpfalz
8000882,8000882,15,19,248,120,2250,Oberpfalz
8000882,8001679,5,6,110,120,180,Oberpfalz
8000882,8003921,1,1,330,330,330,Oberpfalz
8000882,8004755,7,9,343,150,2250,Oberpfalz
8000882,8005966,2,2,105,105,120,Oberpfalz
8001054,8000027,0,1,0,0,0,Oberpfalz
8001054,8001054,1,2,60,60,120,Oberpfalz
8001054,8004250,1,1,150,150,150,Oberpfalz
8001298,8001298,4,5,108,90,210,Oberpfalz
8001298,8004592,1,1,210,210,210,Oberpfalz
8001330,8001330,1,2,90,90,180,Oberpfalz
8001330,8003413,1,1,150,150,150,Oberpfalz
8001330,8004849,0,1,0,0,0,Oberpfalz
8001400,8001400,1,1,330,330,330,Oberpfalz
8001400,8004305,1,1,330,330,330,Oberpfalz
8001430,8001430,1,1,330,330,330,Oberpfalz
