from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000007,8000007,53,69,91,30,780,Rheinhessen-Pfalz
8000007,8000468,26,40,84,30,750,Rheinhessen-Pfalz
8000007,8000558,17,20,124,60,690,Rheinhessen-Pfalz
8000007,8000602,16,17,55,30,180,Rheinhessen-Pfalz
8000007,8001813,1,2,15,15,30,Rheinhessen-Pfalz
8000007,8007474,14,16,77,30,420,Rheinhessen-Pfalz
8000121,8000021,21,24,291,255,840,Rheinhessen-Pfalz
8000121,8000121,69,87,179,90,900,Rheinhessen-Pfalz
8000121,8000976,16,18,192,135,690,Rheinhessen-Pfalz
8000121,8003075,3,6,110,45,300,Rheinhessen-Pfalz
8000121,8004614,13,22,106,30,960,Rheinhessen-Pfalz
8000121,8006312,15,17,141,90,570,Rheinhessen-Pfalz
8000137,8000137,48,57,184,90,1170,Rheinhessen-Pfalz
8000137,8002444,17,19,297,210,1170,Rheinhessen-Pfalz
8000137,8003285,29,37,173,60,2460,Rheinhessen-Pfalz
8000137,8070096,16,19,152,60,1020,Rheinhessen-Pfalz
8000216,8000216,77,107,125,60,1950,Rheinhessen-Pfalz
8000216,8001663,1,1,60,60,60,Rheinhessen-Pfalz
8000216,8002875,1,1,450,450,450,Rheinhessen-Pfalz
8000216,8003080,16,22,112,60,630,Rheinhessen-Pfalz
8000216,8003349,22,38,156,60,1470,Rheinhessen-Pfalz
8000216,8003507,14,20,56,30,300,Rheinhessen-Pfalz
8000216,8005713,1,1,60,60,60,Rheinhessen-Pfalz
8000216,8006468,24,31,105,60,750,Rheinhessen-Pfalz
8000254,8000254,167,249,90,30,780,Rheinhessen-Pfalz
8000254,8003125,9,11,60,60,180,Rheinhessen-Pfalz
8000254,8003172,9,18,52,15,210,Rheinhessen-Pfalz
8000254,8003186,6,6,360,255,750,Rheinhessen-Pfalz
8000254,8003911,4,16,30,0,240,Rheinhessen-Pfalz
8000254,8006531,12,16,114,45,480,Rheinhessen-Pfalz
8000254,8006536,12,24,100,15,600,Rheinhessen-Pfalz
8000254,8079045,3,7,17,0,60,Rheinhessen-Pfalz
8000254,8079143,23,57,41,0,510,Rheinhessen-Pfalz
8000254,8084067,53,94,89,60,660,Rheinhessen-Pfalz
8000254,8700353,2,2,120,120,180,Rheinhessen-Pfalz
8000257,8000257,99,106,375,180,7050,Rheinhessen-Pfalz
8000257,8000332,17,17,598,210,4020,Rheinhessen-Pfalz
8000257,8001032,33,40,203,75,930,Rheinhessen-Pfalz
8000257,8002872,10,10,600,315,3570,Rheinhessen-Pfalz
8000257,8002934,26,40,45,30,150,Rheinhessen-Pfalz
8000257,8004714,25,41,76,30,600,Rheinhessen-Pfalz
8000257,8004788,26,31,161,30,1050,Rheinhessen-Pfalz
8000257,8100002,1,1,2340,2340,2340,Rheinhessen-Pfalz
8000326,8000326,146,175,219,90,5340,Rheinhessen-Pfalz
8000326,8000332,8,9,820,90,6180,Rheinhessen-Pfalz
8000326,8001057,36,42,288,135,1290,Rheinhessen-Pfalz
8000326,8002056,1,1,90,90,90,Rheinhessen-Pfalz
8000326,8003687,57,79,99,60,1470,Rheinhessen-Pfalz
8000326,8003759,1,1,180,180,180,Rheinhessen-Pfalz
8000326,8005345,31,41,189,60,1350,Rheinhessen-Pfalz
8000326,8005628,8,9,530,90,1980,Rheinhessen-Pfalz
8000327,8000327,28,33,63,30,390,Rheinhessen-Pfalz
