from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000075,8000075,91,111,138,90,1530,Saarland
8000075,8000840,28,38,116,60,660,Saarland
8000075,8003992,16,18,183,105,960,Saarland
8000075,8005247,43,56,124,60,1470,Saarland
8000075,8005562,5,19,13,0,60,Saarland
8000154,8000154,42,70,118,30,2730,Saarland
8000154,8004253,14,18,73,60,210,Saarland
8000154,8005659,14,17,344,120,2700,Saarland
8000154,8006170,18,26,38,30,390,Saarland
8000154,8079083,13,17,56,60,150,Saarland
8000175,8000175,78,113,117,60,1560,Saarland
8000175,8001110,27,39,92,30,660,Saarland
8000175,8001302,1,1,120,120,120,Saarland
8000175,8003796,27,37,117,60,600,Saarland
8000175,8005247,16,18,142,60,990,Saarland
8000175,8005649,14,14,178,90,1380,Saarland
8000272,8000272,133,166,92,60,2460,Saarland
8000272,8000875,11,18,40,30,210,Saarland
8000272,8003516,17,41,45,0,390,Saarland
8000272,8004312,16,42,28,0,360,Saarland
8000272,8005346,24,27,60,60,210,Saarland
8000272,8006392,32,37,95,60,480,Saarland
8000319,8000319,71,82,151,90,1350,Saarland
8000319,8002625,16,19,131,90,570,Saarland
8000319,8003294,16,22,165,75,1350,Saarland
8000319,8005649,33,41,146,120,570,Saarland
8000357,8000357,33,36,204,210,540,Saarland
8000357,8000371,17,19,224,240,570,Saarland
8000357,8001027,16,17,199,180,450,Saarland
8000371,8000357,16,17,206,210,420,Saarland
8000371,8000371,33,36,208,210,570,Saarland
8000371,8006680,17,19,238,240,570,Saarland
8000378,8000378,48,54,66,45,480,Saarland
8000378,8002238,22,22,75,60,210,Saarland
8000378,8003980,3,5,36,30,90,Saarland
8000378,8005346,23,27,67,60,480,Saarland
8000563,8000563,26,42,29,30,150,Saarland
8000563,8001221,16,21,49,60,120,Saarland
8000563,8007868,15,21,54,30,180,Saarland
8000792,8000792,26,45,37,30,420,Saarland
8000792,8002929,8,20,18,0,120,Saarland
8000792,8005659,11,25,31,0,420,Saarland
8000840,8000075,33,38,117,60,600,Saarland
8000840,8000840,56,76,109,60,660,Saarland
8000840,8002083,24,37,112,60,660,Saarland
8000840,8003992,1,1,120,120,120,Saarland
8000875,8000272,18,20,352,180,2760,Saarland
8000875,8000875,85,115,103,30,2700,Saarland
8000875,8004392,16,37,51,0,420,Saarland
8000875,8005659,16,18,57,45,240,Saarland
8000875,8006392,16,40,38,0,300,Saarland
8000923,8000923,26,36,72,30,930,Saarland
8000923,8004236,10,18,38,30,150,Saarland
8000923,8004771,15,18,105,30,870,Saarland
8000926,8000926,35,43,133,90,600,Saarland
8000926,8003991,21,21,164,90,600,Saarland
8000926,8004004,17,22,112,90,570,Saarland
8000941,8000941,71,82,61,60,390,Saarland
8000941,8004312,22,40,40,30,240,Saarland
8000967,8000967,63,76,80,60,480,Saarland
8000967,8002132,39,39,118,90,510,Saarland
8000967,8003516,23,37,64,60,360,Saarland
8001027,8000357,16,19,204,210,540,Saarland
8001027,8001027,33,36,208,210,540,Saarland
8001027,8006581,16,17,217,210,480,Saarland
8001110,8000175,27,39,103,60,570,Saarland
8001110,8001110,55,78,97,60,690,Saarland
8001110,8001799,21,38,84,30,660,Saarland
8001110,8005247,1,1,90,90,90,Saarland
8001221,8000563,12,21,26,30,150,Saarland
8001221,8001221,28,42,42,30,180,Saarland
8001221,8001812,14,21,53,60,120,Saarland
8001302,8001302,53,76,99,60,600,Saarland
8001302,8003796,24,38,91,45,600,Saarland
8001302,8005243,27,38,106,60,570,Saarland
8001470,8001470,25,42,34,30,150,Saarland
8001470,8001812,14,21,44,30,180,Saarland
8001470,8006627,11,21,49,60,180,Saarland
8001570,8001570,53,77,55,30,450,Saarland
8001570,8003108,15,39,41,0,360,Saarland
8001570,8005796,28,37,70,60,450,Saarland
