from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000023,8000023,46,78,117,30,1710,Schleswig-Holstein
8000023,8000446,16,19,199,90,1590,Schleswig-Holstein
8000023,8003478,13,21,87,30,570,Schleswig-Holstein
8000023,8005019,19,38,96,30,1140,Schleswig-Holstein
8000092,8000092,113,148,220,90,4770,Schleswig-Holstein
8000092,8001718,17,17,146,90,420,Schleswig-Holstein
8000092,8002293,3,5,174,60,630,Schleswig-Holstein
8000092,8003798,8,12,105,45,630,Schleswig-Holstein
8000092,8004466,13,17,150,60,1080,Schleswig-Holstein
8000092,8004819,14,15,784,210,4770,Schleswig-Holstein
8000092,8006460,1,1,150,150,150,Schleswig-Holstein
8000092,8006572,19,22,281,135,1470,Schleswig-Holstein
8000334,8000334,51,81,109,60,720,Schleswig-Holstein
8000334,8004741,36,40,125,90,750,Schleswig-Holstein
8000334,8005825,15,22,135,60,660,Schleswig-Holstein
8000416,8000416,12,23,23,30,180,Schleswig-Holstein
8000416,8001977,8,12,18,30,30,Schleswig-Holstein
8000416,8003960,2,11,16,0,150,Schleswig-Holstein
8000446,8000023,7,19,43,0,330,Schleswig-Holstein
8000446,8000446,72,119,112,30,1590,Schleswig-Holstein
8000446,8000480,26,41,88,30,870,Schleswig-Holstein
8000446,8002558,24,41,132,30,870,Schleswig-Holstein
8000480,8000446,22,41,93,30,690,Schleswig-Holstein
8000480,8000480,44,82,86,30,900,Schleswig-Holstein
8000480,8000804,26,41,104,60,960,Schleswig-Holstein
8000749,8000749,37,55,59,60,330,Schleswig-Holstein
8000749,8005874,13,27,39,0,330,Schleswig-Holstein
8000754,8000754,7,38,30,0,630,Schleswig-Holstein
8000754,8000755,6,19,54,0,660,Schleswig-Holstein
8000754,8005826,1,19,16,0,300,Schleswig-Holstein
8000755,8000754,1,19,16,0,300,Schleswig-Holstein
8000804,8000480,18,41,86,0,630,Schleswig-Holstein
8000804,8000804,27,42,121,60,660,Schleswig-Holstein
8000804,8003478,14,21,101,60,630,Schleswig-Holstein
8001092,8001092,64,81,144,60,1740,Schleswig-Holstein
8001092,8001190,14,18,57,60,150,Schleswig-Holstein
8001092,8001718,16,21,94,90,300,Schleswig-Holstein
8001092,8002011,21,24,184,90,1740,Schleswig-Holstein
8001136,8001136,11,23,53,0,270,Schleswig-Holstein
8001136,8001977,6,11,52,30,240,Schleswig-Holstein
8001136,8005435,5,12,55,0,270,Schleswig-Holstein
8001139,8001139,38,45,149,90,990,Schleswig-Holstein
8001139,8002115,15,17,148,90,630,Schleswig-Holstein
8001139,8003544,22,24,160,90,960,Schleswig-Holstein
8001190,8001092,17,18,257,120,1260,Schleswig-Holstein
8001190,8001190,35,43,179,90,1620,Schleswig-Holstein
8001190,8001718,3,3,580,30,1680,Schleswig-Holstein
8001190,8006572,16,22,64,60,210,Schleswig-Holstein
8001273,8001273,32,38,111,105,630,Schleswig-Holstein
8001273,8005655,16,19,99,60,660,Schleswig-Holstein
8001273,8006460,16,19,103,90,240,Schleswig-Holstein
8001654,8001654,16,41,45,0,330,Schleswig-Holstein
8001654,8002266,19,38,37,15,240,Schleswig-Holstein
8001654,8005095,12,21,69,30,390,Schleswig-Holstein
8001718,8000092,15,17,277,120,2460,Schleswig-Holstein
8001718,8001092,18,24,181,90,1770,Schleswig-Holstein
8001718,8001190,2,4,68,45,180,Schleswig-Holstein
8001718,8001718,36,45,147,90,1770,Schleswig-Holstein
8001977,8000416,4,11,25,0,180,Schleswig-Holstein
8001977,8001136,5,12,60,0,300,Schleswig-Holstein
8001977,8001977,24,45,54,30,270,Schleswig-Holstein
8001977,8003474,1,1,30,30,30,Schleswig-Holstein
8001977,8004741,10,11,93,60,330,Schleswig-Holstein
8002011,8001092,18,21,106,90,300,Schleswig-Holstein
8002011,8002011,41,45,156,90,1740,Schleswig-Holstein
8002115,8001139,15,17,155,60,960,Schleswig-Holstein
8002115,8002115,30,38,122,30,960,Schleswig-Holstein
