from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000144,8000144,67,76,272,195,1440,Schwaben
8000144,8000195,11,12,202,195,450,Schwaben
8000144,8000338,7,8,446,330,1320,Schwaben
8000144,8000768,17,32,64,30,360,Schwaben
8000144,8004927,15,21,364,120,1920,Schwaben
8000144,8005444,2,3,50,30,120,Schwaben
8000280,8000280,15,37,36,0,240,Schwaben
8000280,8001090,1,1,180,180,180,Schwaben
8000280,8004071,8,21,31,0,180,Schwaben
8000280,8004796,9,20,52,0,480,Schwaben
8000338,8000144,9,10,213,180,570,Schwaben
8000338,8000338,47,58,331,210,1860,Schwaben
8000338,8004927,17,19,306,300,930,Schwaben
8000338,8005725,20,25,380,150,1890,Schwaben
8000338,8005823,6,6,660,630,1500,Schwaben
8000387,8000230,10,10,507,435,1350,Schwaben
8000387,8000387,35,36,264,135,1320,Schwaben
8000387,8002710,17,22,132,60,780,Schwaben
8000387,8006200,10,11,115,90,330,Schwaben
8000482,8000482,21,22,104,60,420,Schwaben
8000482,8002651,11,11,93,60,300,Schwaben
8000482,8004401,11,11,117,90,450,Schwaben
8000561,8000561,47,50,249,180,1020,Schwaben
8000561,8001004,24,25,212,180,660,Schwaben
8000561,8003551,25,25,324,300,1110,Schwaben
8000658,8000658,97,109,459,180,2100,Schwaben
8000658,8000661,55,56,715,630,2070,Schwaben
8000658,8000662,36,39,279,210,1110,Schwaben
8000659,8000659,8,15,96,30,360,Schwaben
8000659,8000660,4,4,120,30,390,Schwaben
8000659,8001033,2,2,180,180,180,Schwaben
8000659,8003079,5,9,77,30,330,Schwaben
8000660,8000659,9,11,115,30,390,Schwaben
8000660,8000660,13,16,202,60,1440,Schwaben
8000661,8000658,26,53,102,0,1020,Schwaben
8000661,8000661,76,109,399,90,2040,Schwaben
8000661,8003299,50,56,674,540,2010,Schwaben
8000662,8000658,41,41,770,720,2100,Schwaben
8000662,8000662,104,116,419,255,2160,Schwaben
8000662,8002256,14,15,356,150,2100,Schwaben
8000662,8003952,7,8,225,195,810,Schwaben
8000662,8004318,30,33,331,240,1500,Schwaben
8000768,8000144,25,32,97,60,420,Schwaben
8000778,8000778,25,30,661,480,2700,Schwaben
8000778,8003989,16,16,1044,1065,2190,Schwaben
8000862,8000862,3,6,40,45,90,Schwaben
8000862,8003057,3,3,100,120,120,Schwaben
8000862,8006094,0,3,0,0,0,Schwaben
8000962,8000195,3,4,150,165,270,Schwaben
8000962,8000962,36,42,167,120,780,Schwaben
8000962,8002458,17,21,196,210,750,Schwaben
8000962,8005444,12,13,136,120,300,Schwaben
8000969,8000969,16,32,47,15,420,Schwaben
8000969,8002856,9,16,36,30,120,Schwaben
8000969,8003457,9,16,39,30,360,Schwaben
8001004,8000195,6,6,260,240,360,Schwaben
8001004,8000561,23,25,266,150,1020,Schwaben
8001004,8001004,61,67,230,180,990,Schwaben
8001004,8003901,17,17,178,150,540,Schwaben
8001004,8005444,1,1,360,360,360,Schwaben
8001033,8000660,1,1,1470,1470,1470,Schwaben
8001033,8001033,34,46,200,105,1500,Schwaben
8001033,8003079,6,6,115,120,210,Schwaben
8001033,8005444,17,25,148,90,930,Schwaben
8001046,8001046,31,32,177,150,420,Schwaben
8001046,8005802,16,16,167,150,420,Schwaben
8001046,8006670,15,16,169,120,390,Schwaben
8001147,8001147,14,22,90,75,360,Schwaben
8001147,8003749,5,11,68,0,390,Schwaben
8001147,8006279,9,11,125,120,300,Schwaben
8001179,8001179,14,22,64,30,450,Schwaben
8001179,8003457,5,11,46,0,390,Schwaben
8001179,8004401,8,11,55,30,330,Schwaben
8001276,8001276,34,44,300,120,1410,Schwaben
8001276,8003123,16,22,398,135,1320,Schwaben
8001276,8004030,17,22,196,105,1170,Schwaben
8001439,8001439,53,68,273,180,1410,Schwaben
8001439,8002263,25,33,286,180,1380,Schwaben
8001439,8006378,23,35,242,120,900,Schwaben
8001454,8001454,40,42,275,210,750,Schwaben
8001454,8002378,16,16,195,120,600,Schwaben
8001454,8003230,16,16,418,405,780,Schwaben
8001454,8003901,5,5,264,180,540,Schwaben
8001468,8001468,28,41,293,90,1200,Schwaben
8001468,8002074,16,22,226,120,1200,Schwaben
8001468,8003483,22,35,274,60,1170,Schwaben
8001614,8001614,31,32,170,150,420,Schwaben
8001614,8005653,16,16,206,195,420,Schwaben
8001614,8005802,15,16,154,105,390,Schwaben
8001628,8001628,23,42,154,30,3480,Schwaben
