from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000016,8000016,16,22,207,120,1440,Stuttgart
8000016,8001296,32,32,218,240,540,Stuttgart
8000016,8003913,32,39,79,30,450,Stuttgart
8000016,8004681,11,11,300,150,1470,Stuttgart
8000016,8006479,6,11,98,120,360,Stuttgart
8000017,8000017,82,154,72,30,1230,Stuttgart
8000017,8000264,0,9,-3,0,0,Stuttgart
8000017,8000704,19,42,49,0,360,Stuttgart
8000017,8000706,20,23,130,30,600,Stuttgart
8000017,8000765,11,17,150,30,1290,Stuttgart
8000017,8004050,6,16,24,0,210,Stuttgart
8000017,8004220,17,35,91,0,600,Stuttgart
8000017,8004643,2,20,9,0,150,Stuttgart
8000017,8005989,0,1,0,0,0,Stuttgart
8000038,8000038,17,37,37,0,300,Stuttgart
8000038,8000157,4,14,26,0,270,Stuttgart
8000038,8000925,1,4,15,0,60,Stuttgart
8000038,8005820,10,40,18,0,120,Stuttgart
8000038,8006440,1,1,360,360,360,Stuttgart
8000157,8000038,8,16,39,15,180,Stuttgart
8000157,8000157,13,35,27,0,240,Stuttgart
8000157,8002699,2,3,90,30,240,Stuttgart
8000157,8004220,11,32,60,0,1200,Stuttgart
8000157,8004458,0,2,0,0,0,Stuttgart
8000157,8005453,8,19,328,0,2880,Stuttgart
8000157,8006289,11,15,88,30,540,Stuttgart
8000180,8000180,126,183,126,60,1290,Stuttgart
8000180,8001974,52,79,94,30,690,Stuttgart
8000180,8004333,28,42,163,60,1140,Stuttgart
8000180,8005157,26,40,116,60,1020,Stuttgart
8000180,8005769,9,11,128,120,270,Stuttgart
8000180,8006479,8,11,256,90,1290,Stuttgart
8000221,8000221,23,46,97,15,900,Stuttgart
8000221,8000295,6,16,69,0,300,Stuttgart
8000221,8000724,1,2,120,120,240,Stuttgart
8000221,8001111,1,1,30,30,30,Stuttgart
8000221,8001472,5,5,102,90,210,Stuttgart
8000221,8002243,11,15,30,30,60,Stuttgart
8000221,8002251,0,2,0,0,0,Stuttgart
8000221,8003381,5,6,80,90,150,Stuttgart
8000221,8005827,4,6,85,60,300,Stuttgart
8000231,8000231,5,15,32,0,240,Stuttgart
8000231,8005011,6,11,55,30,240,Stuttgart
8000231,8006354,1,8,11,0,120,Stuttgart
8000330,8000330,30,36,191,90,1710,Stuttgart
8000330,8001651,17,19,229,150,1020,Stuttgart
8000330,8002168,9,11,199,150,930,Stuttgart
