from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010003,8010202,3,11,8,0,30,Thüringen
8010003,8013138,8,21,66,0,1110,Thüringen
8010003,8013471,2,17,-7,0,60,Thüringen
8010007,8010007,101,129,138,60,2100,Thüringen
8010007,8010242,13,26,134,15,630,Thüringen
8010007,8010274,8,8,514,285,2070,Thüringen
8010007,8011055,25,40,87,60,540,Thüringen
8010007,8011792,27,39,106,60,660,Thüringen
8010007,8012314,16,19,136,60,660,Thüringen
8010014,8010014,20,37,66,30,480,Thüringen
8010014,8010305,10,18,63,45,300,Thüringen
8010020,8010020,41,55,211,90,1890,Thüringen
8010020,8010081,5,7,120,60,420,Thüringen
8010020,8010235,16,17,258,180,780,Thüringen
8010020,8010242,10,10,324,195,930,Thüringen
8010020,8011449,6,10,63,60,330,Thüringen
8010020,8011687,6,11,68,30,450,Thüringen
8010020,8011746,1,2,45,45,90,Thüringen
8010020,8012919,5,10,264,30,1800,Thüringen
8010021,8010021,12,37,25,0,180,Thüringen
8010021,8011934,8,19,35,0,180,Thüringen
8010021,8012533,4,18,13,0,120,Thüringen
8010048,8010048,12,16,262,90,2130,Thüringen
8010048,8010203,6,8,360,30,2130,Thüringen
8010048,8012993,7,8,146,90,480,Thüringen
8010055,8010055,30,53,92,30,690,Thüringen
8010055,8010203,8,8,255,240,720,Thüringen
8010055,8010385,9,16,107,30,660,Thüringen
8010055,8011602,4,12,18,0,120,Thüringen
8010055,8013004,3,6,50,15,240,Thüringen
8010055,8013318,10,11,104,90,270,Thüringen
8010061,8010061,18,22,233,120,930,Thüringen
8010061,8010124,2,3,270,150,660,Thüringen
8010061,8011852,9,12,115,30,540,Thüringen
8010061,8012440,6,7,429,360,960,Thüringen
8010067,8010067,9,19,35,0,300,Thüringen
8010067,8011106,4,9,27,0,90,Thüringen
8010067,8011678,2,10,36,0,270,Thüringen
8010081,8010020,2,7,39,0,240,Thüringen
8010081,8010081,23,35,143,30,1740,Thüringen
8010081,8010198,0,1,0,0,0,Thüringen
8010081,8011336,6,10,114,45,480,Thüringen
8010081,8011687,5,10,282,15,2040,Thüringen
8010102,8010102,33,53,211,30,3660,Thüringen
8010102,8010198,1,1,60,60,60,Thüringen
8010102,8011503,10,18,170,30,1260,Thüringen
8010102,8012769,3,7,167,0,990,Thüringen
