from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000123,8000989,8,17,58,0,600,Trier
8000134,8000134,85,97,240,150,1350,Trier
8000134,8003402,17,18,373,120,1830,Trier
8000134,8004784,50,55,133,60,690,Trier
8000134,8005476,33,35,413,300,1230,Trier
8000134,8005905,50,76,124,45,1320,Trier
8000370,8000370,87,110,144,90,990,Trier
8000370,8001688,32,36,198,135,780,Trier
8000370,8003407,16,19,106,60,630,Trier
8000370,8004784,37,55,123,60,990,Trier
8000379,8000379,88,107,242,120,1350,Trier
8000379,8001267,33,34,431,330,1350,Trier
8000379,8002817,2,2,90,90,90,Trier
8000379,8003352,1,1,30,30,30,Trier
8000379,8005260,24,36,68,60,480,Trier
8000379,8005476,22,32,229,60,1170,Trier
8000379,8005945,16,20,144,60,660,Trier
8000402,8000402,62,83,135,90,1530,Trier
8000402,8003402,13,23,85,30,420,Trier
8000402,8003403,15,18,115,75,510,Trier
8000402,8005905,35,42,179,90,1710,Trier
8000674,8000674,34,36,131,60,900,Trier
8000674,8001388,16,17,187,90,810,Trier
8000674,8005624,17,19,112,60,540,Trier
8000870,8000870,29,38,126,60,660,Trier
8000870,8001267,15,19,156,60,750,Trier
8000870,8005945,16,19,106,60,450,Trier
8000989,8000123,15,17,226,180,1020,Trier
8000989,8000989,27,34,140,60,1080,Trier
8000989,8004174,14,17,72,30,630,Trier
8001388,8000674,17,19,107,90,570,Trier
8001388,8001388,31,36,152,90,780,Trier
8001388,8003407,13,17,171,90,750,Trier
8001414,8001414,29,34,149,60,1110,Trier
8001414,8004174,15,17,205,120,1080,Trier
8001414,8005342,14,17,92,60,630,Trier
8001688,8000370,26,36,107,60,1020,Trier
8001688,8001688,59,72,154,90,990,Trier
8001688,8004910,34,36,223,150,810,Trier
8001828,8001828,25,38,129,60,1080,Trier
8001828,8003021,12,17,176,60,1080,Trier
8001828,8003484,10,19,77,30,390,Trier
8001828,8005624,2,2,90,90,150,Trier
8002018,8002018,55,74,128,90,810,Trier
8002018,8002817,33,36,187,120,780,Trier
8002018,8005476,22,38,68,60,420,Trier
8002817,8002018,27,38,66,45,420,Trier
8002817,8002817,60,74,124,90,780,Trier
8002817,8005510,33,36,188,120,780,Trier
8003021,8001828,6,17,51,0,390,Trier
8003021,8003021,18,34,116,30,1080,Trier
8003021,8004814,11,17,154,60,1020,Trier
8003042,8003042,52,69,133,60,1380,Trier
8003042,8003434,26,34,67,60,330,Trier
8003042,8200340,35,35,267,180,1410,Trier
8003173,8003173,33,44,201,75,1590,Trier
8003173,8003402,19,22,239,120,1470,Trier
8003173,8006461,13,22,160,60,1770,Trier
8003402,8000134,18,18,265,180,1080,Trier
8003402,8000402,20,23,248,150,1470,Trier
8003402,8003173,13,22,139,60,1200,Trier
8003402,8003402,67,80,249,90,1890,Trier
8003402,8005245,17,18,423,135,1950,Trier
8003403,8000402,14,19,74,60,300,Trier
8003403,8003403,29,37,86,60,540,Trier
8003403,8006222,14,18,113,90,540,Trier
8003407,8000370,12,19,152,60,750,Trier
8003407,8001388,18,19,161,150,660,Trier
8003407,8003407,30,38,157,90,750,Trier
8003434,8003042,32,35,213,120,1380,Trier
8003434,8003434,59,69,146,60,1380,Trier
8003434,8005905,29,34,105,90,420,Trier
8003484,8001828,14,19,177,90,1080,Trier
8003484,8003484,26,34,158,90,1110,Trier
8003484,8005658,14,17,178,90,1080,Trier
8004174,8000989,15,17,206,180,1080,Trier
8004174,8001414,13,17,94,90,630,Trier
8004174,8004174,30,34,146,60,1080,Trier
8004438,8004438,25,37,91,30,840,Trier
8004438,8006315,12,19,54,30,210,Trier
8004438,8006463,13,18,137,60,810,Trier
8004514,8004514,30,37,75,30,570,Trier
8004514,8005835,12,18,103,75,570,Trier
8004514,8006222,16,19,51,30,180,Trier
8004748,8004236,14,18,132,60,780,Trier
8004748,8004748,26,36,90,45,780,Trier
8004748,8006252,14,18,62,60,180,Trier
8004784,8000134,50,55,146,60,930,Trier
8004784,8000370,49,55,159,120,780,Trier
8004784,8004784,95,110,140,90,990,Trier
8004814,8001828,2,2,45,45,60,Trier
8004814,8003021,11,17,90,60,480,Trier
8004814,8004814,26,36,113,60,990,Trier
8004814,8005624,12,17,136,30,990,Trier
8004910,8001688,24,36,98,60,990,Trier
8004910,8004910,57,72,147,90,840,Trier
8004910,8005476,33,36,193,120,810,Trier
8005245,8003402,18,18,207,75,1110,Trier
8005245,8004004,17,18,455,195,2040,Trier
8005245,8005245,61,77,244,90,2040,Trier
8005245,8005392,20,22,244,120,1500,Trier
8005245,8005539,14,21,167,60,1800,Trier
8005260,8000379,28,36,137,75,660,Trier
8005260,8005260,54,72,114,60,720,Trier
8005260,8005510,13,36,48,0,480,Trier
8005342,8001414,14,17,208,120,1110,Trier
8005342,8005342,28,34,149,90,1080,Trier
8005342,8005658,13,17,92,60,600,Trier
8005392,8005245,13,22,147,30,1830,Trier
8005392,8005392,32,44,198,60,1830,Trier
8005392,8006461,19,22,243,120,1500,Trier
8005476,8000134,27,34,261,90,1260,Trier
8005476,8000379,33,35,422,270,1290,Trier
8005476,8002018,34,36,208,135,840,Trier
8005476,8004910,24,36,68,30,420,Trier
8005476,8005476,116,141,234,120,1260,Trier
8005510,8002817,18,36,52,15,420,Trier
8005510,8005260,32,36,182,120,750,Trier
8005510,8005510,51,72,114,60,750,Trier
8005539,8005245,16,21,183,120,780,Trier
8005539,8005539,32,42,173,60,1830,Trier
8005539,8005812,11,21,163,30,1860,Trier
8005624,8000674,11,17,134,30,990,Trier
8005624,8003407,1,2,60,60,120,Trier
8005624,8004814,15,19,101,60,510,Trier
8005624,8005624,29,38,118,60,990,Trier
8005658,8003484,13,17,178,120,1110,Trier
8005658,8005342,16,17,238,180,1110,Trier
