from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000014,8000014,36,74,182,0,3600,Tübingen
8000014,8000559,7,19,49,0,450,Tübingen
8000014,8000746,14,25,94,30,1260,Tübingen
8000014,8000763,10,20,170,15,1860,Tübingen
8000014,8000943,2,12,-12,0,30,Tübingen
8000014,8004049,16,18,122,30,1020,Tübingen
8000014,8004965,25,37,301,60,3600,Tübingen
8000069,8000069,35,42,469,135,3540,Tübingen
8000069,8000473,6,7,604,150,3600,Tübingen
8000069,8000933,7,8,615,195,3480,Tübingen
8000069,8002656,4,5,690,750,1530,Tübingen
8000069,8003969,15,19,377,180,2190,Tübingen
8000069,8005568,5,19,47,0,630,Tübingen
8000069,8005747,3,4,832,795,1740,Tübingen
8000112,8000112,63,95,139,30,2310,Tübingen
8000112,8001838,3,4,638,165,2220,Tübingen
8000112,8002030,12,20,93,30,600,Tübingen
8000112,8002110,24,35,189,30,1380,Tübingen
8000112,8002122,11,24,75,0,540,Tübingen
8000112,8003432,4,7,60,30,210,Tübingen
8000112,8003524,6,9,33,30,90,Tübingen
8000112,8003733,12,29,27,0,150,Tübingen
8000112,8003871,3,3,210,180,300,Tübingen
8000112,8003930,11,20,27,30,90,Tübingen
8000112,8004029,7,7,253,60,1380,Tübingen
8000112,8004965,11,16,43,30,120,Tübingen
8000112,8100090,1,1,60,60,60,Tübingen
8000141,8000141,80,85,248,120,3360,Tübingen
8000141,8000314,15,18,552,180,3360,Tübingen
8000141,8003248,27,36,287,120,1980,Tübingen
8000141,8003272,1,1,120,120,120,Tübingen
8000141,8004070,9,9,623,510,1830,Tübingen
8000141,8004778,1,1,60,60,60,Tübingen
8000141,8005197,2,3,550,330,1320,Tübingen
8000141,8005916,36,41,127,60,480,Tübingen
8000141,8005918,28,34,164,60,1500,Tübingen
8000160,8000160,65,75,392,180,3570,Tübingen
8000160,8002760,16,19,270,120,1860,Tübingen
8000160,8003969,33,37,568,270,3600,Tübingen
8000160,8005087,18,19,343,180,1950,Tübingen
8000203,8000203,51,58,189,120,1800,Tübingen
8000203,8000336,20,28,169,90,1230,Tübingen
8000203,8000763,6,6,105,120,210,Tübingen
8000203,8006200,19,22,175,90,720,Tübingen
8000203,8006545,6,13,99,0,630,Tübingen
8000314,8000141,16,17,526,330,1230,Tübingen
8000314,8000314,86,103,282,150,3360,Tübingen
8000314,8004009,1,2,15,15,30,Tübingen
8000314,8005052,16,36,92,0,480,Tübingen
8000314,8005054,27,34,180,90,1650,Tübingen
8000336,8000203,21,28,167,60,1110,Tübingen
8000336,8000336,37,38,200,120,1170,Tübingen
8000336,8000454,15,19,137,60,480,Tübingen
8000353,8000353,17,18,655,180,3480,Tübingen
8000353,8000473,9,9,577,210,2280,Tübingen
8000353,8000999,1,1,60,60,60,Tübingen
8000353,8002673,7,8,765,105,3420,Tübingen
8000454,8000336,18,19,283,150,1170,Tübingen
8000454,8000454,34,38,202,120,1050,Tübingen
8000454,8003897,12,19,134,90,450,Tübingen
8000473,8000069,8,8,660,255,2280,Tübingen
8000473,8000353,9,9,743,210,3540,Tübingen
8000473,8000473,17,18,673,195,3570,Tübingen
8000473,8005747,1,1,90,90,90,Tübingen
8000473,8005750,1,2,300,300,600,Tübingen
8000499,8000499,6,8,195,45,1230,Tübingen
8000499,8001684,2,4,38,15,120,Tübingen
8000499,8005333,3,3,580,150,1500,Tübingen
8000499,8005379,1,1,60,60,60,Tübingen
8000559,8000014,16,19,319,90,1290,Tübingen
