from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000010,8000010,62,83,278,90,2670,Unterfranken
8000010,8000183,5,6,215,150,540,Unterfranken
8000010,8000250,1,1,90,90,90,Unterfranken
8000010,8000618,17,20,56,30,390,Unterfranken
8000010,8000619,4,5,60,30,210,Unterfranken
8000010,8002696,15,15,450,330,1200,Unterfranken
8000010,8002918,5,10,51,30,150,Unterfranken
8000010,8003143,1,1,30,30,30,Unterfranken
8000010,8003314,13,21,119,30,990,Unterfranken
8000010,8003334,1,1,30,30,30,Unterfranken
8000010,8003680,1,2,105,105,210,Unterfranken
8000010,8004560,4,6,20,30,60,Unterfranken
8000010,8100014,1,1,390,390,390,Unterfranken
8000010,8100024,1,1,90,90,90,Unterfranken
8000032,8000032,111,169,96,30,1320,Unterfranken
8000032,8001620,14,16,71,75,150,Unterfranken
8000032,8002630,16,17,189,120,720,Unterfranken
8000032,8004453,22,24,125,60,420,Unterfranken
8000032,8004865,10,16,39,30,180,Unterfranken
8000032,8005049,5,7,116,30,480,Unterfranken
8000032,8005198,2,2,30,30,30,Unterfranken
8000032,8005479,24,59,58,0,1080,Unterfranken
8000032,8006147,13,23,99,60,540,Unterfranken
8000120,8000120,52,74,179,60,1410,Unterfranken
8000120,8003189,15,17,364,210,1200,Unterfranken
8000120,8003329,3,14,9,0,60,Unterfranken
8000120,8003548,18,28,100,30,720,Unterfranken
8000120,8005092,9,16,124,30,1410,Unterfranken
8000120,8006349,10,22,59,0,480,Unterfranken
8000479,8000479,21,40,94,30,1410,Unterfranken
8000479,8001225,15,28,103,30,1380,Unterfranken
8000479,8003081,13,20,72,30,240,Unterfranken
8000575,8000575,12,32,37,0,450,Unterfranken
8000575,8005386,3,16,73,0,840,Unterfranken
8000575,8006274,6,17,23,0,120,Unterfranken
8000618,8000010,15,22,31,30,90,Unterfranken
8000618,8000618,33,42,50,30,420,Unterfranken
8000618,8000619,19,20,74,60,420,Unterfranken
8000619,8000010,2,7,17,0,90,Unterfranken
8000619,8000618,5,22,10,0,60,Unterfranken
8000619,8000619,30,54,37,30,360,Unterfranken
8000619,8003334,3,6,70,30,300,Unterfranken
8000619,8004558,7,19,24,0,210,Unterfranken
8000640,8000640,11,30,31,0,540,Unterfranken
8000640,8001148,1,17,4,0,60,Unterfranken
8000640,8002089,3,16,-4,0,60,Unterfranken
8000640,8003324,3,22,4,0,30,Unterfranken
8000640,8003337,4,12,15,0,60,Unterfranken
8000714,8000714,15,28,27,30,90,Unterfranken
8000714,8001935,3,17,11,0,90,Unterfranken
8000714,8004629,4,30,14,0,180,Unterfranken
8000730,8000730,27,43,84,30,630,Unterfranken
8000730,8001290,8,20,28,0,240,Unterfranken
8000730,8003959,15,20,105,45,750,Unterfranken
8000730,8004169,7,7,197,60,690,Unterfranken
8000818,8000818,16,54,19,0,120,Unterfranken
8000818,8002333,6,27,13,0,120,Unterfranken
8000818,8003881,11,27,30,0,150,Unterfranken
8000902,8000902,27,46,67,30,510,Unterfranken
8000902,8001919,13,23,46,30,300,Unterfranken
8000902,8005523,14,23,90,30,540,Unterfranken
8001148,8000640,12,17,44,30,150,Unterfranken
