from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8001071,8001071,25,40,104,30,540,Weser-Ems
8001071,8003632,8,20,52,0,480,Weser-Ems
8001201,8001201,30,40,148,120,720,Weser-Ems
8001201,8003288,15,20,135,120,600,Weser-Ems
8001201,8003956,15,20,186,120,720,Weser-Ems
8002615,8002615,71,77,491,210,4350,Weser-Ems
8002615,8003640,7,8,671,120,4320,Weser-Ems
8002615,8004208,25,30,141,60,1200,Weser-Ems
8003956,8001201,15,20,120,105,600,Weser-Ems
8003956,8003956,31,40,154,105,720,Weser-Ems
8003956,8006367,18,20,220,165,720,Weser-Ems
8004208,8002615,30,30,575,420,1740,Weser-Ems
8004208,8003640,20,30,145,60,1260,Weser-Ems
8004208,8004208,50,60,352,210,1740,Weser-Ems
8005262,8005262,21,38,41,30,300,Weser-Ems
8005262,8005436,10,19,44,30,300,Weser-Ems
8005436,8005262,13,19,38,30,90,Weser-Ems
8005436,8005436,20,38,27,30,270,Weser-Ems
8005436,8400483,4,18,20,0,180,Weser-Ems
8006367,8003956,15,20,102,60,600,Weser-Ems
8006367,8006367,33,40,155,90,720,Weser-Ems
8006367,8006503,17,20,204,150,720,Weser-Ems
8006503,8006367,15,20,86,45,600,Weser-Ems
8006503,8006503,28,40,137,60,720,Weser-Ems
