region_name,section_count,delay_count,avg_delay,median_delay,max_delay,total_entries,date
Arnsberg,498.0,14671.0,172.6172281566694,60.0,8160.0,21906.0,2023-03-15
Berlin,84.0,6449.0,82.26996580164956,30.0,4410.0,9942.0,2023-03-15
Brandenburg,927.0,13356.0,94.93996892123988,30.0,6540.0,24454.0,2023-03-15
Braunschweig,135.0,1710.0,57.78731009830206,0.0,3600.0,3357.0,2023-03-15
Bremen,9.0,82.0,361.6774193548387,165.0,2340.0,93.0,2023-03-15
Chemnitz,301.0,4565.0,60.911058692937424,30.0,3120.0,7207.0,2023-03-15
Darmstadt,510.0,18230.0,175.6503038803179,90.0,4950.0,23529.0,2023-03-15
Dessau,180.0,3307.0,111.7795166858458,60.0,2190.0,4345.0,2023-03-15
Detmold,128.0,2331.0,251.97216584517253,60.0,8190.0,3449.0,2023-03-15
Dresden,349.0,6555.0,93.78020554452026,30.0,5640.0,11579.0,2023-03-15
Düsseldorf,435.0,24885.0,192.35740194270258,90.0,6960.0,32532.0,2023-03-15
Freiburg,387.0,4733.0,102.63277600196704,30.0,1830.0,8134.0,2023-03-15
Gießen,158.0,3400.0,170.7442847042187,90.0,3600.0,4243.0,2023-03-15
Halle,271.0,4264.0,130.43199770213988,30.0,5670.0,6963.0,2023-03-15
Hamburg,34.0,3792.0,64.3174132304954,30.0,1380.0,6742.0,2023-03-15
Hannover,258.0,6724.0,106.81645254456727,30.0,2430.0,10041.0,2023-03-15
Karlsruhe,691.0,20260.0,177.65652238144483,60.0,6330.0,27076.0,2023-03-15
Kassel,270.0,4049.0,165.45373632486556,60.0,4860.0,5393.0,2023-03-15
Koblenz,370.0,7893.0,256.86297760210806,60.0,4500.0,10626.0,2023-03-15
Köln,486.0,19974.0,165.57619397501836,60.0,4740.0,27220.0,2023-03-15
Leipzig,304.0,9571.0,74.92146341463415,30.0,3090.0,14350.0,2023-03-15
Luneburg,137.0,2178.0,151.34187770228536,60.0,6510.0,3238.0,2023-03-15
Magdeburg,352.0,5845.0,64.86791625561767,30.0,1500.0,9123.0,2023-03-15
Mecklenburg-Vorpommern,547.0,4896.0,60.60855614973262,0.0,2700.0,11220.0,2023-03-15
Mittelfranken,421.0,10654.0,112.85669424482155,30.0,4710.0,16559.0,2023-03-15
Munster,231.0,5776.0,275.6203714657518,60.0,8250.0,8453.0,2023-03-15
Niederbayern,143.0,2015.0,96.21198156682027,30.0,3150.0,3472.0,2023-03-15
Oberbayern,882.0,46367.0,251.1674069771415,90.0,4650.0,58534.0,2023-03-15
Oberfranken,277.0,3281.0,146.52473695992836,60.0,3960.0,4467.0,2023-03-15
Oberpfalz,156.0,1337.0,234.58480868075387,112.5,3570.0,1751.0,2023-03-15
Rheinhessen-Pfalz,692.0,15670.0,142.447117889452,60.0,5190.0,21113.0,2023-03-15
Saarland,250.0,6088.0,88.77935821574874,60.0,1590.0,8788.0,2023-03-15
Schleswig-Holstein,180.0,3086.0,113.90764572293718,60.0,2640.0,5284.0,2023-03-15
Schwaben,358.0,5895.0,183.99558985667034,60.0,3540.0,8163.0,2023-03-15
Stuttgart,494.0,9994.0,171.86166197762986,60.0,7650.0,14573.0,2023-03-15
Thüringen,937.0,9703.0,94.83159544005619,30.0,5730.0,18509.0,2023-03-15
Trier,141.0,3781.0,139.1177409698663,60.0,3990.0,5011.0,2023-03-15
Tübingen,383.0,5822.0,108.54607945939648,60.0,1320.0,8583.0,2023-03-15
Unterfranken,364.0,5995.0,107.8231643172733,30.0,3690.0,9506.0,2023-03-15
Weser-Ems,29.0,604.0,170.61804697156984,75.0,1740.0,809.0,2023-03-15
