date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-10-01,8000001,8000001,19,24,312
2023-10-01,8000001,8000085,1,1,240
2023-10-01,8000001,8000086,2,3,560
2023-10-01,8000001,8000207,7,9,317
2023-10-01,8000001,8000208,24,35,162
2023-10-01,8000002,8000002,13,14,120
2023-10-01,8000002,8000170,6,7,34
2023-10-01,8000002,8000329,10,15,48
2023-10-01,8000002,8001751,7,7,124
2023-10-01,8000004,8000004,42,85,121
2023-10-01,8000004,8000036,6,13,25
2023-10-01,8000004,8000162,12,16,69
2023-10-01,8000004,8000196,2,12,30
2023-10-01,8000004,8000297,26,41,181
2023-10-01,8000009,8000009,68,90,102
2023-10-01,8000009,8000067,10,16,52
2023-10-01,8000009,8000091,14,19,57
2023-10-01,8000009,8000122,16,19,63
2023-10-01,8000009,8000284,38,54,132
2023-10-01,8000013,8000013,146,187,373
2023-10-01,8000013,8000057,24,37,365
2023-10-01,8000013,8000078,49,56,185
2023-10-01,8000013,8000139,28,30,306
2023-10-01,8000013,8000170,17,28,215
2023-10-01,8000013,8000261,7,8,682
2023-10-01,8000013,8004158,65,81,429
2023-10-01,8000025,8000025,84,108,309
2023-10-01,8000025,8000150,2,2,75
2023-10-01,8000025,8000228,35,51,180
2023-10-01,8000025,8000260,28,33,179
2023-10-01,8000025,8000284,6,6,985
2023-10-01,8000025,8001844,54,67,243
2023-10-01,8000025,8010101,12,14,208
2023-10-01,8000029,8000029,45,55,266
2023-10-01,8000029,8000115,17,20,414
2023-10-01,8000029,8000128,1,1,30
2023-10-01,8000029,8003200,17,28,260
2023-10-01,8000029,8010097,8,8,278
2023-10-01,8000031,8000031,102,133,380
2023-10-01,8000031,8000068,53,65,438
2023-10-01,8000031,8000244,0,1,0
2023-10-01,8000031,8000377,51,84,259
2023-10-01,8000036,8000004,10,14,96
2023-10-01,8000036,8000036,94,106,491
2023-10-01,8000036,8000149,21,21,439
2023-10-01,8000036,8000152,23,23,785
2023-10-01,8000036,8000162,44,68,278
2023-10-01,8000036,8000252,0,1,-30
2023-10-01,8000036,8000732,1,1,600
2023-10-01,8000036,8002461,52,61,229
2023-10-01,8000039,8000039,52,78,313
2023-10-01,8000039,8000045,26,34,153
2023-10-01,8000039,8000189,19,20,148
2023-10-01,8000039,8000206,4,5,186
2023-10-01,8000039,8000240,21,34,470
2023-10-01,8000039,8000275,2,2,180
2023-10-01,8000041,8000041,206,284,172
2023-10-01,8000041,8000080,88,110,126
2023-10-01,8000041,8000098,105,142,222
2023-10-01,8000041,8000192,13,22,29
2023-10-01,8000041,8000251,23,32,147
2023-10-01,8000044,8000044,120,155,493
2023-10-01,8000044,8000086,12,14,208
2023-10-01,8000044,8000206,18,19,1033
2023-10-01,8000044,8000207,50,64,465
2023-10-01,8000044,8000310,50,58,545
2023-10-01,8000045,8000039,24,34,236
2023-10-01,8000045,8000045,54,69,201
2023-10-01,8000045,8000206,26,35,149
2023-10-01,8000046,8000074,5,9,157
2023-10-01,8000046,8003020,1,24,-9
2023-10-01,8000049,8000049,34,49,348
2023-10-01,8000049,8000128,6,9,77
2023-10-01,8000049,8000152,12,15,426
2023-10-01,8000049,8000159,12,26,60
2023-10-01,8000049,8006552,9,9,543
2023-10-01,8000049,8010224,7,8,529
2023-10-01,8000050,8000050,92,111,513
2023-10-01,8000050,8000070,24,27,193
2023-10-01,8000050,8000087,1,1,240
2023-10-01,8000050,8000147,16,19,1342
2023-10-01,8000050,8000152,2,2,90
2023-10-01,8000050,8000263,4,4,592
2023-10-01,8000050,8000294,13,19,616
2023-10-01,8000050,8001443,18,20,330
2023-10-01,8000050,8006076,28,30,216
2023-10-01,8000055,8000055,162,267,73
2023-10-01,8000055,8000096,5,6,105
2023-10-01,8000055,8000156,1,1,210
2023-10-01,8000055,8000191,8,12,80
2023-10-01,8000055,8000236,2,2,45
2023-10-01,8000055,8000339,7,11,46
2023-10-01,8000055,8003184,75,121,90
2023-10-01,8000055,8006421,35,65,70
2023-10-01,8000057,8000013,29,37,257
2023-10-01,8000057,8000057,101,138,340
2023-10-01,8000057,8000194,29,41,364
2023-10-01,8000057,8000249,21,26,369
2023-10-01,8000057,8004158,39,47,360
2023-10-01,8000058,8000058,34,35,401
2023-10-01,8000058,8002549,5,5,456
2023-10-01,8000058,8002554,13,21,387
2023-10-01,8000058,8010216,8,8,255
2023-10-01,8000058,8010324,10,10,453
2023-10-01,8000059,8000059,39,61,117
2023-10-01,8000059,8000162,19,26,125
2023-10-01,8000059,8000252,3,3,120
2023-10-01,8000059,8000294,15,21,173
2023-10-01,8000059,8000732,0,1,-30
2023-10-01,8000064,8000064,11,16,407
2023-10-01,8000064,8000152,20,48,90
2023-10-01,8000064,8000168,3,5,528
2023-10-01,8000067,8000009,14,16,249
2023-10-01,8000067,8000067,23,31,130
2023-10-01,8000067,8000096,9,10,183
2023-10-01,8000067,8001751,6,7,43
2023-10-01,8000068,8000031,55,68,299
2023-10-01,8000068,8000068,108,136,340
2023-10-01,8000068,8000105,51,61,376
2023-10-01,8000068,8000111,5,5,780
2023-10-01,8000068,8000156,1,1,60
2023-10-01,8000068,8000377,0,1,0
2023-10-01,8000068,8002041,38,45,64
2023-10-01,8000070,8000050,20,27,244
2023-10-01,8000070,8000070,45,54,231
2023-10-01,8000070,8000291,1,2,240
2023-10-01,8000070,8000522,14,25,154
2023-10-01,8000073,8000073,26,53,138
2023-10-01,8000073,8000290,2,2,75
2023-10-01,8000073,8001790,8,17,37
2023-10-01,8000073,8003400,16,22,517
2023-10-01,8000074,8000046,4,8,75
2023-10-01,8000074,8000074,4,10,87
2023-10-01,8000074,8000383,15,20,129
2023-10-01,8000076,8000076,62,84,251
2023-10-01,8000076,8000149,36,42,284
2023-10-01,8000076,8000571,41,42,245
2023-10-01,8000076,8000961,11,18,27
2023-10-01,8000078,8000002,1,1,30
2023-10-01,8000078,8000013,39,55,443
2023-10-01,8000078,8000078,60,74,440
2023-10-01,8000078,8000122,22,26,219
2023-10-01,8000078,8000284,4,5,246
2023-10-01,8000080,8000041,87,110,252
2023-10-01,8000080,8000080,193,240,432
2023-10-01,8000080,8000085,14,19,489
2023-10-01,8000080,8000087,14,16,1080
2023-10-01,8000080,8000118,1,1,60
2023-10-01,8000080,8000142,18,19,586
2023-10-01,8000080,8000149,82,100,240
2023-10-01,8000080,8000192,52,82,93
2023-10-01,8000080,8000207,0,1,-180
2023-10-01,8000080,8000251,77,80,468
2023-10-01,8000080,8000263,27,33,853
2023-10-01,8000080,8000266,0,3,-120
2023-10-01,8000080,8000307,15,16,204
2023-10-01,8000080,8002549,2,2,270
2023-10-01,8000082,8000082,71,84,263
2023-10-01,8000082,8000085,33,42,296
2023-10-01,8000082,8000086,42,42,267
2023-10-01,8000085,8000001,4,4,2805
2023-10-01,8000085,8000080,21,22,1169
2023-10-01,8000085,8000082,34,42,251
2023-10-01,8000085,8000085,407,513,516
2023-10-01,8000085,8000086,3,3,580
2023-10-01,8000085,8000087,38,41,375
2023-10-01,8000085,8000098,37,41,592
2023-10-01,8000085,8000192,6,6,985
2023-10-01,8000085,8000207,50,70,731
2023-10-01,8000085,8000263,1,1,210
2023-10-01,8000085,8000266,58,72,746
2023-10-01,8000085,8000307,3,3,1040
2023-10-01,8000085,8003368,50,64,673
2023-10-01,8000085,8073368,37,40,387
2023-10-01,8000086,8000001,3,4,210
2023-10-01,8000086,8000044,13,15,470
2023-10-01,8000086,8000082,27,42,201
2023-10-01,8000086,8000086,28,34,289
2023-10-01,8000086,8000098,3,3,370
2023-10-01,8000086,8001773,1,1,570
2023-10-01,8000087,8000080,15,20,424
2023-10-01,8000087,8000085,27,42,188
2023-10-01,8000087,8000087,129,162,569
2023-10-01,8000087,8000207,33,36,902
2023-10-01,8000087,8000263,2,2,615
2023-10-01,8000087,8000266,54,61,602
2023-10-01,8000087,8003368,37,49,431
2023-10-01,8000091,8000009,11,19,87
2023-10-01,8000091,8000091,22,38,81
2023-10-01,8000091,8000260,13,19,117
2023-10-01,8000095,8000095,30,33,143
2023-10-01,8000095,8000309,1,1,510
2023-10-01,8000096,8000055,5,7,103
2023-10-01,8000096,8000067,8,10,138
2023-10-01,8000096,8000096,92,108,401
2023-10-01,8000096,8000156,9,9,467
2023-10-01,8000096,8000170,38,41,600
2023-10-01,8000096,8000191,2,2,300
2023-10-01,8000096,8000235,14,19,103
2023-10-01,8000096,8000244,26,32,179
2023-10-01,8000096,8000302,1,1,1980
2023-10-01,8000096,8000329,5,6,100
2023-10-01,8000096,8001055,15,31,188
2023-10-01,8000096,8001920,16,17,104
2023-10-01,8000096,8005424,8,9,117
2023-10-01,8000096,8006053,29,41,161
2023-10-01,8000096,8006421,0,1,-30
2023-10-01,8000098,8000041,104,142,105
2023-10-01,8000098,8000085,37,40,682
2023-10-01,8000098,8000098,233,347,127
2023-10-01,8000098,8000118,64,79,118
2023-10-01,8000098,8000259,96,138,155
2023-10-01,8000098,8000263,3,3,1170
2023-10-01,8000098,8000266,27,37,123
2023-10-01,8000098,8000307,16,17,191
2023-10-01,8000101,8000101,37,54,161
2023-10-01,8000101,8000177,19,21,353
2023-10-01,8000101,8001833,19,31,60
2023-10-01,8000102,8000102,24,34,245
2023-10-01,8000102,8002370,11,17,148
2023-10-01,8000102,8004838,13,18,335
2023-10-01,8000103,8000103,4,4,218
2023-10-01,8000103,8000312,2,2,180
2023-10-01,8000103,8005362,12,20,-3
2023-10-01,8000105,8000068,50,66,292
2023-10-01,8000105,8000105,78,86,642
2023-10-01,8000105,8000111,2,2,600
2023-10-01,8000105,8000115,13,15,302
2023-10-01,8000105,8000150,22,25,768
2023-10-01,8000105,8000206,0,1,-60
2023-10-01,8000105,8000240,2,4,52
2023-10-01,8000105,8000244,44,45,505
2023-10-01,8000105,8000260,14,14,906
2023-10-01,8000105,8002041,50,66,143
2023-10-01,8000105,8002042,2,4,22
2023-10-01,8000105,8003200,7,8,412
2023-10-01,8000105,8010097,0,1,-120
2023-10-01,8000105,8010101,7,7,326
2023-10-01,8000105,8070003,30,37,385
2023-10-01,8000105,8070004,12,17,116
2023-10-01,8000107,8000107,103,123,442
2023-10-01,8000107,8000191,1,1,750
2023-10-01,8000107,8000290,44,56,234
2023-10-01,8000107,8000774,8,8,870
2023-10-01,8000108,8000108,29,43,257
2023-10-01,8000108,8000116,7,7,497
2023-10-01,8000111,8000068,4,4,360
2023-10-01,8000111,8000105,1,1,720
2023-10-01,8000111,8000111,84,96,271
2023-10-01,8000111,8000124,16,16,832
2023-10-01,8000111,8000150,31,32,207
2023-10-01,8000111,8000728,29,44,108
2023-10-01,8000111,8002041,9,9,260
2023-10-01,8000114,8000114,206,243,193
2023-10-01,8000114,8000260,17,18,145
2023-10-01,8000114,8000284,94,118,199
2023-10-01,8000114,8001844,67,80,238
2023-10-01,8000115,8000029,21,22,314
2023-10-01,8000115,8000105,12,17,381
2023-10-01,8000115,8000115,70,99,367
2023-10-01,8000115,8000128,2,2,60
2023-10-01,8000115,8000150,34,40,320
2023-10-01,8000115,8000260,12,12,295
2023-10-01,8000115,8003200,19,25,454
2023-10-01,8000115,8010097,14,17,415
2023-10-01,8000115,8010101,2,2,105
2023-10-01,8000116,8000108,8,8,765
2023-10-01,8000116,8000116,15,15,700
2023-10-01,8000116,8000320,1,1,240
2023-10-01,8000116,8004885,5,5,702
2023-10-01,8000116,8005940,1,1,120
2023-10-01,8000118,8000085,9,9,547
2023-10-01,8000118,8000086,1,1,150
2023-10-01,8000118,8000098,55,78,322
2023-10-01,8000118,8000118,166,258,175
2023-10-01,8000118,8000192,107,147,128
2023-10-01,8000118,8000286,43,45,114
2023-10-01,8000122,8000009,15,20,146
2023-10-01,8000122,8000078,18,23,599
2023-10-01,8000122,8000122,44,57,339
2023-10-01,8000122,8000261,15,17,228
2023-10-01,8000122,8000284,25,27,137
2023-10-01,8000124,8000111,12,14,124
2023-10-01,8000124,8000124,80,95,232
2023-10-01,8000124,8000337,30,35,489
2023-10-01,8000124,8000383,15,24,66
2023-10-01,8000124,8000728,26,37,92
2023-10-01,8000127,8000127,29,35,231
2023-10-01,8000127,8000170,15,18,235
2023-10-01,8000127,8000302,15,17,205
2023-10-01,8000128,8000049,8,9,570
2023-10-01,8000128,8000105,1,1,210
2023-10-01,8000128,8000115,1,1,2700
2023-10-01,8000128,8000128,76,107,395
2023-10-01,8000128,8000150,0,1,-840
2023-10-01,8000128,8000152,30,43,350
2023-10-01,8000128,8000260,0,1,0
2023-10-01,8000128,8003200,28,45,320
2023-10-01,8000128,8010097,2,6,10
2023-10-01,8000128,8010136,9,9,313
2023-10-01,8000129,8000129,31,32,511
2023-10-01,8000129,8000337,14,15,130
2023-10-01,8000129,8000368,15,15,854
2023-10-01,8000129,8003200,2,2,690
2023-10-01,8000139,8000013,20,29,180
2023-10-01,8000139,8000139,25,31,356
2023-10-01,8000139,8000170,10,11,325
2023-10-01,8000142,8000080,17,17,757
2023-10-01,8000142,8000142,149,195,742
2023-10-01,8000142,8000149,34,39,935
2023-10-01,8000142,8000227,13,26,84
2023-10-01,8000142,8000251,63,71,574
2023-10-01,8000142,8000266,75,99,577
2023-10-01,8000147,8000050,16,18,703
2023-10-01,8000147,8000147,66,93,388
2023-10-01,8000147,8000152,18,27,388
2023-10-01,8000147,8000238,7,13,316
2023-10-01,8000147,8002549,33,48,229
2023-10-01,8000147,8002554,1,1,90
2023-10-01,8000147,8006076,1,1,300
2023-10-01,8000149,8000036,23,23,668
2023-10-01,8000149,8000076,29,42,221
2023-10-01,8000149,8000080,84,100,322
2023-10-01,8000149,8000142,34,39,380
2023-10-01,8000149,8000149,201,228,446
2023-10-01,8000149,8000263,43,50,779
2023-10-01,8000149,8002461,43,47,386
2023-10-01,8000150,8000025,1,2,165
2023-10-01,8000150,8000105,13,15,702
2023-10-01,8000150,8000111,25,33,116
2023-10-01,8000150,8000115,36,41,401
2023-10-01,8000150,8000128,1,1,360
2023-10-01,8000150,8000150,154,190,350
2023-10-01,8000150,8000260,19,26,561
2023-10-01,8000150,8002041,61,76,148
2023-10-01,8000150,8070003,2,2,150
2023-10-01,8000150,8070004,41,43,110
2023-10-01,8000152,8000036,18,21,234
2023-10-01,8000152,8000049,12,15,320
2023-10-01,8000152,8000064,23,43,97
2023-10-01,8000152,8000128,32,47,444
2023-10-01,8000152,8000147,19,33,-249
2023-10-01,8000152,8000152,169,285,294
2023-10-01,8000152,8000162,4,5,972
2023-10-01,8000152,8000238,1,3,10
2023-10-01,8000152,8000252,32,38,204
2023-10-01,8000152,8000263,0,1,0
2023-10-01,8000152,8000279,23,43,114
2023-10-01,8000152,8000294,1,1,210
2023-10-01,8000152,8000732,1,1,120
2023-10-01,8000152,8002549,6,13,291
2023-10-01,8000152,8003487,10,20,87
2023-10-01,8000152,8004760,1,1,30
2023-10-01,8000152,8006552,27,30,613
2023-10-01,8000152,8010404,7,7,904
2023-10-01,8000155,8000155,41,50,218
2023-10-01,8000155,8000181,22,26,316
2023-10-01,8000155,8003102,29,38,84
2023-10-01,8000156,8000055,1,1,90
2023-10-01,8000156,8000068,0,1,-90
2023-10-01,8000156,8000096,10,12,522
2023-10-01,8000156,8000156,177,239,179
2023-10-01,8000156,8000191,1,1,330
2023-10-01,8000156,8000244,81,110,99
2023-10-01,8000156,8000377,28,31,415
2023-10-01,8000156,8006053,4,5,564
2023-10-01,8000156,8006421,45,65,138
2023-10-01,8000159,8000049,19,23,168
2023-10-01,8000159,8000159,23,36,159
2023-10-01,8000159,8010224,12,20,112
2023-10-01,8000162,8000004,9,16,51
2023-10-01,8000162,8000036,45,68,184
2023-10-01,8000162,8000059,13,27,67
2023-10-01,8000162,8000152,2,3,310
2023-10-01,8000162,8000162,92,130,237
2023-10-01,8000162,8000252,7,9,740
2023-10-01,8000162,8000732,18,26,333
2023-10-01,8000168,8000064,8,11,333
2023-10-01,8000168,8000152,1,1,150
2023-10-01,8000168,8000168,11,17,376
2023-10-01,8000168,8000238,4,5,480
2023-10-01,8000168,8010310,7,11,95
2023-10-01,8000170,8000002,3,7,34
2023-10-01,8000170,8000013,28,29,697
2023-10-01,8000170,8000073,2,2,585
2023-10-01,8000170,8000096,35,40,250
2023-10-01,8000170,8000127,16,17,215
2023-10-01,8000170,8000139,10,11,289
2023-10-01,8000170,8000170,100,112,358
2023-10-01,8000170,8000249,19,21,590
2023-10-01,8000170,8003693,13,14,152
2023-10-01,8000176,8000176,34,64,84
2023-10-01,8000176,8000189,0,2,0
2023-10-01,8000176,8000323,26,51,74
2023-10-01,8000176,8003515,31,44,88
2023-10-01,8000177,8000101,17,21,39
2023-10-01,8000177,8000177,2,2,30
2023-10-01,8000177,8000299,10,14,137
2023-10-01,8000177,8001055,2,2,30
2023-10-01,8000181,8000155,18,24,110
2023-10-01,8000181,8000181,39,48,210
2023-10-01,8000181,8002553,1,1,210
2023-10-01,8000181,8004343,22,29,293
2023-10-01,8000181,8005362,12,19,43
2023-10-01,8000189,8000039,12,20,69
2023-10-01,8000189,8000176,2,3,220
2023-10-01,8000189,8000189,45,59,122
2023-10-01,8000189,8000244,2,3,30
2023-10-01,8000189,8000275,37,52,76
2023-10-01,8000189,8000323,2,2,150
2023-10-01,8000189,8003515,28,41,130
2023-10-01,8000191,8000055,6,13,106
2023-10-01,8000191,8000096,2,3,490
2023-10-01,8000191,8000107,1,1,120
2023-10-01,8000191,8000191,63,70,684
2023-10-01,8000191,8000236,7,7,163
2023-10-01,8000191,8000244,40,53,300
2023-10-01,8000191,8000275,23,30,131
2023-10-01,8000191,8000290,9,11,1320
2023-10-01,8000191,8000299,7,8,371
2023-10-01,8000191,8000774,36,49,408
2023-10-01,8000191,8003184,93,165,61
2023-10-01,8000192,8000041,13,22,45
2023-10-01,8000192,8000080,74,83,117
2023-10-01,8000192,8000118,106,152,223
2023-10-01,8000192,8000192,239,332,191
2023-10-01,8000192,8000307,54,63,331
2023-10-01,8000194,8000057,31,42,278
2023-10-01,8000194,8000194,58,83,330
2023-10-01,8000194,8000197,31,41,412
2023-10-01,8000196,8000004,8,9,193
2023-10-01,8000196,8000196,6,19,62
2023-10-01,8000196,8003200,8,11,33
2023-10-01,8000197,8000194,33,42,291
2023-10-01,8000197,8000197,74,88,551
2023-10-01,8000197,8000249,20,20,236
2023-10-01,8000197,8003065,41,48,703
2023-10-01,8000199,8000271,24,31,95
2023-10-01,8000206,8000039,5,6,1805
2023-10-01,8000206,8000044,12,16,384
2023-10-01,8000206,8000045,26,34,207
2023-10-01,8000206,8000105,2,2,1455
2023-10-01,8000206,8000206,82,111,501
2023-10-01,8000206,8000207,1,1,300
2023-10-01,8000206,8000240,15,15,874
2023-10-01,8000206,8000323,13,16,96
2023-10-01,8000206,8000331,41,58,158
2023-10-01,8000206,8000383,6,7,116
2023-10-01,8000206,8001083,19,35,82
2023-10-01,8000206,8073368,1,1,330
2023-10-01,8000207,8000001,8,9,507
2023-10-01,8000207,8000044,59,68,596
2023-10-01,8000207,8000080,1,1,120
2023-10-01,8000207,8000085,53,71,391
2023-10-01,8000207,8000086,1,1,210
2023-10-01,8000207,8000087,32,38,462
2023-10-01,8000207,8000207,552,751,331
2023-10-01,8000207,8000208,132,156,193
2023-10-01,8000207,8000266,8,8,172
2023-10-01,8000207,8003368,262,355,210
2023-10-01,8000207,8005556,16,20,690
2023-10-01,8000207,8010404,3,3,190
2023-10-01,8000207,8070003,19,20,1310
2023-10-01,8000208,8000001,30,36,330
2023-10-01,8000208,8000207,84,155,90
2023-10-01,8000208,8000208,179,273,158
2023-10-01,8000214,8000214,19,48,19
2023-10-01,8000214,8003020,4,24,5
2023-10-01,8000225,8000225,45,63,286
2023-10-01,8000225,8000316,1,1,30
2023-10-01,8000225,8000664,9,23,320
2023-10-01,8000225,8001768,32,40,472
2023-10-01,8000225,8004751,3,7,244
2023-10-01,8000227,8000142,22,28,81
2023-10-01,8000227,8000227,52,67,177
2023-10-01,8000227,8000251,8,8,634
2023-10-01,8000227,8000513,9,17,146
2023-10-01,8000228,8000025,44,50,387
2023-10-01,8000228,8000228,68,95,290
2023-10-01,8000228,8003446,16,23,406
2023-10-01,8000228,8010309,0,1,0
2023-10-01,8000235,8000096,12,19,71
2023-10-01,8000235,8000235,128,199,60
2023-10-01,8000235,8000260,13,16,150
2023-10-01,8000235,8006053,1,1,390
2023-10-01,8000236,8000055,5,5,102
2023-10-01,8000236,8000191,4,7,60
2023-10-01,8000236,8000236,114,143,124
2023-10-01,8000236,8000240,1,1,1230
2023-10-01,8000236,8000244,70,89,120
2023-10-01,8000236,8000275,33,38,84
2023-10-01,8000237,8010018,5,18,30
2023-10-01,8000238,8000147,5,7,313
2023-10-01,8000238,8000152,1,3,110
2023-10-01,8000238,8000168,8,12,322
2023-10-01,8000238,8000238,11,23,290
2023-10-01,8000238,8002549,1,1,30
2023-10-01,8000240,8000039,22,34,125
2023-10-01,8000240,8000045,0,1,0
2023-10-01,8000240,8000105,2,7,133
2023-10-01,8000240,8000206,10,15,366
2023-10-01,8000240,8000236,1,1,30
2023-10-01,8000240,8000240,130,181,277
2023-10-01,8000240,8000244,9,12,1065
2023-10-01,8000240,8000323,10,17,88
2023-10-01,8000240,8070003,10,12,928
2023-10-01,8000240,8070004,52,54,217
2023-10-01,8000244,8000031,0,1,0
2023-10-01,8000244,8000096,30,32,901
2023-10-01,8000244,8000105,51,54,371
2023-10-01,8000244,8000156,83,112,176
2023-10-01,8000244,8000189,2,2,300
2023-10-01,8000244,8000191,42,54,562
2023-10-01,8000244,8000236,63,92,86
2023-10-01,8000244,8000240,11,12,270
2023-10-01,8000244,8000244,253,344,317
2023-10-01,8000244,8000275,9,11,292
2023-10-01,8000244,8000377,27,38,166
