date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-08-01,8000033,8000033,88,146,299
2023-08-01,8000033,8001795,33,51,443
2023-08-01,8000033,8002268,9,22,14
2023-08-01,8000033,8005488,14,22,93
2023-08-01,8000033,8006719,44,51,406
2023-08-01,8000037,8000037,134,171,196
2023-08-01,8000037,8000113,12,20,69
2023-08-01,8000037,8000171,2,2,345
2023-08-01,8000037,8000392,31,34,443
2023-08-01,8000037,8001524,15,34,19
2023-08-01,8000037,8001795,31,31,383
2023-08-01,8000037,8001836,17,31,105
2023-08-01,8000054,8000054,12,18,37
2023-08-01,8000054,8001137,5,6,35
2023-08-01,8000054,8001182,7,9,57
2023-08-01,8000054,8002992,10,11,79
2023-08-01,8000054,8006453,4,12,40
2023-08-01,8000081,8000081,166,275,92
2023-08-01,8000081,8001531,35,42,92
2023-08-01,8000081,8001542,22,54,27
2023-08-01,8000081,8003946,15,56,21
2023-08-01,8000081,8004230,67,69,184
2023-08-01,8000113,8000037,18,19,131
2023-08-01,8000113,8000113,48,70,122
2023-08-01,8000113,8001066,30,37,62
2023-08-01,8000113,8006389,23,35,153
2023-08-01,8000164,8000164,154,202,115
2023-08-01,8000164,8000887,15,19,99
2023-08-01,8000164,8001327,69,83,126
2023-08-01,8000164,8002223,12,16,54
2023-08-01,8000164,8002227,12,23,50
2023-08-01,8000164,8002779,12,18,58
2023-08-01,8000171,8000037,2,2,105
2023-08-01,8000171,8000171,95,139,209
2023-08-01,8000171,8000392,41,67,156
2023-08-01,8000171,8001061,27,34,442
2023-08-01,8000171,8002745,21,34,65
2023-08-01,8000171,8003925,12,39,16
2023-08-01,8000186,8003090,1,31,14
2023-08-01,8000186,8003657,3,34,25
2023-08-01,8000239,8000239,42,76,47
2023-08-01,8000239,8001097,4,18,18
2023-08-01,8000239,8004883,32,54,61
2023-08-01,8000239,8006348,8,20,51
2023-08-01,8000358,8000358,98,138,129
2023-08-01,8000358,8004269,50,69,137
2023-08-01,8000358,8004474,52,69,122
2023-08-01,8000392,8000037,29,33,256
2023-08-01,8000392,8000171,55,68,261
2023-08-01,8000392,8000392,112,135,212
2023-08-01,8000392,8001545,25,34,75
2023-08-01,8000605,8000605,54,70,134
2023-08-01,8000605,8004228,25,35,112
2023-08-01,8000605,8004642,28,35,159
2023-08-01,8000745,8000745,49,69,232
2023-08-01,8000745,8001093,24,35,182
2023-08-01,8000745,8001394,24,34,289
2023-08-01,8000793,8000793,7,30,22
2023-08-01,8000793,8002180,7,15,44
2023-08-01,8000793,8005289,0,17,0
2023-08-01,8000904,8000904,5,6,125
2023-08-01,8000904,8001137,2,2,90
2023-08-01,8000904,8003998,3,4,98
2023-08-01,8000927,8000927,25,32,129
2023-08-01,8000927,8000966,13,17,182
2023-08-01,8000927,8003993,12,35,29
2023-08-01,8000966,8000927,13,17,46
2023-08-01,8000966,8000966,16,17,90
2023-08-01,8000966,8005555,7,8,142
2023-08-01,8000977,8000977,52,83,81
2023-08-01,8000977,8006386,23,42,66
2023-08-01,8000978,8000978,7,33,20
2023-08-01,8000978,8003638,0,17,0
2023-08-01,8000978,8006109,7,16,41
2023-08-01,8001035,8001035,45,68,59
2023-08-01,8001035,8006710,27,34,111
2023-08-01,8001038,8001038,38,44,129
2023-08-01,8001038,8002639,20,22,173
2023-08-01,8001038,8006194,10,22,78
2023-08-01,8001039,8001039,95,125,124
2023-08-01,8001039,8004474,40,56,149
2023-08-01,8001039,8006227,39,69,76
2023-08-01,8001045,8001045,89,96,561
2023-08-01,8001045,8001061,1,1,600
2023-08-01,8001045,8002680,15,16,412
2023-08-01,8001045,8003986,48,49,601
2023-08-01,8001045,8006323,26,29,298
2023-08-01,8001061,8000171,27,33,271
2023-08-01,8001061,8001061,55,67,369
2023-08-01,8001061,8001558,17,18,705
2023-08-01,8001066,8000113,24,36,42
2023-08-01,8001066,8001066,55,73,55
2023-08-01,8001066,8003967,30,37,58
2023-08-01,8001093,8000745,25,34,286
2023-08-01,8001093,8001093,44,69,223
2023-08-01,8001093,8006323,23,35,177
2023-08-01,8001097,8000239,17,18,62
2023-08-01,8001097,8001097,33,36,38
2023-08-01,8001097,8005526,17,18,92
2023-08-01,8001137,8000054,3,6,125
2023-08-01,8001137,8000904,3,4,158
2023-08-01,8001137,8001137,24,34,81
2023-08-01,8001137,8002992,5,7,86
2023-08-01,8001137,8003896,12,17,64
2023-08-01,8001182,8000054,8,9,67
2023-08-01,8001357,8001357,33,38,71
2023-08-01,8001357,8002514,18,19,95
2023-08-01,8001357,8005227,18,19,101
2023-08-01,8001394,8000745,31,35,184
2023-08-01,8001394,8001394,56,69,234
2023-08-01,8001394,8001692,26,34,313
2023-08-01,8001505,8001505,71,84,111
2023-08-01,8001505,8001525,40,42,124
2023-08-01,8001505,8001531,29,42,94
2023-08-01,8001515,8001515,42,57,362
2023-08-01,8001515,8001537,25,28,355
2023-08-01,8001515,8001543,16,16,144
2023-08-01,8001515,8006226,12,13,653
2023-08-01,8001516,8001549,51,54,32
2023-08-01,8001517,8001517,86,112,53
2023-08-01,8001517,8001529,42,56,50
2023-08-01,8001517,8001535,34,56,38
2023-08-01,8001518,8001518,67,112,35
2023-08-01,8001518,8001520,19,56,21
2023-08-01,8001518,8003946,41,56,48
2023-08-01,8001519,8001519,55,84,94
2023-08-01,8001519,8001525,18,42,91
2023-08-01,8001519,8001543,37,42,96
2023-08-01,8001520,8001518,26,56,28
2023-08-01,8001520,8001520,56,112,33
2023-08-01,8001520,8003916,48,56,38
2023-08-01,8001521,8001521,36,40,129
2023-08-01,8001521,8001522,14,20,70
2023-08-01,8001521,8001534,20,20,190
2023-08-01,8001522,8001521,20,20,218
2023-08-01,8001522,8001522,117,151,79
2023-08-01,8001522,8001523,12,20,56
2023-08-01,8001522,8001524,32,37,73
2023-08-01,8001522,8001545,12,14,66
2023-08-01,8001523,8001522,13,20,78
2023-08-01,8001523,8001523,26,40,64
2023-08-01,8001523,8001545,13,20,62
2023-08-01,8001524,8000037,31,37,109
2023-08-01,8001524,8001522,22,34,41
2023-08-01,8001524,8001524,47,71,62
2023-08-01,8001525,8001505,16,42,85
2023-08-01,8001525,8001519,38,42,100
2023-08-01,8001525,8001525,53,84,100
2023-08-01,8001526,8001526,60,112,34
2023-08-01,8001526,8001529,50,56,85
2023-08-01,8001526,8003936,10,56,-3
2023-08-01,8001527,8001527,65,78,73
2023-08-01,8001527,8001536,24,39,59
2023-08-01,8001528,8001329,12,18,87
2023-08-01,8001528,8001528,24,36,76
2023-08-01,8001528,8001539,8,18,48
2023-08-01,8001529,8001517,45,56,65
2023-08-01,8001529,8001526,9,56,12
2023-08-01,8001529,8001529,92,112,53
2023-08-01,8001530,8001530,84,106,73
2023-08-01,8001530,8001533,25,54,49
2023-08-01,8001530,8004883,39,52,73
2023-08-01,8001531,8000081,27,42,96
2023-08-01,8001531,8001505,40,42,110
2023-08-01,8001531,8001531,64,84,96
2023-08-01,8001532,8001532,32,36,88
2023-08-01,8001532,8001544,18,18,128
2023-08-01,8001533,8001530,45,52,84
2023-08-01,8001533,8001533,70,106,61
2023-08-01,8001534,8001521,11,20,51
2023-08-01,8001534,8001534,31,40,118
2023-08-01,8001534,8001538,20,20,194
2023-08-01,8001535,8001517,38,56,32
2023-08-01,8001535,8001535,91,112,41
2023-08-01,8001535,8003916,48,56,43
2023-08-01,8001536,8001527,25,39,43
2023-08-01,8001536,8001536,42,78,45
2023-08-01,8001536,8006510,35,39,71
2023-08-01,8001537,8001515,20,29,364
2023-08-01,8001537,8001537,58,73,417
2023-08-01,8001537,8003169,30,36,424
2023-08-01,8001537,8006226,6,8,656
2023-08-01,8001538,8001534,12,20,56
2023-08-01,8001538,8001538,34,40,134
2023-08-01,8001538,8006505,20,20,202
2023-08-01,8001539,8001528,9,18,87
2023-08-01,8001539,8001539,19,36,63
2023-08-01,8001539,8001541,9,18,48
2023-08-01,8001540,8001540,78,108,58
2023-08-01,8001540,8001542,25,54,52
2023-08-01,8001540,8001549,54,54,98
2023-08-01,8001541,8001539,9,18,72
2023-08-01,8001541,8001541,21,36,68
2023-08-01,8001541,8001544,12,18,50
2023-08-01,8001542,8000081,3,54,14
2023-08-01,8001542,8001540,28,54,31
2023-08-01,8001542,8001542,48,108,33
2023-08-01,8001543,8001327,79,83,130
2023-08-01,8001543,8001515,14,15,138
2023-08-01,8001543,8001519,16,42,83
2023-08-01,8001543,8001543,122,166,103
2023-08-01,8001544,8001532,8,18,35
2023-08-01,8001544,8001541,14,18,123
2023-08-01,8001544,8001544,26,36,82
2023-08-01,8001545,8000392,22,34,60
2023-08-01,8001545,8001522,12,14,96
2023-08-01,8001545,8001523,13,20,70
2023-08-01,8001545,8001545,43,68,64
2023-08-01,8001546,8001546,66,112,35
2023-08-01,8001546,8003909,17,56,19
2023-08-01,8001546,8003936,51,56,62
2023-08-01,8001549,8001516,49,54,54
2023-08-01,8001549,8001540,31,54,64
2023-08-01,8001549,8001549,105,108,72
2023-08-01,8001692,8001394,23,35,142
2023-08-01,8001692,8001692,51,69,232
2023-08-01,8001692,8002262,26,34,330
2023-08-01,8001700,8001700,20,40,59
2023-08-01,8001700,8003018,10,20,30
2023-08-01,8001700,8003716,7,20,70
2023-08-01,8001729,8001729,4,8,79
2023-08-01,8001729,8004406,2,3,40
2023-08-01,8001795,8000033,45,51,424
2023-08-01,8001795,8000037,29,32,443
2023-08-01,8001795,8001795,77,102,429
2023-08-01,8001795,8006386,11,18,380
2023-08-01,8001836,8000037,21,31,87
2023-08-01,8001836,8001836,37,62,82
2023-08-01,8001836,8002754,15,31,94
2023-08-01,8001851,8005319,5,8,698
2023-08-01,8001943,8001943,30,44,55
2023-08-01,8001943,8002267,10,22,67
2023-08-01,8001943,8004440,8,22,23
2023-08-01,8001980,8001980,15,16,591
2023-08-01,8001980,8003486,7,8,750
2023-08-01,8001980,8004564,8,8,480
2023-08-01,8002073,8002073,58,70,126
2023-08-01,8002073,8003993,32,35,183
2023-08-01,8002073,8004642,22,35,82
2023-08-01,8002180,8000793,0,15,0
2023-08-01,8002180,8002180,7,30,22
2023-08-01,8002180,8003470,7,15,44
2023-08-01,8002262,8001692,27,35,158
2023-08-01,8002262,8002262,57,69,245
2023-08-01,8002262,8005276,23,34,312
2023-08-01,8002267,8001943,12,22,23
2023-08-01,8002267,8002267,19,44,49
2023-08-01,8002267,8002509,13,22,105
2023-08-01,8002268,8000033,10,22,100
2023-08-01,8002268,8002268,22,44,63
2023-08-01,8002268,8002509,9,22,16
2023-08-01,8002509,8002267,9,22,15
2023-08-01,8002509,8002268,12,22,109
2023-08-01,8002509,8002509,22,44,60
2023-08-01,8002512,8002512,29,44,56
2023-08-01,8002512,8004440,16,22,71
2023-08-01,8002512,8006712,13,22,41
2023-08-01,8002514,8001357,9,19,39
2023-08-01,8002514,8002514,26,38,72
2023-08-01,8002514,8002769,19,19,90
2023-08-01,8002639,8001038,18,22,86
2023-08-01,8002639,8002639,34,44,119
2023-08-01,8002639,8002640,15,22,130
2023-08-01,8002640,8002639,9,22,80
2023-08-01,8002680,8000441,38,38,403
2023-08-01,8002680,8001045,17,17,787
2023-08-01,8002680,8002680,66,75,426
2023-08-01,8002680,8003168,14,19,213
2023-08-01,8002745,8000171,20,34,62
2023-08-01,8002745,8002745,39,68,65
2023-08-01,8002745,8006342,15,34,55
2023-08-01,8002754,8001836,11,31,58
2023-08-01,8002754,8002754,29,62,77
2023-08-01,8002754,8003166,16,31,91
2023-08-01,8002769,8002514,17,19,51
2023-08-01,8002769,8002769,39,40,86
2023-08-01,8002769,8006505,14,20,66
2023-08-01,8002779,8000164,16,18,88
2023-08-01,8002779,8001328,13,18,67
2023-08-01,8002779,8002779,30,36,84
2023-08-01,8002953,8002953,39,71,81
2023-08-01,8002953,8003657,13,15,206
2023-08-01,8002953,8003939,10,17,49
2023-08-01,8002953,8006386,9,14,58
2023-08-01,8002992,8000054,7,11,104
2023-08-01,8002992,8001137,4,9,27
2023-08-01,8002992,8002992,15,22,75
2023-08-01,8002992,8003998,2,2,165
2023-08-01,8003018,8001700,9,20,84
2023-08-01,8003018,8003018,14,40,49
2023-08-01,8003090,8000186,8,31,53
2023-08-01,8003090,8003090,36,62,54
2023-08-01,8003090,8003166,29,31,78
2023-08-01,8003166,8002754,12,31,58
2023-08-01,8003166,8003090,7,31,59
2023-08-01,8003166,8003166,34,62,64
2023-08-01,8003168,8002680,18,19,294
2023-08-01,8003168,8003168,118,145,343
2023-08-01,8003168,8003169,33,37,442
2023-08-01,8003168,8004448,23,28,423
2023-08-01,8003168,8006226,33,35,306
2023-08-01,8003168,8006449,6,7,223
2023-08-01,8003169,8001537,27,37,433
2023-08-01,8003169,8003168,31,36,429
2023-08-01,8003169,8003169,61,73,430
2023-08-01,8003287,8003287,20,40,46
2023-08-01,8003287,8003939,13,20,58
2023-08-01,8003287,8006320,9,20,28
2023-08-01,8003470,8002180,0,15,0
2023-08-01,8003470,8003470,7,30,22
2023-08-01,8003470,8004273,7,15,42
2023-08-01,8003486,8001980,8,8,450
2023-08-01,8003486,8003486,14,15,496
2023-08-01,8003486,8003493,8,12,252
2023-08-01,8003493,8000187,8,12,260
2023-08-01,8003493,8003486,11,12,195
2023-08-01,8003493,8003493,15,24,219
2023-08-01,8003621,8003621,13,16,585
2023-08-01,8003621,8004564,5,8,709
2023-08-01,8003621,8005319,8,8,491
2023-08-01,8003638,8000978,7,16,39
2023-08-01,8003638,8003638,7,33,18
2023-08-01,8003638,8003965,0,17,0
2023-08-01,8003657,8000186,17,33,137
2023-08-01,8003657,8002953,16,20,81
2023-08-01,8003657,8003657,36,67,89
2023-08-01,8003716,8001700,9,20,26
2023-08-01,8003716,8003716,11,40,44
2023-08-01,8003716,8006320,9,20,76
2023-08-01,8003896,8001137,13,17,122
2023-08-01,8003896,8003896,26,34,106
2023-08-01,8003896,8006379,9,17,94
2023-08-01,8003909,8001546,49,56,71
2023-08-01,8003909,8003909,74,112,50
