date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-08-01,8010041,8010041,49,70,131
2023-08-01,8010041,8011901,16,17,157
2023-08-01,8010403,5100082,1,1,2580
2023-08-01,8010403,8010280,16,21,513
2023-08-01,8010403,8010373,17,26,78
2023-08-01,8010403,8010403,157,185,363
2023-08-01,8010403,8011306,83,89,376
2023-08-01,8010403,8011430,24,27,393
2023-08-01,8010403,8011695,6,8,116
2023-08-01,8010403,8013479,11,17,55
2023-08-01,8010403,8080040,18,20,384
2023-08-01,8010403,8400316,1,1,510
2023-08-01,8011003,8011003,19,36,28
2023-08-01,8011003,8011004,17,19,55
2023-08-01,8011041,8010215,17,17,330
2023-08-01,8011041,8011041,53,74,242
2023-08-01,8011041,8011118,27,37,215
2023-08-01,8011041,8013100,16,20,237
2023-08-01,8011046,8011046,151,231,127
2023-08-01,8011046,8012910,13,36,48
2023-08-01,8011046,8089056,61,116,64
2023-08-01,8011046,8089057,67,116,173
2023-08-01,8011118,8010214,7,9,237
2023-08-01,8011118,8011041,34,37,274
2023-08-01,8011118,8011118,122,178,184
2023-08-01,8011118,8011167,46,52,144
2023-08-01,8011118,8011691,6,9,123
2023-08-01,8011155,8011155,201,258,372
2023-08-01,8011155,8011250,17,17,289
2023-08-01,8011155,8011306,100,128,344
2023-08-01,8011155,8013188,3,3,340
2023-08-01,8011155,8013376,19,20,252
2023-08-01,8011155,8013477,40,49,599
2023-08-01,8011167,8011118,36,51,200
2023-08-01,8011167,8011167,105,151,152
2023-08-01,8011167,8013021,25,38,125
2023-08-01,8011167,8013376,1,1,330
2023-08-01,8011167,8080040,24,37,81
2023-08-01,8011306,8010403,85,105,329
2023-08-01,8011306,8011155,109,130,408
2023-08-01,8011306,8011306,206,252,380
2023-08-01,8011306,8013479,14,18,243
2023-08-01,8011306,8080040,1,1,1380
2023-08-01,8011343,8010341,10,19,57
2023-08-01,8011343,8011343,25,38,137
2023-08-01,8011901,8010041,16,18,257
2023-08-01,8011901,8010214,1,1,270
2023-08-01,8011901,8011901,46,74,133
2023-08-01,8011901,8012831,10,18,63
2023-08-01,8013021,8011167,29,38,233
2023-08-01,8013021,8013021,42,76,150
2023-08-01,8013021,8080260,13,38,110
2023-08-01,8089004,8089004,268,518,44
2023-08-01,8089004,8089030,85,92,28
2023-08-01,8089004,8089104,107,259,40
2023-08-01,8089004,8089168,125,259,48
2023-08-01,8089030,8089004,7,92,3
2023-08-01,8089030,8089030,1,184,0
2023-08-01,8089030,8089043,1,92,-3
2023-08-01,8089040,8089031,114,119,64
2023-08-01,8089040,8089040,241,345,54
2023-08-01,8089040,8089059,175,183,43
2023-08-01,8089040,8089117,50,54,64
2023-08-01,8089052,8089007,212,299,53
2023-08-01,8089052,8089052,431,597,45
