date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-06-01,8010004,8010004,39,55,211
2023-06-01,8010004,8010093,5,10,69
2023-06-01,8010004,8010282,9,10,288
2023-06-01,8010004,8011314,11,21,39
2023-06-01,8010004,8012637,11,18,273
2023-06-01,8010004,8013313,9,12,208
2023-06-01,8010017,8010017,7,34,48
2023-06-01,8010017,8011034,4,17,14
2023-06-01,8010017,8011531,2,17,74
2023-06-01,8010025,8010025,19,78,27
2023-06-01,8010025,8012910,1,2,150
2023-06-01,8010025,8013227,12,23,50
2023-06-01,8010025,8013429,5,17,21
2023-06-01,8010025,8081300,1,40,6
2023-06-01,8010028,8010028,10,36,9
2023-06-01,8010028,8011079,0,18,0
2023-06-01,8010028,8011080,1,18,3
2023-06-01,8010029,8010029,22,34,24
2023-06-01,8010029,8011284,18,18,33
2023-06-01,8010029,8012551,12,18,55
2023-06-01,8010031,8010031,31,39,166
2023-06-01,8010031,8010376,13,20,194
2023-06-01,8010031,8011100,13,22,85
2023-06-01,8010064,8010064,40,74,115
2023-06-01,8010064,8010093,21,37,57
2023-06-01,8010064,8011314,14,21,304
2023-06-01,8010064,8011671,3,16,9
2023-06-01,8010069,8010069,30,75,41
2023-06-01,8010069,8011318,4,8,68
2023-06-01,8010069,8011542,3,9,20
2023-06-01,8010069,8011667,1,10,3
2023-06-01,8010069,8012084,0,11,-5
2023-06-01,8010069,8012257,10,17,55
2023-06-01,8010069,8012897,8,18,30
2023-06-01,8010093,8010004,6,7,377
2023-06-01,8010093,8010064,12,37,170
2023-06-01,8010093,8010093,32,57,175
2023-06-01,8010093,8010282,0,2,-30
2023-06-01,8010093,8011188,0,1,0
2023-06-01,8010093,8012329,10,23,33
2023-06-01,8010093,8012485,4,17,18
2023-06-01,8010093,8013470,8,18,48
2023-06-01,8010100,8010100,30,55,255
2023-06-01,8010100,8011078,10,19,207
2023-06-01,8010100,8012650,14,28,254
2023-06-01,8010100,8012681,6,12,25
2023-06-01,8010103,8010103,26,35,96
2023-06-01,8010103,8011078,8,20,58
2023-06-01,8010103,8011131,10,17,74
2023-06-01,8010103,8011537,0,12,0
2023-06-01,8010103,8011542,7,9,183
2023-06-01,8010103,8011867,2,12,12
2023-06-01,8010103,8012734,3,9,-77
2023-06-01,8010103,8013160,3,11,-123
2023-06-01,8010111,8012043,4,18,12
2023-06-01,8010117,8010347,1,18,2
2023-06-01,8010120,8010120,26,95,89
2023-06-01,8010120,8011154,8,22,124
2023-06-01,8010120,8011471,5,8,461
2023-06-01,8010120,8011533,4,18,10
2023-06-01,8010120,8011591,16,18,28
2023-06-01,8010120,8011818,4,21,26
2023-06-01,8010120,8013477,2,9,30
2023-06-01,8010150,8010150,14,37,29
2023-06-01,8010150,8012370,6,18,35
2023-06-01,8010150,8012895,4,19,8
2023-06-01,8010167,8010167,7,12,178
2023-06-01,8010167,8010214,4,6,140
2023-06-01,8010167,8012239,6,6,250
2023-06-01,8010171,8010171,18,35,105
2023-06-01,8010171,8010308,9,17,58
2023-06-01,8010171,8012175,8,18,160
2023-06-01,8010175,8010175,24,38,82
2023-06-01,8010175,8010246,12,19,122
2023-06-01,8010175,8011125,8,9,67
2023-06-01,8010175,8012703,4,10,60
2023-06-01,8010182,8010182,23,35,236
2023-06-01,8010182,8011968,14,14,602
2023-06-01,8010182,8012260,21,33,165
2023-06-01,8010182,8012487,10,13,358
2023-06-01,8010182,8012552,10,11,330
2023-06-01,8010183,8010183,60,107,108
2023-06-01,8010183,8010327,29,53,40
2023-06-01,8010183,8011098,9,13,182
2023-06-01,8010183,8011756,9,18,65
2023-06-01,8010183,8012469,7,7,304
2023-06-01,8010189,8011674,1,12,328
2023-06-01,8010189,8011788,4,7,43
2023-06-01,8010214,8010167,6,6,250
2023-06-01,8010214,8010214,29,57,130
2023-06-01,8010214,8011149,6,18,72
2023-06-01,8010214,8011691,7,9,180
2023-06-01,8010214,8011776,6,19,87
2023-06-01,8010215,8010215,51,72,260
2023-06-01,8010215,8011041,10,17,332
2023-06-01,8010215,8012260,12,16,311
2023-06-01,8010215,8013123,16,20,322
2023-06-01,8010215,8080170,24,40,128
2023-06-01,8010233,8010233,35,38,240
2023-06-01,8010233,8010378,17,19,189
2023-06-01,8010233,8013492,18,19,272
2023-06-01,8010236,8010236,25,38,315
2023-06-01,8010236,8011788,5,9,657
2023-06-01,8010236,8012537,7,10,102
2023-06-01,8010236,8012735,17,20,264
2023-06-01,8010239,8010239,34,40,448
2023-06-01,8010239,8012614,15,20,297
2023-06-01,8010239,8013472,32,57,109
2023-06-01,8010239,8013479,15,20,438
