date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-02-01,8000019,8004665,8,16,158
2023-02-01,8000043,8000043,48,74,89
2023-02-01,8000043,8000325,6,19,33
2023-02-01,8000043,8000352,9,19,99
2023-02-01,8000043,8003522,6,18,123
2023-02-01,8000043,8004127,14,18,70
2023-02-01,8000130,8000130,19,32,153
2023-02-01,8000130,8000364,17,18,255
2023-02-01,8000130,8003522,9,18,107
2023-02-01,8000130,8004665,8,16,131
2023-02-01,8000166,8000166,17,35,50
2023-02-01,8000166,8002641,6,20,18
2023-02-01,8000166,8002800,1,18,15
2023-02-01,8000166,8005324,7,17,51
2023-02-01,8000213,8000213,9,19,125
2023-02-01,8000213,8000283,0,1,0
2023-02-01,8000213,8000352,4,19,65
2023-02-01,8000213,8000483,1,2,75
2023-02-01,8000213,8005264,3,8,341
2023-02-01,8000255,8000255,19,38,21
2023-02-01,8000255,8001429,8,19,24
2023-02-01,8000283,8000213,1,2,30
2023-02-01,8000283,8000283,27,68,71
2023-02-01,8000283,8002594,5,12,15
2023-02-01,8000283,8003209,12,20,54
2023-02-01,8000283,8004441,13,27,137
2023-02-01,8000283,8005264,5,15,18
2023-02-01,8000325,8000043,19,19,54
2023-02-01,8000325,8000325,20,38,40
2023-02-01,8000325,8005265,17,19,66
2023-02-01,8000352,8000043,4,19,106
2023-02-01,8000352,8000213,13,19,118
2023-02-01,8000352,8000352,17,38,108
2023-02-01,8000364,8000130,17,18,263
2023-02-01,8000364,8000364,35,36,292
2023-02-01,8000364,8011933,8,8,352
2023-02-01,8000364,8013432,10,10,327
2023-02-01,8000739,8000739,10,35,23
2023-02-01,8000739,8005324,5,18,22
2023-02-01,8000739,8006172,6,17,55
2023-02-01,8001050,8006041,4,14,9
2023-02-01,8001429,8000255,10,19,25
2023-02-01,8001429,8001429,13,38,14
2023-02-01,8001429,8005413,5,19,9
2023-02-01,8001717,8001717,3,12,8
2023-02-01,8001717,8001723,0,23,-10
2023-02-01,8001723,8001717,3,23,5
2023-02-01,8001723,8001723,4,46,3
2023-02-01,8001723,8005264,5,23,10
2023-02-01,8002080,8002080,30,44,145
2023-02-01,8002080,8003382,16,22,230
2023-02-01,8002080,8012302,14,17,85
2023-02-01,8002102,8000090,29,42,109
2023-02-01,8002102,8002102,54,84,121
2023-02-01,8002281,8002281,17,36,37
2023-02-01,8002281,8004127,16,18,68
2023-02-01,8002281,8004704,10,18,38
2023-02-01,8002594,8000283,6,14,47
2023-02-01,8002594,8002594,15,26,31
2023-02-01,8002594,8006112,7,12,32
2023-02-01,8002641,8000166,11,20,69
2023-02-01,8002641,8002641,19,40,43
2023-02-01,8002641,8006592,5,20,18
2023-02-01,8002677,8002259,21,25,196
2023-02-01,8002677,8002677,42,50,164
2023-02-01,8002677,8006707,21,25,139
2023-02-01,8002800,8000166,5,18,32
2023-02-01,8002800,8002800,10,36,24
2023-02-01,8002800,8004705,6,18,37
2023-02-01,8003209,8000283,8,20,26
2023-02-01,8003209,8003209,18,40,38
2023-02-01,8003209,8006592,12,20,78
2023-02-01,8003382,8002080,13,22,68
2023-02-01,8003382,8003382,29,44,158
2023-02-01,8003382,8005320,18,22,240
2023-02-01,8003522,8000043,10,18,107
2023-02-01,8003522,8000130,13,18,138
2023-02-01,8003522,8003522,16,36,113
2023-02-01,8004127,8000043,13,18,70
2023-02-01,8004127,8002281,16,18,68
2023-02-01,8004127,8004127,32,36,82
2023-02-01,8004441,8000283,12,27,52
2023-02-01,8004441,8004441,28,54,104
2023-02-01,8004665,8000019,10,16,150
2023-02-01,8004665,8000130,10,16,174
2023-02-01,8004665,8004665,21,32,153
2023-02-01,8004704,8002281,6,18,38
2023-02-01,8004704,8004704,16,36,40
2023-02-01,8004704,8004705,9,18,43
2023-02-01,8004705,8002800,6,18,23
2023-02-01,8004705,8004704,3,18,28
2023-02-01,8004705,8004705,15,36,39
2023-02-01,8005264,8000213,4,8,41
2023-02-01,8005264,8000283,4,15,194
2023-02-01,8005264,8001723,3,23,4
2023-02-01,8005264,8005264,10,30,108
2023-02-01,8005265,8000325,18,19,103
2023-02-01,8005265,8005265,36,38,93
2023-02-01,8005269,8005269,12,38,16
2023-02-01,8005269,8005274,7,19,17
2023-02-01,8005269,8005275,5,19,9
2023-02-01,8005270,8005274,1,17,2
2023-02-01,8005270,8005275,8,19,11
2023-02-01,8005274,8005269,6,19,9
2023-02-01,8005274,8005270,6,17,19
2023-02-01,8005274,8005274,21,72,15
2023-02-01,8005275,8005269,4,19,16
2023-02-01,8005275,8005270,2,19,6
2023-02-01,8005275,8005275,14,38,19
2023-02-01,8005320,8003382,12,22,80
2023-02-01,8005320,8005320,31,44,166
2023-02-01,8005320,8006233,20,22,250
2023-02-01,8005324,8000166,8,18,30
2023-02-01,8005324,8000739,5,17,42
2023-02-01,8005324,8005324,7,35,29
2023-02-01,8005413,8001429,1,19,2
2023-02-01,8006041,8001050,11,12,70
2023-02-01,8006041,8006041,14,26,32
2023-02-01,8006041,8006112,4,14,15
2023-02-01,8006112,8002594,5,14,21
2023-02-01,8006112,8006041,7,12,40
2023-02-01,8006112,8006112,11,26,28
2023-02-01,8006172,8000739,5,18,5
2023-02-01,8006172,8006172,14,35,42
2023-02-01,8006172,8011480,9,17,48
2023-02-01,8006233,8005320,13,22,90
2023-02-01,8006233,8006233,38,44,175
2023-02-01,8006592,8002641,7,20,56
2023-02-01,8006592,8003209,9,20,14
2023-02-01,8006592,8006592,21,40,46
2023-02-01,8006707,8000193,1,1,60
2023-02-01,8006707,8002677,20,25,175
2023-02-01,8006707,8005623,16,26,115
2023-02-01,8006707,8006524,6,15,66
2023-02-01,8006707,8006707,55,80,122
2023-02-02,8000019,8004665,7,16,43
2023-02-02,8000043,8000043,45,74,47
2023-02-02,8000043,8000325,8,19,19
2023-02-02,8000043,8000352,8,19,35
2023-02-02,8000043,8003522,8,18,42
2023-02-02,8000043,8004127,12,18,65
2023-02-02,8000130,8000130,23,32,54
2023-02-02,8000130,8000364,16,18,85
2023-02-02,8000130,8003522,6,18,30
2023-02-02,8000130,8004665,10,16,39
2023-02-02,8000166,8000166,13,35,266
2023-02-02,8000166,8002641,4,20,286
2023-02-02,8000166,8002800,3,18,27
2023-02-02,8000166,8005324,5,17,187
2023-02-02,8000213,8000213,11,19,57
2023-02-02,8000213,8000283,1,1,600
2023-02-02,8000213,8000352,4,19,11
2023-02-02,8000213,8000483,0,2,0
2023-02-02,8000213,8005264,3,8,15
2023-02-02,8000255,8000255,15,38,22
2023-02-02,8000255,8001429,12,19,41
2023-02-02,8000283,8000213,0,2,0
2023-02-02,8000283,8000283,33,68,168
2023-02-02,8000283,8002594,7,12,240
2023-02-02,8000283,8003209,13,20,188
2023-02-02,8000283,8004441,14,27,97
2023-02-02,8000283,8005264,7,15,72
2023-02-02,8000325,8000043,16,19,54
2023-02-02,8000325,8000325,13,38,28
2023-02-02,8000325,8005265,16,19,58
2023-02-02,8000352,8000043,7,19,25
2023-02-02,8000352,8000213,10,19,51
2023-02-02,8000352,8000352,15,38,31
2023-02-02,8000364,8000130,17,18,102
2023-02-02,8000364,8000364,35,36,119
2023-02-02,8000364,8011933,8,8,158
2023-02-02,8000364,8013432,10,10,165
2023-02-02,8000739,8000739,12,35,248
2023-02-02,8000739,8005324,7,18,327
2023-02-02,8000739,8006172,5,17,192
2023-02-02,8001050,8006041,6,14,15
2023-02-02,8001429,8000255,11,19,32
2023-02-02,8001429,8001429,19,38,32
2023-02-02,8001429,8005413,6,19,28
2023-02-02,8001717,8001717,4,12,40
2023-02-02,8001717,8001723,4,23,29
2023-02-02,8001723,8001717,9,23,73
2023-02-02,8001723,8001723,12,46,53
2023-02-02,8001723,8005264,6,23,42
2023-02-02,8002080,8002080,24,44,135
2023-02-02,8002080,8003382,12,22,158
2023-02-02,8002080,8012302,12,17,164
2023-02-02,8002102,8000090,32,42,86
2023-02-02,8002102,8002102,61,84,111
2023-02-02,8002281,8002281,15,36,32
2023-02-02,8002281,8004127,16,18,72
2023-02-02,8002281,8004704,8,18,28
2023-02-02,8002594,8000283,8,14,66
2023-02-02,8002594,8002594,16,26,137
2023-02-02,8002594,8006112,7,12,250
2023-02-02,8002641,8000166,12,20,188
2023-02-02,8002641,8002641,16,40,235
2023-02-02,8002641,8006592,3,20,285
2023-02-02,8002677,8002259,25,25,160
2023-02-02,8002677,8002677,46,50,140
2023-02-02,8002677,8006707,21,25,143
2023-02-02,8002800,8000166,6,18,17
2023-02-02,8002800,8002800,13,36,32
2023-02-02,8002800,8004705,6,18,33
2023-02-02,8003209,8000283,6,20,291
2023-02-02,8003209,8003209,18,40,235
2023-02-02,8003209,8006592,11,20,195
2023-02-02,8003382,8002080,11,22,112
2023-02-02,8003382,8003382,25,44,140
2023-02-02,8003382,8005320,16,22,194
2023-02-02,8003522,8000043,9,18,33
2023-02-02,8003522,8000130,15,18,47
2023-02-02,8003522,8003522,14,36,34
2023-02-02,8004127,8000043,14,18,58
2023-02-02,8004127,8002281,14,18,68
2023-02-02,8004127,8004127,30,36,79
2023-02-02,8004441,8000283,18,27,191
2023-02-02,8004441,8004441,36,54,153
2023-02-02,8004665,8000019,7,16,41
2023-02-02,8004665,8000130,9,16,62
2023-02-02,8004665,8004665,15,32,44
2023-02-02,8004704,8002281,6,18,27
2023-02-02,8004704,8004704,14,36,31
2023-02-02,8004704,8004705,12,18,40
2023-02-02,8004705,8002800,8,18,33
2023-02-02,8004705,8004704,2,18,22
2023-02-02,8004705,8004705,19,36,34
2023-02-02,8005264,8000213,5,8,60
2023-02-02,8005264,8000283,8,15,56
2023-02-02,8005264,8001723,8,23,68
2023-02-02,8005264,8005264,14,30,65
2023-02-02,8005265,8000325,18,19,79
2023-02-02,8005265,8005265,35,38,106
2023-02-02,8005269,8005269,10,38,75
2023-02-02,8005269,8005274,4,19,32
2023-02-02,8005269,8005275,10,19,104
2023-02-02,8005270,8005274,1,17,5
2023-02-02,8005270,8005275,3,19,54
2023-02-02,8005274,8005269,8,19,87
2023-02-02,8005274,8005270,14,17,39
2023-02-02,8005274,8005274,42,72,54
2023-02-02,8005275,8005269,4,19,68
2023-02-02,8005275,8005270,7,19,103
2023-02-02,8005275,8005275,15,38,97
2023-02-02,8005320,8003382,11,22,90
