date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-02-01,8001157,8001157,4,5,570
2023-02-01,8001157,8001561,2,2,120
2023-02-01,8001157,8003292,2,2,1545
2023-02-01,8001160,8000413,31,36,156
2023-02-01,8001160,8001160,55,70,172
2023-02-01,8001160,8001164,1,3,180
2023-02-01,8001160,8004702,7,9,173
2023-02-01,8001164,8001160,2,3,60
2023-02-01,8001164,8001164,3,6,120
2023-02-02,8001157,8001157,4,5,204
2023-02-02,8001157,8001561,2,2,195
2023-02-02,8001157,8003292,2,2,360
2023-02-02,8001160,8000413,29,36,108
2023-02-02,8001160,8001160,57,70,206
2023-02-02,8001160,8001164,3,3,610
2023-02-02,8001160,8004702,8,9,267
2023-02-02,8001164,8001160,3,3,90
2023-02-02,8001164,8001164,6,6,360
2023-02-03,8001157,8001157,4,5,132
2023-02-03,8001157,8001561,2,2,255
2023-02-03,8001157,8003292,2,2,90
2023-02-03,8001160,8000413,28,36,164
2023-02-03,8001160,8001160,56,70,316
2023-02-03,8001160,8001164,3,3,480
2023-02-03,8001160,8004702,7,9,463
2023-02-03,8001164,8001160,3,3,350
2023-02-03,8001164,8001164,6,6,425
2023-02-04,8001157,8001157,4,5,84
2023-02-04,8001157,8001561,2,2,180
2023-02-04,8001157,8003292,2,2,75
2023-02-04,8001160,8000413,27,31,79
2023-02-04,8001160,8001160,48,62,81
2023-02-04,8001160,8001164,2,4,142
2023-02-04,8001160,8004702,6,8,75
2023-02-04,8001164,8001160,4,4,172
2023-02-04,8001164,8001164,7,8,165
2023-02-05,8001157,8001157,3,4,60
2023-02-05,8001157,8001561,2,2,105
2023-02-05,8001157,8003292,1,2,15
2023-02-05,8001160,8000413,27,31,156
2023-02-05,8001160,8001160,46,62,133
2023-02-05,8001160,8001164,4,4,615
2023-02-05,8001160,8004702,5,8,38
2023-02-05,8001164,8001160,3,4,60
2023-02-05,8001164,8001164,7,8,334
2023-02-06,8001157,8001157,3,5,48
2023-02-06,8001157,8001561,2,2,105
2023-02-06,8001157,8003292,1,2,15
2023-02-06,8001160,8000413,32,36,152
2023-02-06,8001160,8001160,60,70,242
2023-02-06,8001160,8001164,3,3,630
2023-02-06,8001160,8004702,8,9,120
2023-02-06,8001164,8001160,3,3,190
2023-02-06,8001164,8001164,6,6,415
2023-02-07,8001157,8001157,4,5,150
2023-02-07,8001157,8001561,2,2,90
2023-02-07,8001157,8003292,2,2,270
2023-02-07,8001160,8000413,30,36,192
2023-02-07,8001160,8001160,53,70,213
2023-02-07,8001160,8001164,3,3,570
2023-02-07,8001160,8004702,6,9,370
2023-02-07,8001164,8001160,2,3,60
2023-02-07,8001164,8001164,5,6,350
2023-02-08,8001157,8001157,4,5,102
2023-02-08,8001157,8001561,2,2,75
2023-02-08,8001157,8003292,2,2,180
2023-02-08,8001160,8000413,31,36,121
2023-02-08,8001160,8001160,60,70,235
2023-02-08,8001160,8001164,3,3,270
2023-02-08,8001160,8004702,8,9,223
2023-02-08,8001164,8001160,3,3,60
2023-02-08,8001164,8001164,6,6,170
2023-02-09,8001157,8001157,4,5,120
2023-02-09,8001157,8001561,2,2,195
2023-02-09,8001157,8003292,2,2,120
2023-02-09,8001160,8000413,30,36,132
2023-02-09,8001160,8001160,66,70,180
2023-02-09,8001160,8001164,3,3,200
2023-02-09,8001160,8004702,9,9,163
