date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-03-01,8010005,8010005,10,12,45
2023-03-01,8010005,8011045,10,17,28
2023-03-01,8010005,8012976,5,6,45
2023-03-01,8010010,8010010,15,35,263
2023-03-01,8010010,8012176,7,18,323
2023-03-01,8010010,8012873,10,18,207
2023-03-01,8010044,8010044,0,30,0
2023-03-01,8010044,8017219,0,15,0
2023-03-01,8010074,8012976,6,6,60
2023-03-01,8010108,8010108,116,140,108
2023-03-01,8010108,8010128,15,17,88
2023-03-01,8010108,8010253,46,53,74
2023-03-01,8010108,8011528,10,16,111
2023-03-01,8010108,8011529,13,20,48
2023-03-01,8010108,8011904,9,17,85
2023-03-01,8010108,8013114,15,17,321
2023-03-01,8010128,8010108,15,17,83
2023-03-01,8010128,8010128,32,34,112
2023-03-01,8010128,8011497,17,17,168
2023-03-01,8010129,8010129,52,86,95
2023-03-01,8010129,8010130,26,26,80
2023-03-01,8010129,8010331,13,26,43
2023-03-01,8010129,8010397,9,17,85
2023-03-01,8010129,8011904,16,17,236
2023-03-01,8010129,8012323,1,5,6
2023-03-01,8010130,8010129,12,26,44
2023-03-01,8010130,8010130,35,52,62
2023-03-01,8010130,8012388,20,26,73
2023-03-01,8010185,8010185,38,52,91
2023-03-01,8010185,8011971,24,26,104
2023-03-01,8010185,8013450,16,19,87
2023-03-01,8010229,8001969,0,1,0
2023-03-01,8010229,8010229,10,15,104
2023-03-01,8010229,8010317,4,7,90
2023-03-01,8010229,8013396,6,7,137
2023-03-01,8010253,8010108,51,53,121
2023-03-01,8010253,8010253,92,106,89
2023-03-01,8010253,8013450,17,20,54
2023-03-01,8010275,8002924,13,16,142
2023-03-01,8010275,8010229,1,1,30
2023-03-01,8010275,8010275,22,34,146
2023-03-01,8010275,8012739,14,17,206
2023-03-01,8010277,8010277,19,32,57
2023-03-01,8010277,8012201,10,16,56
2023-03-01,8010277,8012426,13,17,79
2023-03-01,8010317,8001969,4,6,95
2023-03-01,8010317,8010229,5,7,116
2023-03-01,8010317,8010317,8,14,92
2023-03-01,8010317,8011790,1,1,60
2023-03-01,8010323,8010323,19,35,161
2023-03-01,8010323,8012938,11,17,245
2023-03-01,8010323,8012939,14,19,134
2023-03-01,8010331,8010129,19,26,63
2023-03-01,8010331,8010331,30,52,50
2023-03-01,8010331,8011904,16,26,48
2023-03-01,8010333,8010333,12,22,53
2023-03-01,8010333,8010372,6,11,27
2023-03-01,8010333,8012224,6,11,76
2023-03-01,8010372,8010333,6,11,63
2023-03-01,8010372,8010372,26,57,29
2023-03-01,8010372,8010397,3,18,0
2023-03-01,8010372,8011325,13,17,25
2023-03-01,8010372,8013280,8,11,25
2023-03-01,8010379,8010379,25,36,231
2023-03-01,8010379,8011305,12,18,247
2023-03-01,8010379,8012996,13,18,232
2023-03-01,8010388,8010388,50,52,102
2023-03-01,8010388,8011770,26,26,91
2023-03-01,8010388,8011904,24,26,95
2023-03-01,8010397,8010129,12,17,221
2023-03-01,8010397,8010372,11,17,19
2023-03-01,8010397,8010397,22,33,160
2023-03-01,8010397,8012224,9,11,27
2023-03-01,8010397,8012739,13,17,113
2023-03-01,8010397,8013433,24,26,61
2023-03-01,8010397,8013434,6,18,145
2023-03-01,8011033,8011033,3,5,24
2023-03-01,8011033,8012369,3,3,60
2023-03-01,8011033,8012593,0,2,0
2023-03-01,8011045,8010005,8,17,18
2023-03-01,8011045,8011045,15,34,20
2023-03-01,8011045,8011047,9,17,35
2023-03-01,8011047,8011045,9,17,21
2023-03-01,8011047,8011047,23,34,34
2023-03-01,8011047,8013310,11,17,34
2023-03-01,8011049,8011049,28,35,175
2023-03-01,8011049,8011263,13,17,302
2023-03-01,8011049,8011505,15,18,100
2023-03-01,8011185,8011185,0,30,0
2023-03-01,8011185,8011315,0,15,0
2023-03-01,8011185,8017220,0,15,0
2023-03-01,8011212,8011212,18,33,62
2023-03-01,8011212,8012426,6,16,36
2023-03-01,8011212,8012571,10,17,71
2023-03-01,8011263,8011049,15,18,62
2023-03-01,8011263,8011263,28,35,174
2023-03-01,8011263,8011506,13,17,296
2023-03-01,8011297,8010238,13,16,101
2023-03-01,8011297,8011297,18,31,93
2023-03-01,8011305,8010379,7,18,170
2023-03-01,8011305,8011305,17,36,198
2023-03-01,8011305,8013434,10,18,250
2023-03-01,8011315,8011185,0,15,0
2023-03-01,8011315,8011315,0,30,0
2023-03-01,8011315,8012412,0,15,0
2023-03-01,8011325,8010134,17,17,79
2023-03-01,8011325,8010372,14,18,33
2023-03-01,8011325,8011325,45,57,63
2023-03-01,8011325,8012661,11,11,85
2023-03-01,8011325,8012947,3,11,95
2023-03-01,8011497,8010128,12,17,71
2023-03-01,8011497,8011497,29,34,114
2023-03-01,8011497,8011856,17,17,141
2023-03-01,8011505,8011049,14,17,298
2023-03-01,8011505,8011505,28,35,184
2023-03-01,8011505,8012938,12,18,82
2023-03-01,8011506,8011263,13,18,57
2023-03-01,8011506,8011506,27,35,177
2023-03-01,8011506,8011967,14,17,291
2023-03-01,8011507,8011507,11,38,17
2023-03-01,8011507,8012369,4,19,14
2023-03-01,8011507,8012946,7,19,16
2023-03-01,8011524,8011524,31,36,249
2023-03-01,8011524,8011823,15,18,238
2023-03-01,8011524,8013307,16,18,265
2023-03-01,8011528,8010108,7,16,66
2023-03-01,8011528,8011528,22,32,105
2023-03-01,8011528,8011870,14,16,142
2023-03-01,8011529,8010108,17,20,36
2023-03-01,8011529,8011529,19,40,32
2023-03-01,8011529,8012550,9,20,42
2023-03-01,8011548,8011548,22,32,95
2023-03-01,8011548,8011777,10,16,58
2023-03-01,8011548,8012740,13,16,111
2023-03-01,8011556,8011556,17,40,33
2023-03-01,8011556,8012037,11,20,52
2023-03-01,8011556,8012550,6,20,9
2023-03-01,8011770,8010388,22,26,88
2023-03-01,8011770,8011770,41,52,78
2023-03-01,8011770,8011980,20,26,66
2023-03-01,8011777,8011548,13,16,137
2023-03-01,8011777,8011777,24,32,105
2023-03-01,8011777,8012208,11,16,82
2023-03-01,8011790,8001969,3,8,11
2023-03-01,8011790,8011790,1,1,30
2023-03-01,8011823,8011524,14,18,247
2023-03-01,8011823,8011823,29,36,256
2023-03-01,8011823,8012873,14,18,293
2023-03-01,8011856,8011497,14,17,72
2023-03-01,8011856,8011856,31,34,91
2023-03-01,8011856,8013328,16,17,102
2023-03-01,8011870,8011528,12,16,96
2023-03-01,8011870,8011870,24,32,113
2023-03-01,8011870,8011892,13,16,152
2023-03-01,8011892,8011870,7,16,54
2023-03-01,8011892,8011892,21,32,99
2023-03-01,8011892,8012208,13,16,146
2023-03-01,8011904,8010108,15,16,294
2023-03-01,8011904,8010129,8,17,83
2023-03-01,8011904,8010331,22,26,80
2023-03-01,8011904,8010388,22,26,63
2023-03-01,8011904,8011904,61,86,102
2023-03-01,8011912,8017218,0,15,0
2023-03-01,8011967,8011506,12,18,48
2023-03-01,8011970,8011970,2,5,12
2023-03-01,8011970,8012528,1,3,10
2023-03-01,8011971,8010185,18,26,81
2023-03-01,8011971,8011971,48,52,101
2023-03-01,8011971,8011979,26,26,120
2023-03-01,8011979,8011971,24,26,106
2023-03-01,8011979,8011979,49,52,98
2023-03-01,8011979,8011980,22,26,105
2023-03-01,8011980,8011770,23,26,98
2023-03-01,8011980,8011979,11,26,53
2023-03-01,8011980,8011980,43,52,83
2023-03-01,8012037,8011556,3,20,9
2023-03-01,8012037,8012037,17,40,32
2023-03-01,8012037,8012408,13,20,45
2023-03-01,8012176,8010010,13,19,122
2023-03-01,8012176,8012176,28,37,251
2023-03-01,8012176,8012939,15,18,362
2023-03-01,8012201,8010277,11,16,120
2023-03-01,8012201,8012201,23,32,86
2023-03-01,8012201,8012740,11,16,60
2023-03-01,8012208,8011777,13,16,141
2023-03-01,8012208,8011892,9,16,56
2023-03-01,8012208,8012208,23,32,110
2023-03-01,8012220,8012220,0,30,0
2023-03-01,8012220,8012407,0,15,0
2023-03-01,8012220,8017219,0,15,0
2023-03-01,8012224,8010333,9,11,44
2023-03-01,8012224,8010397,4,11,46
2023-03-01,8012224,8012224,15,22,52
2023-03-01,8012323,8010129,0,5,0
2023-03-01,8012323,8010134,5,5,36
2023-03-01,8012323,8012323,1,10,3
2023-03-01,8012369,8011033,0,2,0
2023-03-01,8012369,8011507,10,19,27
2023-03-01,8012369,8012369,14,38,24
2023-03-01,8012388,8010130,21,26,52
2023-03-01,8012388,8012388,45,52,71
2023-03-01,8012388,8012534,24,26,98
2023-03-01,8012407,8012220,0,15,0
2023-03-01,8012407,8012407,0,30,0
2023-03-01,8012407,8012412,0,15,0
2023-03-01,8012408,8012037,13,19,27
2023-03-01,8012408,8012408,19,40,35
2023-03-01,8012408,8012483,6,20,30
2023-03-01,8012412,8011315,0,15,0
2023-03-01,8012412,8012407,0,15,0
2023-03-01,8012412,8012412,0,30,0
2023-03-01,8012426,8010277,9,16,43
2023-03-01,8012426,8011212,13,17,95
2023-03-01,8012426,8012426,21,33,67
2023-03-01,8012483,8012044,4,20,20
2023-03-01,8012483,8012408,12,20,34
2023-03-01,8012483,8012483,21,40,33
2023-03-01,8012528,8011970,1,2,15
2023-03-01,8012528,8012528,0,5,0
2023-03-01,8012528,8012593,1,3,10
2023-03-01,8012534,8012388,11,26,43
2023-03-01,8012534,8012534,48,52,72
2023-03-01,8012534,8013433,22,26,78
2023-03-01,8012550,8011529,12,20,22
2023-03-01,8012550,8011556,18,20,66
2023-03-01,8012550,8012550,30,40,43
2023-03-01,8012558,8012558,16,24,59
2023-03-01,8012558,8012559,9,12,120
2023-03-01,8012558,8012571,5,16,13
2023-03-01,8012559,8012558,5,12,30
2023-03-01,8012571,8011212,10,16,39
2023-03-01,8012571,8012558,9,17,58
2023-03-01,8012571,8012571,19,33,52
2023-03-01,8012593,8011033,1,3,10
2023-03-01,8012593,8012528,0,2,0
2023-03-01,8012593,8012593,1,5,6
2023-03-01,8012727,8012727,0,30,0
2023-03-01,8012727,8017218,0,15,0
2023-03-01,8012727,8017220,0,15,0
2023-03-01,8012739,8010275,15,17,115
2023-03-01,8012739,8010397,15,17,217
2023-03-01,8012739,8012739,30,34,167
2023-03-01,8012740,8011548,10,16,69
2023-03-01,8012740,8012201,7,16,79
2023-03-01,8012740,8012740,18,32,76
2023-03-01,8012853,8012853,21,34,66
2023-03-01,8012853,8013235,14,17,184
2023-03-01,8012853,8013312,8,17,28
2023-03-01,8012873,8010010,16,18,430
2023-03-01,8012873,8011823,16,18,260
2023-03-01,8012873,8012873,32,36,306
2023-03-01,8012938,8010323,13,18,68
2023-03-01,8012938,8011505,9,17,233
2023-03-01,8012938,8012938,25,35,162
2023-03-01,8012939,8010323,12,18,305
2023-03-01,8012939,8012176,13,19,153
2023-03-01,8012939,8012939,25,37,252
2023-03-01,8012946,8010359,17,19,36
2023-03-01,8012946,8011507,3,19,13
2023-03-01,8012946,8012946,19,38,21
2023-03-01,8012947,8011325,10,11,68
2023-03-01,8012947,8012947,16,22,83
2023-03-01,8012947,8013280,6,11,109
2023-03-01,8012976,8010005,2,6,30
2023-03-01,8012976,8010074,5,6,70
2023-03-01,8012976,8012976,8,12,40
2023-03-01,8012996,8010379,12,18,247
2023-03-01,8012996,8012996,30,36,246
2023-03-01,8012996,8013307,15,18,220
2023-03-01,8013116,8013116,27,34,51
2023-03-01,8013116,8013310,13,17,64
2023-03-01,8013116,8013343,14,17,41
2023-03-01,8013212,8013212,24,34,61
2023-03-01,8013212,8013311,13,17,81
2023-03-01,8013212,8013328,13,17,53
2023-03-01,8013235,8012853,6,17,14
2023-03-01,8013235,8013235,20,34,68
2023-03-01,8013235,8013343,6,17,35
2023-03-01,8013280,8010372,6,11,106
2023-03-01,8013280,8012947,11,11,65
2023-03-01,8013280,8013280,17,22,83
2023-03-01,8013307,8011524,15,18,247
2023-03-01,8013307,8012996,16,18,278
2023-03-01,8013307,8013307,30,36,254
2023-03-01,8013310,8011047,13,17,48
2023-03-01,8013310,8013116,12,17,42
2023-03-01,8013310,8013310,26,34,52
2023-03-01,8013311,8013212,15,17,62
2023-03-01,8013311,8013311,26,34,66
2023-03-01,8013311,8013427,10,17,56
2023-03-01,8013312,8012853,15,17,83
2023-03-01,8013312,8013312,30,34,61
2023-03-01,8013312,8013427,13,17,41
2023-03-01,8013328,8011856,15,17,69
2023-03-01,8013328,8013212,16,17,95
2023-03-01,8013328,8013328,31,34,91
2023-03-01,8013343,8013116,13,17,81
2023-03-01,8013343,8013235,14,17,44
2023-03-01,8013343,8013343,27,34,60
2023-03-01,8013427,8013311,16,17,62
2023-03-01,8013427,8013312,13,17,83
2023-03-01,8013427,8013427,29,34,68
2023-03-01,8013433,8010397,19,26,69
2023-03-01,8013433,8012534,23,26,48
2023-03-01,8013433,8013433,44,52,62
2023-03-01,8013434,8010397,9,18,255
2023-03-01,8013434,8011305,7,18,142
2023-03-01,8013434,8013434,15,36,187
2023-03-01,8013450,8010185,13,19,41
2023-03-01,8013450,8010253,17,20,70
2023-03-01,8013450,8013450,25,40,46
2023-03-01,8017218,8011912,0,15,0
2023-03-01,8017218,8012727,0,15,0
2023-03-01,8017218,8017218,0,30,0
2023-03-01,8017219,8010044,0,15,0
2023-03-01,8017219,8012220,0,15,0
2023-03-01,8017219,8017219,0,30,0
2023-03-01,8017220,8011185,0,15,0
2023-03-01,8017220,8012727,0,15,0
2023-03-01,8017220,8017220,0,30,0
2023-03-02,8010005,8010005,8,12,38
2023-03-02,8010005,8011045,10,17,26
2023-03-02,8010005,8012976,4,6,40
2023-03-02,8010010,8010010,10,35,20
2023-03-02,8010010,8012176,1,18,2
2023-03-02,8010010,8012873,9,18,32
2023-03-02,8010044,8010044,2,30,4
2023-03-02,8010044,8017219,2,15,8
2023-03-02,8010074,8012976,4,6,25
2023-03-02,8010108,8010108,113,140,110
2023-03-02,8010108,8010128,15,17,86
2023-03-02,8010108,8010253,42,53,85
2023-03-02,8010108,8011528,8,16,75
2023-03-02,8010108,8011529,15,20,110
2023-03-02,8010108,8011904,9,17,51
2023-03-02,8010108,8013114,13,17,288
2023-03-02,8010128,8010108,12,17,78
2023-03-02,8010128,8010128,29,34,106
2023-03-02,8010128,8011497,17,17,145
2023-03-02,8010129,8010129,46,86,107
2023-03-02,8010129,8010130,24,26,110
2023-03-02,8010129,8010331,9,26,67
2023-03-02,8010129,8010397,6,17,28
2023-03-02,8010129,8011904,14,17,263
2023-03-02,8010129,8012323,3,8,188
2023-03-02,8010130,8010129,10,26,67
2023-03-02,8010130,8010130,33,52,91
2023-03-02,8010130,8012388,21,26,103
2023-03-02,8010185,8010185,37,52,101
2023-03-02,8010185,8011971,25,26,113
2023-03-02,8010185,8013450,16,19,118
2023-03-02,8010229,8001969,1,1,30
2023-03-02,8010229,8010229,7,15,292
2023-03-02,8010229,8010317,3,7,150
2023-03-02,8010229,8013396,3,7,497
2023-03-02,8010253,8010108,50,53,120
2023-03-02,8010253,8010253,86,106,99
2023-03-02,8010253,8013450,17,20,98
2023-03-02,8010275,8002924,12,16,109
2023-03-02,8010275,8010229,1,1,90
2023-03-02,8010275,8010275,18,34,114
2023-03-02,8010275,8012739,11,17,173
2023-03-02,8010277,8010277,16,32,57
2023-03-02,8010277,8012201,9,16,52
2023-03-02,8010277,8012426,11,17,72
2023-03-02,8010317,8001969,2,6,160
2023-03-02,8010317,8010229,3,7,510
2023-03-02,8010317,8010317,7,14,336
2023-03-02,8010317,8011790,1,1,150
2023-03-02,8010323,8010323,17,35,23
