date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-12-01,8000106,8000106,294,349,265
2023-12-01,8000106,8002049,87,126,227
2023-12-01,8000106,8002051,116,127,348
2023-12-01,8000106,8002054,16,37,34
2023-12-01,8000106,8002872,11,16,264
2023-12-01,8000106,8002935,30,33,151
2023-12-01,8000117,8000117,74,90,345
2023-12-01,8000117,8002526,16,21,404
2023-12-01,8000117,8002532,16,24,285
2023-12-01,8000117,8003550,23,23,333
2023-12-01,8000117,8006132,19,22,457
2023-12-01,8000126,8000126,40,41,442
2023-12-01,8000126,8002386,18,19,636
2023-12-01,8000126,8003605,33,43,148
2023-12-01,8000126,8005740,21,21,314
2023-12-01,8000158,8000158,48,85,108
2023-12-01,8000158,8000632,5,17,139
2023-12-01,8000158,8001701,10,26,77
2023-12-01,8000158,8004713,5,18,102
2023-12-01,8000158,8006465,7,24,79
2023-12-01,8000241,8000241,107,135,464
2023-12-01,8000241,8000615,0,1,0
2023-12-01,8000241,8001237,2,2,975
2023-12-01,8000241,8003816,7,17,334
2023-12-01,8000241,8003818,47,47,629
2023-12-01,8000241,8005220,7,22,355
2023-12-01,8000241,8005221,45,46,498
2023-12-01,8000250,8000020,5,7,326
2023-12-01,8000250,8000257,1,1,150
2023-12-01,8000250,8003816,1,1,360
2023-12-01,8000250,8006404,58,91,166
2023-12-01,8000277,8000741,1,1,90
2023-12-01,8000285,8000285,30,46,60
2023-12-01,8000285,8001814,5,23,31
2023-12-01,8000285,8005156,21,61,59
2023-12-01,8000285,8006031,31,36,50
2023-12-01,8000347,8002288,7,24,64
2023-12-01,8000349,8000349,93,108,322
2023-12-01,8000349,8003143,10,11,224
2023-12-01,8000349,8003550,16,19,346
2023-12-01,8000349,8006548,19,24,261
2023-12-01,8000360,8000360,16,18,87
2023-12-01,8000360,8002934,9,9,93
2023-12-01,8000360,8005089,7,9,107
2023-12-01,8000362,8004171,4,24,21
2023-12-01,8000503,8000503,36,41,379
2023-12-01,8000503,8001034,24,29,144
2023-12-01,8000503,8002391,19,20,462
2023-12-01,8000503,8002934,15,19,144
2023-12-01,8000503,8098360,16,20,324
2023-12-01,8000538,8000538,23,50,85
2023-12-01,8000538,8002886,13,24,101
2023-12-01,8000538,8003698,7,26,50
2023-12-01,8000632,8000158,7,18,100
2023-12-01,8000632,8000632,11,35,117
2023-12-01,8000632,8004712,3,10,207
2023-12-01,8000712,8000712,51,70,270
2023-12-01,8000712,8004596,35,64,129
2023-12-01,8000712,8005544,31,34,384
2023-12-01,8000741,8000277,2,2,345
2023-12-01,8000741,8000741,3,3,250
2023-12-01,8000741,8002501,1,1,180
2023-12-01,8000752,8005798,3,37,-2
2023-12-01,8000752,8005799,13,43,156
2023-12-01,8000760,8000760,160,215,188
2023-12-01,8000760,8000761,48,69,158
2023-12-01,8000760,8001504,2,2,315
2023-12-01,8000760,8001514,49,69,281
2023-12-01,8000760,8002382,17,26,83
2023-12-01,8000760,8004712,11,18,147
2023-12-01,8000851,8000851,2,3,230
2023-12-01,8000851,8001504,0,1,0
2023-12-01,8000851,8006232,2,2,300
2023-12-01,8000877,8000877,55,84,197
2023-12-01,8000877,8002757,23,41,147
2023-12-01,8000877,8006687,31,43,248
2023-12-01,8000891,8000891,51,59,336
2023-12-01,8000891,8002010,25,26,390
2023-12-01,8000891,8003016,4,4,780
2023-12-01,8000891,8005261,3,5,42
