date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-01-24,8010013,8010013,15,63,40
2023-01-24,8010013,8010194,3,9,40
2023-01-24,8010013,8011184,7,19,36
2023-01-24,8010013,8011605,11,35,52
2023-01-24,8010043,8010043,11,57,22
2023-01-24,8010043,8011170,0,10,0
2023-01-24,8010043,8011605,5,29,27
2023-01-24,8010043,8011929,7,22,65
2023-01-24,8010152,8010009,0,1,0
2023-01-24,8010152,8010043,0,1,0
2023-01-24,8010152,8010152,18,69,46
2023-01-24,8010152,8010311,3,12,20
2023-01-24,8010152,8010332,3,9,67
2023-01-24,8010152,8011632,8,24,79
2023-01-24,8010152,8011929,2,18,7
2023-01-24,8010152,8012467,3,11,16
2023-01-24,8010154,8010154,16,40,30
2023-01-24,8010154,8012263,9,21,47
2023-01-24,8010154,8013389,7,20,16
2023-01-24,8010194,8010013,6,14,79
2023-01-24,8010194,8010194,12,63,33
2023-01-24,8010194,8011133,3,19,8
2023-01-24,8010194,8011402,4,16,62
2023-01-24,8010231,8010231,14,39,32
2023-01-24,8010231,8010302,7,20,45
2023-01-24,8010231,8012040,8,19,38
2023-01-24,8010281,8010281,15,39,50
2023-01-24,8010281,8011150,6,19,22
2023-01-24,8010281,8013418,2,3,80
2023-01-24,8010302,8010231,7,19,27
2023-01-24,8010302,8010302,45,132,50
2023-01-24,8010302,8011322,3,4,52
2023-01-24,8010302,8011361,1,2,45
2023-01-24,8010302,8011952,4,20,10
2023-01-24,8010302,8012777,8,23,31
2023-01-24,8010302,8013335,7,15,36
2023-01-24,8010343,8010343,14,40,40
2023-01-24,8010343,8012506,6,20,46
2023-01-24,8010343,8013259,8,20,30
2023-01-24,8011048,8011048,3,24,15
2023-01-24,8011048,8011537,3,12,32
2023-01-24,8011048,8011960,2,17,7
2023-01-24,8011053,8011053,13,39,40
2023-01-24,8011053,8013259,4,19,41
2023-01-24,8011053,8013357,9,20,33
2023-01-24,8011133,8010194,4,20,20
2023-01-24,8011133,8010311,7,19,22
2023-01-24,8011133,8011133,8,39,15
2023-01-24,8011150,8010281,7,20,64
2023-01-24,8011150,8011150,13,39,42
2023-01-24,8011150,8012704,6,19,30
2023-01-24,8011169,8011169,2,20,27
2023-01-24,8011169,8011170,2,10,54
2023-01-24,8011169,8012507,0,10,-3
2023-01-24,8011170,8010043,1,10,39
2023-01-24,8011170,8011169,0,10,0
2023-01-24,8011170,8011170,1,20,24
2023-01-24,8011184,8010013,2,20,16
2023-01-24,8011184,8011184,13,39,29
2023-01-24,8011184,8011484,3,8,22
2023-01-24,8011184,8011571,3,11,25
2023-01-24,8011260,8011260,17,73,24
2023-01-24,8011260,8012147,10,35,29
2023-01-24,8011260,8012788,6,38,21
2023-01-24,8011290,8011290,9,27,29
2023-01-24,8011290,8013371,6,13,55
2023-01-24,8011290,8013418,4,14,19
2023-01-24,8011296,8011296,18,41,52
2023-01-24,8011296,8011683,10,21,87
2023-01-24,8011296,8012409,9,20,27
2023-01-24,8011322,8010302,1,3,100
2023-01-24,8011322,8011322,17,46,40
2023-01-24,8011322,8011703,7,19,38
2023-01-24,8011322,8012040,7,20,33
2023-01-24,8011322,8012282,3,4,60
2023-01-24,8011361,8011361,15,53,44
2023-01-24,8011361,8012305,4,25,19
2023-01-24,8011361,8012707,1,1,60
2023-01-24,8011361,8013335,0,1,0
2023-01-24,8011363,8011363,7,39,9
2023-01-24,8011363,8011364,3,20,6
2023-01-24,8011364,8011184,0,1,0
2023-01-24,8011364,8011363,4,19,16
2023-01-24,8011364,8011364,5,40,8
2023-01-24,8011364,8011484,1,20,3
