date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-08-01,8000048,8000048,63,72,325
2023-08-01,8000048,8000233,1,1,90
2023-08-01,8000048,8000315,12,14,73
2023-08-01,8000048,8001118,1,1,1440
2023-08-01,8000048,8003096,20,20,346
2023-08-01,8000215,8000215,42,101,95
2023-08-01,8000215,8001420,16,33,105
2023-08-01,8000215,8001686,8,16,62
2023-08-01,8000215,8002916,7,18,120
2023-08-01,8000215,8004630,4,16,28
2023-08-01,8000215,8005810,12,18,152
2023-08-01,8000233,8000233,78,109,247
2023-08-01,8000233,8000315,18,18,155
2023-08-01,8000233,8000733,10,16,73
2023-08-01,8000233,8001118,16,17,376
2023-08-01,8000233,8003288,12,27,-78
2023-08-01,8000233,8004868,26,28,562
2023-08-01,8000315,8000048,10,17,92
2023-08-01,8000315,8000233,17,18,688
2023-08-01,8000315,8000315,71,75,488
2023-08-01,8000315,8003096,21,21,569
2023-08-01,8000315,8004626,35,37,434
2023-08-01,8000733,8000233,11,16,272
2023-08-01,8000733,8000733,21,32,172
2023-08-01,8000733,8006091,9,16,84
2023-08-01,8000744,8000744,30,37,174
2023-08-01,8000744,8005415,13,19,152
2023-08-01,8000953,8000953,23,35,149
2023-08-01,8000953,8079069,13,18,167
2023-08-01,8000957,8000957,13,33,156
2023-08-01,8000957,8003288,13,16,322
2023-08-01,8000957,8070734,0,17,0
2023-08-01,8001118,8000048,1,1,420
2023-08-01,8001118,8000233,5,17,-180
2023-08-01,8001118,8001118,51,74,150
2023-08-01,8001118,8002824,18,19,185
2023-08-01,8001420,8000215,19,34,100
2023-08-01,8001420,8001420,36,64,98
2023-08-01,8001420,8003000,20,32,117
2023-08-01,8001686,8000215,9,18,133
2023-08-01,8001686,8001686,17,34,106
2023-08-01,8001686,8002737,12,16,84
2023-08-01,8001894,8001894,11,33,7
2023-08-01,8001894,8003772,10,16,58
2023-08-01,8001894,8004919,2,17,-217
2023-08-01,8002737,8001686,8,18,133
2023-08-01,8002737,8002737,19,34,109
2023-08-01,8002737,8004630,10,16,66
2023-08-01,8002824,8001118,18,19,201
2023-08-01,8002824,8002824,33,38,219
2023-08-01,8002824,8003288,16,19,182
2023-08-01,8002916,8000215,11,17,62
2023-08-01,8002916,8002916,17,35,88
2023-08-01,8002916,8003633,10,18,128
2023-08-01,8002978,8002978,13,33,-112
2023-08-01,8002978,8003772,3,17,-206
2023-08-01,8002978,8070734,11,16,296
2023-08-01,8003000,8001420,20,33,109
2023-08-01,8003000,8003000,37,62,138
2023-08-01,8003000,8003655,9,17,90
2023-08-01,8003096,8000048,21,21,639
2023-08-01,8003096,8000315,20,20,410
2023-08-01,8003096,8003096,41,41,474
2023-08-01,8003288,8000233,23,24,310
2023-08-01,8003288,8000957,3,17,-171
2023-08-01,8003288,8001201,14,19,169
2023-08-01,8003288,8002824,16,19,276
2023-08-01,8003288,8003288,63,89,147
2023-08-01,8003633,8002916,8,17,55
2023-08-01,8003633,8003633,16,35,94
2023-08-01,8003633,8003634,16,18,155
2023-08-01,8003634,8003633,4,17,39
2023-08-01,8003655,8003000,13,17,155
2023-08-01,8003655,8003655,20,34,126
2023-08-01,8003655,8005283,11,17,104
2023-08-01,8003772,8001894,1,17,-39
2023-08-01,8003772,8002978,5,16,34
2023-08-01,8003772,8003772,5,33,-2
2023-08-01,8004630,8000215,4,14,167
2023-08-01,8004630,8000953,0,1,0
2023-08-01,8004630,8002737,8,18,135
2023-08-01,8004630,8004630,43,64,151
2023-08-01,8004630,8005930,11,16,101
2023-08-01,8004868,8000233,18,28,170
2023-08-01,8004868,8004868,47,56,370
2023-08-01,8004919,8001894,2,16,34
2023-08-01,8005276,8002262,31,35,163
2023-08-01,8005276,8005276,56,69,229
2023-08-01,8005276,8005322,22,34,300
2023-08-01,8005283,8003655,11,17,159
2023-08-01,8005283,8005283,28,34,139
2023-08-01,8005322,8005276,34,35,159
2023-08-01,8005322,8005322,58,69,210
2023-08-01,8005322,8006449,6,7,197
2023-08-01,8005336,8002933,5,7,167
2023-08-01,8005336,8005336,26,34,126
2023-08-01,8005336,8006379,16,17,192
2023-08-01,8005415,8000744,15,18,172
2023-08-01,8005415,8005415,26,37,156
2023-08-01,8005415,8005810,15,19,152
2023-08-01,8005708,8005340,4,18,23
2023-08-01,8005708,8005708,7,36,98
2023-08-01,8005810,8000215,15,19,139
2023-08-01,8005810,8005415,12,18,157
2023-08-01,8005810,8005810,26,37,151
2023-08-01,8005930,8004630,16,18,197
2023-08-01,8005930,8005930,25,34,155
2023-08-01,8005930,8079069,13,16,129
2023-08-01,8006091,8000733,11,16,261
2023-08-01,8006091,8005104,10,17,132
2023-08-01,8006091,8006091,23,32,186
2023-08-01,8006449,8002933,4,7,223
2023-08-01,8006449,8003168,8,8,428
2023-08-01,8006449,8005322,5,7,47
2023-08-01,8006449,8006449,20,29,199
2023-08-01,8070734,8000957,11,16,306
2023-08-01,8070734,8002978,3,17,-180
2023-08-01,8070734,8070734,11,33,150
2023-08-01,8079069,8000953,13,16,133
2023-08-01,8079069,8005930,15,18,183
2023-08-01,8079069,8079069,26,34,151
2023-08-02,8000048,8000048,59,72,409
2023-08-02,8000048,8000233,0,1,0
2023-08-02,8000048,8000315,10,14,255
2023-08-02,8000048,8001118,1,1,900
2023-08-02,8000048,8003096,18,20,288
2023-08-02,8000215,8000215,42,101,91
2023-08-02,8000215,8001420,19,33,177
2023-08-02,8000215,8001686,6,16,68
2023-08-02,8000215,8002916,4,18,35
2023-08-02,8000215,8004630,5,16,41
2023-08-02,8000215,8005810,12,18,123
2023-08-02,8000233,8000233,79,109,355
