date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-04-01,8010006,8010006,0,1,0
2023-04-01,8010006,8012699,0,1,0
2023-04-01,8010072,8010072,131,175,139
2023-04-01,8010072,8012471,28,41,171
2023-04-01,8010072,8012701,25,41,134
2023-04-01,8010072,8013267,32,46,121
2023-04-01,8010072,8013444,31,37,110
2023-04-01,8010072,8013490,15,17,122
2023-04-01,8010088,8010088,32,112,38
2023-04-01,8010088,8011417,6,20,22
2023-04-01,8010088,8011418,21,56,49
2023-04-01,8010088,8012150,12,20,76
2023-04-01,8010088,8013269,3,16,6
2023-04-01,8010091,8010091,6,16,9
2023-04-01,8010091,8011855,0,8,0
2023-04-01,8010091,8012249,3,8,15
2023-04-01,8010116,8010116,24,80,16
2023-04-01,8010116,8011569,7,40,5
2023-04-01,8010116,8011570,11,40,20
2023-04-01,8010131,8010131,22,33,107
2023-04-01,8010131,8011656,17,17,184
2023-04-01,8010131,8012061,20,28,42
2023-04-01,8010163,8010163,79,84,159
2023-04-01,8010163,8011398,7,9,140
2023-04-01,8010163,8011428,34,42,136
2023-04-01,8010163,8011843,35,41,146
2023-04-01,8010174,8010174,13,38,63
2023-04-01,8010174,8012061,2,19,107
2023-04-01,8010174,8013165,0,19,0
2023-04-01,8010177,8011922,4,9,40
2023-04-01,8010177,8012942,12,17,34
2023-04-01,8010249,8010249,5,14,26
2023-04-01,8010249,8012113,2,7,39
2023-04-01,8010249,8012163,0,8,0
2023-04-01,8010272,8010272,67,76,152
2023-04-01,8010272,8011844,30,41,131
2023-04-01,8010272,8012540,32,38,162
2023-04-01,8010272,8012640,4,8,15
2023-04-01,8010285,8010285,67,93,127
2023-04-01,8010285,8011749,11,26,190
2023-04-01,8010285,8012482,22,30,132
2023-04-01,8010285,8012523,15,20,64
2023-04-01,8010285,8013267,14,17,72
2023-04-01,8010292,8010072,0,1,0
2023-04-01,8010292,8010292,57,83,151
2023-04-01,8010292,8011427,21,41,119
2023-04-01,8010292,8012700,25,41,167
2023-04-01,8010370,8010370,13,38,58
2023-04-01,8010370,8012767,10,19,123
2023-04-01,8010370,8012870,5,19,8
2023-04-01,8010393,8011878,5,17,90
2023-04-01,8011019,8011609,1,9,13
2023-04-01,8011039,8011039,7,16,176
2023-04-01,8011039,8012959,7,8,326
2023-04-01,8011039,8013168,0,8,0
2023-04-01,8011091,8011091,6,16,47
2023-04-01,8011091,8011095,5,8,82
2023-04-01,8011091,8011636,1,8,8
2023-04-01,8011095,8011091,1,8,15
2023-04-01,8011095,8011095,6,16,52
2023-04-01,8011095,8012170,5,8,82
2023-04-01,8011298,8011298,7,16,68
2023-04-01,8011298,8012394,5,8,131
2023-04-01,8011298,8013247,2,8,8
2023-04-01,8011320,8011320,28,34,107
2023-04-01,8011320,8011425,13,17,116
2023-04-01,8011320,8012503,13,17,71
2023-04-01,8011398,8010163,8,9,83
2023-04-01,8011398,8011398,11,18,88
2023-04-01,8011398,8012079,5,8,120
2023-04-01,8011398,8013247,1,1,90
2023-04-01,8011399,8011417,5,20,6
2023-04-01,8011416,8011416,62,82,152
2023-04-01,8011416,8011423,23,41,129
2023-04-01,8011416,8013444,28,41,128
2023-04-01,8011417,8010088,4,20,4
2023-04-01,8011417,8011399,10,20,26
2023-04-01,8011417,8011417,15,40,17
2023-04-01,8011418,8010088,23,56,20
2023-04-01,8011418,8011418,53,112,39
2023-04-01,8011418,8013444,22,40,62
2023-04-01,8011419,8011419,29,34,98
2023-04-01,8011419,8011421,15,17,99
2023-04-01,8011419,8013475,14,17,118
2023-04-01,8011420,8011420,75,84,148
2023-04-01,8011420,8011422,41,42,154
2023-04-01,8011420,8011424,42,42,181
2023-04-01,8011421,8011419,11,17,101
2023-04-01,8011421,8011421,24,34,96
2023-04-01,8011421,8011425,14,17,88
2023-04-01,8011422,8011420,34,42,165
2023-04-01,8011422,8011422,74,84,146
2023-04-01,8011422,8011428,40,42,141
2023-04-01,8011423,8011416,39,41,173
2023-04-01,8011423,8011423,64,82,145
2023-04-01,8011423,8011427,25,41,142
2023-04-01,8011424,8011420,40,42,129
2023-04-01,8011424,8011424,82,84,153
2023-04-01,8011424,8011426,32,42,161
2023-04-01,8011425,8011320,13,17,78
2023-04-01,8011425,8011421,14,17,134
2023-04-01,8011425,8011425,28,34,110
2023-04-01,8011426,8011424,24,42,101
2023-04-01,8011426,8011426,68,84,144
2023-04-01,8011426,8011431,39,39,197
2023-04-01,8011427,8010292,36,41,179
2023-04-01,8011427,8011423,31,41,143
2023-04-01,8011427,8011427,67,82,147
2023-04-01,8011428,8010163,39,42,147
2023-04-01,8011428,8011422,34,42,146
2023-04-01,8011428,8011428,74,84,142
2023-04-01,8011451,8011451,18,40,17
2023-04-01,8011451,8012044,10,20,22
2023-04-01,8011451,8013114,9,20,28
2023-04-01,8011563,8011563,17,20,171
2023-04-01,8011563,8012681,8,10,270
2023-04-01,8011563,8013368,9,10,87
2023-04-01,8011569,8010116,13,40,22
2023-04-01,8011569,8011569,27,80,17
2023-04-01,8011569,8013445,13,40,16
2023-04-01,8011570,8010116,15,40,13
2023-04-01,8011570,8011570,19,80,14
2023-04-01,8011570,8013114,11,40,18
2023-04-01,8011609,8011019,6,9,53
2023-04-01,8011609,8011609,10,18,55
2023-04-01,8011609,8011825,4,9,40
2023-04-01,8011636,8011091,5,8,79
2023-04-01,8011636,8011636,8,18,55
2023-04-01,8011636,8012170,1,1,60
2023-04-01,8011636,8012535,1,8,4
2023-04-01,8011636,8013247,1,1,180
2023-04-01,8011637,8011637,39,40,146
2023-04-01,8011637,8012523,20,20,195
2023-04-01,8011637,8013461,19,20,92
2023-04-01,8011656,8010131,12,17,46
2023-04-01,8011656,8011656,30,34,131
2023-04-01,8011656,8011799,16,17,214
2023-04-01,8011676,8011676,7,16,165
2023-04-01,8011676,8012662,0,8,0
2023-04-01,8011676,8013168,7,8,330
2023-04-01,8011712,8011712,11,16,266
2023-04-01,8011712,8012680,8,8,259
2023-04-01,8011712,8013124,7,8,45
2023-04-01,8011749,8010285,26,27,134
2023-04-01,8011749,8011749,45,53,147
2023-04-01,8011749,8012145,15,17,187
2023-04-01,8011749,8013368,7,9,187
2023-04-01,8011795,8011795,9,38,67
2023-04-01,8011795,8012767,5,19,9
2023-04-01,8011795,8013165,6,19,122
2023-04-01,8011799,5100244,7,17,118
2023-04-01,8011799,8011656,8,17,30
