date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-06-01,8000099,8000099,255,323,315
2023-06-01,8000099,8001898,109,132,417
2023-06-01,8000099,8001912,10,14,236
2023-06-01,8000099,8001913,93,109,266
2023-06-01,8000099,8001914,27,38,351
2023-06-01,8000133,8000133,51,72,249
2023-06-01,8000133,8003130,31,36,418
2023-06-01,8000133,8005159,26,36,94
2023-06-01,8000138,8000138,109,183,257
2023-06-01,8000138,8002490,21,36,328
2023-06-01,8000138,8002869,25,55,99
2023-06-01,8000138,8006718,60,92,314
2023-06-01,8000198,8000198,76,111,68
2023-06-01,8000198,8001915,31,55,88
2023-06-01,8000198,8003245,45,56,52
2023-06-01,8000211,8000212,29,40,326
2023-06-01,8000212,8000211,35,40,463
2023-06-01,8000212,8000212,65,80,393
2023-06-01,8000212,8003426,14,21,171
2023-06-01,8000212,8004694,16,19,502
2023-06-01,8000242,8000242,2,2,135
2023-06-01,8000242,8002109,23,25,248
2023-06-01,8000242,8003943,1,1,360
2023-06-01,8000242,8006098,7,7,407
2023-06-01,8000253,8000253,41,44,879
2023-06-01,8000253,8000274,24,36,542
2023-06-01,8000253,8000318,39,43,612
2023-06-01,8000253,8001745,35,54,109
2023-06-01,8000253,8003412,3,3,780
2023-06-01,8000253,8003427,12,18,145
2023-06-01,8000274,8000253,35,40,812
2023-06-01,8000274,8000274,382,483,507
2023-06-01,8000274,8000438,41,53,445
2023-06-01,8000274,8001261,42,55,298
2023-06-01,8000274,8001506,34,40,589
2023-06-01,8000274,8001585,41,59,597
2023-06-01,8000274,8004317,46,55,497
2023-06-01,8000274,8004320,130,161,421
2023-06-01,8000274,8004694,16,19,764
2023-06-01,8000317,8000317,58,78,265
2023-06-01,8000317,8000887,18,18,520
2023-06-01,8000317,8002941,17,21,179
2023-06-01,8000317,8003427,18,18,508
2023-06-01,8000317,8005065,11,21,147
2023-06-01,8000318,8000253,40,42,404
2023-06-01,8000318,8000318,80,85,525
2023-06-01,8000318,8001839,19,19,1072
2023-06-01,8000318,8005073,0,1,0
2023-06-01,8000318,8006391,21,23,334
2023-06-01,8000388,8000388,100,110,402
2023-06-01,8000388,8001587,49,54,305
2023-06-01,8000388,8002828,50,56,464
2023-06-01,8000390,8000390,39,72,126
2023-06-01,8000390,8003130,7,36,58
2023-06-01,8000390,8005073,33,36,466
2023-06-01,8000430,8003141,36,53,347
2023-06-01,8000432,8000432,89,106,416
2023-06-01,8000432,8000438,44,53,384
2023-06-01,8000432,8003141,44,53,443
2023-06-01,8000438,8000274,43,53,442
2023-06-01,8000438,8000432,42,53,423
2023-06-01,8000438,8000438,85,106,408
2023-06-01,8000579,8000579,95,114,358
2023-06-01,8000579,8001595,55,57,417
2023-06-01,8000579,8001609,38,57,296
2023-06-01,8000687,8000687,135,192,254
2023-06-01,8000687,8001596,38,43,309
2023-06-01,8000687,8001898,9,14,146
2023-06-01,8000687,8001906,36,43,283
2023-06-01,8000687,8004122,22,39,72
2023-06-01,8000687,8004542,12,14,679
2023-06-01,8001261,8000274,37,56,162
2023-06-01,8001261,8001261,74,111,216
2023-06-01,8001261,8003321,35,55,279
2023-06-01,8001308,8001308,102,110,414
2023-06-01,8001308,8001587,49,56,489
2023-06-01,8001308,8001591,49,54,337
2023-06-01,8001469,8001469,53,64,579
2023-06-01,8001469,8004540,15,25,241
2023-06-01,8001469,8004542,6,7,390
2023-06-01,8001469,8006098,28,32,884
2023-06-01,8001506,8000274,31,40,728
2023-06-01,8001506,8000853,14,17,861
2023-06-01,8001506,8001506,148,189,601
2023-06-01,8001506,8001507,47,55,680
2023-06-01,8001506,8003330,16,16,531
2023-06-01,8001506,8003361,5,5,456
2023-06-01,8001506,8004434,44,54,561
2023-06-01,8001507,8001506,34,54,424
2023-06-01,8001507,8001507,83,109,553
2023-06-01,8001507,8003373,41,55,646
2023-06-01,8001579,8001579,251,324,428
2023-06-01,8001579,8001582,43,52,642
2023-06-01,8001579,8001585,126,163,362
2023-06-01,8001579,8001598,86,107,394
2023-06-01,8001580,8001595,45,54,389
2023-06-01,8001581,8001581,208,220,288
2023-06-01,8001581,8001582,93,107,243
2023-06-01,8001581,8001591,105,111,342
2023-06-01,8001582,8001579,45,51,434
2023-06-01,8001582,8001581,100,106,308
2023-06-01,8001582,8001582,275,334,329
2023-06-01,8001582,8001583,128,167,341
2023-06-01,8001583,8001582,132,167,308
2023-06-01,8001583,8001583,262,334,325
2023-06-01,8001583,8001586,125,167,335
2023-06-01,8001584,8001584,117,167,299
2023-06-01,8001584,8001589,50,55,171
2023-06-01,8001584,8001594,15,55,40
2023-06-01,8001584,8004542,17,17,814
2023-06-01,8001584,8006226,18,19,499
2023-06-01,8001584,8006713,20,21,977
2023-06-01,8001585,8000274,55,60,519
2023-06-01,8001585,8001579,119,161,486
2023-06-01,8001585,8001580,1,1,1650
2023-06-01,8001585,8001585,324,443,426
2023-06-01,8001585,8001603,126,163,379
2023-06-01,8001585,8006226,19,20,687
2023-06-01,8001585,8006718,26,33,552
2023-06-01,8001586,8001583,134,167,312
2023-06-01,8001586,8001586,265,334,324
2023-06-01,8001586,8001593,38,56,106
2023-06-01,8001586,8001595,93,111,460
2023-06-01,8001587,8000388,52,56,483
2023-06-01,8001587,8001308,51,54,344
2023-06-01,8001587,8001587,99,110,406
2023-06-01,8001588,8001588,87,110,122
2023-06-01,8001588,8001591,44,55,77
2023-06-01,8001588,8001594,42,55,167
2023-06-01,8001589,8001584,16,55,45
2023-06-01,8001589,8001589,69,110,106
2023-06-01,8001589,8004920,46,55,165
2023-06-01,8001590,8001590,161,219,293
2023-06-01,8001590,8001598,65,109,196
2023-06-01,8001590,8001841,44,56,289
2023-06-01,8001590,8001842,43,54,493
2023-06-01,8001591,8001308,51,56,496
2023-06-01,8001591,8001581,103,109,236
2023-06-01,8001591,8001588,49,55,185
2023-06-01,8001591,8001591,204,220,284
2023-06-01,8001592,8001592,66,112,71
2023-06-01,8001592,8001593,31,56,47
2023-06-01,8001592,8004948,35,56,103
2023-06-01,8001593,8001586,38,56,62
2023-06-01,8001593,8001592,37,56,101
2023-06-01,8001593,8001593,69,112,77
2023-06-01,8001594,8001584,54,55,196
2023-06-01,8001594,8001588,39,55,80
2023-06-01,8001594,8001594,92,110,132
2023-06-01,8001595,8000579,45,57,333
2023-06-01,8001595,8001580,45,54,586
2023-06-01,8001595,8001586,92,111,420
2023-06-01,8001595,8001595,193,222,440
2023-06-01,8001596,8000687,40,42,275
2023-06-01,8001596,8001596,92,114,305
2023-06-01,8001596,8001600,46,57,302
2023-06-01,8001597,8001597,241,324,410
2023-06-01,8001597,8001603,120,161,450
2023-06-01,8001597,8004316,123,163,385
2023-06-01,8001598,8001579,80,106,290
2023-06-01,8001598,8001590,92,110,381
2023-06-01,8001598,8001598,162,219,302
2023-06-01,8001600,8001596,43,57,295
2023-06-01,8001600,8001600,98,114,306
2023-06-01,8001600,8001602,53,57,357
2023-06-01,8001602,8001600,29,57,265
2023-06-01,8001602,8001602,98,114,335
2023-06-01,8001602,8001609,52,57,381
2023-06-01,8001603,8001585,119,161,466
2023-06-01,8001603,8001597,126,163,383
2023-06-01,8001603,8001603,248,324,421
2023-06-01,8001605,8001605,27,42,174
2023-06-01,8001605,8005065,10,21,121
2023-06-01,8001609,8000579,54,57,411
2023-06-01,8001609,8001602,44,57,330
2023-06-01,8001609,8001609,97,114,352
2023-06-01,8001745,8000253,34,55,276
2023-06-01,8001745,8001745,73,109,214
2023-06-01,8001745,8003412,41,54,150
2023-06-01,8001841,8001590,36,55,118
2023-06-01,8001841,8001841,80,111,202
2023-06-01,8001841,8002868,42,56,287
2023-06-01,8001842,8001590,35,54,244
2023-06-01,8001842,8001842,68,108,347
2023-06-01,8001842,8004213,44,54,490
2023-06-01,8001896,8001896,55,111,53
2023-06-01,8001896,8001897,35,55,96
2023-06-01,8001896,8001908,20,56,17
2023-06-01,8001897,8001896,14,56,14
2023-06-01,8001897,8001897,75,111,68
2023-06-01,8001898,8000099,99,133,245
2023-06-01,8001898,8000687,10,14,544
2023-06-01,8001898,8001898,209,274,307
2023-06-01,8001898,8001906,61,82,330
2023-06-01,8001898,8005031,35,41,522
2023-06-01,8001900,8000164,17,20,342
2023-06-01,8001900,8001900,63,82,202
2023-06-01,8001900,8001901,14,21,171
2023-06-01,8001900,8001909,16,21,130
2023-06-01,8001901,8001900,20,21,146
2023-06-01,8001901,8001901,35,42,164
2023-06-01,8001901,8001903,15,21,181
2023-06-01,8001902,8001902,71,82,382
2023-06-01,8001902,8001907,33,41,513
2023-06-01,8001902,8005031,28,41,231
2023-06-01,8001903,8001901,14,21,130
2023-06-01,8001903,8001903,27,42,154
2023-06-01,8001905,8001905,127,138,291
2023-06-01,8001905,8001913,55,69,258
2023-06-01,8001905,8006227,49,69,249
2023-06-01,8001906,8000687,37,43,336
2023-06-01,8001906,8001898,60,82,188
2023-06-01,8001906,8001906,117,164,256
2023-06-01,8001906,8004122,26,39,292
2023-06-01,8001908,8001896,36,55,89
2023-06-01,8001908,8001908,81,111,61
2023-06-01,8001908,8001915,46,56,47
2023-06-01,8001909,8000164,20,21,193
2023-06-01,8001909,8001900,10,21,157
2023-06-01,8001909,8001909,22,42,139
2023-06-01,8001910,8001910,36,46,133
2023-06-01,8001910,8002227,22,23,188
2023-06-01,8001911,8001911,27,41,160
2023-06-01,8001911,8006226,16,20,207
2023-06-01,8001912,8000099,10,14,630
2023-06-01,8001912,8001912,71,105,347
2023-06-01,8001912,8003529,10,14,332
2023-06-01,8001912,8004430,28,38,415
2023-06-01,8001912,8006514,22,39,247
2023-06-01,8001913,8000099,81,109,274
2023-06-01,8001913,8001905,66,69,306
2023-06-01,8001913,8001913,186,218,275
2023-06-01,8001913,8006194,31,40,286
2023-06-01,8001915,8000198,39,56,42
2023-06-01,8001915,8001908,40,55,93
2023-06-01,8001915,8001915,79,111,70
2023-06-01,8002109,8000242,23,26,824
2023-06-01,8002109,8002109,46,51,559
2023-06-01,8002109,8006098,21,25,264
2023-06-01,8002490,8000138,21,36,433
2023-06-01,8002490,8002490,43,72,374
2023-06-01,8002490,8003616,19,36,312
2023-06-01,8002784,8001839,12,20,68
2023-06-01,8002784,8002784,28,40,133
2023-06-01,8002784,8006391,15,20,177
2023-06-01,8002828,8000388,51,54,359
2023-06-01,8002828,8002828,102,110,410
2023-06-01,8002828,8006714,52,56,461
2023-06-01,8002868,8001841,37,55,112
2023-06-01,8002868,8002868,80,111,193
2023-06-01,8002868,8002869,45,56,278
2023-06-01,8002869,8000138,41,56,252
2023-06-01,8002869,8002868,23,55,98
2023-06-01,8002869,8002869,65,111,181
2023-06-01,8002919,8002919,74,112,66
2023-06-01,8002919,8003245,40,56,106
2023-06-01,8002919,8004948,44,56,62
2023-06-01,8002941,8000317,14,21,226
2023-06-01,8002941,8002941,32,42,211
2023-06-01,8002941,8003427,14,21,173
2023-06-01,8003130,8000133,19,36,67
2023-06-01,8003130,8000390,31,36,416
2023-06-01,8003130,8003130,38,72,234
2023-06-01,8003141,8000430,40,53,429
2023-06-01,8003141,8000432,45,53,405
2023-06-01,8003141,8003141,85,106,406
2023-06-01,8003245,8000198,39,56,91
2023-06-01,8003245,8002919,43,56,46
2023-06-01,8003245,8003245,86,112,78
2023-06-01,8003321,8000274,1,1,1620
2023-06-01,8003321,8001261,30,56,135
2023-06-01,8003321,8003321,74,112,229
2023-06-01,8003321,8003412,42,55,304
2023-06-01,8003412,8001745,38,55,291
2023-06-01,8003412,8003321,38,57,179
