date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-05-01,8000077,8000077,67,72,197
2023-05-01,8000077,8000182,8,15,34
2023-05-01,8000077,8000366,32,34,289
2023-05-01,8000077,8001485,2,2,300
2023-05-01,8000077,8002214,10,12,98
2023-05-01,8000077,8003014,13,16,135
2023-05-01,8000182,8000077,9,14,120
2023-05-01,8000182,8000182,41,54,143
2023-05-01,8000182,8000880,7,17,53
2023-05-01,8000182,8002214,12,13,318
2023-05-01,8000182,8004111,8,9,67
2023-05-01,8000182,8006321,0,1,0
2023-05-01,8000333,8000333,22,36,77
2023-05-01,8000333,8000942,1,1,150
2023-05-01,8000333,8002621,15,17,71
2023-05-01,8000333,8003001,15,18,87
2023-05-01,8000356,8000356,1,1,60
2023-05-01,8000356,8005490,1,1,90
2023-05-01,8000366,8000077,28,36,102
2023-05-01,8000366,8003857,1,1,60
2023-05-01,8000393,8000393,1,1,90
2023-05-01,8000393,8005911,1,1,120
2023-05-01,8000412,8000412,38,54,70
2023-05-01,8000412,8001252,27,40,53
2023-05-01,8000412,8005037,24,27,100
2023-05-01,8000436,8000436,16,28,75
2023-05-01,8000436,8000544,7,15,32
2023-05-01,8000436,8005371,2,13,85
2023-05-01,8000463,8000463,25,36,55
2023-05-01,8000463,8001491,13,19,55
2023-05-01,8000463,8003586,11,17,56
2023-05-01,8000544,8000436,3,13,104
2023-05-01,8000544,8000544,8,28,60
2023-05-01,8000544,8001971,5,15,22
2023-05-01,8000596,8000596,37,54,72
2023-05-01,8000596,8000942,6,6,120
2023-05-01,8000596,8002235,8,10,84
2023-05-01,8000596,8003494,5,8,45
2023-05-01,8000596,8005037,20,27,52
2023-05-01,8000657,8000657,28,38,114
2023-05-01,8000657,8004124,10,18,88
2023-05-01,8000657,8005364,18,20,144
2023-05-01,8000718,8000718,45,72,104
2023-05-01,8000718,8001415,5,8,34
2023-05-01,8000718,8002727,29,36,148
2023-05-01,8000718,8004464,14,19,137
2023-05-01,8000718,8005317,5,9,60
2023-05-01,8000864,8000864,35,51,98
2023-05-01,8000864,8001671,3,6,70
2023-05-01,8000864,8004124,1,1,30
2023-05-01,8000864,8005068,16,20,144
2023-05-01,8000864,8005364,14,24,74
2023-05-01,8000932,8000932,30,35,67
2023-05-01,8000932,8005064,15,16,112
2023-05-01,8000932,8005497,7,19,27
2023-05-01,8000942,8000596,6,7,60
2023-05-01,8000942,8000942,21,21,107
2023-05-01,8000942,8002235,3,3,110
2023-05-01,8000942,8002621,7,7,176
2023-05-01,8000942,8005688,4,4,90
2023-05-01,8001059,8000880,0,1,0
2023-05-01,8001059,8001059,1,3,20
2023-05-01,8001059,8079616,1,2,15
2023-05-01,8001174,8001174,18,35,46
2023-05-01,8001174,8005255,7,19,27
2023-05-01,8001174,8005497,10,16,66
2023-05-01,8001262,8001262,31,40,125
2023-05-01,8001262,8002727,12,19,99
2023-05-01,8001262,8004124,19,21,127
2023-05-01,8001405,8001405,0,1,0
2023-05-01,8001415,8000718,4,5,228
2023-05-01,8001415,8001415,50,71,142
2023-05-01,8001415,8001771,10,19,79
2023-05-01,8001415,8002067,1,1,210
2023-05-01,8001415,8002465,17,19,201
2023-05-01,8001415,8003398,13,17,134
2023-05-01,8001415,8005317,7,9,160
2023-05-01,8001482,8001482,1,1,60
2023-05-01,8001482,8001483,0,1,0
2023-05-01,8001483,8001483,0,1,0
2023-05-01,8001483,8003336,0,1,0
2023-05-01,8001485,8001482,1,1,120
2023-05-01,8001485,8001485,2,2,315
2023-05-01,8001485,8003336,1,1,510
2023-05-01,8001491,8000463,10,17,56
2023-05-01,8001491,8001491,23,36,54
2023-05-01,8001491,8006167,11,19,47
2023-05-01,8001643,8001643,27,39,118
2023-05-01,8001643,8002069,15,19,144
2023-05-01,8001643,8005317,16,20,102
2023-05-01,8001671,8000864,2,6,10
2023-05-01,8001671,8001671,28,51,71
2023-05-01,8001671,8001715,14,20,102
2023-05-01,8001671,8002546,2,6,50
2023-05-01,8001671,8003098,8,19,62
2023-05-01,8001715,8001671,11,19,74
2023-05-01,8001715,8001715,26,39,93
2023-05-01,8001715,8002546,13,20,104
2023-05-01,8001771,8000718,0,1,0
2023-05-01,8001771,8001415,9,16,174
2023-05-01,8001771,8001771,48,72,138
2023-05-01,8001771,8003398,13,19,213
2023-05-01,8001771,8005090,7,19,69
2023-05-01,8001771,8005836,11,17,125
2023-05-01,8001865,8000903,1,1,180
2023-05-01,8001865,8001865,1,3,70
2023-05-01,8001865,8004552,1,1,120
2023-05-01,8001865,8005871,0,1,0
2023-05-01,8001865,8005892,0,1,0
2023-05-01,8001971,8000544,3,13,115
2023-05-01,8001971,8001971,8,28,68
2023-05-01,8001971,8005876,6,15,16
2023-05-01,8002067,8001415,1,1,120
2023-05-01,8002067,8002067,4,5,78
2023-05-01,8002067,8002069,1,1,60
2023-05-01,8002067,8002071,0,2,0
2023-05-01,8002067,8005317,1,1,120
2023-05-01,8002068,8002068,51,119,120
2023-05-01,8002068,8002070,36,62,95
2023-05-01,8002068,8003293,23,57,164
2023-05-01,8002069,8001643,16,20,90
2023-05-01,8002069,8002069,31,39,112
2023-05-01,8002069,8002465,0,1,0
2023-05-01,8002071,8002067,1,1,30
2023-05-01,8002071,8002071,0,3,0
2023-05-01,8002071,8002465,1,2,15
2023-05-01,8002096,8000182,1,1,150
2023-05-01,8002096,8000933,7,9,103
2023-05-01,8002096,8002096,17,18,143
2023-05-01,8002096,8004111,7,8,161
2023-05-01,8002123,8002123,36,40,128
2023-05-01,8002123,8003494,18,19,112
2023-05-01,8002214,8000077,13,13,309
2023-05-01,8002214,8000182,9,12,98
2023-05-01,8002214,8002214,22,25,206
2023-05-01,8002235,8000596,9,9,70
2023-05-01,8002235,8000942,5,5,102
2023-05-01,8002235,8002235,21,23,93
2023-05-01,8002235,8002621,7,7,120
2023-05-01,8002235,8004639,1,1,90
2023-05-01,8002337,8002337,1,1,90
2023-05-01,8002365,8000026,12,17,85
2023-05-01,8002365,8002365,31,36,72
2023-05-01,8002365,8006629,17,19,49
2023-05-01,8002465,8001415,15,18,125
2023-05-01,8002465,8002069,2,2,135
2023-05-01,8002465,8002071,0,1,0
2023-05-01,8002465,8002465,32,37,161
2023-05-01,8002546,8001671,5,6,40
2023-05-01,8002546,8001715,13,19,82
2023-05-01,8002546,8002546,29,51,78
2023-05-01,8002546,8006272,12,26,88
