date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-11-01,8010009,8010009,2,2,270
2023-11-01,8010009,8010119,10,18,68
2023-11-01,8010009,8011599,3,8,210
2023-11-01,8010009,8011632,1,1,30
2023-11-01,8010009,8012862,8,22,19
2023-11-01,8010019,8010019,81,128,137
2023-11-01,8010019,8010145,17,36,164
2023-11-01,8010019,8010232,10,17,41
2023-11-01,8010019,8012199,30,39,128
2023-11-01,8010019,8013474,14,21,160
2023-11-01,8010032,8010032,28,44,145
2023-11-01,8010032,8010256,2,7,0
2023-11-01,8010032,8010312,1,6,235
2023-11-01,8010032,8011657,15,15,264
2023-11-01,8010032,8012796,12,16,75
2023-11-01,8010054,8010054,21,40,136
2023-11-01,8010054,8010312,4,11,11
2023-11-01,8010054,8012766,4,8,292
2023-11-01,8010054,8013336,11,21,157
2023-11-01,8010078,8010078,25,36,57
2023-11-01,8010078,8010349,14,18,78
2023-11-01,8010078,8012259,11,18,37
2023-11-01,8010119,8010009,10,15,316
2023-11-01,8010119,8010119,22,33,184
2023-11-01,8010119,8011599,1,1,480
2023-11-01,8010119,8012410,10,17,79
2023-11-01,8010146,8010146,49,76,163
2023-11-01,8010146,8011071,12,17,134
2023-11-01,8010146,8012199,27,40,209
2023-11-01,8010146,8012212,9,22,48
2023-11-01,8010155,8010155,53,84,77
2023-11-01,8010155,8011376,36,42,78
2023-11-01,8010155,8080570,20,39,77
2023-11-01,8010162,8010162,35,43,100
2023-11-01,8010162,8012867,21,21,130
2023-11-01,8010232,8010019,6,16,13
2023-11-01,8010232,8010232,41,82,63
2023-11-01,8010232,8012211,19,21,150
2023-11-01,8010232,8012339,5,18,12
2023-11-01,8010232,8012429,1,1,90
2023-11-01,8010232,8012867,12,22,70
2023-11-01,8010299,8010299,30,74,77
2023-11-01,8010299,8011038,14,20,124
2023-11-01,8010299,8011496,8,20,48
2023-11-01,8010299,8012279,5,17,11
2023-11-01,8010312,8010032,0,7,-9
2023-11-01,8010312,8010054,11,12,152
2023-11-01,8010312,8010312,13,34,155
2023-11-01,8010312,8012440,1,5,12
2023-11-01,8010312,8012532,0,12,0
2023-11-01,8010312,8012766,5,9,193
2023-11-01,8010312,8013217,7,15,184
2023-11-01,8010312,8013336,3,6,270
2023-11-01,8010332,8010152,9,9,433
2023-11-01,8010332,8010318,8,9,187
2023-11-01,8010332,8010332,37,43,209
2023-11-01,8010332,8011549,6,11,38
2023-11-01,8010332,8012467,11,14,169
2023-11-01,8010349,8010078,12,18,45
2023-11-01,8010349,8010349,26,36,76
2023-11-01,8010349,8012675,14,18,132
2023-11-01,8010390,8010390,45,53,318
2023-11-01,8010390,8012682,26,26,537
2023-11-01,8010390,8013115,2,18,20
2023-11-01,8010390,8013297,28,28,215
2023-11-01,8011038,8010299,8,20,46
2023-11-01,8011038,8011038,20,40,90
2023-11-01,8011038,8013230,12,20,128
2023-11-01,8011043,8011043,14,40,67
2023-11-01,8011043,8013425,20,20,69
2023-11-01,8011043,8080590,11,20,124
2023-11-01,8011071,8010019,1,1,150
2023-11-01,8011071,8010146,16,16,328
2023-11-01,8011071,8011071,33,34,201
2023-11-01,8011071,8012080,16,17,184
2023-11-01,8011103,8011103,19,34,39
2023-11-01,8011103,8011573,15,17,102
2023-11-01,8011103,8012167,4,17,19
2023-11-01,8011138,8011138,18,30,149
2023-11-01,8011138,8012796,5,14,182
2023-11-01,8011138,8013217,11,16,107
2023-11-01,8011496,8010299,9,20,99
2023-11-01,8011496,8011496,20,40,87
2023-11-01,8011496,8012279,11,20,58
2023-11-01,8011573,8011103,2,17,5
2023-11-01,8011573,8011573,16,34,49
2023-11-01,8011573,8012034,15,17,62
2023-11-01,8011599,8010009,3,7,103
2023-11-01,8011599,8010157,10,15,198
2023-11-01,8011599,8011599,30,50,174
2023-11-01,8011599,8011838,7,11,98
2023-11-01,8011599,8012410,13,17,275
2023-11-01,8011632,8010152,15,23,42
2023-11-01,8011632,8011632,28,47,156
2023-11-01,8011632,8012862,18,24,281
2023-11-01,8011905,8011905,64,73,81
