date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-10-01,8001739,8001739,107,195,178
2023-10-01,8001739,8002555,37,116,32
2023-10-01,8001739,8003460,67,97,310
2023-10-01,8002550,8002550,118,234,54
2023-10-01,8002550,8070146,91,116,140
2023-10-01,8002550,8098553,12,118,-54
2023-10-01,8002555,8001739,86,115,304
2023-10-01,8002555,8002555,120,231,179
2023-10-01,8002555,8002559,33,116,23
2023-10-01,8002557,8002556,25,41,236
2023-10-01,8002557,8006750,28,69,121
2023-10-01,8002558,8000446,19,42,92
2023-10-01,8002558,8002558,41,82,73
2023-10-01,8002558,8006197,22,40,47
2023-10-01,8002559,8002555,83,115,332
2023-10-01,8002559,8002559,168,231,192
2023-10-01,8002559,8003541,88,116,50
2023-10-01,8002628,8002628,253,522,59
2023-10-01,8002628,8003519,103,220,63
2023-10-01,8002628,8006197,12,42,60
2023-10-01,8002628,8006198,130,220,97
2023-10-01,8005191,8000908,19,116,20
2023-10-01,8005191,8005191,39,233,26
2023-10-01,8005191,8005870,16,117,-1
2023-10-01,8006197,8002558,14,42,86
2023-10-01,8006197,8002628,11,40,32
2023-10-01,8006197,8006197,26,82,61
2023-10-01,8070146,8002550,14,118,-71
2023-10-01,8098553,8000780,100,220,74
2023-10-01,8098553,8002550,100,116,152
2023-10-01,8098553,8003541,91,115,345
2023-10-01,8098553,8006706,279,453,72
2023-10-01,8098553,8098553,383,671,121
2023-10-02,8001739,8001739,136,229,274
2023-10-02,8001739,8002555,37,118,62
2023-10-02,8001739,8003460,88,115,487
2023-10-02,8002550,8002550,115,235,52
2023-10-02,8002550,8070146,95,118,130
2023-10-02,8002550,8098553,2,117,-66
2023-10-02,8002555,8001739,98,119,509
2023-10-02,8002555,8002555,140,237,299
2023-10-02,8002555,8002559,42,118,62
2023-10-02,8002557,8002556,59,60,600
2023-10-02,8002557,8006750,46,66,353
2023-10-02,8002558,8000446,34,55,88
2023-10-02,8002558,8002558,68,111,87
2023-10-02,8002558,8006197,34,56,91
2023-10-02,8002559,8002555,97,119,531
2023-10-02,8002559,8002559,192,237,312
2023-10-02,8002559,8003541,97,118,91
2023-10-02,8002628,8002628,263,573,35
2023-10-02,8002628,8003519,97,230,33
2023-10-02,8002628,8006197,21,54,47
2023-10-02,8002628,8006198,126,229,58
2023-10-02,8005191,8000908,24,119,14
2023-10-02,8005191,8005191,50,237,8
2023-10-02,8005191,8005870,23,118,-23
2023-10-02,8006197,8002558,25,54,77
2023-10-02,8006197,8002628,27,56,74
2023-10-02,8006197,8006197,56,110,80
2023-10-02,8070146,8002550,11,117,-47
2023-10-02,8098553,8000780,88,232,22
2023-10-02,8098553,8002550,108,118,141
2023-10-02,8098553,8003541,104,119,549
2023-10-02,8098553,8006706,256,466,44
2023-10-02,8098553,8098553,386,694,140
2023-10-03,8001739,8001739,93,196,149
2023-10-03,8001739,8002555,25,116,35
