date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-04-01,8000022,8000022,55,79,153
2023-04-01,8000022,8000797,25,39,92
2023-04-01,8000022,8002634,30,40,194
2023-04-01,8000093,8000093,28,36,78
2023-04-01,8000093,8000282,10,18,38
2023-04-01,8000093,8004709,7,18,45
2023-04-01,8000148,8000148,37,73,60
2023-04-01,8000148,8000725,12,39,47
2023-04-01,8000148,8001342,10,18,63
2023-04-01,8000148,8001777,13,21,119
2023-04-01,8000148,8002812,5,17,23
2023-04-01,8000169,8000169,17,18,325
2023-04-01,8000169,8001775,18,38,122
2023-04-01,8000169,8002607,10,20,68
2023-04-01,8000169,8002830,5,17,49
2023-04-01,8000169,8005292,1,3,140
2023-04-01,8000226,8000226,69,87,127
2023-04-01,8000226,8000443,27,43,100
2023-04-01,8000226,8000489,17,24,78
2023-04-01,8000226,8005511,16,20,207
2023-04-01,8000268,8000268,88,131,159
2023-04-01,8000268,8001393,18,40,122
2023-04-01,8000268,8002634,17,22,266
2023-04-01,8000268,8004322,15,20,108
2023-04-01,8000268,8004851,22,24,335
2023-04-01,8000282,8000093,18,18,180
2023-04-01,8000282,8000282,29,36,90
2023-04-01,8000282,8001775,14,18,72
2023-04-01,8000335,8000335,12,16,139
2023-04-01,8000335,8004777,5,8,38
2023-04-01,8000342,8000342,113,157,152
2023-04-01,8000342,8002586,30,39,113
2023-04-01,8000342,8002969,27,39,157
2023-04-01,8000342,8003635,19,40,100
2023-04-01,8000342,8005160,31,39,217
2023-04-01,8000354,8000354,31,40,266
2023-04-01,8000354,8001123,1,1,120
2023-04-01,8000354,8005809,19,19,306
2023-04-01,8000354,8005929,12,20,222
2023-04-01,8000443,8000226,37,44,124
2023-04-01,8000443,8000443,68,87,102
2023-04-01,8000443,8000578,33,43,117
2023-04-01,8000488,8000488,23,40,134
2023-04-01,8000488,8002607,15,20,202
2023-04-01,8000488,8005511,6,20,60
2023-04-01,8000489,8000226,17,23,163
2023-04-01,8000489,8000489,54,79,95
2023-04-01,8000489,8001279,34,40,116
2023-04-01,8000489,8070086,10,16,66
2023-04-01,8000578,8000443,33,44,82
2023-04-01,8000578,8000578,60,87,88
2023-04-01,8000578,8070086,25,43,99
2023-04-01,8000740,8000740,15,34,64
2023-04-01,8000740,8000759,6,17,60
2023-04-01,8000740,8001048,9,17,55
2023-04-01,8000759,8000740,6,17,39
2023-04-01,8000759,8000759,12,34,42
2023-04-01,8000759,8006358,6,17,48
2023-04-01,8000797,8000022,38,40,232
2023-04-01,8000797,8000797,66,79,181
2023-04-01,8000797,8006482,24,39,144
2023-04-01,8000807,8000807,32,40,218
2023-04-01,8000807,8003632,14,20,273
2023-04-01,8000807,8005929,19,20,222
2023-04-01,8000808,8000808,41,44,342
2023-04-01,8000808,8001775,22,24,412
2023-04-01,8000808,8005292,19,20,255
2023-04-01,8000810,8000810,2,3,40
2023-04-01,8000810,8003292,1,1,30
2023-04-01,8000810,8005809,2,2,75
2023-04-01,8000812,8000812,64,79,186
2023-04-01,8000812,8003267,26,39,169
2023-04-01,8000812,8006482,35,40,220
2023-04-01,8000871,8003957,19,38,104
2023-04-01,8001000,8001000,70,73,252
2023-04-01,8001000,8003165,30,35,186
2023-04-01,8001000,8003957,36,38,355
2023-04-01,8001048,8000740,8,17,83
2023-04-01,8001123,8000354,2,2,90
2023-04-01,8001123,8001123,3,3,80
2023-04-01,8001123,8005809,1,1,30
2023-04-01,8001245,8001245,30,44,117
2023-04-01,8001245,8003286,8,22,44
2023-04-01,8001279,8000489,19,39,55
2023-04-01,8001279,8001279,54,79,89
2023-04-01,8001279,8004735,26,40,105
2023-04-01,8001342,8000148,11,18,48
2023-04-01,8001342,8001342,22,36,78
2023-04-01,8001342,8006104,13,18,72
2023-04-01,8001393,8000268,37,44,290
2023-04-01,8001393,8001393,55,84,205
2023-04-01,8001393,8005507,20,40,128
2023-04-01,8001561,8001157,0,1,0
2023-04-01,8001561,8001561,2,3,30
2023-04-01,8001561,8003292,1,2,30
2023-04-01,8001675,8001675,67,79,179
2023-04-01,8001675,8003267,30,40,168
