date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-09-01,8000042,8000042,31,45,41
2023-09-01,8000042,8001056,1,15,-10
2023-09-01,8000042,8001707,15,22,53
2023-09-01,8000042,8006661,9,23,17
2023-09-01,8000053,8000053,79,142,87
2023-09-01,8000053,8001138,5,6,275
2023-09-01,8000053,8001152,29,59,97
2023-09-01,8000053,8006539,0,1,0
2023-09-01,8000053,8070012,7,14,54
2023-09-01,8000053,8070179,12,20,88
2023-09-01,8000053,8079059,17,38,44
2023-09-01,8000063,8000063,18,57,20
2023-09-01,8000063,8000757,8,28,21
2023-09-01,8000063,8002852,9,29,21
2023-09-01,8000110,8002087,19,39,65
2023-09-01,8000131,8000131,89,133,116
2023-09-01,8000131,8001009,2,3,310
2023-09-01,8000131,8002116,15,31,104
2023-09-01,8000131,8002345,21,25,101
2023-09-01,8000131,8003181,22,31,103
2023-09-01,8000131,8004813,6,8,79
2023-09-01,8000131,8006137,2,2,75
2023-09-01,8000131,8006417,21,39,121
2023-09-01,8000264,8000017,5,10,24
2023-09-01,8000264,8000264,43,109,79
2023-09-01,8000264,8000369,1,1,90
2023-09-01,8000264,8000973,17,36,38
2023-09-01,8000264,8004095,35,74,108
2023-09-01,8000264,8004222,9,22,19
2023-09-01,8000265,8000265,131,160,233
2023-09-01,8000265,8000794,46,58,115
2023-09-01,8000265,8002684,80,95,176
2023-09-01,8000265,8002685,3,4,60
2023-09-01,8000265,8003841,1,1,2370
2023-09-01,8000265,8003932,20,21,516
2023-09-01,8000295,8000221,12,16,296
2023-09-01,8000295,8000295,26,36,209
2023-09-01,8000295,8000423,7,22,38
2023-09-01,8000295,8000424,2,5,18
2023-09-01,8000295,8001933,1,1,60
2023-09-01,8000295,8004050,16,17,265
2023-09-01,8000295,8005151,1,1,60
2023-09-01,8000295,8005168,12,18,83
2023-09-01,8000306,8000306,151,180,201
2023-09-01,8000306,8000771,16,24,198
2023-09-01,8000306,8001252,25,26,87
2023-09-01,8000306,8002167,6,6,225
2023-09-01,8000306,8004178,29,33,210
2023-09-01,8000306,8004636,34,38,196
2023-09-01,8000306,8004944,28,33,223
2023-09-01,8000369,8003690,4,39,5
2023-09-01,8000389,8000389,1,1,150
2023-09-01,8000389,8004202,7,20,10
2023-09-01,8000423,8000295,5,23,78
2023-09-01,8000423,8000423,14,45,104
2023-09-01,8000423,8006661,7,22,38
2023-09-01,8000424,8000295,4,5,30
2023-09-01,8000424,8000424,6,10,51
2023-09-01,8000424,8005536,4,5,72
2023-09-01,8000631,8000631,136,158,241
2023-09-01,8000631,8002687,19,22,221
2023-09-01,8000631,8003489,73,78,263
2023-09-01,8000631,8003759,1,1,270
2023-09-01,8000631,8003841,1,2,60
2023-09-01,8000631,8003847,14,22,187
2023-09-01,8000631,8005494,14,15,120
2023-09-01,8000643,8000643,58,66,250
2023-09-01,8000643,8003532,31,33,365
2023-09-01,8000643,8006291,24,33,123
2023-09-01,8000649,8000649,33,45,50
2023-09-01,8000649,8001366,16,22,74
2023-09-01,8000649,8004577,16,23,50
2023-09-01,8000721,8000721,22,57,23
2023-09-01,8000721,8002852,5,28,17
2023-09-01,8000721,8004077,6,29,13
2023-09-01,8000757,8000063,10,29,20
2023-09-01,8000757,8000757,26,57,25
2023-09-01,8000757,8006432,10,28,18
2023-09-01,8000771,8000306,14,22,121
2023-09-01,8000771,8000771,32,46,164
2023-09-01,8000771,8005588,13,16,214
2023-09-01,8000775,8000775,22,34,143
2023-09-01,8000775,8001252,10,17,173
2023-09-01,8000775,8005587,5,17,79
2023-09-01,8000782,8000782,56,58,256
2023-09-01,8000782,8000789,22,22,145
2023-09-01,8000782,8002091,6,6,245
2023-09-01,8000782,8002126,20,24,315
2023-09-01,8000782,8005409,6,6,220
2023-09-01,8000789,8000782,23,24,392
2023-09-01,8000789,8000789,45,46,219
2023-09-01,8000789,8003343,5,22,33
2023-09-01,8000794,8000265,48,59,156
2023-09-01,8000794,8000794,99,117,142
2023-09-01,8000794,8005015,52,58,137
2023-09-01,8000823,8000823,30,81,32
2023-09-01,8000823,8002306,18,41,35
2023-09-01,8000823,8079078,11,40,28
2023-09-01,8000968,8000968,67,94,85
2023-09-01,8000968,8003376,25,47,131
2023-09-01,8000968,8079090,44,47,114
2023-09-01,8000973,8000264,18,39,25
2023-09-01,8000973,8000973,28,75,28
2023-09-01,8000973,8004216,11,36,32
2023-09-01,8000998,8000998,63,66,245
2023-09-01,8000998,8003480,32,33,246
2023-09-01,8000998,8005186,32,33,350
2023-09-01,8001009,8001009,44,66,147
2023-09-01,8001009,8002116,21,32,149
2023-09-01,8001009,8003185,21,34,159
2023-09-01,8001056,8000042,1,15,2
2023-09-01,8001056,8001056,2,30,-4
2023-09-01,8001056,8001226,1,15,2
2023-09-01,8001131,8001131,9,11,177
2023-09-01,8001131,8001138,4,5,48
2023-09-01,8001131,8003332,4,6,290
2023-09-01,8001138,8000053,4,5,282
2023-09-01,8001138,8001131,5,6,290
2023-09-01,8001138,8001138,9,11,235
2023-09-01,8001144,8001144,26,87,27
2023-09-01,8001144,8001152,2,3,60
2023-09-01,8001144,8002307,1,1,120
2023-09-01,8001144,8070093,1,41,7
2023-09-01,8001144,8079060,12,42,36
2023-09-01,8001152,8000053,33,60,58
2023-09-01,8001152,8001144,1,1,210
2023-09-01,8001152,8001152,59,119,67
2023-09-01,8001152,8002307,16,17,231
2023-09-01,8001152,8079060,1,41,7
2023-09-01,8001197,8001197,137,183,156
2023-09-01,8001197,8005931,12,15,180
2023-09-01,8001197,8005990,76,90,185
2023-09-01,8001197,8085001,44,70,80
2023-09-01,8001197,8085002,1,1,60
2023-09-01,8001198,8001198,56,67,170
2023-09-01,8001198,8001926,26,32,212
2023-09-01,8001198,8003832,28,35,118
2023-09-01,8001214,8001212,21,31,117
2023-09-01,8001214,8001214,40,62,93
2023-09-01,8001214,8003181,23,31,73
2023-09-01,8001226,8001056,1,15,0
2023-09-01,8001226,8001226,2,30,4
2023-09-01,8001226,8001227,1,15,4
2023-09-01,8001227,8001226,2,15,4
2023-09-01,8001227,8001227,2,30,4
2023-09-01,8001227,8002529,1,16,8
2023-09-01,8001252,8000306,26,27,282
2023-09-01,8001252,8000412,28,42,131
2023-09-01,8001252,8000775,10,17,101
2023-09-01,8001252,8001252,63,85,164
2023-09-01,8001366,8000649,11,23,33
2023-09-01,8001366,8001366,30,45,50
2023-09-01,8001366,8004215,9,22,49
2023-09-01,8001707,8000042,20,23,52
2023-09-01,8001707,8001707,35,45,49
2023-09-01,8001707,8004577,17,22,68
2023-09-01,8001861,8001861,67,94,113
2023-09-01,8001861,8003094,18,47,47
2023-09-01,8001861,8079090,40,47,184
2023-09-01,8001926,8001198,23,35,102
2023-09-01,8001926,8001926,50,67,150
2023-09-01,8002005,8079078,26,58,35
2023-09-01,8002022,8002022,54,56,272
2023-09-01,8002022,8002197,23,33,102
2023-09-01,8002022,8004961,22,24,351
2023-09-01,8002022,8005409,4,6,170
2023-09-01,8002022,8006291,6,7,184
2023-09-01,8002087,8000110,37,40,184
2023-09-01,8002087,8002087,56,79,125
2023-09-01,8002087,8002090,9,39,55
2023-09-01,8002090,8002087,25,40,182
2023-09-01,8002090,8002090,60,79,128
2023-09-01,8002090,8002091,28,39,88
2023-09-01,8002091,8000782,6,6,140
2023-09-01,8002091,8002090,37,40,181
2023-09-01,8002091,8002091,51,58,176
2023-09-01,8002091,8002126,21,22,74
2023-09-01,8002116,8000131,21,32,149
2023-09-01,8002116,8001009,14,31,111
2023-09-01,8002116,8002116,36,63,133
2023-09-01,8002126,8000782,21,22,166
2023-09-01,8002126,8002091,20,24,331
2023-09-01,8002126,8002126,39,46,224
2023-09-01,8002167,8000306,6,6,290
2023-09-01,8002167,8002167,77,79,264
2023-09-01,8002167,8002248,6,6,290
2023-09-01,8002167,8003480,1,1,150
2023-09-01,8002167,8005187,32,33,263
2023-09-01,8002167,8006733,31,33,293
2023-09-01,8002197,8002022,31,33,326
2023-09-01,8002197,8002197,62,66,214
2023-09-01,8002197,8003532,29,33,98
2023-09-01,8002248,8002167,6,6,300
2023-09-01,8002248,8002248,75,79,254
2023-09-01,8002248,8002250,30,33,297
2023-09-01,8002248,8002910,27,33,175
2023-09-01,8002248,8006291,6,6,210
2023-09-01,8002248,8006733,1,1,150
2023-09-01,8002250,8002248,30,33,201
2023-09-01,8002250,8002250,59,66,221
2023-09-01,8002250,8004594,17,33,205
2023-09-01,8002306,8000823,13,40,35
2023-09-01,8002306,8002306,25,81,22
2023-09-01,8002306,8002307,15,41,25
2023-09-01,8002307,8001144,3,3,60
2023-09-01,8002307,8001152,9,15,52
2023-09-01,8002307,8002306,1,40,8
2023-09-01,8002307,8002307,53,116,62
2023-09-01,8002307,8070093,15,42,51
2023-09-01,8002307,8079078,18,18,258
2023-09-01,8002326,8002326,26,32,114
2023-09-01,8002326,8070011,10,14,122
