date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-11-01,8000020,8000020,60,74,203
2023-11-01,8000020,8000250,7,7,77
2023-11-01,8000020,8002103,16,22,113
2023-11-01,8000020,8003016,4,5,72
2023-11-01,8000020,8004297,18,20,446
2023-11-01,8000020,8005182,10,15,182
2023-11-01,8000090,8000090,97,119,124
2023-11-01,8000090,8000753,15,20,128
2023-11-01,8000090,8002102,30,42,93
2023-11-01,8000090,8006524,32,40,158
2023-11-01,8000090,8011054,8,10,195
2023-11-01,8000090,8011849,6,8,26
2023-11-01,8000104,8000104,22,26,432
2023-11-01,8000104,8000985,15,17,570
2023-11-01,8000104,8002033,11,14,266
2023-11-01,8000140,8000140,77,93,314
2023-11-01,8000140,8000193,2,2,240
2023-11-01,8000140,8002374,9,9,130
2023-11-01,8000140,8002484,29,35,293
2023-11-01,8000140,8005039,37,46,340
2023-11-01,8000193,8000140,1,1,30
2023-11-01,8000193,8000193,1,1,510
2023-11-01,8000193,8001098,8,8,71
2023-11-01,8000193,8002374,2,2,90
2023-11-01,8000193,8002484,1,1,180
2023-11-01,8000193,8003199,34,41,235
2023-11-01,8000193,8003961,2,2,105
2023-11-01,8000193,8004415,20,25,80
2023-11-01,8000193,8005039,0,1,0
2023-11-01,8000210,8000210,25,26,465
2023-11-01,8000210,8003406,12,14,296
2023-11-01,8000210,8005928,10,17,176
2023-11-01,8000210,8006043,14,16,557
2023-11-01,8000243,8000243,43,47,311
2023-11-01,8000243,8000859,23,24,296
2023-11-01,8000243,8003961,20,23,338
2023-11-01,8000520,8000520,16,18,215
2023-11-01,8000520,8002236,7,9,93
2023-11-01,8000520,8006546,9,9,343
2023-11-01,8000530,8000530,1,1,150
2023-11-01,8000530,8004526,1,1,150
2023-11-01,8000553,8000553,42,47,341
2023-11-01,8000553,8000859,23,23,359
2023-11-01,8000553,8002716,21,24,340
2023-11-01,8000609,8003970,6,17,99
2023-11-01,8000753,8000090,19,20,78
2023-11-01,8000753,8000753,35,40,99
2023-11-01,8000753,8001895,17,20,148
2023-11-01,8000859,8000243,22,23,363
2023-11-01,8000859,8000553,20,24,325
2023-11-01,8000859,8000859,43,47,335
2023-11-01,8000985,8000104,15,17,404
2023-11-01,8000985,8000985,31,34,502
