date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-03-01,8000021,8000021,71,122,129
2023-03-01,8000021,8000121,10,28,21
2023-03-01,8000021,8000726,53,70,227
2023-03-01,8000021,8001177,2,24,1
2023-03-01,8000021,8003075,7,13,37
2023-03-01,8000021,8004601,6,6,325
2023-03-01,8000034,8000034,31,36,188
2023-03-01,8000034,8000427,17,18,258
2023-03-01,8000034,8005338,2,2,105
2023-03-01,8000034,8006501,12,16,161
2023-03-01,8000229,8000218,0,7,-4
2023-03-01,8000229,8000229,7,15,58
2023-03-01,8000229,8001457,14,30,37
2023-03-01,8000229,8001883,8,32,19
2023-03-01,8000248,8000248,14,33,72
2023-03-01,8000248,8003415,9,33,45
2023-03-01,8000248,8003924,9,17,97
2023-03-01,8000276,8000276,38,76,69
2023-03-01,8000276,8003341,12,20,136
2023-03-01,8000276,8003665,18,20,114
2023-03-01,8000276,8005062,18,18,242
2023-03-01,8000276,8006036,8,18,55
2023-03-01,8000278,8000278,48,67,119
2023-03-01,8000278,8000701,7,8,71
2023-03-01,8000278,8002114,15,26,149
2023-03-01,8000278,8003341,16,17,90
2023-03-01,8000427,8000034,11,18,108
2023-03-01,8000427,8000427,28,36,172
2023-03-01,8000427,8001112,17,18,252
2023-03-01,8000448,8000448,47,74,87
2023-03-01,8000448,8000449,24,37,115
2023-03-01,8000448,8000729,28,37,66
2023-03-01,8000449,8000448,28,37,46
2023-03-01,8000449,8000449,55,74,81
2023-03-01,8000449,8006191,26,37,109
2023-03-01,8000517,8000517,20,41,70
2023-03-01,8000517,8000726,11,21,61
2023-03-01,8000517,8002879,10,20,68
2023-03-01,8000585,8000585,34,47,71
2023-03-01,8000585,8001177,21,23,112
2023-03-01,8000585,8003568,13,25,31
2023-03-01,8000667,8000667,21,28,222
2023-03-01,8000667,8003330,4,4,360
2023-03-01,8000667,8003680,11,15,148
2023-03-01,8000694,8000694,37,39,372
2023-03-01,8000694,8005580,37,39,382
2023-03-01,8000701,8000278,8,8,146
2023-03-01,8000701,8000701,45,63,98
2023-03-01,8000701,8000702,15,25,46
2023-03-01,8000701,8001389,17,24,144
2023-03-01,8000701,8004206,7,8,45
2023-03-01,8000702,8000701,16,26,135
2023-03-01,8000702,8000702,27,51,91
2023-03-01,8000702,8004435,10,25,38
2023-03-01,8000726,8000021,33,67,32
2023-03-01,8000726,8000505,1,2,45
2023-03-01,8000726,8000517,10,20,64
2023-03-01,8000726,8000726,85,137,137
2023-03-01,8000726,8004463,19,23,271
2023-03-01,8000726,8005111,5,6,160
2023-03-01,8000726,8005678,18,19,325
2023-03-01,8000729,8000448,19,37,108
2023-03-01,8000729,8000729,48,74,93
2023-03-01,8000729,8002711,25,37,78
2023-03-01,8000742,8000742,35,45,281
2023-03-01,8000742,8002861,14,21,306
2023-03-01,8000742,8005622,20,24,291
2023-03-01,8000786,8000786,12,45,24
2023-03-01,8000786,8001950,9,23,43
2023-03-01,8000786,8003593,3,22,-8
2023-03-01,8001049,8001049,61,74,132
2023-03-01,8001049,8002711,32,37,155
2023-03-01,8001049,8004604,14,16,99
2023-03-01,8001112,8000427,11,18,60
2023-03-01,8001112,8001112,28,36,148
2023-03-01,8001112,8004406,1,3,110
2023-03-01,8001177,8000021,20,23,91
2023-03-01,8001177,8000585,7,24,14
2023-03-01,8001177,8001177,24,47,56
2023-03-01,8001186,8000694,19,21,474
2023-03-01,8001186,8001186,37,42,363
2023-03-01,8001186,8004200,19,21,280
2023-03-01,8001267,8000379,23,33,102
2023-03-01,8001267,8000870,11,19,106
2023-03-01,8001267,8001267,82,106,157
2023-03-01,8001267,8001340,31,35,237
2023-03-01,8001267,8004223,12,19,103
2023-03-01,8001340,8001267,32,33,130
2023-03-01,8001340,8001340,76,104,147
2023-03-01,8001340,8001666,9,20,112
2023-03-01,8001340,8003179,31,34,211
2023-03-01,8001340,8003344,16,22,90
2023-03-01,8001389,8000701,11,23,40
2023-03-01,8001389,8001389,28,47,86
2023-03-01,8001389,8004206,16,24,128
2023-03-01,8001457,8000229,11,31,42
2023-03-01,8001457,8001457,19,61,27
2023-03-01,8001457,8001950,3,22,4
2023-03-01,8001457,8004206,6,8,101
2023-03-01,8001666,8001340,12,19,103
2023-03-01,8001666,8001666,28,39,120
2023-03-01,8001666,8004223,13,20,120
2023-03-01,8001928,8000012,2,2,180
2023-03-01,8001928,8001928,3,5,180
2023-03-01,8001928,8006501,2,3,190
2023-03-01,8001950,8000786,3,22,4
2023-03-01,8001950,8001457,8,23,29
2023-03-01,8001950,8001950,11,45,23
2023-03-01,8001991,8001991,32,52,121
2023-03-01,8001991,8003040,20,27,187
2023-03-01,8001991,8003298,18,25,49
2023-03-01,8002114,8000278,15,25,78
2023-03-01,8002114,8002114,31,51,103
2023-03-01,8002114,8004435,15,26,143
2023-03-01,8002454,8002454,28,46,87
2023-03-01,8002454,8003354,11,23,64
2023-03-01,8002454,8006481,17,23,133
2023-03-01,8002643,8002643,41,44,127
2023-03-01,8002643,8003723,19,22,106
2023-03-01,8002643,8004096,17,22,116
2023-03-01,8002707,8002707,3,6,30
2023-03-01,8002707,8002995,3,3,30
2023-03-01,8002707,8004444,1,2,15
2023-03-01,8002707,8007887,0,1,0
2023-03-01,8002711,8000729,25,37,131
2023-03-01,8002711,8001049,32,37,127
2023-03-01,8002711,8002711,58,74,122
2023-03-01,8002861,8000742,17,24,245
