date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-03-01,8000012,8000012,31,36,181
2023-03-01,8000012,8001928,2,3,200
2023-03-01,8000012,8005164,17,37,92
2023-03-01,8000012,8005356,14,17,155
2023-03-01,8000012,8006501,14,15,204
2023-03-01,8000030,8002290,16,36,116
2023-03-01,8000084,8000178,30,37,72
2023-03-01,8000084,8003553,5,19,13
2023-03-01,8000084,8003990,35,49,372
2023-03-01,8000100,8000100,61,76,89
2023-03-01,8000100,8002402,19,25,55
2023-03-01,8000100,8003361,1,1,60
2023-03-01,8000100,8003462,11,44,13
2023-03-01,8000100,8003671,1,1,30
2023-03-01,8000100,8003927,18,19,144
2023-03-01,8000100,8005298,16,19,126
2023-03-01,8000100,8006280,15,17,120
2023-03-01,8000135,8000135,228,358,242
2023-03-01,8000135,8002104,29,39,440
2023-03-01,8000135,8002753,113,139,308
2023-03-01,8000135,8003330,4,21,90
2023-03-01,8000135,8004869,33,38,218
2023-03-01,8000135,8005629,68,122,138
2023-03-01,8000178,8000084,34,38,405
2023-03-01,8000178,8000178,185,240,375
2023-03-01,8000178,8000209,20,20,111
2023-03-01,8000178,8002389,60,101,262
2023-03-01,8000178,8004869,12,17,35
2023-03-01,8000178,8004907,23,35,177
2023-03-01,8000178,8005575,53,62,686
2023-03-01,8000209,8000178,17,20,422
2023-03-01,8000209,8000209,178,303,167
2023-03-01,8000209,8003310,0,21,0
2023-03-01,8000209,8003330,1,1,30
2023-03-01,8000209,8003363,26,30,215
2023-03-01,8000209,8003364,28,80,98
2023-03-01,8000209,8003367,0,1,0
2023-03-01,8000209,8003369,35,59,190
2023-03-01,8000209,8003669,28,40,258
2023-03-01,8000209,8006713,36,39,252
2023-03-01,8000348,8000348,35,78,20
2023-03-01,8000348,8000406,6,20,15
2023-03-01,8000348,8001712,15,38,-40
2023-03-01,8000348,8001886,16,20,76
2023-03-01,8000348,8099506,13,35,106
2023-03-01,8000355,8000355,50,71,162
2023-03-01,8000355,8004907,16,36,142
2023-03-01,8000355,8006659,26,35,231
2023-03-01,8000363,8000363,61,76,104
2023-03-01,8000363,8002462,37,41,173
2023-03-01,8000363,8005218,37,38,102
2023-03-01,8000404,8000404,106,158,183
2023-03-01,8000404,8002806,10,19,171
2023-03-01,8000404,8003395,42,60,100
2023-03-01,8000404,8070704,58,79,238
2023-03-01,8000406,8000348,18,20,94
2023-03-01,8000406,8000406,53,116,88
2023-03-01,8000406,8001712,21,38,171
2023-03-01,8000406,8070704,18,36,76
2023-03-01,8000495,8000495,97,114,106
2023-03-01,8000495,8001084,41,57,64
2023-03-01,8000495,8006516,49,57,79
2023-03-01,8000502,8000502,17,37,71
2023-03-01,8000502,8000507,1,36,15
2023-03-01,8000502,8000521,17,19,139
2023-03-01,8000507,8000502,31,36,180
2023-03-01,8000507,8000507,32,72,100
2023-03-01,8000507,8002816,2,36,37
2023-03-01,8000510,8000510,13,38,54
2023-03-01,8000510,8000527,1,19,6
2023-03-01,8000510,8001917,10,19,90
2023-03-01,8000521,8000502,1,19,3
2023-03-01,8000521,8000521,19,38,72
2023-03-01,8000521,8000527,19,19,158
2023-03-01,8000527,8000510,19,19,125
2023-03-01,8000527,8000521,1,19,5
2023-03-01,8000527,8000527,20,38,84
2023-03-01,8000677,8000677,60,84,276
2023-03-01,8000677,8001113,18,23,236
2023-03-01,8000677,8001839,25,42,116
2023-03-01,8000677,8003697,19,19,682
2023-03-01,8000713,8000713,29,80,221
2023-03-01,8000713,8005074,4,41,6
2023-03-01,8000713,8005970,27,39,510
2023-03-01,8000832,8003310,0,21,0
2023-03-01,8000853,8000853,88,114,277
2023-03-01,8000853,8001506,16,18,258
2023-03-01,8000853,8003616,27,39,269
2023-03-01,8000853,8003669,34,40,219
