date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-07-01,8010046,8010046,22,40,112
2023-07-01,8010046,8010059,11,20,105
2023-07-01,8010046,8012416,10,20,126
2023-07-01,8010059,8010046,11,20,130
2023-07-01,8010059,8010059,115,156,175
2023-07-01,8010059,8011491,54,78,185
2023-07-01,8010059,8011626,19,38,58
2023-07-01,8010059,8013361,20,20,387
2023-07-01,8010076,8010076,61,77,196
2023-07-01,8010076,8012141,1,1,30
2023-07-01,8010076,8012478,9,17,127
2023-07-01,8010076,8012629,20,23,250
2023-07-01,8010076,8013335,15,16,201
2023-07-01,8010076,8013428,18,38,94
2023-07-01,8010080,8010080,25,30,75
2023-07-01,8010080,8013033,9,11,60
2023-07-01,8010080,8013295,2,8,15
2023-07-01,8010080,8013424,3,11,33
2023-07-01,8010095,8010095,36,97,54
2023-07-01,8010095,8010161,12,33,91
2023-07-01,8010095,8010351,4,17,7
2023-07-01,8010095,8011959,5,31,13
2023-07-01,8010095,8011983,1,8,8
2023-07-01,8010095,8013093,9,17,88
2023-07-01,8010122,8010122,36,38,131
2023-07-01,8010122,8010238,16,19,131
2023-07-01,8010122,8011077,16,19,115
2023-07-01,8010122,8011588,17,19,92
2023-07-01,8010122,8013095,2,16,8
2023-07-01,8010144,8010144,17,17,261
2023-07-01,8010144,8011705,8,8,270
2023-07-01,8010144,8012198,9,9,377
2023-07-01,8010161,8010095,9,32,22
2023-07-01,8010161,8010161,23,59,70
2023-07-01,8010161,8011387,11,29,104
2023-07-01,8010186,8010186,36,84,31
2023-07-01,8010186,8012344,14,42,39
2023-07-01,8010186,8013070,22,42,18
2023-07-01,8010207,8010207,78,122,119
2023-07-01,8010207,8012193,51,61,161
2023-07-01,8010207,8012236,12,42,39
2023-07-01,8010207,8012817,10,19,134
2023-07-01,8010208,8010208,46,73,101
2023-07-01,8010208,8011491,11,20,116
2023-07-01,8010208,8011495,11,17,49
2023-07-01,8010208,8080930,9,20,102
2023-07-01,8010209,8010209,58,122,50
2023-07-01,8010209,8011771,14,42,49
2023-07-01,8010209,8012192,10,19,51
2023-07-01,8010209,8012193,1,1,30
2023-07-01,8010209,8012236,18,42,11
2023-07-01,8010228,8010228,99,149,40
2023-07-01,8010228,8011598,34,74,44
2023-07-01,8010228,8012308,61,75,31
2023-07-01,8010238,8010122,17,19,125
2023-07-01,8010238,8010238,32,38,122
2023-07-01,8010238,8011297,16,19,120
2023-07-01,8010269,8010269,6,38,49
2023-07-01,8010269,8012682,3,19,13
2023-07-01,8010269,8013447,3,19,77
2023-07-01,8010351,8010095,11,15,120
2023-07-01,8010351,8010351,22,52,57
2023-07-01,8010351,8011131,3,27,11
2023-07-01,8010351,8012371,19,30,75
2023-07-01,8010359,8010359,18,22,52
2023-07-01,8010359,8012946,8,11,52
2023-07-01,8010359,8013033,9,11,33
2023-07-01,8011018,8011018,61,76,117
2023-07-01,8011018,8012284,31,38,166
2023-07-01,8011018,8013362,31,38,78
2023-07-01,8011077,8010122,19,19,134
2023-07-01,8011077,8011077,61,71,104
2023-07-01,8011077,8011132,0,1,0
2023-07-01,8011077,8011914,14,17,88
2023-07-01,8011077,8012178,13,16,86
2023-07-01,8011077,8012228,1,1,30
2023-07-01,8011131,8010103,9,18,58
2023-07-01,8011131,8010351,20,25,95
2023-07-01,8011131,8011131,26,52,46
2023-07-01,8011131,8012734,6,9,40
2023-07-01,8011132,8011077,0,1,0
2023-07-01,8011132,8011132,29,35,88
2023-07-01,8011132,8012228,0,1,0
2023-07-01,8011132,8012526,11,16,90
2023-07-01,8011132,8012597,11,17,71
2023-07-01,8011242,8011242,22,39,38
2023-07-01,8011242,8012241,34,39,63
2023-07-01,8011242,8012623,9,20,22
2023-07-01,8011339,8011339,37,45,331
2023-07-01,8011339,8012117,19,22,323
2023-07-01,8011339,8013461,17,23,348
2023-07-01,8011387,8010161,23,30,62
2023-07-01,8011387,8011387,35,59,86
2023-07-01,8011387,8012371,12,29,112
2023-07-01,8011491,8010008,27,38,147
2023-07-01,8011491,8010059,57,78,157
2023-07-01,8011491,8010208,11,20,122
2023-07-01,8011491,8011491,100,156,166
2023-07-01,8011495,8010208,14,16,118
2023-07-01,8011495,8011495,25,33,86
2023-07-01,8011495,8012375,10,17,58
2023-07-01,8011588,8010122,10,20,36
2023-07-01,8011588,8011588,23,39,32
2023-07-01,8011588,8012463,14,19,32
2023-07-01,8011598,8010228,7,75,6
2023-07-01,8011598,8011598,32,80,28
2023-07-01,8011598,8011745,21,39,45
2023-07-01,8011626,8010059,34,38,148
2023-07-01,8011626,8011626,61,76,110
2023-07-01,8011626,8012284,28,38,85
2023-07-01,8011705,8010144,9,9,180
2023-07-01,8011705,8011705,17,17,208
2023-07-01,8011705,8011763,9,20,84
2023-07-01,8011745,8011598,27,41,37
2023-07-01,8011745,8011745,43,80,36
2023-07-01,8011745,8013471,15,39,31
2023-07-01,8011753,8011753,30,32,398
2023-07-01,8011753,8012080,16,16,439
2023-07-01,8011753,8012311,13,16,351
2023-07-01,8011755,8011755,27,33,82
2023-07-01,8011755,8012228,15,16,135
2023-07-01,8011755,8012526,13,17,69
2023-07-01,8011763,8011705,11,20,112
2023-07-01,8011763,8011763,19,40,93
2023-07-01,8011763,8012416,12,20,66
2023-07-01,8011771,8010209,27,42,20
2023-07-01,8011771,8011771,44,84,35
2023-07-01,8011771,8013070,17,42,49
2023-07-01,8011913,8011913,31,33,93
2023-07-01,8011913,8012228,13,17,69
2023-07-01,8011913,8012375,12,16,98
2023-07-01,8011914,8011077,6,16,26
2023-07-01,8011914,8011914,19,33,50
2023-07-01,8011914,8013095,11,17,58
2023-07-01,8012053,8012053,15,17,161
2023-07-01,8012053,8012198,8,8,172
2023-07-01,8012053,8013295,8,9,117
2023-07-01,8012117,8011339,20,23,347
2023-07-01,8012117,8012117,40,45,348
2023-07-01,8012117,8013361,20,22,355
2023-07-01,8012178,8011077,16,17,111
2023-07-01,8012178,8012178,27,33,87
2023-07-01,8012178,8012597,14,16,86
2023-07-01,8012184,8012184,273,472,57
2023-07-01,8012184,8012187,145,236,63
2023-07-01,8012184,8012202,128,236,48
2023-07-01,8012187,8010206,89,113,63
2023-07-01,8012187,8012184,158,236,50
2023-07-01,8012187,8012187,306,472,55
2023-07-01,8012187,8012343,64,123,66
2023-07-01,8012192,8010209,17,19,125
2023-07-01,8012192,8012192,15,38,60
2023-07-01,8012192,8013447,5,19,27
2023-07-01,8012193,8010207,42,61,81
2023-07-01,8012193,8010209,0,1,0
2023-07-01,8012193,8012193,77,124,100
2023-07-01,8012193,8080840,23,42,53
2023-07-01,8012194,8010008,29,38,74
2023-07-01,8012194,8012194,59,76,84
