date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-07-01,8000051,8000051,15,16,141
2023-07-01,8000051,8001168,8,8,296
2023-07-01,8000051,8004702,7,8,86
2023-07-01,8000056,8000056,32,33,570
2023-07-01,8000056,8005788,13,18,148
2023-07-01,8000088,8000088,32,48,396
2023-07-01,8000088,8001502,16,18,667
2023-07-01,8000088,8004183,0,9,0
2023-07-01,8000088,8005594,16,18,558
2023-07-01,8000088,8006090,0,9,0
2023-07-01,8000089,8000089,25,35,100
2023-07-01,8000089,8000434,7,25,102
2023-07-01,8000089,8002565,14,19,109
2023-07-01,8000089,8003002,12,18,55
2023-07-01,8000413,8000413,33,62,128
2023-07-01,8000413,8000586,0,9,0
2023-07-01,8000413,8000773,3,4,98
2023-07-01,8000413,8001160,15,31,103
2023-07-01,8000413,8001489,15,18,237
2023-07-01,8000440,8000440,14,24,102
2023-07-01,8000440,8000445,7,12,98
2023-07-01,8000440,8010172,8,9,130
2023-07-01,8000440,8012673,0,3,-10
2023-07-01,8000445,8000440,6,12,100
2023-07-01,8000445,8000445,12,24,102
2023-07-01,8000445,8006402,7,12,115
2023-07-01,8000586,8000413,0,9,0
2023-07-01,8000586,8000586,6,26,43
2023-07-01,8000586,8001489,3,4,75
2023-07-01,8000586,8001924,3,4,188
2023-07-01,8000586,8006090,0,9,0
2023-07-01,8000773,8000413,3,4,188
2023-07-01,8000773,8000773,6,8,131
2023-07-01,8000773,8001924,3,4,68
2023-07-01,8000815,8000815,22,37,64
2023-07-01,8000815,8002674,8,18,43
2023-07-01,8000815,8006475,9,19,77
2023-07-01,8000935,8000935,2,3,120
2023-07-01,8001168,8000051,4,8,45
2023-07-01,8001185,8001185,0,18,0
2023-07-01,8001185,8001645,0,9,0
2023-07-01,8001185,8004183,0,9,0
2023-07-01,8001258,8001258,28,36,620
2023-07-01,8001258,8002575,14,18,207
2023-07-01,8001258,8002967,14,18,1018
2023-07-01,8001315,8001315,45,85,86
2023-07-01,8001315,8003002,14,18,155
2023-07-01,8001315,8004247,23,41,95
