date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-03-01,8010047,8010047,66,82,84
2023-03-01,8010047,8010226,1,1,30
2023-03-01,8010047,8011630,13,17,49
2023-03-01,8010047,8011673,2,4,15
2023-03-01,8010047,8012066,16,19,62
2023-03-01,8010047,8013455,38,41,119
2023-03-01,8010070,8010070,44,55,67
2023-03-01,8010070,8010084,10,21,57
2023-03-01,8010070,8010318,5,7,56
2023-03-01,8010070,8010343,1,1,30
2023-03-01,8010070,8011323,1,10,6
2023-03-01,8010070,8012830,17,19,76
2023-03-01,8010071,8010071,19,20,104
2023-03-01,8010071,8011323,9,10,150
2023-03-01,8010071,8012507,8,10,69
2023-03-01,8010084,8010070,18,19,104
2023-03-01,8010084,8010084,35,40,86
2023-03-01,8010084,8013465,16,21,74
2023-03-01,8010086,8010086,45,75,37
2023-03-01,8010086,8012289,13,37,32
2023-03-01,8010086,8013344,14,20,42
2023-03-01,8010086,8073410,9,18,23
2023-03-01,8010096,8010096,32,39,122
2023-03-01,8010096,8012599,17,20,96
2023-03-01,8010096,8013248,14,19,152
2023-03-01,8010123,8010123,21,42,71
2023-03-01,8010123,8010151,13,22,95
2023-03-01,8010123,8013365,8,21,31
2023-03-01,8010151,8010123,8,21,40
2023-03-01,8010151,8010151,23,43,69
2023-03-01,8010151,8011294,14,22,127
2023-03-01,8010157,8010157,52,85,49
2023-03-01,8010157,8010169,4,10,18
2023-03-01,8010157,8010254,14,37,50
2023-03-01,8010157,8010364,5,26,40
2023-03-01,8010157,8010374,2,9,50
2023-03-01,8010157,8011599,6,16,26
2023-03-01,8010157,8011808,17,17,42
2023-03-01,8010157,8011838,0,1,0
2023-03-01,8010158,8010158,19,33,75
2023-03-01,8010158,8010226,1,1,90
2023-03-01,8010158,8010261,1,1,210
2023-03-01,8010158,8011111,2,3,90
2023-03-01,8010158,8011544,8,15,58
2023-03-01,8010158,8013180,7,21,41
2023-03-01,8010169,8010157,3,11,25
2023-03-01,8010169,8010169,5,21,20
2023-03-01,8010169,8010374,2,10,12
2023-03-01,8010172,8000440,3,8,52
2023-03-01,8010172,8010172,28,43,93
2023-03-01,8010172,8011277,9,13,83
2023-03-01,8010172,8012014,13,13,194
2023-03-01,8010172,8013083,6,9,37
2023-03-01,8010226,8010047,4,4,45
2023-03-01,8010226,8010158,3,3,50
2023-03-01,8010226,8010226,192,266,75
2023-03-01,8010226,8011111,1,1,60
2023-03-01,8010226,8011294,12,18,50
2023-03-01,8010226,8012289,40,58,47
2023-03-01,8010226,8012292,11,13,88
2023-03-01,8010226,8013344,1,1,150
2023-03-01,8010226,8013455,31,36,65
