date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-03-01,8010016,8010016,25,36,42
2023-03-01,8010016,8011031,9,24,25
2023-03-01,8010016,8012729,5,18,23
2023-03-01,8010051,8010051,20,42,79
2023-03-01,8010051,8010153,6,9,47
2023-03-01,8010051,8010322,11,12,208
2023-03-01,8010051,8012264,1,2,825
2023-03-01,8010051,8013186,11,19,32
2023-03-01,8010141,8010141,25,38,74
2023-03-01,8010141,8011702,8,11,25
2023-03-01,8010141,8012651,4,9,77
2023-03-01,8010141,8012902,7,8,94
2023-03-01,8010153,8010051,6,9,53
2023-03-01,8010153,8010153,45,56,55
2023-03-01,8010153,8010201,8,10,63
2023-03-01,8010153,8010284,9,36,18
2023-03-01,8010153,8012269,5,18,12
2023-03-01,8010156,8010156,50,57,210
2023-03-01,8010156,8011798,4,13,67
2023-03-01,8010156,8012009,4,4,128
2023-03-01,8010156,8012474,3,4,150
2023-03-01,8010156,8012677,10,15,338
2023-03-01,8010156,8012951,12,12,368
2023-03-01,8010156,8013069,5,10,96
2023-03-01,8010173,8010173,38,52,294
2023-03-01,8010173,8012951,19,26,419
2023-03-01,8010173,8013073,15,21,210
2023-03-01,8010173,8013370,5,5,708
2023-03-01,8010176,8010176,26,36,52
2023-03-01,8010176,8010381,9,18,52
2023-03-01,8010176,8011995,16,18,70
2023-03-01,8010179,8010179,37,42,186
2023-03-01,8010179,8011536,9,10,168
2023-03-01,8010179,8012418,6,8,142
2023-03-01,8010179,8012839,10,11,226
2023-03-01,8010179,8013131,9,11,191
2023-03-01,8010199,8010199,20,36,38
2023-03-01,8010199,8010284,13,18,40
2023-03-01,8010199,8012436,12,18,48
2023-03-01,8010201,8010153,6,10,60
2023-03-01,8010201,8010201,12,20,63
2023-03-01,8010201,8012093,6,10,66
2023-03-01,8010210,8010210,27,38,56
2023-03-01,8010210,8012683,11,17,60
2023-03-01,8010210,8012832,13,19,79
2023-03-01,8010210,8013104,11,19,33
2023-03-01,8010213,8010213,15,17,180
2023-03-01,8010213,8011689,7,8,180
2023-03-01,8010213,8013393,8,9,183
2023-03-01,8010227,8010227,21,36,38
2023-03-01,8010227,8010348,17,18,93
2023-03-01,8010227,8012758,9,19,27
2023-03-01,8010241,8010241,50,65,107
2023-03-01,8010241,8011025,11,17,108
2023-03-01,8010241,8011293,15,19,159
2023-03-01,8010241,8012376,11,18,22
2023-03-01,8010241,8013017,13,17,152
2023-03-01,8010267,8011403,0,19,0
2023-03-01,8010267,8013018,1,17,9
2023-03-01,8010273,8010273,27,36,58
2023-03-01,8010273,8010284,9,18,32
2023-03-01,8010273,8013072,12,18,67
2023-03-01,8010284,8010153,29,36,68
2023-03-01,8010284,8010199,11,18,48
2023-03-01,8010284,8010273,5,18,18
2023-03-01,8010284,8010284,44,72,44
2023-03-01,8010300,8010300,32,58,45
2023-03-01,8010300,8011611,7,15,38
2023-03-01,8010300,8012377,13,16,39
2023-03-01,8010300,8012582,4,17,-2
2023-03-01,8010322,8010051,6,12,30
2023-03-01,8010322,8010322,44,60,73
2023-03-01,8010322,8011924,14,18,65
2023-03-01,8010322,8012362,13,18,47
2023-03-01,8010325,8010325,15,63,127
2023-03-01,8010325,8012940,8,32,164
2023-03-01,8010325,8012951,6,11,224
2023-03-01,8010325,8013354,12,20,32
2023-03-01,8010339,8010339,26,34,187
2023-03-01,8010339,8011213,16,17,245
2023-03-01,8010339,8012555,12,17,199
2023-03-01,8010348,8010227,3,18,8
2023-03-01,8010348,8010348,35,36,60
2023-03-01,8010348,8012436,8,18,18
2023-03-01,8010381,8010176,14,18,55
2023-03-01,8010381,8012321,2,21,106
2023-03-01,8010392,8010392,3,39,14
2023-03-01,8010392,8013132,0,19,0
2023-03-01,8010392,8013133,0,18,0
2023-03-01,8010392,8013385,3,21,24
2023-03-01,8011017,8011017,15,38,49
2023-03-01,8011017,8012711,10,19,77
2023-03-01,8011017,8013062,5,19,16
2023-03-01,8011025,8010241,5,17,46
2023-03-01,8011025,8011025,14,34,57
2023-03-01,8011025,8011646,9,17,92
2023-03-01,8011027,8011027,13,21,60
2023-03-01,8011027,8011281,6,11,52
2023-03-01,8011027,8012762,6,10,57
2023-03-01,8011031,8010016,16,25,38
2023-03-01,8011031,8011031,21,49,26
2023-03-01,8011031,8012609,6,24,19
2023-03-01,8011044,8010282,3,3,420
2023-03-01,8011044,8011044,22,26,212
2023-03-01,8011044,8011438,9,10,174
2023-03-01,8011044,8012021,9,10,189
2023-03-01,8011108,8011108,4,39,16
2023-03-01,8011108,8013132,4,20,32
2023-03-01,8011108,8013341,0,19,0
2023-03-01,8011109,8011109,3,42,9
2023-03-01,8011109,8012892,0,21,0
2023-03-01,8011109,8087026,3,21,17
2023-03-01,8011114,8012005,0,7,0
2023-03-01,8011140,8011140,16,34,37
2023-03-01,8011140,8012377,10,18,53
