date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-11-01,8000365,8000365,16,18,168
2023-11-01,8000365,8003664,14,19,125
2023-11-01,8000365,8005388,8,9,127
2023-11-01,8000385,8000385,25,35,182
2023-11-01,8000385,8000534,12,18,227
2023-11-01,8000385,8003554,2,7,17
2023-11-01,8000420,8000420,18,36,60
2023-11-01,8000420,8001877,10,18,115
2023-11-01,8000420,8007856,5,18,27
2023-11-01,8000498,8000498,13,17,896
2023-11-01,8000498,8003256,6,8,821
2023-11-01,8000504,8000504,24,76,26
2023-11-01,8000504,8000509,12,38,31
2023-11-01,8000504,8003762,8,38,10
2023-11-01,8000511,8000511,25,37,46
2023-11-01,8000511,8002153,6,18,30
2023-11-01,8000511,8006664,19,19,90
2023-11-01,8000534,8000385,11,17,118
2023-11-01,8000534,8000534,25,35,171
2023-11-01,8000534,8005907,15,18,248
2023-11-01,8000767,8000767,20,36,25
2023-11-01,8000767,8003058,4,18,13
2023-11-01,8000767,8003083,8,18,25
2023-11-01,8000783,8000783,40,76,103
2023-11-01,8000783,8001223,20,38,67
2023-11-01,8000783,8003238,19,38,129
2023-11-01,8000850,8000850,35,39,138
2023-11-01,8000850,8004478,19,19,246
2023-11-01,8000850,8005209,17,20,74
2023-11-01,8001223,8000783,22,38,146
2023-11-01,8001223,8001223,40,76,107
2023-11-01,8001223,8001846,16,38,56
2023-11-01,8001277,8001277,17,36,23
2023-11-01,8001277,8004724,11,18,35
2023-11-01,8001278,8001278,24,35,213
2023-11-01,8001278,8004521,14,18,302
2023-11-01,8001278,8005947,12,17,143
2023-11-01,8001317,8001674,1,18,2
2023-11-01,8001450,8001450,19,36,36
2023-11-01,8001450,8001548,8,18,28
2023-11-01,8001450,8004323,7,18,30
2023-11-01,8001548,8001450,8,18,38
2023-11-01,8001548,8001548,15,36,28
2023-11-01,8001548,8003083,5,18,18
2023-11-01,8001655,8001655,20,34,26
2023-11-01,8001655,8002838,9,17,32
2023-11-01,8001655,8003734,11,17,19
2023-11-01,8001674,8001317,19,19,73
2023-11-01,8001674,8001674,19,37,29
2023-11-01,8001674,8006267,1,18,3
2023-11-01,8001749,8001749,24,42,109
2023-11-01,8001749,8004835,12,21,121
2023-11-01,8001749,8006298,10,21,91
2023-11-01,8001762,8001762,53,77,142
2023-11-01,8001762,8001845,29,39,180
2023-11-01,8001762,8006052,21,38,94
2023-11-01,8001783,8001783,53,75,111
2023-11-01,8001783,8002517,17,22,91
2023-11-01,8001783,8004323,12,17,178
2023-11-01,8001783,8004336,11,22,89
2023-11-01,8001783,8005557,8,14,79
2023-11-01,8001845,8001762,26,38,108
2023-11-01,8001845,8001845,55,77,130
2023-11-01,8001845,8001846,31,39,182
2023-11-01,8001846,8001223,22,38,157
2023-11-01,8001846,8001845,20,38,69
2023-11-01,8001846,8001846,50,77,117
2023-11-01,8001875,8001875,10,36,32
2023-11-01,8001875,8002029,4,18,38
2023-11-01,8001875,8002416,2,18,33
2023-11-01,8001877,8000420,9,18,32
2023-11-01,8001877,8001877,19,36,65
2023-11-01,8001877,8003878,10,18,98
2023-11-01,8001978,8001978,113,152,78
2023-11-01,8001978,8001988,31,40,108
2023-11-01,8001978,8001989,30,38,65
2023-11-01,8001978,8002520,17,38,47
2023-11-01,8001978,8004493,7,10,105
2023-11-01,8001989,8001978,16,39,55
2023-11-01,8001989,8001989,50,77,61
2023-11-01,8001989,8004493,26,38,62
2023-11-01,8002029,8001875,7,18,52
2023-11-01,8002029,8002029,17,36,55
2023-11-01,8002029,8005219,5,18,40
2023-11-01,8002149,8002149,27,37,52
2023-11-01,8002149,8002153,3,19,13
2023-11-01,8002152,8002152,46,79,69
2023-11-01,8002152,8002155,23,39,65
2023-11-01,8002152,8005557,23,40,67
2023-11-01,8002153,8000511,14,19,41
2023-11-01,8002153,8002149,13,18,37
2023-11-01,8002153,8002153,14,37,22
2023-11-01,8002155,8002152,22,40,77
2023-11-01,8002155,8002155,43,79,67
2023-11-01,8002237,8002237,29,42,129
2023-11-01,8002237,8004115,15,21,119
2023-11-01,8002237,8005995,14,21,150
2023-11-01,8002416,8001875,8,18,23
2023-11-01,8002416,8002416,17,36,32
2023-11-01,8002416,8003154,10,18,70
2023-11-01,8002517,8001783,12,22,85
2023-11-01,8002517,8002517,27,44,86
2023-11-01,8002517,8004901,17,21,99
2023-11-01,8002517,8005557,1,1,60
2023-11-01,8002520,8001978,28,38,51
2023-11-01,8002520,8002520,58,76,50
2023-11-01,8002520,8006476,31,38,84
2023-11-01,8002578,8002578,38,43,250
2023-11-01,8002578,8002793,21,22,273
2023-11-01,8002578,8004858,17,21,230
2023-11-01,8002596,8002596,18,36,45
2023-11-01,8002596,8003552,6,18,48
2023-11-01,8002596,8003567,11,18,52
2023-11-01,8002609,8002609,24,34,122
2023-11-01,8002609,8005485,11,17,42
2023-11-01,8002612,8001929,37,37,339
2023-11-01,8002612,8002612,71,71,386
2023-11-01,8002612,8002794,34,34,424
2023-11-01,8002612,8004858,19,22,241
2023-11-01,8002678,8002678,19,38,29
2023-11-01,8002678,8005383,7,19,17
2023-11-01,8002678,8005572,10,19,36
2023-11-01,8002705,8002705,66,95,60
2023-11-01,8002705,8004797,24,39,38
2023-11-01,8002705,8004926,23,38,51
2023-11-01,8002705,8005177,5,9,83
2023-11-01,8002705,8006390,4,9,50
2023-11-01,8002751,8002751,38,69,130
2023-11-01,8002751,8002793,23,34,151
2023-11-01,8002751,8004725,19,35,124
2023-11-01,8002782,8002782,8,36,34
2023-11-01,8002782,8002783,6,18,13
2023-11-01,8002782,8004469,7,18,58
2023-11-01,8002783,8002782,10,18,68
2023-11-01,8002783,8002783,17,36,40
2023-11-01,8002783,8003154,2,18,8
2023-11-01,8002793,8002578,18,21,229
