date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-02-01,8000047,8000047,60,74,639
2023-02-01,8000047,8001107,33,37,835
2023-02-01,8000047,8001904,30,41,466
2023-02-01,8000062,8000062,38,48,88
2023-02-01,8000062,8004001,15,26,76
2023-02-01,8000062,8005712,19,27,48
2023-02-01,8000066,8000066,29,33,80
2023-02-01,8000066,8001343,5,28,6
2023-02-01,8000066,8002972,8,17,42
2023-02-01,8000066,8003658,8,18,40
2023-02-01,8000083,8000083,126,147,314
2023-02-01,8000083,8000145,25,27,238
2023-02-01,8000083,8001266,35,37,588
2023-02-01,8000083,8003658,17,18,180
2023-02-01,8000083,8003783,6,18,30
2023-02-01,8000083,8005811,25,29,330
2023-02-01,8000083,8006361,16,16,392
2023-02-01,8000125,8000125,60,74,626
2023-02-01,8000125,8001107,27,37,414
2023-02-01,8000125,8002224,18,19,891
2023-02-01,8000145,8000083,16,18,338
2023-02-01,8000145,8000145,88,94,437
2023-02-01,8000145,8003890,12,19,191
2023-02-01,8000145,8003891,30,32,402
2023-02-01,8000145,8005811,32,37,526
2023-02-01,8000382,8000382,38,69,29
2023-02-01,8000382,8001808,4,17,-7
2023-02-01,8000382,8004613,13,22,41
2023-02-01,8000382,8400011,18,37,40
2023-02-01,8000437,8000437,15,34,40
2023-02-01,8000437,8001808,5,17,30
2023-02-01,8000437,8003608,10,17,48
2023-02-01,8000441,8000441,67,75,271
2023-02-01,8000441,8002680,31,37,153
2023-02-01,8000441,8004251,32,38,347
2023-02-01,8000462,8000462,47,53,448
2023-02-01,8000462,8001065,23,26,350
2023-02-01,8000518,8000518,41,55,67
2023-02-01,8000518,8004426,14,27,41
2023-02-01,8000518,8004461,15,28,69
2023-02-01,8000569,8000569,35,40,178
2023-02-01,8000569,8001390,16,20,117
2023-02-01,8000595,8000595,69,75,409
2023-02-01,8000595,8001065,36,37,503
2023-02-01,8000595,8001266,33,38,287
2023-02-01,8000623,8000623,28,40,143
2023-02-01,8000623,8001323,11,20,57
2023-02-01,8000623,8001390,13,20,176
2023-02-01,8000846,8000846,24,35,91
2023-02-01,8000846,8001335,14,19,134
2023-02-01,8000846,8006206,13,19,93
2023-02-01,8000887,8000164,14,16,296
2023-02-01,8000887,8000317,16,16,501
2023-02-01,8000887,8000887,89,95,389
2023-02-01,8000887,8003891,32,32,544
2023-02-01,8000970,8000970,42,56,75
2023-02-01,8000970,8001343,8,11,52
2023-02-01,8000970,8002670,22,28,54
2023-02-01,8000970,8003804,17,17,148
2023-02-01,8001065,8000462,25,27,538
2023-02-01,8001065,8000595,32,38,268
2023-02-01,8001065,8001065,68,75,390
2023-02-01,8001096,8001096,44,55,81
2023-02-01,8001096,8004461,18,27,56
2023-02-01,8001096,8005712,22,28,110
2023-02-01,8001183,8001183,64,74,276
2023-02-01,8001183,8003212,27,31,362
2023-02-01,8001183,8003640,6,6,365
2023-02-01,8001183,8006361,26,37,195
2023-02-01,8001266,8000083,32,38,276
2023-02-01,8001266,8000595,35,37,592
2023-02-01,8001266,8001266,67,75,437
2023-02-01,8001323,8000623,12,20,140
2023-02-01,8001323,8001323,32,40,107
2023-02-01,8001323,8006348,18,20,170
2023-02-01,8001327,8000164,77,83,189
2023-02-01,8001327,8001327,127,166,176
2023-02-01,8001327,8001515,2,2,90
2023-02-01,8001327,8001543,60,81,147
2023-02-01,8001328,8001328,31,36,121
2023-02-01,8001328,8001329,14,18,77
2023-02-01,8001328,8002779,16,18,150
2023-02-01,8001329,8001328,16,18,157
2023-02-01,8001329,8001329,30,36,106
2023-02-01,8001329,8001528,15,18,87
2023-02-01,8001343,8000066,13,28,33
2023-02-01,8001343,8000970,6,8,52
2023-02-01,8001343,8001343,36,56,32
2023-02-01,8001343,8003804,18,20,68
2023-02-01,8001390,8000569,14,20,207
2023-02-01,8001390,8000623,15,20,112
2023-02-01,8001390,8001390,30,40,158
2023-02-01,8001558,8001061,16,17,215
2023-02-01,8001558,8001558,121,132,205
2023-02-01,8001558,8002841,16,18,338
2023-02-01,8001558,8003986,41,48,123
2023-02-01,8001558,8005102,48,49,222
2023-02-01,8001782,8001782,69,92,140
2023-02-01,8001782,8002369,13,15,160
2023-02-01,8001782,8004000,24,32,111
2023-02-01,8001782,8004972,25,31,86
2023-02-01,8001808,8000382,13,17,62
2023-02-01,8001808,8000437,10,17,48
2023-02-01,8001808,8001808,23,34,41
2023-02-01,8001867,8001867,36,38,400
2023-02-01,8001867,8002915,18,19,486
2023-02-01,8001867,8003036,19,19,352
2023-02-01,8001972,8001972,30,34,64
2023-02-01,8001972,8002284,17,17,97
2023-02-01,8001972,8006709,9,17,42
2023-02-01,8002223,8000164,17,17,97
2023-02-01,8002223,8002223,31,34,71
2023-02-01,8002223,8002225,15,17,72
2023-02-01,8002225,8002223,9,17,55
2023-02-01,8002225,8002225,32,34,76
2023-02-01,8002225,8002283,16,17,86
2023-02-01,8002227,8000164,22,23,128
2023-02-01,8002227,8001910,19,23,256
2023-02-01,8002227,8002227,40,46,205
2023-02-01,8002283,8002225,17,17,104
2023-02-01,8002283,8002283,33,34,92
2023-02-01,8002283,8002284,14,17,78
2023-02-01,8002284,8001972,13,17,69
2023-02-01,8002284,8002283,17,17,85
2023-02-01,8002284,8002284,31,34,85
2023-02-01,8002369,8001782,13,14,300
2023-02-01,8002369,8002369,78,92,142
2023-02-01,8002369,8002841,14,15,154
2023-02-01,8002369,8004972,26,32,101
2023-02-01,8002369,8005635,24,31,127
2023-02-01,8002670,8000970,28,28,105
2023-02-01,8002670,8002670,50,56,59
2023-02-01,8002670,8004190,8,28,27
2023-02-01,8002841,8001558,16,17,203
2023-02-01,8002841,8002369,13,14,287
2023-02-01,8002841,8002841,109,132,190
2023-02-01,8002841,8004173,2,2,195
2023-02-01,8002841,8005102,28,48,84
2023-02-01,8002915,8001867,13,19,287
2023-02-01,8002915,8002915,34,38,390
2023-02-01,8002915,8005262,18,18,527
2023-02-01,8002972,8000066,13,17,62
2023-02-01,8002972,8002972,17,34,41
2023-02-01,8002972,8003608,3,17,25
2023-02-01,8003036,8001867,18,19,475
2023-02-01,8003036,8003036,37,39,405
2023-02-01,8003036,8003491,19,19,401
2023-02-01,8003212,8001183,26,30,201
2023-02-01,8003212,8003212,55,61,279
2023-02-01,8003212,8003640,29,31,385
2023-02-01,8003491,8003036,19,19,445
2023-02-01,8003491,8003491,38,38,427
2023-02-01,8003491,8004689,18,19,450
2023-02-01,8003608,8000437,9,17,42
2023-02-01,8003608,8002972,6,17,28
2023-02-01,8003608,8003608,19,34,39
2023-02-01,8003640,8001183,6,7,163
2023-02-01,8003640,8002615,8,8,679
2023-02-01,8003640,8003212,27,30,160
2023-02-01,8003640,8003640,63,74,260
2023-02-01,8003640,8004208,28,29,325
2023-02-01,8003658,8000066,18,18,133
2023-02-01,8003658,8000083,4,18,25
2023-02-01,8003658,8003658,24,36,90
2023-02-01,8003783,8000083,18,18,178
2023-02-01,8003783,8003783,24,36,90
2023-02-01,8003783,8005525,6,18,30
2023-02-01,8003804,8000970,7,20,14
2023-02-01,8003804,8001343,17,17,78
2023-02-01,8003804,8003804,35,37,83
2023-02-01,8003891,8000145,32,32,611
2023-02-01,8003891,8000887,31,32,431
2023-02-01,8003891,8003891,63,64,514
2023-02-01,8003934,8003934,47,56,62
2023-02-01,8003934,8004173,12,14,88
2023-02-01,8003934,8004190,19,28,38
2023-02-01,8003986,8001045,38,48,108
2023-02-01,8003986,8001558,48,49,250
2023-02-01,8003986,8003986,87,97,174
2023-02-01,8004000,8001782,18,31,68
2023-02-01,8004000,8004000,32,63,70
2023-02-01,8004001,8000062,15,22,59
2023-02-01,8004001,8004001,32,48,59
2023-02-01,8004001,8004613,17,26,78
2023-02-01,8004173,8003934,5,14,15
2023-02-01,8004173,8004173,82,118,103
2023-02-01,8004173,8004426,15,28,91
2023-02-01,8004173,8005635,16,32,68
2023-02-01,8004190,8002670,17,28,34
2023-02-01,8004190,8003934,22,28,70
2023-02-01,8004190,8004190,23,56,32
2023-02-01,8004251,8000441,28,37,151
2023-02-01,8004251,8004251,60,75,259
2023-02-01,8004251,8004626,36,38,373
2023-02-01,8004426,8000518,21,28,95
2023-02-01,8004426,8004173,19,27,80
2023-02-01,8004426,8004426,38,55,74
2023-02-01,8004461,8000518,21,27,59
2023-02-01,8004461,8001096,23,28,110
2023-02-01,8004461,8004461,46,55,76
2023-02-01,8004613,8000382,19,26,72
2023-02-01,8004613,8004001,11,22,34
2023-02-01,8004613,8004613,35,48,64
2023-02-01,8004626,8000315,37,38,377
2023-02-01,8004626,8004251,33,37,152
2023-02-01,8004626,8004626,70,75,263
2023-02-01,8004972,8001782,27,32,128
2023-02-01,8004972,8002369,27,31,100
2023-02-01,8004972,8004972,51,63,103
2023-02-01,8005102,8001558,41,48,107
2023-02-01,8005102,8002841,46,49,237
2023-02-01,8005102,8005102,87,97,165
2023-02-01,8005635,8002369,23,32,92
2023-02-01,8005635,8004173,29,31,173
2023-02-01,8005635,8005635,50,63,117
2023-02-01,8005712,8000062,25,28,129
2023-02-01,8005712,8001096,15,27,48
2023-02-01,8005712,8005712,41,55,81
2023-02-01,8005811,8000083,36,37,556
2023-02-01,8005811,8000145,24,29,331
2023-02-01,8005811,8005811,60,66,446
2023-02-01,8005834,8005834,31,38,66
2023-02-01,8005834,8006207,13,19,74
2023-02-01,8006206,8000846,7,20,39
2023-02-01,8006206,8006206,22,38,62
2023-02-01,8006206,8006207,6,19,49
2023-02-01,8006207,8005834,16,19,68
2023-02-01,8006207,8006206,11,19,63
2023-02-01,8006207,8006207,20,38,59
2023-02-01,8006361,8000083,16,16,199
2023-02-01,8006361,8001183,30,37,344
2023-02-01,8006361,8006361,56,74,264
2023-02-01,8006709,8001972,8,17,32
2023-02-02,8000047,8000047,65,74,725
2023-02-02,8000047,8001107,36,37,922
2023-02-02,8000047,8001904,33,41,497
2023-02-02,8000062,8000062,30,48,69
2023-02-02,8000062,8004001,9,26,22
2023-02-02,8000062,8005712,14,27,119
2023-02-02,8000066,8000066,24,33,102
2023-02-02,8000066,8001343,4,28,18
2023-02-02,8000066,8002972,6,17,81
2023-02-02,8000066,8003658,6,18,75
2023-02-02,8000083,8000083,125,147,391
2023-02-02,8000083,8000145,27,27,239
2023-02-02,8000083,8001266,35,37,820
2023-02-02,8000083,8003658,18,18,228
2023-02-02,8000083,8003783,5,18,73
2023-02-02,8000083,8005811,25,29,367
2023-02-02,8000083,8006361,16,16,428
2023-02-02,8000125,8000125,65,74,713
2023-02-02,8000125,8001107,28,37,534
2023-02-02,8000125,8002224,19,19,723
2023-02-02,8000145,8000083,17,18,343
2023-02-02,8000145,8000145,94,94,528
2023-02-02,8000145,8003890,16,19,684
2023-02-02,8000145,8003891,32,32,418
2023-02-02,8000145,8005811,35,37,769
2023-02-02,8000382,8000382,35,69,37
2023-02-02,8000382,8001808,6,17,14
2023-02-02,8000382,8004613,12,22,23
2023-02-02,8000382,8400011,19,37,51
2023-02-02,8000437,8000437,11,34,49
2023-02-02,8000437,8001808,3,17,81
2023-02-02,8000437,8003608,4,17,18
2023-02-02,8000441,8000441,67,75,338
2023-02-02,8000441,8002680,32,37,295
2023-02-02,8000441,8004251,27,38,370
2023-02-02,8000462,8000462,45,53,596
2023-02-02,8000462,8001065,20,26,328
2023-02-02,8000518,8000518,32,55,90
2023-02-02,8000518,8004426,14,27,141
2023-02-02,8000518,8004461,11,28,27
2023-02-02,8000569,8000569,39,40,427
2023-02-02,8000569,8001390,19,20,394
2023-02-02,8000595,8000595,64,75,564
2023-02-02,8000595,8001065,34,37,801
2023-02-02,8000595,8001266,30,38,317
2023-02-02,8000623,8000623,36,40,478
2023-02-02,8000623,8001323,14,20,382
2023-02-02,8000623,8001390,19,20,498
2023-02-02,8000846,8000846,29,35,472
2023-02-02,8000846,8001335,16,19,644
2023-02-02,8000846,8006206,17,19,507
2023-02-02,8000887,8000164,16,16,341
2023-02-02,8000887,8000317,15,16,472
2023-02-02,8000887,8000887,91,95,488
2023-02-02,8000887,8003891,32,32,786
2023-02-02,8000970,8000970,47,56,124
2023-02-02,8000970,8001343,11,11,112
2023-02-02,8000970,8002670,25,28,105
2023-02-02,8000970,8003804,17,17,168
2023-02-02,8001065,8000462,24,27,847
2023-02-02,8001065,8000595,31,38,313
2023-02-02,8001065,8001065,64,75,554
2023-02-02,8001096,8001096,36,55,98
2023-02-02,8001096,8004461,16,27,154
2023-02-02,8001096,8005712,20,28,54
2023-02-02,8001183,8001183,69,74,223
2023-02-02,8001183,8003212,30,31,283
2023-02-02,8001183,8003640,6,6,575
2023-02-02,8001183,8006361,30,37,114
2023-02-02,8001266,8000083,32,38,307
2023-02-02,8001266,8000595,36,37,836
2023-02-02,8001266,8001266,69,75,566
2023-02-02,8001323,8000623,19,20,471
2023-02-02,8001323,8001323,35,40,427
2023-02-02,8001323,8006348,19,20,450
2023-02-02,8001327,8000164,70,83,199
2023-02-02,8001327,8001327,128,166,222
2023-02-02,8001327,8001515,1,2,75
2023-02-02,8001327,8001543,56,81,251
2023-02-02,8001328,8001328,29,36,126
2023-02-02,8001328,8001329,11,18,95
2023-02-02,8001328,8002779,16,18,150
2023-02-02,8001329,8001328,17,18,140
2023-02-02,8001329,8001329,29,36,112
2023-02-02,8001329,8001528,13,18,115
2023-02-02,8001343,8000066,14,28,64
2023-02-02,8001343,8000970,7,8,101
2023-02-02,8001343,8001343,30,56,52
2023-02-02,8001343,8003804,12,20,63
2023-02-02,8001390,8000569,19,20,498
2023-02-02,8001390,8000623,20,20,476
2023-02-02,8001390,8001390,39,40,481
2023-02-02,8001558,8001061,14,17,395
2023-02-02,8001558,8001558,119,132,368
2023-02-02,8001558,8002841,14,18,1217
2023-02-02,8001558,8003986,43,48,139
2023-02-02,8001558,8005102,48,49,268
2023-02-02,8001782,8001782,66,92,394
2023-02-02,8001782,8002369,12,15,678
2023-02-02,8001782,8004000,22,32,171
2023-02-02,8001782,8004972,24,31,117
2023-02-02,8001808,8000382,10,17,106
2023-02-02,8001808,8000437,5,17,19
2023-02-02,8001808,8001808,16,34,56
2023-02-02,8001867,8001867,35,38,494
2023-02-02,8001867,8002915,17,19,614
2023-02-02,8001867,8003036,19,19,417
2023-02-02,8001972,8001972,29,34,130
2023-02-02,8001972,8002284,17,17,150
2023-02-02,8001972,8006709,13,17,146
2023-02-02,8002223,8000164,17,17,115
2023-02-02,8002223,8002223,31,34,116
2023-02-02,8002223,8002225,15,17,111
2023-02-02,8002225,8002223,14,17,115
2023-02-02,8002225,8002225,32,34,124
